date,delay,distance,origin,destination
1011245,6,602,ABE,ATL
1020600,-8,369,ABE,DTW
1021245,-2,602,ABE,ATL
1020605,-4,602,ABE,ATL
1031245,-4,602,ABE,ATL
1030605,0,602,ABE,ATL
1041243,10,602,ABE,ATL
1040605,28,602,ABE,ATL
1051245,88,602,ABE,ATL
1050605,9,602,ABE,ATL
1061215,-6,602,ABE,ATL
1061725,69,602,ABE,ATL
1061230,0,369,ABE,DTW
1060625,-3,602,ABE,ATL
1070600,0,369,ABE,DTW
1071725,0,602,ABE,ATL
1071230,0,369,ABE,DTW
1070625,0,602,ABE,ATL
1071219,0,569,ABE,ORD
1080600,0,369,ABE,DTW
1081230,33,369,ABE,DTW
1080625,1,602,ABE,ATL
1080607,5,569,ABE,ORD
1081219,54,569,ABE,ORD
1091215,43,602,ABE,ATL
1090600,151,369,ABE,DTW
1091725,0,602,ABE,ATL
1091230,-4,369,ABE,DTW
1090625,8,602,ABE,ATL
1091219,83,569,ABE,ORD
1101215,-5,602,ABE,ATL
1100600,-5,369,ABE,DTW
1101725,7,602,ABE,ATL
1101230,-8,369,ABE,DTW
1100625,52,602,ABE,ATL
1101219,0,569,ABE,ORD
1111215,127,602,ABE,ATL
1110600,-9,369,ABE,DTW
1110625,-4,602,ABE,ATL
1121215,-5,602,ABE,ATL
1121725,-1,602,ABE,ATL
1131215,14,602,ABE,ATL
1130600,-7,369,ABE,DTW
1131725,-6,602,ABE,ATL
1131230,-13,369,ABE,DTW
1130625,29,602,ABE,ATL
1131219,-8,569,ABE,ORD
1140600,-9,369,ABE,DTW
1141725,-9,602,ABE,ATL
1141230,-8,369,ABE,DTW
1140625,-5,602,ABE,ATL
1141219,-10,569,ABE,ORD
1150600,0,369,ABE,DTW
1151725,-6,602,ABE,ATL
1151230,0,369,ABE,DTW
1150625,0,602,ABE,ATL
1150607,0,569,ABE,ORD
1151219,0,569,ABE,ORD
1161215,-10,602,ABE,ATL
1160600,-1,369,ABE,DTW
1161725,-6,602,ABE,ATL
1161230,-7,369,ABE,DTW
1160625,-4,602,ABE,ATL
1161219,68,569,ABE,ORD
1171215,-8,602,ABE,ATL
1170600,-5,369,ABE,DTW
1171725,5,602,ABE,ATL
1171230,-10,369,ABE,DTW
1170625,-6,602,ABE,ATL
1171219,-10,569,ABE,ORD
1181215,-12,602,ABE,ATL
1180600,-13,369,ABE,DTW
1180625,0,602,ABE,ATL
1191215,-16,602,ABE,ATL
1191725,-5,602,ABE,ATL
1201215,-8,602,ABE,ATL
1201725,-5,602,ABE,ATL
1201230,-11,369,ABE,DTW
1200625,-7,602,ABE,ATL
1201219,-6,569,ABE,ORD
1210600,89,369,ABE,DTW
1211725,0,602,ABE,ATL
1211230,44,369,ABE,DTW
1210625,-6,602,ABE,ATL
1211219,9,569,ABE,ORD
1220600,80,369,ABE,DTW
1221230,-5,369,ABE,DTW
1220625,333,602,ABE,ATL
1220607,219,569,ABE,ORD
1221219,15,569,ABE,ORD
1231215,-12,602,ABE,ATL
1230600,-3,369,ABE,DTW
1231725,180,602,ABE,ATL
1231230,-5,369,ABE,DTW
1230625,-8,602,ABE,ATL
1231219,-13,569,ABE,ORD
1241215,-11,602,ABE,ATL
1240600,-3,369,ABE,DTW
1241725,2,602,ABE,ATL
1241230,-5,369,ABE,DTW
1240625,-3,602,ABE,ATL
1241219,0,569,ABE,ORD
1251215,2,602,ABE,ATL
1250600,-4,369,ABE,DTW
1250625,-4,602,ABE,ATL
1261215,1,602,ABE,ATL
1261725,7,602,ABE,ATL
1271215,-4,602,ABE,ATL
1270600,-9,369,ABE,DTW
1271725,-8,602,ABE,ATL
1271230,-7,369,ABE,DTW
1270625,-1,602,ABE,ATL
1271219,0,569,ABE,ORD
1280600,-6,369,ABE,DTW
1281725,-3,602,ABE,ATL
1281230,-8,369,ABE,DTW
1280625,-4,602,ABE,ATL
1281219,0,569,ABE,ORD
1290600,0,369,ABE,DTW
1291230,0,369,ABE,DTW
1290625,4,602,ABE,ATL
1290607,92,569,ABE,ORD
1291219,-10,569,ABE,ORD
1301215,0,602,ABE,ATL
1300600,-1,369,ABE,DTW
1301725,10,602,ABE,ATL
1301230,0,369,ABE,DTW
1300625,0,602,ABE,ATL
1301219,-11,569,ABE,ORD
1311215,1,602,ABE,ATL
1310600,-4,369,ABE,DTW
1311725,25,602,ABE,ATL
1311230,-4,369,ABE,DTW
1310625,-5,602,ABE,ATL
1311219,24,569,ABE,ORD
1011400,26,137,ABI,DFW
1011525,-11,137,ABI,DFW
1021400,-5,137,ABI,DFW
1021525,47,137,ABI,DFW
1031400,-12,137,ABI,DFW
1031525,40,137,ABI,DFW
1041400,-12,137,ABI,DFW
1041525,3,137,ABI,DFW
1051400,-5,137,ABI,DFW
