"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"35216855","Good Place where we can get food at late night ! Double Egg Cheese Fried Maggie is the best, one just try ! No Seating available but can eat like a Road-Side Waala. Only Cash and Paytm accepted !!",4,"2019-03-21 00:08:52",10,3,0
"51275568","Surrounding could be a bit clean. Tried fried maggi , cheese maggi (they name it under our special category and it seemed to be overcooked), bread omlet , food I would rate 2 or 3 ",3,"2019-03-15 23:37:55",3,1,0
"1904466","Your midnight craving in Hyderabad can end up here with very less price and full satisfaction. It is must to try their fried Maggi which is very tasty and little bit spicy too. I have tried all varieties of them. Highly recommended place",4,"2019-02-15 02:36:57",156,726,0
"29897616","One of my go to places in the middle of the night, be it ordering food whenever I'm working overnight or night out with friends. Food has been stomach filling, especially shawarma and the variety of dosas.",5,"2019-01-19 21:41:48",6,78,0
"50417898","Who doesn't crave for a hot bowl of maggi in the midnight?
This place serves the best menu of maggi and helps me in treating my midnight hunger pangs. ",5,"2019-01-13 17:26:26",72,856,1
"38195963","Out of all Maggi points in Hyderabad ,I recommend this place for spicy and decilious maggi for all the Maggi lovers out there .
Cooking style and taste differs from other routine Maggi places .
As the name says this place is open till mid night",5,"2018-12-15 20:19:50",34,46,0
"35422959","The Maggi is here is near amazing. It is served very hot and is really tasty. The service is also pretty fast and they don't take much time. You get diversified options to choose from.",5,"2018-12-01 18:36:25",91,126,0
"34009097","We had Maggi at around 12 am (prime time, haha). The street was super crowded with people enjoying their midnight snacks.
I had Cheese Maggi and it was smoky. We saw the guys do it live, putting the stove on a full flame and tossing around the vegetables. That was an experience. It's just that it was too spicy for me but I had it anyway, because who would say no to Maggi? ",4,"2018-11-19 12:35:50",122,636,0
"52077480","Mid Night Craving? Come to this place. Pizza Dosa of the place will satisfy your crave. Crowd here is amazing. Don't forget to take the gulab janums after you are done from the adjacent shop.",5,"2018-11-04 20:44:11",35,26,0
"37705188","Wanna try street food?
This is the best place ever, whr u can find mouthwatering Maggie with different varieties.
Double egg fried Maggie is my favourite here.",5,"2018-10-20 17:16:19",1,3,0
"2162468","AM-PM! as the name goes, really the hunger savior for people in and around Gachibowli specifically for all those employees inside DLF.:) This is located right opp to DLF IT park! Although there are umpteen food joint, this for me is a standout because of the scrumptious maggi they make! They do have multiple variations out of maggi but my favorite is dry version of maggi like street noodles. My staple order is chicken dry maggi. Oh boi, it is so delicious and satiating to tastebuds. 
Waiting time us usually high in the late evenings. Take a friend alongside for quick chat and this noodles will add up to it :) 
My other favs are double egg maggie and omelette! ",4,"2018-10-13 12:51:49",96,1175,2
"35039921","AM-PM Maggi point is the best place is Hyderabad to get the most yummiest and most delicious Maggi. Not just the old traditional maggi, but we get here a wide varieties of Maggie. Both non-veg and veg dishes are available in both wet and dry type. My favourite is chicken fried Maggie. Drool worthy. I cannot stop obsessing over this place. Just fabulous. It’s a small bandi sort in the Cyber hub of the city which is DLF cyber city. I can travel all the way to just have their Maggie. I highly recommend this place to all those Maggie lovers out there. Wait a minute, I don’t think there are anyone in this city who doesn’t love Maggie. So everyone do check this place out, trust me you won’t regret it. ",5,"2018-09-08 01:39:12",31,272,0
"8925241","This place serves the best maggi in Hyderabad. From the flavour to the perfect blend of masalas, everything was just on point. They have a wide range of dishes, all of them made with Maggi. It was really a surprise for me to see so many varieties of Maggi. Both veg and non-veg dishes of Maggi are available coming in both fried and wet style. This place is very famous in the cyber hub. It’s a must try place.",5,"2018-08-02 09:18:39",105,1158,0
"27009361","When I came to this street. I thought why people are so crazy for maggi, you can make it at home as well. But out of curiosity when I tried the fried maggi. I was blown away. The fried Maggi is so good that I keep going back to this place only for maggi sometimes. 
They have chicken and cheese options as well. ",4,"2018-06-24 00:34:00",76,113,1
