"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"15390331","We had ordered from Amul and we will order again. We were looking for a late night binge and found Amul on Zomato. We ordered some Choco Chips (5/5) and Alphonso Mango (5/5) ice cream and loved them. Only thing is, the ice creams (although provided with dry ice) had started melting which wasn't desirable. I wish Amul can improve their packaging so that ice cream reaches intact. ",4,"2019-05-17 12:29:39",207,400,0
"83523890","Thank-you for serving testy milkshakes in late night I am suggesting my friends to try milkshake in this place specialy dry furit milkshake... ",5,"2019-05-17 01:32:13",1,0,0
"68350022","Although I didn't go to the onsite store, but I have ordered some ice cream 🍨 from there . They are too yumm 😋😋. One can have them whenever they wish too.
I am very much impressed with there style of packing the food .
The service was also good . The items were delivered on time .
The taste is dam good and they have a wide variety of flavors with them .
They make sure that the icecream didn't melt by the time it reaches to the customer , that made me cheerful.😁",4,"2019-04-30 14:10:51",6,0,2
"54372212","This is a small ice cream parlour.It has all good ice cream and I ate death by chocolate in this their hot brownie and on that hot chocolate sauce was their and scooped with 3 icecreams and it is around 170rs.I ate ice cream mixed with chocolate brownie its like heaven for me.It is topped with choco chips and choco sticks.ya amul maintained its quality.They gave more in quantity and 3scoops were to much to me.
Food 5/5
Ambience 2/5
packaging 5/5
Overall 4/5",4,"2019-04-19 19:02:03",58,2002,2
"51608780","Ordered Nutty Fruity Ice Cream which is mango and strawberry crazy combination and the roasted almonds which is awesome in this hot summer and the delivery boy done a great job but the packing was in plastic cover which usually delivered in Amul branding cover just saying but still i don't mind until the ice cream was good and Great Job Amul !!! Excited to have more ice creams in this hot summer.",5,"2019-04-13 21:32:39",3,6,0
"59548988","I am a regular customer when it comes to ordering from amul. I ordered ""all chocolate ice cream"" from amul. According to the description there was supposed to be perk and kitkat and hot chocolate fudge in it but there was nothing of it. It was a normal choco chips ice-cream which I could have got for 80Rs instead I paid 180Rs for it. My suggestion just order basic ice-creams from amul don't go for anything else which is costly. And when the delivery boy delivered the ice-cream it was melting. Disappointed by the service of the outlet.",1,"2019-03-31 13:15:31",2,0,1
"16616911","Have ordered from here so many times but when i got the wrong order the restaurant doesnt trust me and expects me to go through a hassle so that they ll get convinced and send me the correct item...(asked for Anjeer and got something else,sent a photo to zomato and the restaurant wants me to talk to someone else and take their number and send then photos and wait for their reply,no one has so much time and customer service shud be easier",1,"2019-03-30 23:37:47",3,18,1
"81140480","thank you... delivered on time",5,"2019-03-29 15:40:04",3,0,0
"437718","We have ordered ice creams multiple times from Amul. Love the variety available on their menu. Quantity is really good, more than what I get when ordered from other Ice Cream parlours. Value for money with great taste.",5,"2019-03-28 06:06:38",57,192,0
"29639498","Ordered Tropical Sunrise Sundae with chocolate syrup base, choco chips and Fruit poison ice cream. Both were mind blowing. Fruit poison had exotic fruits like kiwi and strawberry and tasted really well. The tropical sundae had a cocoan and dark chocolaty after-taste. They know their stuff well and I will prefer their items over Cream stone for sure.",4,"2019-03-16 15:23:52",158,228,3
"1624410","Need to improve the food quality. Ordered Hot Choclate Brownie with Vanilla Ice Cream which was not good. Bownie was hard, no hot choclate found. Vanilla ice cream alone was good.",1,"2019-02-09 19:37:50",5,27,0
"33988547","very late delivery",1,"2019-01-19 01:44:38",6,33,0
"39808469","The best place for icecreams. I love it. You should try choco brownie almond for sure. Quantity n quality is amazing. Availble always for online orders",5,"2019-01-06 23:46:17",12,1,0
"53388878","Amul Ice-cream. Tastes best. I've tasted many flavours from the menu. Delivery is also cool😎 with the dry ice covers the ice-cream. I must recommend to try all the flavours. They have from budget to premium Ice cream.😋😋",4,"2019-01-01 14:07:11",8,1,0
