"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"37166681","didn't like it",2,"2019-05-17 21:58:07",4,1,0
"61146181","I usually visit to this place but first time I ordered through zomato.this is best place for north indian people to eat north Indian food.Paneer butter masala is best choice if you are vegetarian.Thanks to chakhh de punjab for best food service in hyderabad.",5,"2019-05-04 11:02:48",3,0,0
"105969228","Ordered Paneer Tikka, Ordered very late on a weekday. Received quickly and very nicely packaged.  Very impressed considering the late hour. it was good!
Next time will try chutney and pickled onions!",5,"2019-05-03 14:09:40",4,1,0
"45504655","I odered mini paneer combo and it was so tasty...!!!i really enjoyed the food and the quality of food was so good , but there salad was not good it was so old onions n lemon plzz take care of this.",4,"2019-05-03 11:26:24",1,9,0
"38173328","I ordered Paneer Butter Masala combo and regarding the sabji, Paneer Masala was the best dish I had in hyderabad. Indeed, Dal and masala potato also was too tasty. Hats off Chakhh!!! ",5,"2019-04-30 14:04:07",11,13,0
"895038","Chakh De Punjab is a place where you can have your daily dinner. Great food at very reasonable price. The list of items I love here is long, Kababs, Sarso Ka Saag and Makke Ki Roti, Lassi, Paranthe, Bhurji Pav, Ludhiana Chicken. The man behind the kitchen Mr. Sandeep is someone you should talk to while ordering and he will definitely make the food as per you palate.",5,"2019-04-27 15:22:43",400,2709,0
"96792597","Very good food and packing also very nice on time delivery you must try mini thali if you order once then you have to order again and again taste wonderful. Must try once.",5,"2019-04-24 19:35:29",2,0,0
"9799851","quantity of food was very less, quality was good... not sure why will they do cost cutting to send decent quantity when the price is like others ...",3,"2019-04-22 23:03:21",3,32,0
"35427161","Have ordered paneer combo and being a north indian I could feel that flavour and must say that it was perfect in its entirety. Thanks #chakhhdepunjab for this taste in hyderabad :)",5,"2019-04-22 01:46:11",21,11,0
"51695641","on time delivery",5,"2019-04-16 06:32:34",8,1,0
