"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"43552879","Our regular space for dinner as it’s close by to our work place. Place is spacious and little noisy decent one to sit and chill as well
Food and service is above average 
North Indian food and biryani are decent 
Food :3
Service : great
Hygiene : 3
VFM : 3
Worth visiting once more: No",3,"2019-04-20 19:57:48",23,4,0
"29538764","Amazing drive in place to hit out with a gang of friends... It has great friendly service... Its a drive in and has good delicious food which adds up to its flavours for being a great place ",4,"2019-02-18 14:18:17",5,16,0
"37532726","Okay okay kind of place. The food is good here. The service though is a matter of concern. The rates seem reasonable and not over priced. Ambience is something which they may never have heard of. Ambience in the restaurant is like one could literally feel to just walk away from the place. The interiors aren't great, aren't well lit and the decoration seems to be over done. Can visit, but only if you like the loneliness.",3,"2019-01-27 19:10:41",7,63,0
"47691182","Been here for a quick catch up with friends. Had a Veg Manchow soup. Best part is tasted good with great whether. Nice ambience and good place for a quick hang out. ",5,"2018-12-18 21:28:16",11,3,0
"33333893","I've just visited now really poor service, the place was not even crowded still took more than half hour to just bring fries. And didn't even bother to attend to the guests",1,"2018-12-13 21:05:54",1,1,0
"46700766","Ambience is nice but can't say about food...its kind of drive in and was open till 2.we ordered from different stores...but didn't liked it much..it was okayish..nothing much exciting bout the place...but can visit once..",2,"2018-12-09 12:14:39",19,13,0
"58781499","The food quality and taste is sub par.. we ordered pav bhaji , dahi papdi, rabdi falooda and chocolate thick shake. Dahi papdi was too watery. Rabdi Falooda had only broken noodles, no rabdi, just watery roohafza milk with tasteless broken noodles filled till brim.. Pav bhaji was tastes like pumpkin bhaji, and they did t bother to add even lemon to it. They need to improve highly on taste of they plan to stay open.. ",2,"2018-11-24 19:03:42",2,0,0
"2369976","Have been to Cusino multiple times, specially late evening. Lots of open space and ample place for my kids to play around :) (That is always a ➕). A big projection screen makes the ambience a few notches better.
Food's quality is descent and is definitely pocket friendly. You also have whole range of options available there including Indian, Chinese, Arabian, Chats, Thick shakes etc.
Thumbs up for the place. Prefer visiting late evenings!",4,"2018-11-07 16:04:30",40,116,0
"44603526","We have visited this restaurant. Ordered few items and one if the item was paneer chatpata. It was so tangy that we couldn't eat and we did complaint. The manager was not even ready to waive that item off. We paid for the item which we didn't eat. Think twice before visiting this restaurant. ",1,"2018-11-04 23:38:17",15,1,0
"33722272","This is my go to place for dinner directly from office for anything and everything. They serve amazing French fries which is why I keep visiting here. I had tried their Chinese and Indian menu and feel that their Chinese is better to taste. My personal favourite is burnt garlic noodles. The quantity served for all dishes are good for 2 at times a bit more actually. The ambience is pretty simple with a big screen to enjoy all the live matches. I have heard that their pizza is good and am yet to try that. They are not so great with biriyanis for sure and the service is a bit slow. 
In a nutshell, a pocket friendly casual dining place with decent taste and quality. ",4,"2018-09-30 12:57:23",118,770,0
"56058736","the soya souce is to much in soup",1,"2018-09-25 22:03:28",5,1,0
"39638836","VERY BAD! They are adding Non Veg even to vegetarian dishes. We were a team of 5 vegetarians. We ordered Veg Manchurian and Crispy Veg. We could sense the taste of Egg in Crispy Veg, we called the incharge. He was very rude and said its obvious that egg would be added in all the items there as it is a Veg and Non Veg restaurant which made no sense. He did not even apologize for mixing Non Veg but argued saying in entire city in every restaurant.. There wont be a single dish without adding non veg. ",1,"2018-09-25 13:55:53",1,1,0
"1146234","Glittery shimmery board at the entrance, just break it down.
There are no juices, chat and ice cream and shakes. Stupid place with an expensive face. Just why do you even show-off about something",1,"2018-09-24 18:45:19",30,180,0
"39838048","I was searching for a late night food court near Gachibowli at around 2.30am and found this place on zomato. I thought it was too late, so i may not be able to get a satisfactory munch at that time, but i was so happy after getting to eat a delicious chicken and prawns biriyani at that time. It’s a good place to have biriyani. ",4,"2018-09-19 18:42:02",12,24,0
"69818216","good",5,"2018-09-18 00:05:53",1,0,0
"68341369","I didnt receive the order",1,"2018-08-31 23:34:56",1,0,0
"311505","Being in the vicinity of Deloitte and opened late at night sort of gives them the license to charge whatever they feel like. 250 rs for chilli chicken/manchurian? Who are you competing with? China Bistro? Or the roadside noodle center? None actually, as this place has carved out a separate niche for itself viz. Being costly and absolutely not tasty. We charge you for being close to your expensive workplace. We charge you for your midnight hunger pangs. Absolute disappointment.",2,"2018-08-29 09:46:32",140,929,0
"37977182","It's an amazing place with amazing food. I loved it. Best part is the Oriya people over there. Such polite. I must say everyone should go and try at least, and people who loves food and are foodie they LL surely like the variety and combination of cuisine's.",5,"2018-08-22 14:46:16",3,1,3
"65850248","kirrak service",5,"2018-08-18 15:57:59",1,0,0
"4563231","As its name suggests! Its a multi cusine food court with a huge variety of food. 
I tried aloo paratha combo, tawa idli with chicken masala dosa, cheese pao bhaji, cheese paratha, gobhi paratha, kadhai paneer, butter chicken, chilli paneer and veg fried rice. 
I liked everything. 
Tawa Idlis, kadhai paneer and aloo paratha were my favourite. 
Its quite economical as well. 
Best suited for people working in Deloitte Towers. ",4,"2018-08-12 00:18:59",79,174,2
"46865782","Its just a casual dining place where you can get some decent food. Nothing fancy about this restaurant, no much ambience and service is little slow.Since its situated near tech park it attracts many audience and also being a food court you can all different kinds of food. Best choice of food would be roti and curry.",3,"2018-08-01 15:10:50",49,987,6
"43902313","would be better if you understand english",5,"2018-08-01 11:49:49",1,8,0
"53342705","please give description of the food items. no way of knowing how your Hong Kong fried rice would look like.",4,"2018-07-29 23:05:46",1,2,0
"61756525","super fast ",5,"2018-07-28 23:38:58",1,1,0
"46523317","ordered malai kofta..  it was worst ever kofta I had.. ",1,"2018-07-25 21:04:48",1,1,0
"47809409","good food",5,"2018-07-24 21:04:12",1,39,0
"51028194","super delivery",5,"2018-07-24 20:12:34",3,1,0
"10784361","Delivery boy was professional. Great",5,"2018-07-21 01:13:36",1,0,0
"2497812","quick delivery",5,"2018-07-18 22:40:50",4,0,0
"36163384","Fantastic",5,"2018-07-18 20:21:49",4,17,0
"54752163","not really good",3,"2018-07-18 01:22:49",4,2,0
"55113244","good",5,"2018-07-15 23:53:33",2,2,0
"45855122","good food..quick service",5,"2018-07-15 12:22:58",6,1,0
"59938960","noodles don't taste good",1,"2018-07-14 20:43:22",1,2,0
"5941351","This place is a life saver for people working on mindspace Rd, Gachibowli. It's ambience is super awesome. It has a super huge space inside with a big projctor aided screen to enjoy TV and loud music. It's a big yes if you are a big group and want to hang out for lunch and dinner.
Their Chinese is the best so far in all the food that I have tried here. And You do get all varieties of food and you won't be left disappointed. My personal favourite is the thick shakes that they provide.
But be mindful of the price. Though you will not be disappointed with the ambience but the food doesn't come cheap. Sometimes you would feel the items pricy.
My suggestion to them would be to improve their momo quality. I really hated them.
Overall, guys do go here and enjoy.",5,"2018-07-14 15:36:29",22,32,4
"60308426","very good",5,"2018-07-10 00:45:05",1,1,0
"53997612","Awesome service and ambience was really nice.
Taste wise i liked it a lot. Big screen music also is an additional entertainment.
Loved it very much",5,"2018-07-09 23:19:13",5,4,0
"34069324","Good place to hangout with friends, to watch Matches. If you're a vegetarian do try chilly paneer and/or paneer Manchurian. Friendly staff and ofcourse you have great food.",5,"2018-07-09 09:48:06",1,15,0
"31713798","Yummy yummy yummy i got love in my tummy baby. no less from a 5 starred hotel. Posh yet not pretentious. Jazz singer was amazing.. Chill place for hangout...
Good location for a cosy Lunch and dinner. . Nice ambience and decent service.
Overall experience was wonderful, totally loving it
Bestie love the food, service & attention",5,"2018-07-08 21:06:01",1,0,0
"31629478","Love the food especially the starters and also affordable u dont need to compromise on the taste and thinkshakes yammmireee ....different types of chat teams",5,"2018-07-08 20:22:58",6,39,3
"12222921","They will accept your order and will also tell you it's on its way. When you are about to receive the order and waiting for it, they will reject it. Unprofessional.",1,"2018-07-08 02:12:26",8,137,0
"54859369","good ",5,"2018-07-01 00:01:30",6,9,0
"38859277","no taste and also quality is also poor need improvements on quality and taste",1,"2018-06-30 03:05:21",3,1,0
"58093946","super fast delivery boy",5,"2018-06-29 00:20:56",3,0,0
"54019381","good boy",5,"2018-06-28 23:39:43",5,21,0
"36163384","excellent ",5,"2018-06-27 21:30:37",4,17,0
"53021958","food is very tasty",5,"2018-06-27 12:57:54",20,6,0
"40988755","regularly curd will be provided with any paratha... but it is missing .. don't know you provide it or not. taste is good",4,"2018-06-26 20:28:44",1,9,0
"52460036","food not delivered in time and the rotis are like rubbers ",1,"2018-06-23 02:12:38",1,5,0
"27347281","Ambiance (4/5): 
Open restaurant with an air conditioner. Big screen projector makes it perfect food joint for loners. 
Food(3/5): 
Hyderabadi Spl dosa:  No different than regular masala dosa. Schezwan paneer dosa: Spicy crisp dosa with grated paneer spread over. Aaloo Parantha: Very thick and less stuffed. Less salt in masala. 
Value for Money(4/5):
Service was quick and moderately priced place.",3,"2018-06-22 10:07:38",58,148,5
"39999810","visited Cusino few times, tried different kinds of stuff, few items like burgers and garlic bread are too good. But there needs to be a lot of improvement regarding the service and Management's interaction with the customers. I feel they are taking many measures to improve the overall experience. Should see how good can they improve. For now cheers to garlic bread,..",3,"2018-06-21 04:11:18",7,3,0
"43071562","I ordered the Mutton biryani..taste was ok and the mutton was not properly cooked.",1,"2018-06-20 12:33:11",2,1,0
"33411053","We Ordered Chicken and Kaju Biryani  from Cusino food Court .The food was fresh, properly prepared and a great value for the price. We highly recommend it. Delivery staff were extremely friendly and helpful. Delicious Dinner !!",5,"2018-06-19 07:18:22",1,8,0
"56541374","ok",4,"2018-06-18 22:17:47",2,1,0
"40602533","It's good",5,"2018-06-18 14:03:52",1,1,0
"35410631","I had the worst dining experience in my entire life.
I ordered Chilli garlic noodles, and after having 3-4 bites I couldn't consume any more, noodles were not edible.
I couldn't eat it. And the coke ordered was also tasteless. It clearly says to store the coke in the cold area & away from sunlight. Looks like they didn't know that.
This is the second bad experience I had at Cusinos. ",1,"2018-06-15 01:56:51",2,17,0
"33293211","we didn't received noodles as it is listed in the order, and delivery boy was arguing that he delivered the noodles",1,"2018-06-12 22:06:14",1,0,0
"56920541","I didn't get any lemon, onions n raita even I mentioned in order also very bad service",1,"2018-06-08 22:47:52",1,1,0
"9551381","Good food ",4,"2018-06-08 14:30:53",16,39,0
"34403078","This food court is pretty near to IT area in Hitec city. Easily locatable. We went on a weekday afternoon and found the place a bit dark, not very cool. Can make improvements on the whole set-up.
Food Options are good here with a blend of different cuisines.Veg Manchurian, Chicken Tandoori both were very good in taste.
Veg Fried Momos we're under cooked/fried. Couple of Momos were watery and could say this a pretty bad dish.
Main course - Kaju Curry was good but some what highly sweet. Can be spiced up a more. Chicken chettinadu was also good. Rotis and Butter Naan asusual. ",3,"2018-06-06 11:43:12",91,177,3
"44231594","Only Dal is good . Rest all food items are bullshit . They serve us cold chicken fried rice and when we asked for changing it they serve cold rice again . Very bad experience.",1,"2018-06-06 01:26:47",3,2,0
"36223848","I ordered two chicken biryanis. And it was delicious. I loved that food. I quantity was great too. I just wish the price was lower.",4,"2018-06-02 14:57:02",30,105,0
"47029125","Food took a lot of time for preparation",2,"2018-06-02 13:26:44",5,2,0
"900779","pathetic food",1,"2018-06-01 03:32:05",1,0,0
"701796","Non polite staff. They do not have a proper billing system in place, dnt know what kind of transactions they are dealing in and why could they not provide a bill to customer.
Food quality pathetic and so is the staff",1,"2018-05-28 23:19:06",1,0,0
"48736707","Management sucks. Especially the current manager is suffering from serious mental disorder. No proper table arrangement. They suck at organising. Half of the items are not available and available items are not served well. Terrible staff and rude response.",1,"2018-05-27 22:03:18",3,12,0
"39435386","The food quality has gone down considerably compared to a year. I regularly visit this place..atleast once in 2-3 months and food is usually good. But I can sense that quality is deteriorating every time i visited and today it was really pathetic. No balance in flavour and completely tasteless. Will never go this place again.",1,"2018-05-26 22:09:41",7,6,0
"44909659","Kadhai chicken is not good. There was no chicken pieces and the gravy was full of ginger garlic pieces.worst taste. It was a bad experience.",1,"2018-05-25 20:48:05",3,1,0
"55324380","Potato is biryani was smelling a lot i think I got the leftover biryani or may be they provided me bad one",1,"2018-05-23 02:05:17",1,0,0
"234205","I always like their food specially their chinese cuisine and rambo chicken biriyani. Must try..",4,"2018-05-22 23:18:05",3,83,0
"34598629","it was not the expected dish",1,"2018-05-22 22:20:50",2,1,0
"54922992","very good food",5,"2018-05-18 23:20:52",1,1,0
"55052167","the food no spisey",4,"2018-05-17 14:30:02",4,7,0
"54952859","Xcellent",5,"2018-05-13 14:57:32",1,1,0
"49930449","I am still waiting, it has been more than one year.",2,"2018-05-12 22:23:27",1,3,0
"49020930","Good ",5,"2018-05-11 22:38:50",2,13,0
"34653599","this is not pather Ka gosh and not sure why cusino did not send lemon. the boti kabab you send was extremely spicy that couldn't be eaten",2,"2018-05-04 22:19:09",4,0,0
"53013920","yes",3,"2018-05-04 22:10:28",2,1,0
"33712868","very good food. ",5,"2018-05-04 21:10:27",4,24,0
"53013920","good",5,"2018-05-03 21:41:27",2,1,0
