"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"27871838","Visited with some old friends for a buffet. Good set of starters, decent food and hospitable staff. Of the staff Mr. Amrit was very courteous and ensured that all guests are taken care of very well. Thank you ",5,"2019-05-18 21:54:53",7,5,0
"113014997","Had a lunch with two of my friends today,it was such a good experience..Service staff were friendly and polite,and service was excellent...highly recommended.",5,"2019-05-18 14:34:37",1,0,0
"1883970","This place has a good ambiance and is a treat for people wanting to take pictures but that's about it.
Went on a Sunday and there was no crowd at all. The AC was literally non functional which made it uncomfortable considering the heat outside. The service was on the slower side and the mocktails were underwhelming. Starters were brought to the table and while they tasted good, the pace of refills needed to improve.
I honestly liked the veg biriyani and the schezwan fried rice from the main course. The stone ice cream in the desserts section was worth a mention and that's about it.
It's expensive factoring in the food and service you get. These guys need to pull up their socks if they want really survive in a competitive environment. Could give it a try for the ambiance though.",3,"2019-05-11 21:28:41",106,634,4
"31037435","Have been to lunch with friends here today, first things, ambiance seems to be pretty good, i think people just carried on ambiance for this location. Serving is damn slow, even though not much of crowd in the restaurant. Price is pretty on a higher side, virgin mojito just tasted as mint lemon drink. We need to ask several times to serve, also when we for main course figured out that few dishes were not served to us which were part of starters, when asked, the same was brought later, Welcome Drink is the one which is served after several remainders and tasted bad. Desserts were not so great and not many. Felt with the cost that was paid this is not much upto mark. All in All pathetic service, you will literally ask 'n' number of times for food which is served on table. Not a wide range of dishes. Taste not so great especially with mock tails. Totally disappointed",2,"2019-05-08 17:15:09",14,5,0
"39569012","Beautiful ambience. The vintage look took me back to some good old days. The food was okay but they take quite some time to bring in the order. For instance, 30 min for a glass of Coke? We had been here for dinner and it took us a while to figure out that both urban Asia and Eat India company are together. The staff didn't attend us for a long time. I gave the 3 star for the ambience and the experience I had with the people I went with. ",3,"2019-05-04 14:01:36",25,12,0
"39137427","Instagram | veganyums_
Drop in to this place with my partner for lunch,.They have zomato gold 1+1 food offer.. Ambiance is pretty authentic more like village and antique piece were drawing my attention....liked the quotes on pillars..
In starter, we ordered Kaju aur bhutte ki seekh which was too soft that break in small pieces.. Actually the consistency was not proper so could not take a bite properly.. Taste wise it was little bland so, there was only cashew taste I could feel..
In main course, we ordered Patiala Shahid paneer
Which was one of their signature dish which I was expecting to be good in taste..but again I disappointed with the taste it was normal onion tomato gravy and consistency of gravy was thin instead of creamy..Ajwain paratha and naan was good in taste
My experience was not so good..plus, staff members were not aware of anything regarding dish..",2,"2019-05-01 15:45:28",148,2104,5
"34884988","Instagram | veganyums_
Eat India company has a sharing kitchen with urban kitchen. Interestingly, in eat India company, they also gave the urban kitchen's menu. Ambience is pretty good that has cobination of modern furniture and ancient India decorum.
When we reach there, we asked waiter to suggest their best sellers in starters and main course. Very disappointed with the kind of knowledge they have about their dishes. They were not trained enough to speak confidently about the items mentioned in the menu.
Finally, we ordered kaju aur bhutte ki seekh in starter. The order arrived after 15 minutes. Plating looks good but tastewise, it was well below average. The stuffing was too dry, even with the chutney, it doesn't taste good.
In main course, we had patiala shahi paneer. Quantity was enough to serve two people, but again, don't expect the taste. Curry was too ordinary with lot of Curry leaves in it.
After having such a horrifying experience, they included 5% tips for their waiters. Think before you visit this place. And in any circumstance, if you are visiting, beware of this waiter tip and you have right to remove it from your bill.",2,"2019-04-27 14:00:26",100,1210,7
"2517906","Best one to try for, had Ala-Carte and starters were too good with decent quantity and good taste. Prawns and Fish items are must try here which anyone would fall in love with. Looking forward to try Buffet too",5,"2019-04-26 09:43:45",3,1,0
"1743313","It was a good experience. Could improve on the quality of the starters! The prawns were amazing and the main course was good too. Could’ve been better if they changed the menu of the desserts ",4,"2019-04-23 18:19:07",1,211,0
"36183539","Ok-ish food and price and taste doesn’t tally. 
Ok-ish ambience 
Not so great place to sit and have a chat, as it also combines with Tiki Shack and Urban Asia under one roof you felt that I was sitting in some crowded place",3,"2019-04-21 13:48:52",5,2,0
"697871","We had specially requested the waiter to make the paneer dish less spicy .But the dish turned out to be just the opposite .To top this we get a wrong bill to pay :).Mostly our last visit to this restaurant,neither will recommend .",1,"2019-04-13 21:22:03",1,11,0
"29205968","Great place to hangout with friends and colleagues..
Lot of options with the menu and delicious too...  Service was also great..
Only issue was with the parking.. ",5,"2019-04-01 00:53:41",10,8,0
"30532258","The buffet was not to impressive so we ordered from menu.
Can go for a change but definitely not frequent visits
Food 2.5/5
Ambience 3/5
Service 2/5
Food option for Vegetarian 1/5
Overall 2/5",2,"2019-03-18 16:24:55",19,1,0
"2656702","Happened to visit this place for dinner on last Sunday. The ambience is amazing with decor pieces from Rajasthan. They have used various elements in a smart way. We opted for a dinner buffet. The variety of items in the buffet were good. But starters were served cold on the table. This place is decently priced. I personally loved the Thai soup, chicken kabab, butter naan and dal. 
Food : 3.5/ 5
Ambience : 4/5
Service :4/5 ",3,"2019-03-17 19:01:40",7,6,1
"46072191","I love this place in Gachibowli. I have been here several times now and the quality of food is amazing and the staff are good.
I highly recommend this place and just above this we have tiki shack.",5,"2019-03-09 15:37:00",12,4,0
"30753091","Me and my wife are foodies and we went there for lunch. We went for ala crate , and ordered Murg Badami Shorba. It was delicious. If you visit the place you should try it. With Shorba we ordered Malai chicken tikka as starter.
The chicken was soft, and it was delicious.
For main course we ordered zafrani Murg. This dish was again delicious. The spices were right.
I would go there again.",4,"2019-03-04 22:05:08",4,56,0
