"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"32653827","With the kind of price they have for the buffet, I would call this as my worst buffet experience ever. The vegetarian people I had accompanied had nothing to eat at all. There was not even a single paneer starter. And for non-vegetarians, there was nothing except chicken being served.  We don't expect such food for this cost and venue.",1,"2019-05-15 16:31:23",3,25,0
"30497094","We went for a lunch with our team, and all of us were truly disappointed with the food and the service as well. For vegans, they had just 2 starters.. the food did not had any taste, it was more like just things being mixed without any skills. Desserts were little better, but main course was completely disappointing, be it the dal makhani, which lacked consistency, or the paneer, which was like cubes poured on top of the gravy. I certainly would have tasted better food than this at pretty lower costs.",1,"2019-05-15 16:27:45",16,46,0
"35272596","Ordered chicken biryani, chicken chilli and cheesecake . Chicken biryani was good but the cheese cake was beyond amazing. It just melted in mouth.  ",4,"2019-05-03 14:05:22",28,33,2
"48006173","Where to start!! This place is really awesome. Especially their hospitality, how the treat the diners is worth making a point. And this place is best when visited on a Sunday. Ambiance, food, pricing are all perfect. You should never minis their desserts as you'll not even have space for all the desserts in place. We visited this place on our friend's birthday and they surprised us with cute little cakes and birthday wishes. Will soon visit this place again. ",5,"2019-04-30 22:37:04",62,84,7
"38194701","Went for lunch buffet,little disappointed with the spread, at this cost expect little more options. Taste was okay some of the items were good others were ok ok.
Overall 3/5
Ambience 4/5
Food 3.5/5
Value for money 2/5",3,"2019-04-29 22:58:02",20,10,0
"87796412","I had the pleasure of having breakfast, lunch and dinner here at various times for an entire week and I was simply amazed to experience an entirely different level of hospitality and customer delight at this place! The staff ensure that they have a great connect with all the guests and cater to even the tiniest of the guests' requirements. I tried the A-la-carte menu as well as the Buffet here and loved every bit of the food that was served. Chef Chinmay Panda, Chef Abhay Kumar Sahoo and Ms Hema were the perfect hosts every time! There was an instance when the Chef inquired about our food preferences and specially prepared French Toast and mind blowing Idiappam for us! Once they knew that we were checking out from the hotel that day, they specially got us a pastry with the words 'Bon Voyage' engraved in chocolate on the serving dish. They even took a photo with us for their archives. I was completely overwhelmed by such a warm gesture and fabulous fabulous hospitality! Best of luck to the team at Feast and hope you scale greater heights in maintaining such high level of customer service!",5,"2019-04-23 23:09:56",20,0,6
"52953372","We visited for Sunday Dinner! Awful experience..Food was all cold without any taste..though staff was courteous and tried to compensate by good behaviour but all in vain when food is not good..",1,"2019-04-16 21:39:17",1,1,0
"30934972","As the name goes it is actually a Feast to have. Starting with the food, they have a lot of variety and everything is worth tasting at least. The variety of salads is different and delicious. The main course is really good and specially the Dal Makhani. And all my rating goes to the desserts. They are plenty and you can’t get over each and every item. Definitely a place to over eat . ",4,"2019-04-11 17:02:30",23,9,0
"7294101","Mahesh , Hema are very good at service 
should improve the spread 
Taste was okay 
Not great 
Expected a lot from Sheraton but on the whole was fine ",5,"2019-04-09 22:50:51",1,67,0
"34691479","One of the best buffet I have ever had. Starting with the food, there is so much variety and each and every thing was super yumm. They had lip smacking main course items. Dal makhani is simply best.
The best part is Desserts. There is so much variety , that you can't have it all and the greed for it will not satisfy.
Must try place though a little high on pocket.
And the service is also good. Loved it😊",5,"2019-04-07 20:11:08",88,187,0
"4064611","Location: It has a prime location being located in the heart of Financial District beside the huge ICICI Towers.
Hospitality: Couldn't have asked for better.
Ambiance: Perfect!
Food: Now comes the real part, 
I went on a 10th of February 2019 and they were celebrating Avengers then. People in Thor & Captain America costumes with desserts all being prepared according to the theme gave us a cheerful theme to feast on. The wide spread of the food with varied cuisines and live music just made my day. Chat corner serving Pani Puri and various types of chats, Fish Poppers, Spaghetti, Biryani, Tikkas, Naan, Roti, Chicken curry and a long list of sumptuousness makes me go again. 
Frills: So on that specific day, there was a photographer who clicked everyone with the superheros and gave us a print of the same, which was such a delight.
Thanks for making the experience special.
P.S.: It was all worth",5,"2019-04-02 14:02:50",51,3370,13
"92005881","The name itself is very famous through out and had a chance to visit this place and then belived why is it so famous through out.
.
.
The ambience is just awesome with beautiful mild lighting and all peace around with decent people coming over and a great staff with amazing time to time service and to to forget the pleaseant music running in the background.
.
.
Really enjoyed my time during the visit and would love to visit it soon again.
.
.
Must must visit this hotel.
.
.
RATINGS
Place-5/5
Ambience-5/5
Service-5/5
Food-4.5/5
Overallrating -☆☆☆☆☆",5,"2019-03-27 22:23:42",23,26,1
"16515184","Buffet is good, though expensive. Great service and well spread food range. Decent ambience. Especially try out their Sunday brunch or special buffets during festival time. ",4,"2019-03-16 12:17:12",29,11,0
