"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"80571944","I order a Paneer Tikka Mac n Cheese, and essentially got a bunch of corn and jalepenos dipped in white sauce - without a single piece of mac or paneer. I ordered something to eat, not a soup. It is one thing to send bad food, and entirely another to send inedible food. Absolutely not acceptable.",1,"2019-05-10 20:12:12",1,1,0
"1284857","So , this is a review program and I had ordered corn and pimento Lasagne and Bombay masala quesadillas.
The lasagne was packed in an amazing manner and it was hot for a pretty long time after it got delivered to my place.
The taste was also good and its definitely a must try.
The quesadillas was also perfect in taste and I loved the way it was packed and delivered to me.
Overall I really enjoyed having both of them and is definitely a must try. Cheers ",4,"2019-05-02 15:18:11",106,1035,0
"2571704","Great place for having don't good Italian.
The lasagna is a personal favorite. Cheesy and soft with nice, succulent chicken.
+ great desserts too",5,"2019-05-01 15:53:34",124,370,1
"16142730","Tried the Peri Peri paneer steak and the corn lasagne.
Paneer steak - The paneer was roasted very well and was tasty. I could eat it separately too. It came along with some exotic vegetables and some chutney and rice. The rice were a little dry, but they chutney added a tangy taste. It was overall good but a little dry.
The corn lasagne was perfect!!! The taste of the vegetables and perfect amount of cheese on the top. Loved it! It felt like it was baked for the right duration. Though from appearance i could only see cheese, but beneath their layer was a well cooked lasagne ❤️❤️
Looking forward to try the other things on the menu!! ",4,"2019-04-27 08:15:12",166,977,2
"39997861","Such a horrible restaurant! Just keeps cancelling orders and does not even refund... Some service I must say... They keep showing as ready to deliver in your area and then keep cancelling",1,"2019-04-19 20:27:59",2,2,0
"29177847","Ordered paneer tikka & fried veggies Mac and cheese pasta. Taste wise it was really good but the quantity was very less for the money. I didn't find any paneer tikka or anything of paneer sort in the pasta. The complementary bread sticks tasted and smelled very bad and it was so oily. Little disappointed with the service as no spoons or tissues were given. Expecting a better service next time. Cheers 👍",3,"2019-04-12 21:28:06",18,69,1
"34115275","I do not write a lot of reviews but feel like sharing. I often order lunch and have gotten a couple dishes from Firangi Bake. So far I am very impressed. A great fusion of Western and Indie works for me. I love Indian food but sometimes miss something Western and this captures both. I highly recommend it and the next time we have Western visitors I hope they will be prepared for some large orders. 😉",5,"2019-04-11 12:03:12",4,8,0
"1262558","Wat more fun than getting delicioys food at doorstep. I ordered food from this firangi bake : Paneer steak peri peri meal and chicken kheema quesadilla and trust me the meal was fantastic! The taste was good and the paneer was very soft.
One thing i wanted to let know that they need to inprovise a lil on the quantity rest was good greatly packed and served! ",4,"2019-03-22 12:12:45",51,230,0
"34774600","I discovered another amazing restaurant to order food from - Firangi Bake! 😍 Wasn't expecting the food to be that good honestly. I ordered a butter chicken Mac n cheese and a green apple swig (soda drink). I received the parcel and was impressed by the way of packing. Opened up the parcel to find my food hot and ready to eat. It also looked amazing. And when I took the first bite of it, it rolled my eyes up. That's the kind of food you would want to eat. 😍 The quantity was good for one person to eat and feel heavy in the end. But really really loved it. Would definitely order from here again when I feel like treating myself with some more tasty fats! 😋",5,"2019-03-18 11:29:33",22,161,0
"30460270","With the zomato review program ......i got a butter chicken mac and cheese and a veg lasagne .....both of them were fantastic and the right mixture of cheese veggies and ingredients was the magic of the taste .....they were so kind that they also sent a choco lava ....right desert for the right time",5,"2019-03-03 22:18:39",77,100,0
"15102371","Have received a pack of 2 dishes, i.e. Masala chicken Quesadilla and Tuscany meatballs lasagne for tasting purpose from this outlet.
Masala chicken Quesadilla was one of the best Quesadilla I had in recent times, full of big chicken chunks and veggies. It was having right proportion of sauces and cheese. Really amazing in taste.
Tuscany meatballs lasagne was decent one, it was more of dominated by tomatoes. Which would have been more filled with cheese and meatballs but it wasn't the case here. But tastewise it was decent. If the amount of tomatoes would have been decreased it would have been great.",4,"2019-02-09 09:20:16",362,4095,1
"15100411","I ordered food at 9:20 pm and the restaurant cancelled it at 11:00 pm ! After one and half hours, they realised they cant serve a customer. This after I called the restaurant and they assured of delivery. ",1,"2019-01-25 23:13:12",19,268,0
"20546164","did not recieve what I ordered",1,"2018-11-23 00:11:32",10,3,0
"46677550","Honestly If you want to get something baked which I'm not happy with the menu I just looked at, I personally not recommend you to visit here .. Though it's a fasoos brand but despite being in a good zone.. I wasn't much satisfied with it .. I hope you'll look after it",3,"2018-11-13 12:46:32",38,556,1
"40351628","I am really impressed with the packaging they do while delivering their orders, it keeps your meal warm and gives you a different level of hygienic feel.
Lasagna was good and the quantity was just apt to fill your tummy. Roll was average and the taste was not that upto the mark.",3,"2018-10-05 17:04:29",79,229,0
"33905377","I ordered from this restaurant a couple of time ..both veg. And I found that the quantity is low for its price but the taste was alirght so i choose to ignore it. But recently I ordered chicken steak for a friend and what I received appalled me. The Chicken Steak was about 270 rupees and I attached a pic of what we received below. I been to some really nice restaurants where I had amazing food for far lesser prices. But this is just wrong. My current rating is for the value for money. The quantity is just sad.",1,"2018-09-20 10:52:51",97,97,1
"133955","#Food Review program
I was sent food from Firangi Bake for the review program and I thouroughly enjoyed it. The Corn and Pimento lasagna was really good and very tasty. It was very creamy and was delivered hot. Tandoori kukkad pot rice tasted wella dn teh chicken was very well cooked. Although there was a layer of cheese on top of the rice which I'm, not a big fan of. For a second I got confused between the lasagna and the rice. The quantity was per serving pretty less for one person. A special note on tehir packaging which was really good and the food was delivered pipping hot.
Ambience: NA
Food: 4/5
Service: 4/5 (Delivery)
Value for money: 3/5",4,"2018-09-15 16:25:45",90,532,0
"16470595","Lasagna is one of the best from Firangi Bake. Filled with olives corn and baked to perfection. Also tried their chicken quesidella which was equally yum. ",5,"2018-09-02 15:52:28",39,150,0
"33536593","~ by INVITE ~
As part of the review program by Faasos group, I had the opportunity of ordering from all 5 of their outlets serving up different cuisines and courses. My favorite of the group was Firangi Bake. Named aptly, what comes out of this kitchen is truly Firangi:
🌮 MASALA CHICKEN QUESADILLA (230) -
The best item of all the food I tasted. The bread was fried instead of being baked and it wasn't something I'd expected. Delicious and tangy minced chicken keema was stuffed inside. Apart from it being oily, it was perfect. A good Indian take on the classic Quesadilla. 👌🏻😋
🍝 MINCED CHICKEN LASAGNA (300) -
One word that comes to mind when thinking of Lasagna is greasy, and this was just the same. Thick and stringy cheese topped on layers of minced chicken, lasagna noodles and authentic tasting tomato sauce. Baked and cooked well, again just too oily/ greasy.
I would recommend Firangi Bake out of the 5 outlets of Faasos group, although the food is slightly pricey, items are unique and rare. Once in a while definitely won't hurt. 😉
Here is my overall SCORE:
Food - 4.5/5 ⭐
VFM - 3.5/5",4,"2018-09-01 00:23:45",145,3376,3
"2332936","Good delivery packing.
Tried Bombay Masala Quesadilla and Roasted Vegie Pot Rice and found both to be different and unique cuisine all together. I like the fact that they are offering a unique variety, while it wasn't that great as traditional tastes (I might be biased).",4,"2018-08-31 23:44:19",60,319,2
"782491","Ordered bombay masala quesadilla and roasted veggie pot rice.
The quesadilla was very tasty and fills.
Package was neat and delivered in time.
Liked there menu and logo
Keep it up Firangi Bake.",5,"2018-08-26 15:28:41",64,85,2
"12089911","Ordered Tandoori Kukkad Pot Rice and Minced Chicken Lasagne from Firangi Bake for home delivery. One word about the Tandoori Kukkad Pot Rice, amazing! A flavour and taste so different and fulfilling. I wish the quantity had been a little more. The Minced Chicken Lasagne was pretty good. I personally liked the logo of Firangi Bake and kudos to their neat packing of items. Great taste at a reasonable price delivered to your doorstep. ",4,"2018-08-25 17:55:02",183,741,1
"48006173","Tried minced chicken lasagna and tandoori kukkad pot rice, the texture of both item seemed to be similar as both of them are covered with a layer of cheese. The lasagna, i didn't not feel the taste of paste much because it had thin sheets of it. Minced chicken was good. They were a fusion of Italian and desi cuisines. The rice and chicken were well mixed but the rice seemed to be little dry. The cheese stuck to the walls of the aluminium and that's the reason I'm not giving a 5. I highly recommend to eat these when they are still hot. Overall I liked the experience. ",4,"2018-08-21 17:19:16",62,84,1
"56641753","Really enjoyed the mac and cheese as well as the raspberry shot. Quick and on-time delivery by T Mallesh. Restaurant had a promo running so I saved Rs. 100 on the overall price as well.",5,"2018-08-19 22:03:31",1,2,0
"32407253","costly for the quantity but good food ",4,"2018-08-11 21:53:15",2,3,0
"27308275","Ordered chicken masala quesadilla and kheeme chicken quesadilla with tandoori kukkad pot rice. The quesdillaa very tasty and too heavy also, could not complete both pd them. Tandoori kukkad pot rice was average because o felt it was too hard.
For more details and posts, please visit :
LETSEATHYDERABAD on Instagram & Zomato.",4,"2018-08-06 23:19:30",109,1806,2
