"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"46901245","Thank you so much heaven's cake this is exactly what i wanted❤️ The taste was super yum,and perfectly done 😍 thanks for making it special..",5,"2017-10-09 13:07:04",1,5,1
"45770702","Cakes that are extremely delectable and prices that are totally worth it. This patisserie is going to give all the others a run for their money and for heaven's cake is always gonna be my choice.",5,"2017-09-24 01:16:30",2,3,1
"44423400","I couldn't thank you enough guys,
Thanks a lot for making this on a short notice 
You guys made it memorable!
The texture, the taste.. Everything is impeccable &hearts;️
You're a great pâtissier sadaf 💯
Looking forward for more such amazingg cakes.
More power to you guys, stay blessed.",5,"2017-08-21 19:27:49",1,25,2
"38390834","GG guys they did it in great way and taste is awesome..just come up wid ur idea and share wid them they will deserve it  ty for making it 😃
..........................",4.5,"2017-08-13 15:47:39",6,10,3
"32663630","Best moist and fluffy cakes you can ever get, the owner was very cooperative and even in short notice they have done an amazing job !!Only one con: Packing could have been more better. ",4,"2017-08-12 11:24:53",3,0,0
"44732557","WOW! is what I said when I took my first bite, this was the best cake I have ever had. I wanted a specific theme for my friends birthday and Simraan Khan came up with few designs and showed me. I selected one of them and they showed up with exact same cake theme as I wanted. It was looking soo perfect , not only the design but yeah cake was yummy 😋
*For Heaven's Cake* you guys are doing an amazing job.
More than 5***** for you guys ❤️",5,"2017-08-08 23:01:30",1,1,1
"3177513","I have ordered a cake, the taste was very delicious and everyone at home just loved it ❤️ 
Consistency was perfect 👌Sadaf Hassan Will keep ordering more n more thank you so much 😘😘
All the best keep sharing sweet love to everyone with your cakes ",5,"2017-08-07 15:26:01",2,1,2
"44027643","It's delicious No doubt in it ❤️. If you are living in Hyderabad and wanna try good stuff, you may find it here . Try all but get the best only at for heavens cake ",5,"2017-08-02 14:53:34",1,2,0
"1966514","lovely pastries, and the cakes look amazing.... pastries and cup cakes were soft and fresh and none of the flavours went overboard in taste.... ill definately order more in future",5,"2017-08-02 13:07:41",13,141,0
"31254158","Good historic fab angaar very  good  to have here i always  support my bro simmu bhaiya 
And every single person should come here nd try it  this is the best this i ever seen 😉😉🤘🤘❤❤❤",5,"2017-08-01 15:00:41",1,55,0
"44297206","The cakes here are hands down the best.!! If you're looking for an amazing look, taste and reasonable price, this place is where you should order from. Highly recommended. Their team is spectacular! ",5,"2017-08-01 14:48:19",12,9,2
"29899797","This definitely is the best place in Hyderabad to order cakes from. And they ensure you are never disappointed of the taste or texture. Not to forget the team is really awesome. ",5,"2017-08-01 13:59:31",1,92,0
"1661607","Its been a while i had a quality and yummy cup cakes !! Heavens cake have set a standard!! Finally there is proper dessert place in hyderabad !! Loved the place !! ",5,"2017-08-01 10:49:56",1,1,0
"44434940","Yummy😋..good quality of cakes..best of cake joints in Hyderabad..a must visit to d ""HEAVEN'S CAKE""🍰🎂😍..a best place to b with family n friends..",4.5,"2017-08-01 01:16:04",1,5,0
"41446498","I have a sweet tooth and whenever I crave for any kind of dessert I order from this place because this place has the best muffins and cupcakes!! Everything I have ordered from here so far has tasted sooo yum. A must try for all those with sweet cravings out there. ",5,"2017-08-01 01:13:44",2,1,0
"36215536","The service and the sweets were nothing short of amazing! I can easily recommend these treats to both friends and family. Look forward to indulge again on vacation! ",5,"2017-08-01 00:36:16",1,0,0
"44434160","The cup cakes is amazing and would recommend people try it and not miss it...unfortunately as of now it is only orders but waiting for the place to open as well and also which will suprise your loved ones with those tasty cup cakes which is amazingly awesome and with a lot of varieties and flavours which u would prefer to choose..",5,"2017-08-01 00:34:01",1,1,0
"44434474","Best. Cake. Ever!!!! Heaven's cake created my vision better than I even envisioned it! Unbelievable! Excellent customer service. Efficient. Professional. Patient. I can't say enough good things. Thank you Thank you Thank you  heavens Cake Box!!",5,"2017-08-01 00:26:13",1,0,0
"476752","Brilliant cakes and pasteries that can make you drool over and over again 
Perfectly crafted with the best ingredients and flavor used 
Will definitely come back and suggest all ",5,"2017-08-01 00:20:53",1,213,0
"16241434","If you want cute cakes that taste yum.  This is the place.  The owner / Baker Is very sweet and their kitkat cake it amazing.  And if you are a fan of rainbows and unicorns then this is the place you must order your birthday cakes, and anniversary cakes or no occasion cakes from!!!!  😀",5,"2017-07-31 20:26:37",39,270,0
"32323613","I recently ordered a box of 20 cupcakes from here and was completely satisfied! The vanilla and strawberry cupcakes were amazing and so were the chocolate ones. Will definitely order again! 👍",5,"2017-07-31 19:36:08",1,43,1
