"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"29216105","Order itself is not delivered. Appalling delivery method. If you guys are not able to handle this delivery scene, leave it to the others. I think you are better in reviewing the cafes only.",1,"2019-05-03 01:49:40",2,15,0
"37676965","Ordered a crunchy kit Kat sensation and Was surprised to see ice cream with Oreo. On asking he showed me a tiny piece of kit kat which is not more than a cm as seen in the spoon. Really disappointed and guess what there is no customer service and the franchise guys were arrogant as well . Not ordering any more from frozen bottle . ",1,"2019-04-22 22:57:21",1,12,0
"34462202","Ordered belgian chocolate scoop from frozen bottle. It was really good. Restaurant serves till very late in midnight so its perfect for your late night craving for ice cream. Price is marginallyon higher side. Looking forward to try different varieties from this place.",4,"2019-04-12 02:49:28",5,4,0
"39819841","While trying out different places online to order ice creams from, I came across Frozen Bottle. It is mainly known for its shakes, but I happened to order the Belgium Chocolate Ice cream(Double Scoop). It was really rich and creamy with the perfect amount of sweetness. They didn't have options for customization on Zomato except for the scoop size. So, I added the dry fruits myself! But even without the dry fruits, it is really tasty. Make sure you try this out.
Quantity: 4/5
Value For Money: 5/5
Will surely try their shakes soon!",5,"2019-04-02 20:45:22",18,41,2
"1226217","Its cute little place which is open late night...visited with friends after a dinner...ambiance is awesome all of my friends started taking pictures which is very rare for only boys gang.. all of the shakes we tried were good...guys at the place were very friendly..would definitely visit them again.! ",4,"2019-03-26 22:36:10",29,66,1
"54372212","This frozen bottle hotel is near dlf building only.I drank caramel kit Kat milkshake it's good to taste and it is costing around 199rs and you get 300ml.The bottle of this milkshake is very beautifully designed.The ambience is very good it's a small hotel but it's looking good.I have added some more pics here you can see it.I went at evening time they were no waffles and sticks at that time.Only at the night times they are providing waffles.And other things are available here.
Ambience:5/5
food:5/5
Next time we will sure update the taste of waffles and sticks when I go at night time.",5,"2019-03-25 19:49:31",58,2003,0
"36495441","Absolutely loved their nutty choco jumbo cake in a jar. Beautiful glass jar packaging and chocolicious taste. It's quite rare to enjoy a chocolate delicacy without the sweetness overcoming you. This one is gonna be my guilty pleasure for sure!
We ordered their mango shake as well which too was equally delicious. Definitely ordering or visiting again! ",5,"2019-03-23 05:51:06",140,362,3
"2026080","Received this (see pics for liquid icecream from frozen bottle) on ordering their best selling item Melting pot. That sure looks like worth paying 250 bucks huh?
Trying to speak to Zomato nowadays for any issues , is like speaking to a wall. (See attached screenshot of chat as well). Just hope they publish this review at least.
I'm so done with online ordering from Zomato.
And thanks Frozen bottle for such amazing service the first time I ordered from you.",1,"2019-03-13 23:59:40",21,109,0
"948087","I was shocked to see the size of the jar, it was a tiny one. The quantity and quality was worth not more than 50 rupees and they charged 250 for that. It was an unfortunate order.",1,"2019-03-10 01:39:08",6,0,0
"72416600","I ordered banana split and it was really really awesome.
Happy dessert to have after a light dinner. The ingredients were soo good and fresh.",5,"2019-03-02 22:17:40",1,0,1
"61128343","This has became my favorite place for shakes. They have wide range of shakes and icecreams with all unique taste.
We ordered chilli chocolate and kiwi crush. Both were totally yumm",4,"2019-02-24 10:24:59",92,749,3
