"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"67438951","This was the second worst experience i have had with indiblaze. After looking at the enormous rating provided by zomato to this restaurant I decided to order a grilled chicken mini bowl. The very first byte of food was so dissatisfying I couldn't continue Eating it. The misguided chicken mini bowl was as cold as ice and filled with nothing but lettuces and salad, there were hardly any pieces of chicken. I wonder if they have a stock full of red chilli powder, thanks to it which contributed to my stomach pain.
I didn't expect them to disappoint their customer in such a way.
Precisely if I have to say i got a bland,cold, tasteless salad in an overhyped price.",1,"2019-05-11 14:12:47",1,1,0
"29098695","This was the chicken wrap i reveived. Ordered for whole wheat bread, but it really didn't taste that way. There were 5 layers of bread and ONLY bread. Saucy and with some old chicken filling. Worst wrap i have ever had. ",1,"2019-05-02 13:18:42",15,6,1
"83295755","I ordered Paneer Biryani from Indiblaze. I had awesome experience, the food was very tasty and hot. Quantity and quality of the Biryani was very good. I loved the food and the price as well. Price of the Biryani is very nominal and with Zomato it's even cheaper. Thank you Zomato and Indiblaze.",5,"2019-04-29 16:06:50",9,1,0
"37965591","Ordered food online from zomato. Besides the spillage, the food was very watery and paneer was sour in taste. Will not order from here again.",1,"2019-04-24 19:55:31",7,1,0
"274006","Seems like the order they receive for delivery with instructions are read by illiterate people
After having repeatedly instructing to not make the food spicy. They intentionally give spicy food. After having called them and telling them to make the food non spicy, they are dead enough to not hear that out. Pathetic service. Food that is spicy enough to be good for third degree torture. Ignorant staff. Pure let down.. this is the maximum love I could give this filthy restaurant.",1,"2019-04-09 21:57:12",15,12,0
"15219091","Got a great salad and porotilla courtesy mr Naresh. Thanks a lot! Delivered personally by their staff since it was a holiday today for delivery boys. Great customer service I hope this stays like this!",5,"2019-04-03 20:36:00",5,128,0
"32732516","I ordered a lunch from here. Rice wirh kidney beans and chicken.
Honestly saying I liked it. But didn't love it.
They can definitely improve upon it.
But the order came super fast.
So guys if you wana get a super fast healthy meal. Indiblaze is right up these for you.",3,"2019-03-30 14:51:47",135,419,0
"57398630","Ordered the mini chicken bowl. What I got was a soggy mess with a ton of lettuce. If I wanted a salad I would have ordered one. Please take down the deceptive pics!!!!!!!!!!!!!!!!!!",1,"2019-03-25 21:18:04",6,1,0
"35514350","The best salad type restaurant in nearby hitech city and gachibowli.If in case you don't like salads do have the amazing biryani they serve along with the sour creame which is yum.Paneer biryani here tastes amazing.",5,"2019-03-19 12:40:09",63,142,0
"29563466","I just love the Mushroom and paneer bowls from here!!! I have never been to the place ,but ordered many many times . I just wish that u add some more cream to the bowl as it's spicy 😅!!",4,"2019-02-13 14:18:05",9,72,1
"4591461","worst food. I ordered today and the quality completely dropped. It was good earlier. today its worst and the food is preserved not fresh one. Here is my order number Order Number: 1507604601",1,"2018-12-27 15:09:00",1,0,0
