"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"41390184","Worst service, food is not good. And people are not polite here. Very slow service. Not preffered for professional parties. Only appearance is good",1,"2019-05-17 14:41:53",1,1,0
"66582058","This is my third time visiting this place..
Good ambience for couples..
Food is absolutely amazing..
HIRAK the staff member is impressive with his attitude and friendly nature..
Good place for weekend partying ",5,"2019-05-14 23:32:11",1,0,0
"58225327","Music is good, Dance floor is quiet big. Staffs are very friendly. Drinks are cheap and good. Do try veg Manchurian as starters it was mind blowing.",5,"2019-05-14 09:24:25",2,3,0
"33221076","Place is a bit small and the music is too loud. Ambience is ok. Food is good and they have a very courteous staff. The rates are quite resonable.",3,"2019-05-08 10:40:30",6,30,0
"52694742","I like this place as it offers quite good buffet with better options and at reasonable price and quite near to my work place. Drinks prices are some what reasonable",5,"2019-05-04 13:10:15",20,2,0
"551597","Been here with the team .. felt that it’s a not a place for buffet.. in starters only chicken wings was good .. in main course chicken biryani was good..desserts was ok..",3,"2019-05-03 17:46:09",38,14,0
"62979977","Nice place to hang out on a weekday with your colleagues. The orders get served quickly and service is courteous. Good choice of music as well, so overall a place I would definitely visit again.",4,"2019-04-29 23:59:38",3,0,0
"16174233","The name is so appealing that when we saw it,we were like, yes let's go.
Because all of us just looovee the movie 😁
But also because it's on a busy roadside. Very convenient location.
It was Wednesday and had a ladies night I think. But as you know, gold can't be availed with ladies' night privileges 😔
We got seating very easily. Don't know of that was a good thing or bad, because the place was very empty. Only 2 other tables were seated I think.
Ambience is okay.. music- can be better. Cocktails were good. You can actually tell them to do some tweaks to your drinks as per your likeness and they would do it.
Service- can be better. was slow , when you look there were very less crowd.
Food is very nice. Pocket friendly place.
Hope next time I get to see a good crowd and good music",3,"2019-04-29 00:41:09",47,143,0
"156205","So now this has left me with no option but to write a review after coordinating with the manager Mr. Rounaq Ali to get my 678 + taxes INR back for the incorrect billing. I made the payment for a total amount and when I got back home realised that the bar used my Zomato gold coupon but didn't apply to the final billing. Utter disappointment. They need to ensure that they don't do an incorrect billing as everyone has trust. Sorry to say it failed here.
K",1,"2019-04-27 19:57:40",5,32,0
"30770089","Definitely recommend their kebabs n dance floor used to be one of my favorites. Their service is prompt and it offers decent mocktails. However I would love to see some signature drinks on the menu. Definitely recommend.",4,"2019-04-27 17:36:25",344,975,0
"47050884","Food here is really good, but only problem is the lightning, it is directly above you and becomes annoying sometimes.
But in all i had a good time there",4,"2019-04-27 08:10:47",7,31,0
"2721394","I had visited this place for their lunch buffet which is priced at Rs. 499 + taxes. They had 3 veg starters (paneer tikka, Hara bhara kebab and Spring roll) and 3 non-veg starters (chicken tikka, fish 65) and also an elaborate main course. For the price that they offer the food is pretty good and definitely a go to place if you want to enjoy a buffet.",4,"2019-04-20 16:54:08",87,369,0
