"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"41712487","Lovely ambience. Felt relaxed. Service could be more prompt ....
The roof top besides the pool and the entire view of the city is mesmerizing.",4,"2019-05-18 11:26:13",4,2,0
"1738317","This intimate and cozy restaurant is located in the Gachibowli area .  The service is quite good, with all servers being polite and efficient .  Ambience of the place is breathtaking and perfect for having group , corporate events or a romantic evening.
This place is so good, that I've been there three times in under a month.  
Pasta arabiatta is one of my favourites with the right amount of sauce and seasoning which makes it a perfect dish for all occasions.  The homestyle chicken is also very delectable and mouthwatering.  All the flavor is kept in while cooking and goes well with a good cocktail .
The prices are extremely reasonable compared to similar places.
A must go place to chill and relax with friends or family. ",5,"2019-05-17 16:03:04",91,493,10
"203324","Was here for Sunday brunch, the view was great 👍🏻 the pool sky... u can sit inside the restaurant or by the pool side... the spread was really good they had really wide variety of options in food and desserts 🍮 they had live counters in that I really liked tempura fried prawns 🍤 and vegetables the starters the main course was really delicious the desserts r really delicious 😋 . The staff r courteous ",4,"2019-05-14 10:02:23",46,100,3
"44677130","Went there for my husband's birthday.
We ordered fish and chips and Basa fillet.
In both the dishes the fish were not served fresh.
Service was not that great either as it was the busy hour and only one server was seen trying to serve everyone.
Ambience is excellent as one side of the hotel is the botanical garden and the other part is the hi-tech city. A beautiful contrast.
Food: 2
Service: 3
Ambience: 5
Will I visit the place next time ?!?! Yeah, may be for the ambience and no ""fish"" dish. :)",3,"2019-05-12 19:25:31",12,5,0
"849991","Wanted to checkout this new place and this visit we visited Mazzo and opted for A’la Carte. Overall only the Drinks, Soup and Fish and Chips were good, service was good. The value of food experience was not satisfactory and I wouldn’t visit next time.
Asian Clear Soup Chicken - Just Warm
Sweet Corn Soup Chicken - This is better than Clear Soup
Lamb Pepper Fry - Cold, Rubbery, No Sign of Pepper, Tasted like South Indian Dry Chicken Curry
Roasted Spring Chicken - Tasted Bland due to thickness of Chicken Breast
Fish and Chips - This was decent enough
#Chicken #Fish #Lamb #Dinner #Wine #Scotch ",3,"2019-05-12 17:18:17",20,105,1
"3132302","Went for my birthday dinner on Friday night here with my wife
Ambience is good. But food is very ordinary.
We ordered only 2 items, fish and chips, and sea bass fillet with vegetables. Both of them were not fresh.
Service was not stand out either.
Overall a very meh experience.",3,"2019-05-12 09:07:22",10,129,0
"35486","This review has been long overdue and i have finally managed to get some time out to do so.
So 4 of us visited Mazzo on the 14th of Feb and chose the Veg & Non-Veg options accordingly from their menu, pre-decided. At 2500 INR plus taxes per head we expected the basics, quality service & excellent food.
Imagine our shock when we received exactly the opposite. 
1. The linen on the table we were seated at had cigarette holes in it. 
2. The livery was stained.
3. The restaurant hadn't set up yet even though it was 2130 hrs by the time we arrived.
4. Instead of being given comfortable seating, we were given plastic chairs with white wraps on them.
5. The Cream of Asparagus soup was like toilet water. So was the Avocado Chicken Corn Chowder Soup. They refused to give us extra croutons because we've already eaten too many. What else is one supposed to do when you are served such bad tasting soup?
6. The Bharwab Subz Kebab was dry like dried meat, the Grilled Buffalo Chicken was terrible smelling only - How to eat?, the Lamb Galouti was decent and the Vegetable Lumpia was oily and tiny. - All in All the appetizers were equally useless.
7. Moving onto the Main course now - For the Vegetarian Me, i was given a choice between the Anjeer Kesar Kofte and Spinach & Ricotta Ravioli. I obviously chose the latter D-uh. Big Mistake. When i asked the server why the ravioli was so dry, i was told that the halogen lamp made it so. Then why keep it under the lamp for so long? And the former you ask, it was so sweet, it was like drinking Chaasni - the sugar water from the Rasgulla or Gulab Jamun dabba.
8. Not like the Non-Vegetarians had it any better. 6 Hours Braised Lamb Shank OR Nalli Nihari OR Murgh Methi. 
Lamb - It was more bones than lamb and also, baby lamb Such a tiny piece that my husband had to eat another dinner after we got home.
Nalli Nihari - More like Nal ka Paani. No taste no Nihari.
Murgh Methi - WhyWhyWhy so many bones in a dosh which one assumes is boneless and that too in a 5 star hotel. Roti you ask? - Please DO NOT.
9. And last but not the least, Dessert.
Vanilla Bean Pannacotta - I make better Pannacotta and i just wanted to cry. The coulis was just sugar water with some red colouring.
Kesar Malai Kulfi - This was bought from Scoops. The server told us also. The only thing on the menu that tasted fantastic. Ate 4 and went home.",1,"2019-05-10 16:28:40",32,309,0
"9610901","It's a romantic place. Pool side wine on 10th floor gives a feel that deserves a high ratings. don't try food as we were only for the ambience and the feel of Hyderabad breeze with wine.",4,"2019-05-09 21:16:15",29,45,0
"50985881","We wanted to have small reunion of our old colleagues and being friday it was difficult to get any quite place so we talk and send some quality time. Friend recommended Mazzo but the time we came the pool side area was full but we requested after sometime the staff arranged a place near the pool area. The ambience is very beautiful and romantic. On the 13tb floor next to pool having drinks and food with your close friends was a great experience. I would definitely recommend this place to all. Food was very tasty and filling. After ages I must have had so tasty and upto the mark Rogan Ghosh. I would be visiting again with my wife to this place and would like to spend some quality time. The only 1 part I would suggest as improvement will be the wait area for giving the order and receiving the food on the table...rest it was a beautiful experience.",5,"2019-05-06 18:06:43",5,23,3
"6754641","On the B-day I was looking for a place which has outdoor/poolside sitting and after searching lots of places around including Prego which I also like, Mazzo by Marriot came up in the results while Zomato-ing and I thought why not to give it a shot. . Anyways, this place was in my list since long to explore but I was looking for an occasion or right time to visit and what could be better than a dinner date on your birthday!...Read full post on vidzkitchen.in",4,"2019-05-04 18:27:38",NA,80,14
