"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"53716589","A really nice place. The ambience was very very good. The views from here are killer. But honestly for me and my friends, their menu was not enough. Still, worth a look. ",4,"2019-04-18 20:05:11",16,10,0
"31586305","Food and ambience is average, waiter is not serving the food properly, we need to keep asking him to bring salads, chutneys and all, finally he demanded particular amount tip while paying the bill.",3,"2019-03-31 13:13:58",8,1,0
"36291242","Staffs are very professional. It was an excellent experience. We had chatpata tandoori kabbab was fantabulous. The place is super good and must recommend for kabbabs.",5,"2019-03-27 23:11:39",6,23,0
"34408384","Good lunch and buffet menu. Loved this place. Had been here a few times with my team for linch buffets.
So here goes my review:
Food:4/5
Ambience: 3/5
Service:4/5
Budget: 3/5",4,"2019-03-16 23:05:54",35,76,0
"46072191","Place was fine. And the food was okay. But i guess the people who served us was not sure about Zomato offers when you are a gold member.
It’s good for buffet, but I would not recommend for Zomato gold membership.",3,"2019-03-09 15:29:14",12,4,0
"79398144","Came with my friend for birthday celebration we ordered al a carte starter broccoli nuggets,fried baby corn , paneer pahadi kebab was awesome. Main course we ordered Biryani was nice. Ambiance was good. Friendly staff over all it's pocket friendly restaurant.",5,"2019-03-05 19:50:25",1,0,0
"56243109","Went with family for dinner ordered soup and chicken satay it was very good. Main course ordered mutton organ josh and butter nan it was awesome ambiance is OK. Over all its good restaurant.
Food- 5/5
Sevice- 5/5
Ambiance - 5/5",5,"2019-03-04 15:58:31",1,1,0
"61836509","I went for dinner with my friends. The food is good. We ordered chicken manchow soup, apolo fish as starters and alfredo pasta as the main course.
Butt we found a cockroach on the table while we were having our dinner.
So, 2 star as it really freaked me out! ",2,"2019-03-04 10:37:37",2,0,0
"98464977","Was in Gachibowli recently regarding some work and landed up in Olive Garden for dinner after seeing their reviews. Food was exceptionally good, especially their crispy corn. Even their main course items namely malai kofta and chana masala were very good. All in all a very satisfying experience. ",5,"2019-03-03 18:12:06",1,0,0
"42404920","Food is good. Good for ordering for team lunch if you prefer not to go out. Ambience is not very good. This is my personal experience.No offense. ",3,"2019-03-03 15:01:24",4,4,0
"37401226","This one is near to paradise gachibowli. The ambience is decent and the service is fine. We tried the pepper chicken for starters and then for main course, we tried kolhapuri paneer with butter naan and tandoori roti. Pepper chicken but the quantity was too less for their price. Either the quantity or price could be changed. Main course was fine, especially butter naan was really nice. ",3,"2019-02-12 23:43:51",144,246,2
"91837693","Kindly stop listing north indian dishes like chicken chatpata. I haven't tasted any item like this smelling and tasting like only curry leafs. Just put me in a bad mood. Complete waste of money.",1,"2019-02-10 22:49:47",1,0,0
"52994316","Came with my family ordered pepper chicken, corn soup, Rogan gosht and biryani. all was testy it's good hospitality restaurant. I would recommend 5/5.",5,"2019-02-08 20:13:38",1,1,0
"92295094","I'm visited Olive Garden with my team around 9 members, we had taken buffet they served 6 starter, it was excellent. Specially chicken kebab and Appolo fish was very good. Main course was also good. Chicken Biryani was awesome in desserts. Rasmalai was mouth smashing. Honestly we had enjoyed a lot. Ambiance is nice. Service was good and staff also. It's a pocket friendly restaurant. I would suggest visit once.",5,"2019-02-08 19:34:19",1,0,0
"45899131","Sincerely I have never seen such a worst service ever, management doesn't know how to speak with customers.
We went for Ala-carte and taste of food is too low.
Even buffet experience is also not worth for cost",1,"2019-02-07 20:28:55",26,22,0
"54300248","Been exploring about restaurants in Gachibowli and found this place. Been to this restaurant ordered chicken drumsticks and spl chicken biryani which tasted really good, finally ended with a good dinner. As the taste was good ordered a non veg combo next day and surprised to see a cockroach in the meal. It was really a bad experience to see a cockroach where the restaurant has taken away all the positive views that I had towards it. Please don’t play with health of customers, it takes time for anybody to order food again if we come across these situations. Please note that Restaurants shouldn’t be the place to hospitalise customers by making them unhealthy. Apologies will not do anything, maintain healthy and hygiene environment. Thank you olive, you lost a customer and I will not visit this place anymore.",1,"2019-01-31 16:39:26",2,1,1
"37616423","This is a good place for north Indian food to have. We went very late around 10pm BT they are open till 11 i guess. We ordered golden prawns, tandoori chicken bhuna murg, butter nan. The tandoori which was really good.only the masala kulcha was not upto the mark and less pieces with no masala inside it. This is a zomato gold resturant which can save you bucks.
Tandoori chicken - 4.5
Golden prawn - 4
Bhuna murg - 4.5
Nan and kulcha - 4 so over all food - 4
Ambience - 4
Staff response - 4",4,"2019-01-19 15:17:43",24,43,7
"30307683","A decent restaurant among pubs and restaurant in Indira Nagar to have some proper North Indian food.
In food, I tried Paneer tikka masala, masala kulcha, and some masala Papad. All of them were pretty good. It has the complete feel of a family restaurant and the prices are also pretty reasonable. The quantity of the food is decent as compared to the price.
The ambiance is nice and the staff is courteous.",4,"2018-12-30 14:00:26",179,1874,7
"73121509","Biriyani quantity is less ",4,"2018-12-07 14:16:57",1,0,0
"37751061","The worst place. I went there with a frnd today. We ordered Manchow soup and Alfredo penne pasta. The service is damn slow. Soup didn't have any taste
Pasta was terrible. They just boiled it and dipped into a bowl of white sauce. Nothing else. ",1,"2018-11-29 22:52:06",3,2,0
"1146234","This place is just great, was actually skeptical before entering the restaurant but then the crew were really humble. When I first entered, the whole place was empty but with in 30 mins, the place was all full.
Their dishes were a great deal. Maybe not any different from the regular items, but were really tasty. And mutton rogan josh, is a must try.",4,"2018-11-28 10:33:11",30,180,0
"599375","It was my 4th order with Olive Garden in the last 6 months.  I loved the food from this place and this is the reason I ended up ordering from here multiple times.
This time it was a total disappointment in terms of the Veg Food and the service that was provided.
There was no difference in terms of taste and appearance for Veg Dum Biryani & Veg Pulao.  Both of these dishes were same I don't know how the restaurant makes that difference - still wondering.
In terms of the service, I ordered the food from Zomato at 8.00PM and the time of delivery was shown as 8.55PM.  I ordered it keeping in mind my meeting timing, however the restaurant was able to provide food to the delivery guy only at 9.30 which is like 35 mins late from the slated time.
I would still want to rate the food a 4 even after my bad exp with Biryani & Pualo.
Service wise I would rate this place a 2.5
The manager/executive from the restaurant to whom I spoke over the phone just kept saying one thing that sir we are working on your order and it will take 10 mins.",3,"2018-11-21 19:27:39",10,27,0
"37407502","After getting suggestion from one of my friends, we went tonight there for the dinner. We were two and ordered Tandoor Chicken, Virgin Mojito cocktail, Veg Fried Rice and Schezwan Chicken...All the items were extremely good and very tasty. The price of each item in the menu was satisfactory. The behavior of the staffs were also so calm and polite. They accepted Zomato Gold too. We appreciate the job of the cook and the staffs there. The decoration and the sweet 90s music made the dinner fantastic. Loved to visit the restaurant and will surely visit again.",5,"2018-11-18 23:48:23",15,8,0
"39118650","We visited this place on a weeknight so there was very less crowd. The veg food was okay. On nonveg side we tried their buffet. They served soup with 2 starters, salad and some veg starters. The soup and the starters (the apolo fish and the chicken kebab which was not even close to any kebab) was good. The curry and roti was okay and the biryani they served was tasty. Overall the food was not bad with very reasonable rate. The place was comfortable and the service was quick. ",4,"2018-11-17 11:18:59",50,69,0
"39931625","Olive garden cares - very difficult to find a restaurant where the staff is as good as the food. Maybe the first time I got the experience for which I have been shelling the extra bucks. My rating is based on the food and the quality of service. ",4,"2018-11-08 22:49:56",12,7,0
"79850748","Came with coligue for buffet and found the quality of food was very good. Buffet spread also good. Starters was yammy. Desserts was amazing. Service was very good and teams are attentive. We suggest to our other teams to come Olive Garden. Price is pocket friendly.
Food 5/5
Service 5/5
Ambieance 5/5",5,"2018-11-06 14:50:44",1,0,0
"2491948","It was nice experience with team. They have lovely ambience good spread of buffet need to work on service. Service is not up to mark what we expect from this kind of restaurants.
Ambience 5/5
Food 4/5
Service 2.5/5",4,"2018-11-05 21:29:05",73,1931,0
"79573332","Loved the food and very reasonable rates. Food tastes fresh and relish-able. Pocket friendly meals & buffet. Would love to spend my weekends for full appetite Indian snacks and curries",5,"2018-11-04 20:06:57",1,0,0
"34562895","Very nice food with home made style curries. full meal can be really enjoyed in the weekend or the weekdays buffet. best part is that the rates are quite economical. Worth a visit",5,"2018-11-04 20:02:48",1,1,0
"79384041","Very good delicious North Indian dishes served hot with little waiting time after ordering. Liked kadai veg curry and paneer butter masala plus Romali roti, good deserts, excellent place for food lovers
Ambience 4.9, quality 4.8, service 4.9",5,"2018-11-04 19:36:44",1,0,0
"62302114","Delicious food, good quantity, service was also nice.Veg starters were good.Nice interior
Starters- 5/5
Soups-5/5
Roti- 5/5
Curries- 5/5
Biryani-5/5
Rice and noodles-5/5
Will visit again with family",5,"2018-11-04 19:24:42",1,0,0
"33536386","Really average..had buffet lunch ... Served everything on table... Nothing great about it.. really average interiors.. food was just not bad.. but just above bad.. passing marks u could say in terms of food.. ambience and money.. wouldn't recommend it and big no for a 2nd time..tried and forgotten..",2,"2018-11-03 16:19:27",7,3,0
"678733","Have been here many times. I was a frequent at their madhapur branch since 2006. Its a quiet place and family friendly. The lift is old, dark and horrible. It feels it will breakdown, except that it doesn't. They tried installing another lift but that turned out to be scarier that the first one. Coming to the food. Its just okay. Nothing outstanding or too bad. Starters and Chicken items are usually good enough. Their tandoori chicken doesn't have breast portion. I couldn't understand the rationale behind it, its just leg, thigh and wings. And yes I don't know why they have downgraded their crockery. They serve curries in smaller household type steel bowls.",3,"2018-11-03 11:17:19",23,6,0
"55210374","Bought coupon from nearbuy @ 375. It was mentioned that the actual price is 469 which is false.I have attached the price tag mentioned at their hotel.
I compared it with the other hotels near by and I feel it is highly overpriced.It should be aroud 250.
Very limited starters and sweet items as compared to other nearby hotels.",1,"2018-10-12 14:42:56",2,1,0
"29639498","Read the reviews about this new place and ordered chicken dum biryani to try out. The quantity was ample and taste was also good. Looking forward to go there personally and check out some of their dishes.",4,"2018-10-06 14:36:37",158,228,1
"27888455","We've been here on recommendation from my colleague that the starters are on fire since I am a big fan of starters.
So as soon as we reached the spot, we could see that the restaurant was congested and somehow they just wanted to fit in the Gachibowli area. The interior was also tiny and seemed confined.
Anyhow we ordered chicken garlic, chicken biryani as that was a very standard item to test on any new restaurant. The staff were ok, not quick but not rash though. Even though they got our food very late, they somehow tried to convince us with something non-relatable situations.
Forgetting all that, we just wanted to concentrate on our food. As soon as we had our first bite, the first thing that came to our mind was - it's good but not great. The flavour in the Biryani was good but the quantity was on a lesser side when compared to the prices.
Overall, it's a place where you can visit once in a while if you stay/work near Gachibowli. This is not a place to visit from a long distance.
Food - 3/5
Service - 3/5
Ambience - 3/5
Value for money - 2.5/5
Overall - 3/5",3,"2018-09-30 04:26:46",35,74,0
"32612312","Food was okay. Wish they didn’t put nuts in the pasta. Mushroom soup was good. Chicken and Fish was delicious, but too spicy. I mentioned no spicy in the Zomato notes, but it was super spicy.",3,"2018-09-29 21:36:33",10,2,0
"72663635","visited Olive Garden today with my office  team of 15.  Had to wait for half an hour to get the table. but it was worth the wait.  Buffet Food was too good, the non veg items and salads were lovely. Good service and staff.  Will come again",5,"2018-09-26 18:13:16",1,0,0
"1615314","Visited this place for lunch buffet after seeing a lot of good reviews! But it was a total disappointment. Food was not at all good. There were many items but none of them was good. On top of it attitude of owner/manager was icing on cake! Not sure how they got these many positive reviews! 
Wish there was rating below 1!
Total disappointment.",1,"2018-09-26 14:26:58",8,34,0
"3223939","After a long time I was satisfied with any restaurant by their taste and quality too. I ordered Chicken kalmi kabab and Chicken boneless biryani. Kalmi kabab was awesome and juicy. I can see a perfect amount of spices are used in that dish and also the chicken meat was tender. Now if I judge their Chicken boneless biryani, it was also as good as Kalmi kabab. Chicken boneless biryani was served with raita and mirchi ka salan.",4,"2018-09-24 04:32:08",150,677,4
"39176993","Been there twice, and I kinda like the place .. Taste is good and prices very reasonable... try spicy corn and cheeses nuggets and kasmiri pulao, I liked three of them and were little sweet. Service is good. Valet parking not available, better park near by...",4,"2018-09-18 16:50:12",43,23,0
"68388659","tastes good",4,"2018-09-16 12:42:08",1,0,0
"39441735","Had dinner Menu is perfect. In starter broccoli nuggets was delicious. Main course was regular like any other restro.Service was ok. Will be back definitely!.Applied Zomato gold buy 1+1 free offer on food for which wana give .5 star more.",3,"2018-09-14 01:45:33",22,19,0
"32101031","Restaurant was Not very much active.. lack of cleaning and the staff looks very lazy. Food was average ..................................:::::",3,"2018-09-03 17:45:12",5,16,0
"2354970","I have visited the restaurant today. Veg food is really awesome. I went for alacarte, egg chilli is awesome. I ordee veg meal that is an introducary offer of cost 150, that is worth for money",5,"2018-08-22 17:48:08",4,1,0
"41850568","Ambience is okay. People are rare. Staff are good. I didn't like the food, chicken biryani and rajasthani laal meat were not good. Price is very affordable. ",3,"2018-08-21 07:29:32",6,4,0
"2163462","Good food. Great service. Lovely ambience, especially the lighting. The staff is courteous too. Overall, a great experience.
If you want a decent meal at a really affordable rate then do visit Olive Garden for sure. ",4,"2018-08-20 22:52:37",193,1272,5
"52120955","Good food and service. Went during Hyderabad trip and had ala carte lunch on Sunday. Quantity and quality both were good. Value for money and good taste. nice ambience. Parking can be an issue during rush hours. But place is good. ",4,"2018-08-19 15:36:06",19,4,0
"1566527","An under rated restaurant.
I've been to this place quite a few times for dinner, and always had a good experience. It doesn't have the greatest of ambience, but high marks for the food.
Would recommend broccoli corn nuggets, crispy vegetables, veg manchurian dry and all the fried rice varieties. ",4,"2018-08-18 23:05:56",11,11,0
