"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"111695","Been here many times as my office was near by .One of the crowded place in evening as they make mouth watering snacks.Must try are samosa,Gulab jamun,kachori..I don't like dosa though but my friends liked them..So you can try them as well.",4,"2019-04-26 17:38:29",91,1079,0
"37407502","Shwarma is nice.👍 Crowdy place. Good for late night food. Dosa and pizza are not so good. Try the sandwiches. But according to price and availability, it is pocket friendly.",4,"2018-12-14 22:08:05",15,8,0
"33417881","Having heard about it from few of my friends, I decided to give it a try.
We ordered the much hyped Cocktail dosa and the Pizza Dosa. Both of them tasted exactly the same.
Hygiene of the place is bad and the overall experience was ok ok.",2,"2018-08-22 23:43:41",19,19,1
"1218504","I have ordered shawarma from this place it was little spicy and simple without any extra flavour ,but overall it is ok,again the place is a shop roadside so better to take parcel than having there.",3,"2018-07-11 09:44:10",42,62,0
"53358500","taste was not good, and not at All happy with this , better not to order with this restaurant. ",2,"2018-06-02 22:40:12",4,4,0
"56071067","spicy and roti was not good",1,"2018-05-29 19:54:15",2,3,0
"53840641","delivery was awesome this time.... thanks to the guy",5,"2018-05-24 19:55:23",1,2,0
"55239226","That smoky smell for the rice made me to throw in the dustbin... I hardly unable to eat not even a spoonful of rice ",1,"2018-05-21 19:34:49",2,5,0
"2301396","Chowmein was tasting and smelling like overburned . chicken was ok. ",3,"2018-05-20 21:33:42",3,65,0
"16763098","Butter chicken tasted alright but was not proper butter chicken... Was too oily as well",3,"2018-05-19 19:21:22",7,1,0
"54315866","ok",3,"2018-05-18 20:01:48",5,3,0
"1053452","Delivery was late... Food was below par. Please give me refund. ",1,"2018-05-18 19:17:16",36,34,0
"55205166","nice delivery person",5,"2018-05-17 21:53:20",1,2,0
"54315866","good",3,"2018-05-16 23:14:04",5,3,0
"52169296","Well shawarma is quite good in this food place. But if not instructed they make it a bit spicy and over all yes from my side I will give it a complete thumps up as a student because pocket pinch matters to us alot.",3,"2018-05-15 13:22:51",108,241,0
"51689578","not tasty and good",2,"2018-05-14 18:03:46",3,2,0
"35668461","#Homedelivery
we ordered Special Chicken Shawarma, Chicken Shawarma and Roast Chicken. I respect food therefore I won't use harsh words.
All the three items were inedible. Shawarma was dry to the core.. Namesake amount of mayo, stiff and rubbery chicken. Roast chicken was tasteless  and didn't even had salt.
Please don't serve food which gives bad memories about the eating experience. It's really detrimental to Food.",1,"2018-05-11 00:48:10",19,70,0
"54693541","mouth licking shwarma",5,"2018-05-09 23:00:46",1,2,0
"53592433","fuckall food",1,"2018-05-08 21:37:48",1,2,0
"41383310",".",5,"2018-05-08 20:48:04",2,4,0
"37407502","According to taste the Shwarma that I had ordered is okay. But it was not at all hot when it was delivered. Cold Shwarma is not tasty ever!",3,"2018-05-05 21:22:33",15,8,0
"54272312","food is ok.",3,"2018-05-04 23:46:40",2,1,0
"2430514","Ordered online, Chicken Punjabi and rumali roti. The rumali roti was superlatively awesome. Thinner than a paper and soft till the dinner was complete.Punjabi chicken was good but had too much of oil. I would appreciate if they reduce oil in food. Chicken pieces were soft and succulent. The packaging can be improved as the food was delivered in aluminium foil packets tied with rubber band. ",3,"2018-05-02 00:23:02",101,530,2
"51607650","average",3,"2018-05-01 15:35:39",4,3,0
