"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"92782786","Today I have ordered one chicken pizza, 8"", 1 paneer pizza 12"" and garlic masala bread. They took 1 hour 15 minutes to deliver. The quality and taste are below average. Compared to leaders Pizza Crust stands very poor and abominable. I ordered for my daughter who came from US. She had to starve.",1,"2019-05-18 22:18:39",1,0,0
"73236604","Ordered a chicken pepperoni pizza , it was too salty and tasteless, i dropped in my dustbin.
Delivery boy Venkata Jagannadh   delivered 30 mins late. So i called him for enquiry in return he claiming me that adress was incorrectly updated and my number is not reachable. Was so   rude/annoying person, just illiterate how to deal with clients.I will never ever re-order .",1,"2019-05-08 13:57:00",3,1,0
"15640450","I got to eat the best pizza of my life till date at Pizza Crust in SLN Terminus Gachibowli. The staff Mohan is extremely courteous & welcoming. The chef Jalaluddin Khan took extra care to make the best pizza for me as per my instructions & he also accomodated my special requests to change toppings. I loved the pizza & the hospitality. Great experience. Yummy pizza",5,"2019-05-01 23:32:22",4,24,0
"33735804","Worst making of pizza , they don’t know how to make pizza, please do not go this place for pizzas. Raw bread, old stock of paneer, very bad quality cheese and its smell sucks. ",1,"2019-04-18 20:16:13",22,28,0
"102462401","I ordered 1 regular pizza and they delete it very late and the pizza is overcooked. The bread is too hard to cut from your teeth. Also the size will be very small. I request people not to order from this place. Even when I asked for my money back as I have ordered from zomato. In chat when I raised the issue, the agent knowingly responding late and he said you will not face this in future. When I asked for my return he said that we cannot pressurise restaurant. So we cannot pay. ",1,"2019-04-17 20:10:58",2,0,0
"49977725","I've waited for more than 1/2 hr and this is what I got, Horrible experience from Zomato. Don't know fault is at restaurant end or while delivering this had happened, but receiving a damn pizza like this really suckkkkzzz!.",2,"2019-04-17 14:03:15",9,1,1
"52392029","Ordered 6 inch Tandoori Paneer and Veg Pizzas. These are the worst Pizzas I ever hard. Pizza base is just bread, it is not actual base made of proper dough. And the so called base was burnt heavily. Tasteless burgers. If this is the quality of the food, then forget about customers",1,"2019-04-14 06:49:57",12,3,0
"59066881","I ordered chicken french pizza and the pizza crust was so hard that one can't take a bite.. even the taste is not good..... The cheese and sauces on pizza also not tasted good.. ",1,"2019-04-05 14:42:42",1,0,0
"51812445","If u like Domino's or Pizza Hut pizzas... You will simply hate the pizza base at pizza crust... If u ask me this pizza is not even worth giving a try... I haven't tried other items though, so can't comment on those...",1,"2019-03-21 16:12:13",1,1,0
"54271081","Amazing food , great service , good innovation , the double decker pizza is my absolute fav👌 , would definitely recommend my friends to check it out",5,"2019-03-12 18:58:26",1,1,0
"656158","Ordered a chicken pepperoni pizza and crispy chicken. Got uncooked chicken and stale pizza's for dinner. Don't ever order from here. Worst pizzeria in town.",1,"2019-03-07 00:14:31",122,4865,2
"94270466","The pizza is not cooked well and it completely dry and smelling bad its has a very worst taste pls don't prefer to this crust its very very bad ",1,"2019-03-03 00:29:34",1,0,0
"37553587","This is what cheese garlic bread looks like. Cheese and garlic is not added while baking. Cheese and garlic is just stuck after making. Taste of pizza is worst. And cheese dip doesn't even has cheese in it. It is made of some weird tasting ingredient.",1,"2019-02-24 21:55:50",4,7,1
"69420414","The order came half an hour late and before I could get the order in my hand, it asked for rating 😲... But the food delivered, packing was so good. I just tried to see how good your restau and it ended up in sharing the food with my roomies due to the taste😝",5,"2019-02-14 11:19:17",31,216,0
"51904510","I ordered 15"" Double Decker Pizza. It was fabulous. Taste was best and it was really huge and cost is also less.
Pizza Crust's pizza is superb...",4,"2019-02-05 13:55:27",20,4,2
"10673361","I ordered food online.
Garlic bread sticks were good thats why I am giving 2 stars.
I had also ordered 2 veg pizzas (veg exotica pizza and veggies veg pizza) and which were the worst I have ever had.
I might not order or recommend anybody to order food online from here.",2,"2019-02-03 02:30:28",3,1,0
"50462264","Tasty is very nice like pizza hut .but pizza base is not so great. If it has quality pizza base .it will strong competitor for pizza hut and dominos. ",4,"2019-01-26 20:42:56",1,1,0
"42955980","FOOD IS GOODBUT DELIVERY IT TAKES 1 AND HALF HOURTHE DELIVERY BOY DIDN'T INFORM ME KINDLY RESTAURANT PERSONS CAN TAKE SERIOUSLY  FOR ABOUT DELIVERY",1,"2018-12-20 20:58:32",1,1,0
