"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"27402223","Being an enthusiast of rolls, till date this place tops the list of roll outlets in Hyderabad. This place beats everyone else in terms of portion, taste and price. My favourite is the single egg chilli chicken roll, just one bite and all the checkboxes are ticked - perfectly fried and slightly flaky paratha, evenly distributed egg on the inner side of it, the sumptous chunks of chicken and a perfect balance of the sauce and spices makes it the ideal place for roll-lovers.",5,"2018-12-20 00:30:28",4,28,0
"41686431","Best roll I have had till date here in Hyderabad
Perfect outer crust, sufficient amount of filling inside...taste of the filling is also quite good.",4,"2018-07-17 20:21:24",14,17,0
"53624297","This place offers the best roll in Hyderabad, tried almost all the varieties and they never fail to impress. The egg chicken roll(tawa chicken) is a standout.",5,"2018-07-12 16:37:39",4,2,0
"390963","Horrible chicken kassa...0 marks for it
Ordered lacha paratha with chicken kassa today from roll darbar, gachibowli via Ubereats and this is what I got. The parathas were good with less oil, the cucumber pieces and onions were fresh.
The chicken kassa was horrible. It was not at all chicken kassa.. Rather some dry preparation made out of some leftover tangy chicken masala/korma with tandoor/fried chicken pieces. This spoiled the whole taste ....150/- +10/- delivery charges by Ubereats...The thing that made me upset was though the place is owned by Odisha/Bengali people, still I got such a preparation for chicken kassa, not expected :(. ",3,"2018-05-12 21:59:47",114,530,1
"37372238","Ultimate roll .. One of the best .. Price is also reasonable .. The drawback is that there is no seating place.. Small shops are nearby ..a bit clumsy.. But if u have no problem with all these ..I assure u that u are going to have ultimate rolls.. Just choose carefully rolls.as some of the special rolls are not that good ... Go for the regular rolls..",4,"2017-12-04 23:49:43",18,78,0
"4056571","Ordered fish keema cutlet today via swiggy.
It's crunchy but doesn't have that authentic essence that a cutlet should have. Simply deep fried and a tad bit salty. Maybe decreasing the thickness and increasing the fish quantity of the cutlets would create some magic.
Packaging was good though and kudos for the super fast delivery.
Edit : Had to add a second review because this place offers the best rolls in town. 
If you are a Bengali staying away from home and craving from some authentic Kolkata-type roll then this place is a heaven for you.thegreedygluttonsgastronomicjourney.wordpress.com",3.5,"2017-10-30 21:32:05",112,1242,5
"32212778","If you are dam hungry wanna grab a roll. This is the best place I suggest u guys. On Gachibowli main road
Food - Good tasty rolls they don't use much spicy
Quality- Freshly cooked rolls with tasty stuffings
Quantity - I just tried to eat 1 roll my tummy was full
Price - Less & Reasonable 
Well maintained kitchen, seperate tawa for veg and non-vegetarian foodies.
I have customised my veg paneer roll with less oil and less spicy. 
Overall my rating to Roll Darbar is 5stars cos here u can get actual rolls not like the sleek rolls u get in multiplex malls. ",5,"2017-08-08 01:38:00",14,75,2
"1293088","One of the best places that truly specialises in making rolls. The chilli paneer roll and the mix veg roll are my favourite. The blend of spices n sauces are exquisite and its priced very modestly. Do not miss ! ",4,"2017-08-06 12:59:50",138,401,0
"11670531","Most authentic Kolkata Kati roll in Hitech City Area. I have tried their Double Chicken Cheese Mutton Roll and Mutton Roll on two different occasions. The mutton literally melted in the mouth. The prices are also quite reasonable from Hyderabad standpoint. I would only urge them to keep the quality and standard consistent.",5,"2017-07-29 10:32:43",3,0,0
"4743521","Being a kiosk on a busy road, this place does serve up decents Kolkata rolls, having the price on a higher side. I, having had better rolls of the same nature at better prices at madhapur and kondapur, was septical of the place and it did not dissapoint me as there were better outlets that served the same what they provided at better price. 
One thing that stood out was that they had a huge variety and maybe the other stuff are good than the chiken roll. 
Will be visiting here for other stuff soon. 
Taste: 3
Ambience : 0(road side kiosk) 
Service:3
Value for money : 3",3,"2017-07-25 12:27:49",207,1048,0
"27256000","Roll is one of the staple evening snack of any Bengali. But, in this era of cosmopolitanism, it has slowly become a favourite snack for many.
The kiosk is easily locatable on Gachbowli main road, just beside more supermarket. Also, there is ample parking room.
Coming to the food, I tried the darbar special veg roll, single egg spicy chicken roll and single egg chicken roll. The rolls were just Ok (or may be below OK). The filling contained more of onions than chicken, the kadhai was getting burnt everytime the filling was warmed and the place looks really unhygienic.
To add to all this, the person at the counter is a very short-tempered guy. The service is slow, most probably because the guy who cooks almost single-handedly manages everything (cooking, packing and sometimes billing).
Summary:-
Food: 3/5
Service: 2/5 (slow and inhospitable)
Price: 3.5/5
Hygiene:2/5
I think Roll Call Banjara Hills offers far better rolls for the same price. For Roll Darbar, it's a NO from my side for now.",2.5,"2017-06-08 22:22:47",93,71,0
"574426","When we saw an outlet famous for kolkata like rolls, we could not resist from ordering it. We ordered rolls from here through swiggy. We ordered double chicken double egg roll, tawa cheese roll, egg spicy chicken roll and egg cheese roll. All of them were tasty and we liked it really but it cannot be compared to kolkata kathi rolls in lots of stuffing and laccha paratha. However being in hyderabad having kolkata type rolls is a lot. Will again order or visit there.",4,"2017-04-23 02:52:06",90,583,0
"861615","This place is located right on gachibowli main road Tasty and affordable rolls can be found here. It's a small place with huge crowd flowing in. Must try.",4,"2017-04-10 14:22:59",71,174,0
"15660651","I tried single egg chicken cheese roll with mayo. It was just awesome. It tasted so good. I will definitely go back and try other rolls from this place. The place is not like a restaurant and hence doesn't charge for the place they provide. This is quick grab n eat place which is just the thing for people who are in hurry and would want to eat tasty (fast)food.",5,"2017-04-05 13:41:48",2,37,0
"4625021","Been wanting to go there to taste authentic Kolkata rolls n cud make it today after a long wait. 
Small roadside place on the main road serving some great rolls. Well served by a combination of Bengali n Oriya team. Parking can be an issue there at peak traffic times. 
Tried their tawa fried chicken rolls, egg chicken rolls n egg mutton rolls. The taste is really Kolkata type n they use lachha paratha and sauté the chicken well which makes the package better. Mutton egg roll was ok type but the chicken tawa as well as chicken egg rolls were really awesome. It was very mildly spiced n the flavour of chicken as well as paratha was very good. The best Kolkata kind of rolls we hv had in Hyderabad. 
Good value for money and excellent for a quick snack. Hope they maintain their quality well. Can hv some more stools for sitting as if can get crowded. ",4,"2017-03-22 23:26:37",106,186,0
"38183377","It is an economical place which serves tasty Bengal style rolls of various kinds. I am a regular customer and my personal favorite is Pepper Chicken roll. The chicken fillings are tasty, the paratha cover is well cooked and crispy as customised. The attendants are friendly and open to customisations so if you need to tweak your order pertaining to your taste, all you need to do is say. Overall it's a good place for a quick bite.",4,"2017-03-13 01:01:08",5,16,0
"33198275","This places sells rolls which are affordable and value for money but taste wise they could do little better i would suggest them to work bit hard on there recipes to make them more perfect ",3.5,"2017-02-07 21:55:14",48,48,0
"700569","Roll was soft and smooth. Chicken stuffing was tasty. Ordered Single egg spicy chicken with cheese. The egg and cheese made the roll much smooth and was sort of melting while eating. The paratha was properly cooked. Worth for money.",5,"2017-02-04 20:10:39",142,221,1
"15757312","Very average food, nothing great about food and place. 
But still you can try because what else you will get in less than 100 rupees.
Food: 2.5/5
Location: 3.5/5
Value for money: 4/5
Ambience: N/A",3,"2017-01-29 11:17:33",141,1637,0
"35800421","One of the best rolls i hv had in recent time.I tried double egg chicken roll and it was super yum.Perfect thickness of roti and chicken was also tender and spicy. Will definitely try other varieties .",4,"2017-01-19 15:04:22",159,1098,0
"14541441","Out of the few roll joints in this city,  Roll Darbar is one of my favourites. Everytime I keep my roll simple with just one or two egg-chicken roll and they make it perfect. The paratha is soft and the stuffing is absolutely good. Totally worth it. ",4.5,"2016-11-12 05:12:59",685,792,0
"33093114","Tried double egg with Tawa chicken.
Taste is good and spicy.
Stuffing (salad, chicken) is perfectly done.
A must try place for rolls and reasonably priced.",4.5,"2016-10-22 21:32:43",439,1012,0
"2057716","This place was recommended to me by my friend when i asked for the best roll in the vicinity !!
Easy to identify, just next to Delhi-39 wala building in Gachibowli
And ohhh my !!! Ordered Egg Chicken tawa roll and truely every bite gave me that ""paisa wasool"" wala feeling from inside.
The roti thickness was apt... egg on it was cooked well to perfection. The sauces and accompaniments added were of perfect ration. Meet was tender and of perfect spice level to go with the roll.
I was so happy to finally get a roll worthy of its name in Hyderabad... as i bored of frnaky and shawarma. It was really refreshing..... :)
I am gonna visit this place till i try outthe numerous options they have ;)",5,"2016-10-20 13:24:00",172,722,0
"464081","Hi 
I visited this place on a rainy late evening with my wife for a quick dinner. We went for double egg chicken roll and single egg cheese roll. The quality and quantity was perfect according to the price they charge. Had good conversation with the person near the counter too. 
If you are missing the Calcutta roll then have a roll from Roll Darbar and you will be lovin' it. 
When we reached there, they ran out of cutlets and chicken kassa. So these are the dishes I am looking forward to try next time.
Also, I had a word regarding home delivery and request them to tie up with Swiggy or similar to have it delivered! 
All in all, I loved this place and it's a complete VFM. 
Thanks! ",5,"2016-09-25 20:34:45",132,286,0
