"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"15828352","Ordered Raju gari kodi palav , it's 280rs cost.
Very less quantity worth of 100 only.
Taste below average, Totally disappointed.
Wasting money with this selection.",1,"2019-03-17 00:16:42",19,2,0
"86515365","We ordered food from here online food was delicious thank you zomoto such a great food...
We will give order again and again thank you......",5,"2019-03-16 01:48:24",2,2,0
"98496932","Where does we feel Nativity in food that's one and only southern express because here are items which names like Kodi pulao and some of names really nice ",5,"2019-03-03 19:34:03",2,0,0
"15790472","Ordered food from Zomato. The restaurant had a high rate per dish, but they had a 50% discount active for today. We ordered a Chicken Kadai and Phulkas. The chicken Kadai had lots of small bone pieces. Although the taste was fine, but I would request the restaurant to provide boneless options. Phulkas were packed in the packet properly but the last Phulka was fully wet due to steam inside the packet. Advise the restaurant to address this issue. ",4,"2019-03-02 21:11:43",46,84,0
"58967463","I ordered chicken noodles combo. The quantity is good. But the taste is very bland. There's no salt and no good amount of spices. Even the chicken Manchuria is not good with taste except the red attractive color 🤦",2,"2019-02-22 17:38:44",5,0,0
"36263035","Ordered food via zomato. Had ordered paneer curry combo. Not really happy with the food delivered. First of all , as per the zomato menu salad was to be served .... NO Salad came. Then came the biggest Howler. There was a CHICKEN PIECE in the paneer curry. Me being a vegetarian, it hurt my sentiments. Then tried contacting them... no one received the call. Complained on Zomato and all they could do was warn them and revert the charges. More than money was that my sentiments were hurt and the food got wasted. SO.... my advice to .... please check your food before digging into it.
Really NOT HAPPY!
Sorry to say that.",1,"2019-01-03 18:18:50",59,182,0
"47083221","Great food, great experience Friendly pocket..
Biryani was superb... Simply month watering food... Thanks team Southern express.... We visit again.....",5,"2018-12-07 15:26:22",34,7619,0
"61138813","good",5,"2018-07-31 13:02:59",2,0,0
"51942628","good",5,"2018-07-30 15:01:47",1,55,0
"59030706","supererr",5,"2018-07-20 23:13:11",1,0,0
"36856207","good.",5,"2018-06-23 17:43:23",1,1,0
"1715935","Quality is good, Quantity is very less",2,"2018-06-02 13:41:11",2,0,0
"51910419","not looking at order note why? bad packaging. not providing onions.",1,"2018-04-22 21:36:07",3,1,0
"52785271","Disgusting taste and good need to improve a lot my God, really f@#@n taste dude",1,"2018-04-15 20:34:22",1,1,0
"967169","I would’ve given negative rating no value for money at all. I ordered a chicken combo and mutton combo each costing 200+ and what I get is a basic plate of meal(literally it was packed in a plate like package) that would cost 100 rupees.",1,"2018-04-07 22:32:25",5,111,0
"40353082","d",3,"2018-03-25 14:22:36",1,1,0
"49777793","I have specified in instructions to bring onions but they haven't bought them",3,"2018-03-24 14:20:19",3,1,0
"52146739","Most stupid response from the restaurant southern express, firstly they dont accept orders on time and then made Zomato delivery person wait for more than 1hr in their restaurent but didnt deliver the order and they also give incorrect response if you call and they dont even answer the call if you start questioning them.
Absolutely pathetic to order.",1,"2018-03-23 14:26:47",1,13,0
"37277115","Very less quantity",3,"2018-03-15 11:33:57",1,1,0
"15682988","I love this outlet for easy servings and also delicious Poori Sabji. The next item I liked was the Tomato rice but it was spicy for the tomato rice and I didn't  find the Tomato actually.The varieties and the pricing needs to be fixed. ",3,"2017-08-14 13:38:49",337,831,2
"3122696","Simple words to express ! How many times did you appreciated MoM or WifE for they prepared food ! I always felt and never pinched​ my pocket when I have my lunch here cause...Same taste and same tummy fulling feeling at home..... I really thank SLN management to let enter Southern Express iNn.... SE please be consistent with taste, Quality and value for money.... ",4,"2017-06-15 13:14:06",9,78,0
"1397170","Awesome chicken chilly...must try....  Meal in the glass was very delicious and  healthy too... Try that .... I am eager to visit there again ....  ",5,"2017-06-06 22:14:51",13,53,0
"35443342","This is really WTF(What the F....)!!!. Went for lunch and ordered Fried Rice & Noodles, they didn't give the order for 25minutes. Went and asked about the order, he told: ""I didn't know that you've ordered show me the bill"". The bill was with him only the whole time. That too he didn't talk politely also, he told to take the money back if I can't wait more 15 minutes. The way of responding to the customer is worst. WTF.",1,"2017-06-06 18:12:03",4,2,0
"32639685","Awesome meal in a glass. Thali is like perfect mom made meal. For ppl looking for healthy options falafels, juices, meal in a glass will be recommended ",5,"2017-05-31 15:33:21",6,23,2
"41597146","A good eat out place in SLN Terminus.
The ambience is good .The quality of food is great . Good quantity ........Great taste.....
If u r in n around SLN Terminus, Gachibowli.......It's a must visit ....",5,"2017-05-23 06:33:01",1,1,0
"32601178","Delicious  juice....!!! Eagerly Waiting to visit one more time ....
I came here just to try something new and I tried Apple meal in a glass 
It is equal to a meal
And very delicious.....!!
Just try it and try the falafel there it isfingerlicking good...",5,"2017-05-22 14:41:10",30,66,1
