"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"44490970","The sweets they serve are really good, specially the Bengali sweets. However they don't accept Paytm or any wallet money.. Only cash or card..",4,"2019-05-04 16:26:21",4,24,0
"62175390","This review is for nallagandla outlet, can't find it in Zomato. May be they know about their services so they didn't even put it here.. see their Raj kachori.. service folks are totally unprofessional n full of attitude when i asked them raj kachori is so dry this is how he put more curd n ruined it completely.... Stay away from this crappy outlet",1,"2019-04-14 08:35:34",7,6,1
"1540250","Amazing food ,fast service and clean restaurant . We ordered pani puri(recommended) , Ragda Pattice/Chole - Found it a bit sweet but on correcting with spicy chutney- amazing, Dabeli and sev puri.
Good place for chaat craving ",4,"2019-03-17 17:30:15",36,118,7
"67271640","Samosas were awesome one of the best I have tasted in Hyderabad. Kachori and Chat were good. Badam milk was really refreshing. Quite heavy as well. ",5,"2019-03-07 01:22:45",3,0,0
"29137952","Nice place for chat and sweet lovers, specially north Indian food.
Staff is polite and you generally get fresh food. All north India sweets are available. There Dal kachori and corn samosa taste amazing. Not much space for parking. ",4,"2019-01-11 16:37:23",46,139,0
"40888660","Had Jain food . Paneer & Roti, it was good. Nice Service and economically priced. It is a decent restaurant for everyone and centrally located",5,"2019-01-10 14:20:06",2,2,0
"33295091","You should actually have a no eating on site policy. The cups in which you give the sweets is very small and for sweets like Ras malai you should rename to only malai since there is very little scope for the Ras. Add to that your very impolite staff made it a terrible experience all in all. I hope that you take this feedback seriously and no worries I am never gonna visit again..
Thank you.",1,"2019-01-09 18:52:54",6,2,0
"551597","Had rasmalai at this place which is hard and sweetness is a bit more .. disappointed about rasmalai.
Tasted kaju Kathli and different sweets which was good",3,"2019-01-03 13:06:37",38,14,0
"15670778","Heaven for North Indians in Hyderabad! Economical and tasty! Although they have a limited items in their menu, yet they deliver them at their best. We tried chole bhature and veg thali here also we ordered dabeli, which was again, satisfying.
The staff was friendly too. It is a self service restaurant.",4,"2018-12-11 22:21:05",32,263,1
"14171481","Probably the best sweet shop in gacchibowli area, actually it's more than just a sweet shop, they have snack restaurant at first floor.
I have been here too many times but I always end up ordering Raj kachori, pav bhaji, chole bhature , like these dishes are too good!!! Must try types!
For sweet lovers do try Rabdi with jalebi , it's the bestttt!!!
Also one more thing I like about this place is the hygiene level, it's like you can enjoy your Pani Puri without worrying about anything :p
Would definitely recommend this place for snacks as well as sweets.",4,"2018-11-30 16:59:39",32,143,4
"38837951","Well maintained quality of all products . Helpful staff . Good experience. Pricing need downward improvement to make it worth repeated visits. ",4,"2018-11-25 14:02:51",1,1,0
"2449588","Probably serving the good snacks items in town. The place also has a very fresh and exotic collection of sweets. Jalebis and Pani puri are good. Dhoklas could have been less sweeter. If you love Samosa and chat savouries then you must visit once.",3,"2018-11-04 00:17:10",66,131,0
"2221236","A feel of fresh air in Gachibowli. As the name says, it is sweet little outlet on the main road towards Lingampally.
The ambience is good. Food is top notch. Was rarely disappointed with any of their items.
Had Chats, Thali, etc. Food tasted great most of the times.
Pricing can be a little more reasonable for the food. Apart from this, everything is good. Cheers 🍻 ",4,"2018-11-03 21:16:57",35,24,0
"1156105","Sweet basket is one of the premium sweet shops in Gachibowli area. They claim that they do not add any colouring agent to their sweets. I think that's true.
Any mithai from sweet basket is very good.
It has a panipuri counter outside the shop, you should definitely try the panipuri it's awesome ..... I have not tried the chocolate jilebi, I just can't digest the thought .... But the normal jilebi's are good.
The shop is on a bit expensive side ... If you don't care for paying the price for getting the quality it's worth it!",4,"2018-10-31 18:51:17",22,62,0
"29098621","Yummmaayyy sweets and their corn samosa with the chutney is to die for! Mothi chur Laddu is out of the world. Only problem is parking problem, very difficult to get one on a weekend. ",5,"2018-10-19 16:31:40",19,200,0
"36406074","This place has very bad hygiene.
Found a cockroach in the sweet chutney given for samosa.
Never going to order from this place.
Very disgusting.",1,"2018-10-02 17:22:51",1,3,0
"33962016","Love the spicy Pani poori here. The Moothichoor laddu is the one we choose here Everytime for occasions. The Rasmalai is also tasty. Most of the sweets are really good.",3,"2018-10-02 01:38:30",61,166,0
"1412626","Hi guys!!
Had pineapple rasgulla and tasted Jamuns...Golgappa...brought paneer jilebi to home...everything is Good...average food..average ambience...nothing catchy or jaw dropping or drooling....so good place to hangout...not great..",4,"2018-09-23 18:20:37",21,161,0
"31028221","Sweets are good. But the staff are absolutely rude with no etiquette at all. They need a session on customer handling. In my view respecting customers is an absolute must.",1,"2018-09-15 12:51:50",1,0,0
"31262169","There is a huge selection to choose from.
Some sweets like Motichur taste good but since Sweet Basket doesn't use food colors, they don't look great.
A big 👍 to them for staying away from chemical laden food colors.
A bit on the pricier side but overall good quality.",4,"2018-08-16 09:51:22",9,2,0
"65699234","Exorbitant price.                                                                                           Average taste.
Less comfort.
Sweet Basket gachibowli is a one time go place. 
Only best part is the location.",3,"2018-08-15 16:41:57",1,0,0
"48456404","Sweet Basket has been around for a couple of years now, however as a customer from the very start I can confirm a serious drop in Quality of Food Products (sweets) served downstairs. Some of the items sampled include: Dhokla (sour with hours of purchase); Cocount Puffs (filling very less); Sev (not fresh when eaten); Muruku (made with wheat floor instead of basin) and Mixed Kara/Namkeen (not fresh); Sakinal (a jaw breaker!).
Prices significantly higher as compared to local shops.... overall a huge disappointment for a purchase of Rs. 1470/-.",1,"2018-07-17 22:09:56",22,16015,0
"1041227","Got an unexpected falooda in bowl pathetic experience of eating falooda like this , it's looks like semiya a sweet dish. Dish ate is kulfi falooda ordered one more without semiya what is not even having dry fruits.",1,"2018-07-16 15:17:33",1,53,1
"43637214","I had to buy sweets as guests were coming and I was looking for sweet shops in the Gachibowli area. I found this outlet and decided to buy a small pack of Paneer Jalebi and Mango Chocolate along with 4 plates of Choley bhature.
The Choley bhature was really nice as the spices were not over the top and the bhaturey stayed soft despite the 20 minute travel time from this outlet to my house. The Mango Chocolate sweet was unique as it had a mix of Mango jelly and Chocolate but not many liked it.
I was dis-appointed with their Panner jalebi as I felt it looked great and would also taste great but it was a bit hard and did not taste that great.epicureantales.com",3,"2018-06-25 09:34:48",443,2461,4
"2997432","Best sweet shop in Hyderabad.. genuine quality and great variety.. must visit for bengali sweets and rasmalai. Items like dhokla & jhanvi are also too good",5,"2018-06-07 09:53:48",6,126,0
"42077031","Stay away from their Nallagandla branch. I ordered corn samosas, and inspite of confirming, if they are fresh, the samosas were old. The corn stuffing inside them was dry and the onion was burnt. Reason that they would have been fried multiple times. I am facing stomach issue, after eating their samosa. They should be given negative rating, had there been an option on Zomato",1,"2018-05-21 19:53:17",28,24,0
