"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"68350022","I go to the onsite shop and have some shakes there. They are too delicious 😋
I would rate there service as 4.5/5 , food as 4.5/5 , ambience as 4.5/5 .
I very much like the idea of writing the reviews on the wall, inside the shop itself.",4,"2019-04-30 14:00:49",6,0,1
"54372212","This tempteys is just near dlf building I drank choco brownie its yum to drink its orea n brownie mixture and its around 189rs.my friend drank mango shake its having essence taste rather than mango taste and it is around 145rs.i expected mangoes but no mangoes are their in that shake and its little disappointing.They write some note on the sticky notes and stick it to the wall.The ambience is good and enough space for parking too.",3,"2019-04-17 20:17:54",58,2002,3
"32914529","Great shakes.....I tried marshmallow and mint Oreo for the first time here....both were pretty good....but I would prefer the mint Oreo...but that's just me....Best spot for shakes in the DLF area....Check it out....",5,"2019-04-13 18:31:05",27,72,0
"37794020","We have ordered from this place and it has some amazing choices we could choose from. It has an option of gelato and avalanche for the base and I have choosen gelato.
Must try : Premium forest berry shake, caramel brownie shake, Peri Peri fries.
The shakes are super yummy and I had my best shakes here. I will definitely try some more shakes.",5,"2019-04-11 13:01:44",18,18,2
"2430514","Awesome shakes. Make your own shake is the best where I can choose from variety of options which the shake should be made of. The service is pretty fast. You can write your feedback/review on sticky notes and stick on the glass window and door.",5,"2019-04-01 11:45:35",101,530,1
"55506088","nice and good quality but my details not mentioned ",4,"2019-03-28 15:45:55",6,0,0
"50662428","Ordered potato wedges, and I found them very tasty and crispy🤗 served with salsa sauce and mayo, althought I beleive that packaging can be improved a lot.",3,"2019-03-28 13:58:38",8,18,1
"42927781","Drinks(4.5/5)- I think Tempteys and MOM rule the shakes world in terms of multiple outlets on Hyderabad.
Look out for little app/nearbuy for offers .
Shakes are good, chilly and refreshing.
My personal favorite being Oreo Shake.
Ambience-(3.5/5) The place is cool, can hangout and can have quality talk, as it is mostly empty and most orders generally are take aways.
One thing, they should at least keep the tables CLEAN. There were so many dead flies and insects on the tables which would bring disgust.
Service-(4/5) They know their work, prepare the shakes well. One suggestion is to provide water to the customers, as it seems ridiculous that you deny with the fact that you guys don't have water.
Wonder what u add in Shakes!!",4,"2019-02-12 09:57:09",84,182,2
"29263686","After a very long time had one of the best shakes when compared with nearby thick shakes this is lot better to enjoy better taste and this makes feel that this is what the shake is meant to be like ",4,"2019-02-07 19:10:53",70,86,1
"57629159","not that great taste it quality id say",2,"2019-02-06 01:50:52",7,2,0
"35718304","Ordered a butterscotch thick shake for home delivery. Good consistency but too sweet to finish the full glass. Will definitely try other shakes.",3,"2018-11-16 16:58:29",90,117,1
"48710268","We went in at 1am and yet its open. Ordered Custard Maple shake, crushed almonds shake, choco brownie shake and potato wedges. The shakes are categorized into premium and classic and each category has lots of flavors to choose from and the taste is amazing. They have all flavors of premium chocolates like lindt, toblerone to local chocolates of India. The containers that shakes are given in could have been of better quality.
There are only two snack items available French Fries and Potato wedges and I feel being such a franchise they should have added more options. But the variety of toppings given makes good sense.
Overall, I liked the quality of milk shakes.",5,"2018-11-14 18:23:04",10,13,0
"48372980","Since i am not an ice cream lover, still i ordered oreo brownie thick shake. The shake was good enough. Need to improve packing while delivery.
Price - 3.5/5
Delivery - 5/5
Taste - 3/5",3,"2018-10-23 08:29:49",90,148,0
"74174916","Nice place, food is awesome
Tried 4 milkshakes and one ice tea
-cheese cake
-merry berry
-choco coffee hut
-forest berry and
-passion fruit ice tea
I really enjoyed them all! 👍 And also the cheesy fries were really nice!",4,"2018-10-15 16:10:13",1,0,0
"76103425","Very smooth delivery and timing. Happy with the service :) ",5,"2018-10-14 18:05:22",1,0,0
"73290048","Hyderabad has been a place for food variety, I recently tried a dosa near by and today it was some drink I guess that tempted me😉.
A bright drink for a bright day!! yeah!! it's bright orange 😎 .. #Namesuitsthedrink#",5,"2018-10-12 17:52:34",2,0,0
"3201521","Caramel Brownie was the best I could grab here and I strongly recommend the same...
When it comes to snacks they have potato wedges and french fries with multiple flavors...
A decent outlet that can accommodate around 12 visitors.. pretty clean and pleasant ambiance...
The service could ha e been a little better, I always look out for friendlg staffs !",3,"2018-10-08 19:33:07",179,1202,7
"38090029","Perfect Taste...  satisfied to the brim.. Zomato delivery is super impressive 😉",5,"2018-10-07 17:04:40",6,21,0
"214198","Hey guys, your resturant sucks big time. If you guys cant deliver then put a big lock on your store. But please dont cancel after 2 whole hrs after confirming the order in 5 minutes. Never gonna order ever and will advice same to others. wish i could give a zero rating, dont deserve to be 4.4. ",1,"2018-10-07 13:54:21",2,6,0
"33160910","I had ordered Choco Brownie Shake and it was delicious. The quantity and packaging were great, and delivery was prompt as well. Gelato base goes well with the thickshakes.",4,"2018-10-06 23:19:35",93,240,0
"32560419","Couldn't help but indulge my sweettooth in this store located in the Dlf lane. India's first to introduce Gelato as base of their shakes. You can choose your base between gelato or avalanche, which is basically yogurt based icecream.
New menu is interesting. Happy to see savoury items on the menu as well.
Tried Coffee hazelnut shake - must say the coffee is neither mild nor overpowering, just the right amount and was good. It's loaded with whipped cream topped with choco chips.
Caramel Brownie shake--- now this is a stealer. Would give a 5 just for this. Probably the best caramel shake I ever had. Total yumminess. Even the colour is drool worthy. A must try here. Yes the sugar content is high and too sweet. Some pampering for your sweet tooth.
Peri peri fries - how interesting is it to get options for your fries, when you even love them as such. I opted for peri peri spice and it tasted good and is for someone who really like their fries spicy
Tried crushers passion fruit flavour which was okayish ",4,"2018-10-06 20:17:51",221,856,6
"32084316","Definitely a good place for the milkshakes and some munchies.
Personally i liked choco coffee hut and crunchy almond feast and the milkshakes feel so good with french fries and potato wedges.
Service is so friendly and quick, even the place feels so comfortable just go and grab a shake to get your self relaxed.",5,"2018-10-04 22:27:35",22,85,7
