"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"213321","Big fan of All day Breakfast in bed? Order from this amazing little eatery!
From vegetarian heart shaped nutella pancakes to a classic English breakfast with omelettes and hash browns they’ve got it all. 
They also have a dine-in available if you wish to drop by. Not to mention the place also whips up some amazing shawarma and rice combos. 
Juices to coffee, they’ve got everything you need.  All this without burning a hole in your pocket. 
In picture:
I had ordered their Nutella Pancakes and coffee: the packaging was perfect and the Nutella was well smothered. The coffee hadn’t leaked either. 
While the pancakes were true to being eggless the baking soda/powder was slightly overpowering. But still manages to be one of the best eggless pancakes joint for me. ",4,"2019-04-14 10:31:16",96,1068,2
"80535410","As of now, I have tried 2 rice bowls and 1 shawarma from here -
1) non veg green slimy monster bowl
2) veg the iron monster bowl
3) desi original chicken shawarma
All 3 of them i liked a lot, especially 1) and 3).
Me being a healthy food eating person, instructions of using less oil and less chilli were correctly taken into account by the restaurant and the taste also was great.
Quality and quantity were both quite satisfying. Great job.👌🏻👍🏻
One suggestion from my side will be to add calories, ingredients and nutritients information (for ex: protein, fat, carbs content; micro nutrients information) for each dish being offered. This will be very helpful for everyone especially for people like me who want to eat clean and healthy.",4,"2019-04-13 16:08:22",1,0,0
"33902052","I ordered Red Monster box mini for 95 rupees. 4 pieces of fried chicken were there. The taste was good. There was another box which had chicken makhani with biryani rice. The quantity was very less. It was not enough for one person. And the taste was also not so great.",3,"2019-04-11 12:39:56",20,10,0
"15737982","The place might seem small from outside, but you have quite a good space for seating inside. The place had offers when we went and we had veg and non veg rolls which were okay okay. The waffles here are amazing.
Must try the waffles here. ",4,"2019-04-10 02:24:33",10,1,0
"93510831","Rice bowls and shawarmas are very good.and tasty i had a chicken sabbha shawarama and iron monster rice bowl it had very tastey.. Nice restaurant amazing rice bowls delicious food ",5,"2019-03-19 22:22:57",3,0,0
"1817583","In love with their pancakes. 
I have tried classic pancake and chocolate chips pancakes, both were done well and recommended. 
Will definitely try other items from the menu. ",5,"2019-03-19 18:09:49",120,218,2
"60207848","We ordered chicken shawarma with salad and chicken pizza square we received free freebie along with this order we recommend this place I like to order more ",5,"2019-03-19 14:15:41",1,4,0
"52253812","I have ordered chicken shawarma with salad and pizza square and I have got free freebie along with this order am very happy with this order I like to order more from this restaurant",5,"2019-03-19 13:26:39",1,1,0
"2764592","I read about this place in best shawarmas listing in Google. And Ordered peri peri chicken shawarma. It's average because i regularly eat shah ghouse one's. For sure, shah ghouse is a lot better than this. And there is no reason to prefer this over that.
And for the coke drink they took 60rs for a 20rs bottle. Seriously?",2,"2019-03-17 00:39:53",7,29,0
"52169296","So i make videos on YouTube on food and books and the name of my channel is TheFoodie Bookworm and I just ordered randomly from the place because it was similar to the name of my channel, but I must say that I am super satisfied with the chicken Peri peri shawarma and the pancakes. They are just yumm. Do try this place out.",4,"2019-03-06 21:19:11",108,241,0
"67171427","Ordered for brownie which was completely dry and was not fresh at all. Choco banana Waffle was okay not so good. They send the food in big box which looks like will have good quantity. But will get a small piece and that is too tasteless",1,"2019-03-06 00:18:00",1,0,0
"98804843","Just now I have ordered chicken strips and pancake combo we like the food from here and chicken strips was crispy I like to order food from this restaurant",5,"2019-03-05 14:01:35",2,0,0
"32072614","Best place to order pan cakes in town. I have tried the pan cake with maple syrup and I must confess it was really good. The price is also reasonable. ",3,"2019-03-01 16:20:50",34,52,0
"29148567","Earlier my personal favorite was cupid crunchy chicken rice bowl. But recently i noticed that the taste has changed, the gravy is sour and the Chicken pieces are not crispy as they used to be.",4,"2019-02-11 17:05:51",32,319,0
"2475350","No maple syrup with pancakes and waffles.
If no maple syrup is to be included in your combo please specify it but serving pancakes and waffles without syrup or anything else is simply not acceptable. This is the second time this has happened. ",1,"2019-02-09 19:13:36",2,30,0
"15962386","Located near DLF, IIIT - This small place is mostly for Swiggy orders. Interior is simple and cosy. We had combo deals booked through Dineout. We were supposed to have pizza squares but they had run out of it. So they offered another shawarma instead. Shawarma and nuggets were served first. After waiting for sometime we got the mint cooler and waffles.
Food is tasty and delicious. However service is bit slow.
Will recommend for online delivery from comfort of home. Combo deals are really easy on pocket. ",4,"2019-02-08 10:55:39",74,210,1
"52508065","We dropped at this place on Sunday morning for breakfast. It's a small cafe with quirky posters and phases on the wall which will definitely catch your attention.
Coming to food, we ordered two combos : shawarma + Nutella waffle + citrus mint cooler and best of both worlds. We also tried spiced bell pepper omelette which was really good. Other items were average, nothing great. Quantity of the food was good.
Ambience - 3.5/5
Food - 3.5/5
Service - 3.5/5",3,"2019-01-28 16:50:07",21,78,1
"2571704","A wonderful place for some good pancakes. Their chocochip and Nutella pancakes are on point.
+ their waffles and fried chicken is a great way to start the day too",5,"2019-01-28 10:56:13",124,370,0
"57834788","I ordered French toast but didnt taste like french toast.Chef team can work on this for a better output. There are very few places where french toast is available, if the taste is improved this place can lead.",3,"2019-01-26 18:49:39",2,0,0
"1251399","I ordered a green chicken rice bowl (large).it had less than 10gms of chicken forget about the box size ,shawarma would have had more quantity.I don't know what would I have got if I said small portion.Totally bad experience.",1,"2019-01-26 13:36:48",11,329,1
"1777677","First Impressions: Not a place for breakfast for sure. They aren't ready for dine in customers.
Tells you blatantly that your order will take time (more than 40 mins before I placed the order). I checked in at 8 40 am!
Ambience is a great miss for sure. Super duper uncomfortable seats.
Add:
The pancakes are very average. Could be more fluffy.
They did not have waffles, so i can't tell.
Eggs: shambles not scrambled. Over salty in places. No salt in rest of the place. Why are you charging so much if you can mess up eggs.
Tea: the only reason I beimg kind and can say 2.5 is tea. Lovely tea. Quite a hassle btw for just tea though 😂",2,"2019-01-20 08:41:28",18,146,1
"41982703","I had ordered 2 varieties of shawarma. The order reached on time. The packaging was good and the Shawarmas itself were hot, creamy and delicious. It was wrapped in foil paper and quantity was sufficient wrt price. I used the 50%off coupon from Zomato. I recommend this place.
If you found this review useful and think my opinion is justified, please hit the 👍🏻 button and maybe even give me a follow. I'd really appreciate it 😁
May great food await you.
#Thefoodpotato
Find me on Instagram || Facebook || TwitterAnish Mahapatra || Thefoodpotato ",4,"2019-01-17 09:34:03",99,944,1
"36953387","Food is a bit spicy.
Otherwise it's quite good and tasty.
Chicken popcorn were very good and the chicken was soft.
The rice bowl had a nice combination of ingredients.",4,"2019-01-14 16:10:43",7,9,0
"51906130","We have ordered a chicken strips and chicken popcorn the chicken was yummy we like to order more from this restaurant we recommend this place ",5,"2019-01-05 11:08:08",1,1,0
"62337509","I orderd chicken strips and egg waffle witch from here.... Strips was very tasty and waffle witch is awsme... Will order again from here.... ",5,"2019-01-04 21:29:41",2,1,0
"88758785","Nice place for Shawarma, rice bowls and chicken popcorn. Cute little place with crazy posters... Cool place to have chitchat over tasty snacks",5,"2019-01-04 21:22:56",2,0,0
"88595457","I orderd nutella waffles and peri peri chicken shawarma from here.... waffle was very tasty and shawarma i loved it...will visit soooooooooon nnn............",5,"2019-01-03 17:18:32",1,0,0
"29092415","An excellent get together place for a small crowd and their food choices are awesome .. we can enjoy some nice music and grrat food at best price :)",5,"2019-01-03 09:56:12",5,6,0
"52519899","I just now I order periperi chicken shawarma and chicken popcorn, veg greenslimy risebowl test was good and packing is great I got it very hot food .............................. My favorite restaurant the foodie monster kitchen 😄😄😄,.............................................................................................................................................. ",5,"2018-12-30 14:15:13",2,1,0
"38836402","Delivery Review
What a shawarma it was.. I ordered twice from this restaurant, though it has been quite while since I ordered, my bad.. The good things need to be acknowledged whthr late or early it doesn't make any difference. Let's start with the review. I ordered
1. shawarma
2. colddrink
3. waffle+ ice-cream for the frst time and secomd time I onlu ordered chicken shwrma.
What a treat it was to look at the packaging taste and everything was so good.I am quitd impressed by their service. They need to work on just one thing.
Imrovement Needed
The portion size should be a little more.
taste:-5/5
appeal:-5/5
quantity:-3/5The Foodie Monster Kitchen ",4,"2018-12-23 06:43:00",26,19,0
"38735838","Just ordered special desi chicken shawarma from this place and was the worst shawarma i had lately, very very less chicken filling and dull flavour. Not at all worth the price.",1,"2018-12-22 01:13:19",3,1,0
"55689816","A good place to have value for money food , the staff is quick to respond and polite , what I didn't like was the hygiene as some kind of foul smell was in the restaurant also the lights are not up to the mark which needs to be improved and the temperature inside was kind of hot even in winter.
When it comes to food it is very good with good cost and tasty , we had desi shawarma , Peri Peri and chilli garlic shawarma regular size , all of them were really tasty , their other options are also a must try.",4,"2018-12-10 02:02:09",42,68,0
"72386965","Ordered pancake breakfast combo, quality and packing of food is really good, one of the best English breakfast for reasonable cost, Delivery was also quick. ",4,"2018-12-09 14:02:07",4,0,0
"34009097","I aplogize for posting the review so late (after a year or so) but yes, the memories are still fresh in my mind. I must say that this one is actually very special to me.
This is the first place I came with my best friend. He forced me to come out of my room and asked me to decide about the food. Shawarmas. That was it. I saw that I could try the vegetarian version here, so I was happy.
We had our respective types of Shawarmas: he had chicken and I was more than joyous about having the vegetarian one. We got to listen to good music, hear the incessant chatterboxes talking out loud but we found silence in our own way and conversed about our ideas. It was good food, good company and a great experience. Just that, it can hurt your pocket a little! ",4,"2018-12-01 22:53:17",122,636,0
"52706923","Ordered online..
If you hate those colorful add ons on the food same as me, better to instruct them before, as they add those on all items 😠🤣
Apart from that all good
Fav here: Pancakes and waffles.
My Rating:
Taste: 4.5
Speed of Delivery: 4",4,"2018-11-26 23:05:24",10,3,0
"37717465","Ordered classic waffle from the foodie monster kitchen, Gachibowli and it was so yummm! Beautiful balanced taste, no overpowering egg smell, a little crisp outside and soft and fluffy inside. Plus, the prices are also reasonable. Good find, will order from here again.",4,"2018-11-18 13:47:05",42,1379,2
"39128844","I ordered garlic bread and cheesy fries with lots of hope since it had a 4.0 rating in zomato but sadly it disappointed me to the core , the garlic bread was as small as good day biscuits and  very hard to bite while the cheesy fries were very cold and not at all consumable!",1,"2018-11-12 00:39:59",10,33,0
"16158866","I've ordered chicken pizza squares (6pc). I waited for almost 20 mins. They served 6pc of sandwich bread topped with some chicken. I thought that they've served it by mistake. I asked the staff and they confirmed that the served thing is called ""Pizza"".
I wish the name in the menu is changed to something else.. or mentioning the recipe beside name could help in choosing the right food.",2,"2018-11-08 14:31:09",3,1,1
"32048926","The food undoubtedly tasted amazing - ordered Crunchy Rice Bowl. Will definitely order again. However the delivery was delayed by around half an hour, so, work on the delivery time. Food is great anyways❤",4,"2018-10-17 00:17:56",32,104,0
"2388974","Loved it.
The shwarmas, the fries, the garlic bread and all the amazing dips that they serve are lip-smacking!! 
After eating his full course, one still craves to eat more... That's how tasty it is. 
Cheers!!",4,"2018-10-15 00:21:34",144,673,0
"39079758","It's a small funky place, with funky chairs and tables. It's a lot bigger than it seems from outside. A low key place with less people traffic. Food is average. It's self service there. So overall it's an okay place. ",3,"2018-10-13 19:01:22",16,8,0
"46659340","A sincere request, don't try waffles from here. Tried a Nutella waffles priced at Rs 199 and they just put half a spoon of Nutella on three quarters of waffle. Expected a lot more, disappointed.",1,"2018-10-12 01:58:55",1,18,0
"29562497","This place is very common to the corporate people who work in DLF and its premises for its reasonable price and food with perfect quantity and quality .The only thing i would suggest everyone is do not opt takeaway/homedelivery for waffles because when hot waffles are made they are immediately stored in plastic boxes due to which hot air is released by the waffles and condenses in the box itself thus it becomes very soft and disgusting to eat .I have ordered Best of both worlds (Reg. Waffles,pancakes,scrambled eggs and cold coffee)and Veg iron monster(panneer biryani and coke) pancakes were yummy along with maple sauce,scrambled eggs were amazingly toasted without using much oil.panneer biryani was just ok a bit more flavoured.Cold coffee tasted like regular one.Packing quality needs to be improved.",4,"2018-10-07 23:31:38",87,320,6
"53132365","They just cancelled the order after an hour. This was not at all justified and not at all accepted. Had a very bad first experience of the restaurant ",1,"2018-10-06 11:22:23",1,2,0
"48392913","ice cream low in waffle treat",3,"2018-09-25 23:20:42",6,1,0
"63853845","Ordered peri peri fries online today . The fries were damp and cold. A suggestion to the restaurant to please not to accept orders if you cannot maintain quality ",1,"2018-09-24 21:12:11",23,25,0
"71863059","Kindly try putting more stuffing in the waffles.. we ordered two but it was all bread hence couldn't eat any. Ice cream waffle was all melted.. kindly remove it from online if we are unable to deliver with dry ice. Banana caramel waffle was all dry.. expecting better qualities for the next order. Thanks a lot!!",2,"2018-09-22 14:51:00",1,0,0
"33905377","Had one of those afternoon sweet cravings, so tried this place. I ordered a Caramel Banana Pancake
Add On : Maple Syrup. I also received a mini waffle for free thanks to zomato free dessert offer. Both the items are really yummy. I would love to try more from here :)",4,"2018-09-20 11:58:09",97,97,1
"516257","Have ordered their Mocha Waffle and not very impressed with their packing.
Expected it to be on the softer side considering the time it would take for delivery. Even then, it tasted good.
And the Peri Peri fries too.
Have bookmarked this place to visit and what a time to give it a try.
Will look forward to order again.",4,"2018-09-19 13:35:24",64,286,1
"51722418","The breakfast was delicious. Though tea was extra sweet but overall the flavour and aroma was great. Loved it. ❤️ Great conversation on phone as I modified the order after order was placed. ",5,"2018-09-19 10:22:18",6,1,0
"2162600","Late night delivery scenes sorted! 
They have a decent size menu for all kinds of late night hunger. Had called for anda Maggi and a chicken sandwich! 
Packaging can get better but value for he moment in place, I am not complaining much! ",3,"2018-09-18 16:05:32",125,1810,0
"16467292","Extremely soggy and no flavour at all. Worst waffle i had",2,"2018-09-13 13:59:53",1,13,0
"44237244","Delivery review
What I ordered - best of both worlds which is a combination of waffles and pancakes served with scrambled egg accompanied by choice of beverage which I choose tea
Price - 199 plus taxes.
Food review - the food was in general leaning towards healthy taste though it was not mentioned as such. The scrambled eggs were without any kind of spices and just tossed in butter. Pancake was nice and fluffy but the maple syrup was too less to enjoy it fully u can see the pics. Waffles tasted bland but may be coz it was just plain waffle and it was too hard thumbs down 👇. Tea was really nice and was warm enough and they provided a disposable cup which was quite cute. Special mention to the superb packaging and value for money which urged me to give an extra one star though the food was a 3 🌟🌟🌟 for me. Over all if u r health conscious may be it's an absolute visit for u but for me 3 and half for now till next time. ",4,"2018-09-11 22:54:42",23,330,1
"37111569","Service is horrible, the food is good tho. I don't recommend going here to eat, but ordering from or just coming mid day is fine. The eggs were well made. ",5,"2018-09-09 11:43:18",70,1360,1
