"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"41873117","Follow us on Instagram @food_hud to know more.
.
Had these 2 amazing bowls: Chicken Tikka Mac n Cheese Bowl and Paneer Tikka Rice Bowl ✌️
.
Both were superb in their own way.
.
Just one suggestion, the content of cheese could be definitely worked upon. Then, these bowls would be unstoppable.
.
Overall, a great experience!",4,"2019-05-13 16:11:47",34,47,10
"45755942","Friends, please don't choose this even by mistake if you want to order online. They took the responsibility that they would deliver the food instead of zomato vallet and later didnt receive the call. They delivered my food after lots of complaint and 50 minutes after the promised time. Worst experience.",1,"2019-05-12 09:58:10",2,1,0
"47141901","A rice bowl to me is comfort food, when I’m lazy, this is what I’ll crave. 
A place I trust to get my kind of food bowl is ‘The Good Bowl’.
They have lots of variety and it’s so yummy!
I’ve tried 4 food bowls from here, both veg and non veg. All of them were lip smacking and delicious!
I also received a chocolava cake with my order, soo happy!
Will definitely order again :)awhitedandelion.me",5,"2019-05-03 02:25:46",73,360,0
"94202248","Quantity provided was very less, taste is ok ok.
I ordered a bowl of Chicken Biryani. As per the price of the product the quantity was very less. We can get much better Biryani for two persons in the same rate.",1,"2019-04-30 00:04:47",1,0,0
"58685276","Order get delayed with missing item in my order. Food taste was average , the delivery boy himself given rating of 5 for this order. I ordered with green apple swig but I didn't received it. ",1,"2019-04-29 15:01:39",1,0,0
"89634413","Very very bad my money vast
Smell coming you froad me next never Odder this restaurant please Remove Zomato they chited us zomoto please answer me",1,"2019-04-28 19:37:21",1,0,0
"30921630","Ordered Dal Makhani Rice bowl and Malai Chicken Tikka Rice bowl.
Malai Chicken Tikka Rice bowl had yellow rice with chicken pieces, some gravy and some veggies. which didn’t taste or look like Malai chicken but more like chicken tandoori. This bowl tasted average.
On the other hand, Dal Makhani Rice bowl was really good. Rice had good flavours and Dal Makhani was upto the mark. There were also some veggies added.
Must try: Dal Makhani Rice bowl
Instagram: @chukchuk_bytes
Facebook: @ChukChukBytesOfficial",4,"2019-04-26 18:36:39",63,176,1
"36387823","Had an amazing time tasting these ""GoodBowls"" ❤️
Delivered on time piping hot , these bowls contain a perfect balance of protein and carbs, loved their proportion of food.
Of chicken roast bowl and chicken tikka bowl with omlett , amazing combo with veggies like olives, bell peppers and corn!!
The rice is flavourful not spicy not bland, the chicken had a nice BBQ flavour to it.
However the gravy served along with the rice can beads much better and would be great if packed separately as it becomes too messy in the bowl!
Kudos to the team!!
Taste : 3.5/5
Packaging : 3/5
Price : 3/5
VFM : 3.5/5",4,"2019-04-26 05:09:57",57,51,3
"90181498","ordered the food but the delivery guy delivered to a wrong address...... and when complained no actions have been taken and in fact, they troubled me till midnight .... but no actions have been taken even if it was confirmed that food was delivered to a wrong address..... faced such a pathetic service for prepaid order.... didn't even got my money back.....by posting it here I hope zomato and the restaurant will take necessary actions......",1,"2019-04-17 09:57:38",1,0,0
"52230352","don't do order from this restaurant.it is worst restaurant in zomato.it provide services too bad.
in my order, food prepared for 1:30 hours then cancelled my order.
you can see the chat between me and zomato service provider.",1,"2019-04-12 01:32:55",2,1,0
"39209847","About Rajma Rice Bowl , Rajma was good in taste but quantity was very less compared to rice. And rice tastes more like biriyani rice less like plain rice. If you don't love experimenting with food and looking for the taste of home made rajma rice then it won't make you happy otherwise it's nice .. ",4,"2019-04-05 14:57:51",1,15,0
