"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"27924741","Awesome dal makhni ,just like u get in Amritsar,loved the experience,looking forward to visiting it again,absolute punjabi taste ,complete value for money ",5,"2019-05-15 19:45:23",1,17,0
"15774506","1 star only for okay-ish cheese chicken paratha.
As the rating is 4.6, we came to this place with high hopes.
The food is 'feeka'. I ordered aalu cheese paratha, chicken cheese paratha, chhole bhature and corn tikki.
Bhature had a weird taste of burnt oil. Chhole were tasteless. And the corn tikki was the worst. Also it was raw. Not cooked properly.
If you're craving for some tasty north indian food, don't come to this place. ",1,"2019-05-13 22:19:53",2,28,0
"1529346","Came in with great expectations and boy did this place miss the mark ! Ambience is alright, summers are brutal here so my 2 cents would be to bring in additional coolers or fans. Anyways coming to the main part which was the food : Tandoori Chicken : Good mighty lord, the chicken was hard, chewy and dry on the inside. Clear signs that it wasn't freshly prepared. 
Cheese Garlic Naan : Not sure but the naans had a coat of yellow on it. Eitherways, they just apply cheese on top and not on the inside which is the usual case. It looked terrible from the minute it hit the table and it got so dry after a few minutes that it was just a turn off. 
I did enjoy the lassi a lot, the paneer item was alright but overall given the rating and the expectations that brought with it I was quite disappointed.",2,"2019-05-12 18:25:53",37,304,0
"744965","Best Dal Makhani Ever!
What should i say about this place😍. One of the best places in hyderabad for north indian lovers. Dal makhani, chur chur naan and kulchas. Simply loved them. The mango lassi added cherry on the cake. Mind blowing food, highly recommended and a must try for every north indian food lover.
My Ratings :-
Food - 5
Ambiance - 4.5
Service - 5
Value for money - 5
Overall - 5
Happy Fooding :)",5,"2019-04-29 10:08:43",179,1889,5
"1161222","In my 27 years in hyderabad, i have never liked a single north indian restaurant till i entered the punjabis swag. Being born a north indian and after spending some time up north ive had such amazing food there that i have always had this complaint that we in hyderabad dont make good north indian food. For years now i had been avoiding north indian restaurants to avoid disappointment when one fine day i decided to check this place out. It turned out to be one of the best decisions of my life.
The ambience is pretty cool, a very lively place. We went there late so it was easy to get a table. We ordered amritsari fish, malai tandoori, chur chur naan, chawal wala chicken, kheema pav and a patiala lassi. Let me first talk about the dishes i enjoyed. Chur chur naan was out of this world, i was not expecting it to be soo good. They had a typical aloo ke parantha ka stuffing in a naan which they crumble top it with butter and nuts and serve it hot with chole chutney and raita. I am in love with this dish. Kheema pav was the best i have had in any restauarnt in india. Kheema pav is my litmus test and trust me most restaurants have failed in it. These guys just killed it. 
Coming to the other dishes, the fish amritsari was pretty average maybe because i was expecting alot coz i had tasted the other things first. The malai tandoori was good and the chawal wala chicken was pretty mediocre. Coming to the patiala lassi, i am not a big fan of lassi and there have been very few places in the country where i have loved lassi. This place would be on the top 3 in that list. Perfect consistency with right amount of sweetness and dry fruits. Amazing is the word. 
Cant wait to try their butter chicken and the other amazing dishes that they have. I cant believe i have a new favourite north indian restaurant in town.",5,"2019-04-25 03:38:37",81,64,3
"60967223","This was a totally unplanned visit to the restaurant. We ordered:-
1. Paneer Bhurji (I'd have preferred with a little more gravy but that's a personal preference)
2. Schezwan Fried rice (It is spicy as expected and be ready to get your tongue rolling)
3. Tawa roti and gobi paratha
4. Shikanji (The standard nimbu sharbat)
Overall the food is delicious, the ambience is a unique dhaba style setting and the service is very good. Would definitely visit again..!!",5,"2019-04-20 19:58:38",6,0,1
"53716589","Oh the food. The FOOD!!! Just go there and treat yourself. The staff is really nice too. When we can't figure out where we want to eat, we always end up here. ",5,"2019-04-18 20:06:54",16,10,0
"52721752","I had an unplanned visit here. We were going in some other restaurant but my friends got tired of walking and found this one as nearest restaurant. So i had no expectations going in but it turned out to be one of the Amazing restaurant the taste the ambiance the quality the quantity each and every this was good and mos important the lassi was the best part of the meal. Will give 6 🌟 to the lassi specially.",5,"2019-04-10 20:46:58",24,8,1
"55132223","Guys yes it is The Punjabi Swag in Hyderabad ,please try the lassi i m sure you will not find such yummiest lassi anywhere else in hyderabad and Churchur naan and what not everything was awesome , The ambience was typical dhabha atmosphere ,a must try place for Punjabi food lovers 😊",5,"2019-04-09 22:40:45",2,4,0
"104635639","Awesome food.... definitely should try butter chicken and chicken starters.
Loved the lassi and gulab jamun at the end.Overall experience is awesome",5,"2019-04-06 00:56:03",1,0,0
"373093","The phone number given here is wrong. We had our lunch here and ordered chur chur naan, dilli de parathe, chaas and pan lassi. Green chutney with parathe was delicious and there were 3 types of parathe- nimbu Mirchi, aaloo and pyaaz. Our lassi was not cold but when spoken to owner Mr. Sandeep Singh he replaced with colder one. Nice gentleman to be in hospitality business.
Must try place, with fultoo Desi ambience and Punjabi songs.
Thumbs Up!👍",5,"2019-03-23 14:59:01",16,35,0
"52388199","Desi food.
Food is very tasty and yummy. Place is very clean and nice.
And if you go there, gulab jamun is must. And it is rate is reasonable too. ",5,"2019-03-21 00:54:40",2,1,0
"36459124","This place is heaven for foodies. Extremely yummy food. Flavours are top notch. Must try items: kheema pav, chicken ludhiyanvi, punjabi chicken, paan lassi, fish amritsari
However some dishes were little disappointment as i had high hopes for delhi food. Such as chur chur naan, choley bhature, and dilli wale swag parathe (tale hue parathe).
Nonetheless, this place is a must try for all food lovers. Highly recommended",5,"2019-03-18 10:53:29",14,22,0
"38201383","A fantastic Punjabi place located just opposite Gachibowli flyover. The ambience is good but nothing lavish though the food is extraordinary.
I was there with my squad and we were craving North Indian Punjabi Food and Punjabi Swag was at our rescue. The food was very delicious.
We started off with Malai Tandoori Chicken, Paneer Tikka, Murgh Reshmi Kebab, Fish Amritsar, Nimbu Mirch Chicken, Crispy Corn, Papad Paneer, Schezwan Prawns, Chur-Chur Naan, Dilli Waale Swag Parathe and Paneer Bhurjee te Naal Pao as appetizers followed by amazing Like with various flavours including Pan, Green Apple, Aam, Blueberry and Plain. Malai Tandoori Chicken is a new concept and was absolutely delightful. Schezwan Prawns and Parathe were brilliant as well. Tandoori was tender and grilled to perfection. Loved it.
For maincourse we had Boneless Butter Chicken, Mutton Masala, Dal Makhani, Lacha Paratha and Butter Garlic Naan. My favourite was Butter Chicken with Garlic Naan which was creamy and cooked well.
We were already so full, just had Gulab Jamun as dessert and it was fabulous, soft and sweet which summed up our amazing dinner.
Service by Tanmay was quick and his recommendations played a big role for us to enjoy the feast. As my friends live nearby, they enquired about Home Delivery and were informed that the place is known by CHAKHH DE PUNJAB exclusive on zomato only.
Overall, an exclusive affordable and delicious Punjabi Cuisine Restaurant in the midst of Gachibowli. A must try for their wonderful food.",5,"2019-03-17 17:29:48",129,599,10
"43492695","Visited this place after reading reviews in zomato. It met the expectations. Authentic punjabi food served at Dhaba style decor. Ordered paneer bhurji with Pao , Churchura Naan and Swag parathe. All were great to taste. We ordered Green Apple , Blueberry and Pan lassi. Lassi served was not cold enough.Would definitely visit again. ",5,"2019-03-17 08:09:24",5,5,0
"43972369","Used to really like the real ghar ka taste (home food like taste) in this restaurant but was disappointed after my last visit. The food was stale and the lahori chicken literally had no chicken. ",3,"2019-03-15 21:27:13",3,1,0
"52831427","Punjabi food to the lovers of this cuisine. The place is designed to give a Dhaba style ambience with the stereotyped witty Punjabi quotes on the walls and “Charpai” for seating, If you want to get a flavour of Punjab...go to this place.
The ambiance of the place is proper dhaba style with live counters for all the different types of breads and their names written on boards in quirky Punjabi language
The Punjabis Swag is famous for it's Punjabi dishes. Apart from Punjabi dishes they also serve Chinese and biryani. They also serve all kinds of Indian breads.
We have a handful of Dhaba themed restaurants now that serves authentic Punjabi food in Gachibowli
Then the owner of this restaurant Mr. Paresh had suggested us one more dish that is Dilli waale Swag Parathe. It was the just out of the sky! The taste I can never forget, thanks to Mr. Paresh who had suggested us this dish amazing
Next we had a couple of parathas, Chur-Chur naan and Dilli walle Swag parathe, served with the Punjabi Chole curry. Both of these were luscious and absolutely delicious. Then we had Paneer Bhurjee with Pao. A little different from the usual Pao Bhaji. It was quite good.
My favorite dishes, Malai Tandoori Chicken. This is my all-time favorite dish but here it was totally different, perfectly marinated and topped with malai. It was juicy, really amazing. Then we moved to some paneer-shaneer, we had Paneer Tikka. Large pieces, soft and tender to the core, it was very good
Our amazing dinner with the traditional sweet of Gulab Jamun.
#shahzadeadilali_official",5,"2019-03-15 17:39:14",19,21,8
