"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"32992055","The dosas are really good over here. It's crisp and tastes fresh. Chutney has proper consistency. Sambar could have been better. Value for money",3,"2019-03-02 14:13:32",207,299,1
"38021566","Ordered dosas from this place many times. Love them. They serve it with Sambhar and coconut chutney with good quantity. Pocket friendly prices and quick delivery. ",4,"2018-09-03 14:03:45",77,305,1
"52575525","the chutney is smelling and Dosa is also bad..................................................................................................................................................................................................................",1,"2018-08-23 13:10:23",1,1,0
"62633518","good",5,"2018-08-17 10:18:23",2,1,0
"65327225","worst tiffin 😡",1,"2018-08-13 09:53:26",1,0,0
"51607150","Good",5,"2018-08-04 09:52:32",5,22,0
"51741671","very gud",5,"2018-08-02 10:34:48",1,1,0
"53144216","Good",3,"2018-08-01 10:35:00",2,13,0
"46625313","Ordered puri and upma dosa, delivered 2 masala dosa. Taste was okay but quality is not good. ",2,"2018-07-31 12:17:30",1,1,0
"62563943","I",5,"2018-07-31 10:19:35",2,0,0
"52101835","good",5,"2018-07-29 12:57:46",1,11,0
"29083544","accepted the order too late",4,"2018-07-29 10:07:49",1,25,0
"52544051","",4,"2018-07-28 08:49:53",1,1,0
"51316297","super",5,"2018-07-28 08:36:33",1,28,0
"55621792","super delivary",5,"2018-07-27 11:00:47",0,1,0
"55537565","👌 ",5,"2018-07-27 10:47:08",0,2,0
"51622984","idli became too small",2,"2018-07-27 09:34:08",8,8,0
"57974390","gud",5,"2018-07-27 08:23:26",6,0,0
"51622984","poori not good",3,"2018-07-26 11:13:06",8,8,0
"51622984","the masala is not good ",2,"2018-07-25 11:11:24",8,8,0
"56387618","taste and quality should improve ",1,"2018-07-24 11:01:20",3,6,0
"52148397","good",5,"2018-07-24 08:54:59",3,1,0
"61499106","delivery boy good response",5,"2018-07-22 18:41:21",4,0,0
"59022976","superb ",5,"2018-07-22 10:44:22",5,0,0
"50746051","Good ",5,"2018-07-22 09:23:10",4,1,0
"61499106","antime",5,"2018-07-22 09:03:44",4,0,0
"61691756","nice",5,"2018-07-21 10:36:01",1,1,0
"51622984","two uttapam is over roasted and it is unable to eat",1,"2018-07-20 10:28:57",8,8,0
"51075839","very good",5,"2018-07-19 10:57:08",4,0,0
"55767071","Good delivery ",5,"2018-07-18 08:47:26",5,5,0
"57291426","Good ",5,"2018-07-10 10:06:19",1,2,0
"59416077","good ",5,"2018-07-10 08:55:58",1,0,0
"59837322","the masal utappam is not correctly boiled.",1,"2018-07-07 11:11:01",2,1,0
"57634382","its better",3,"2018-07-06 13:32:12",2,0,0
"52263057","nice",5,"2018-07-06 10:35:10",9,1,0
"59050696","in mashala dhosa thr is no mashala ",1,"2018-07-03 14:07:31",1,0,0
"57335666","good",3,"2018-07-02 11:31:13",1,1,0
"50560762","got no curry for  puri.... upmadosa is not good",3,"2018-07-01 13:58:18",1,1,0
"40101960","good food",5,"2018-07-01 11:10:29",2,2,0
"57648962","",5,"2018-06-30 09:38:34",1,0,0
"30364411","can't give above 3 rating",3,"2018-06-27 10:26:03",7,47,0
"390963","Timely delivery via Ubereats..
Masala dosa not worth the price 35/- quality and quantity wise....I get an excellent masala dosa @25-30/- with bigger size and generous stuffing of masala, onions etc....Masala doesn't mean only mashed boiled potato inside.",2,"2018-06-25 09:03:36",114,530,0
"44134865","The tiffins are not at all good there is no salt in chutneys even in dosa waste of money.",1,"2018-06-16 10:58:10",2,5,0
"54176790","Chuntey was not a good. And puri is also not good ",2,"2018-06-16 10:41:13",1,0,0
