"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"1710173","The place is not worth going. Too overrated and over priced. From starters to desserts, the food is not worth the money and not tasty. They don't charge properly for Zomato gold, you have to check the bill carefully for the items deducted under gold 2+2. I would rate the place as:
Food- 2/5
Ambiance- 3/5
Service-3.5/5
Value for money- 2/5",1,"2019-05-12 23:27:43",39,530,0
"226110","Simply the best Asian restaurant in the city. So fresh and lively food. This will enhance your health as well. I am vegetarian and I like the way they decorate and combine the veggies. Must try corn cubes, vegetable pan fried noodles. 4 star for the service which needs improvement. ",4,"2019-05-07 15:26:06",29,61,1
"1454847","This is my second visit to this place. Like the Ambience much and cool place to chill out. Had been there along with a friend for dinner. We didn't want to go for Buffet for sure, so it was ala carte.
Angara Murgu Kabab, Rara Ghost and Butter Naan... Starter was with much salt and lemon... Rara Ghost is nice, perfection at it's best... Was a good combination with Butter Naan...
Service was very nice and as I said earlier nice ambience... ",3,"2019-04-28 19:16:13",78,76,4
"1194201","Visited Urban Asia based on their rating and reviews. However, we were utterly disappointed. We visited the Gachibowli location of the restaurant and it is clubbed with East India Co. The waiter handed us the ""Signature"" menu and that is when the ordeal began. Most of the signature dishes were unavailable. It was surprising since it was a Saturday and I assumed that the restaurant would be well prepared to handle something important as their Signature Menu. Eventually, we had to settle for the buffet which was priced at 650++. Overall a disappointing evening.",3,"2019-04-26 10:04:42",3,0,0
"45800643","We have been there for team dinner for a buffet. Ambience is good. Food is decent but serving is not at all good. You can neglect this as we have lot of options aroubd Gachibowli ",3,"2019-04-15 14:54:11",16,11,1
"15763529","This is one of the favourite food spots in Jubilee Hills but this outlet they have started in Gachibowli too been here with cousin..checked out Menu for having different thing and ordered starter Corn and Cheese Crudettes in smoked Butter Garlic..it was really yummy and the best starters I had in recent times and had Aamir’s and Gautam’s Anda Bandi Fried the name itself was catchy..Taste was also perfect..was spicy and Yummy ",4,"2019-04-11 02:32:01",62,115,7
"1714759","Amongst the so many options now available for dining at Gachibowli, Urban Asia is difficult to ignore both for location and food. Getting in there if you are driving can be tricky sometimes since there is too much traffic in a narrow lane. However, they have a valet in the basement and you can park there and head over to the 4th floor which actually is a mix of a few restaurants. The place offers both buffet and a-la-carte options and you could choose what you like. We ordered Pad Thai noodle and chilly Tofu. I have not had such soft and delicious todu in a long time and was happy to have given that a shot. Moreover, the portion size was fairly decent. The Pad Thai tasted slightly sweet to my wife's liking but again flavoursome and good portion. The place was quiet and you could enjoy your food in peace. The staff is courteous and service is prompt.",4,"2019-04-09 13:41:20",174,216,0
"46388335","Used to be a frequent visitor at this place. Was total disappointed yesterday night . Food was aweful to taste. Chicken starter in bean sauce was bitter in taste. They we're serving what they deemed fit for us and not as per our order. Chicken lababdar was wanting in taste, fennel seeds were used and curry was as thin as a soup , no one was nearby when serving were required. Service is what we look forward to when dining in your restaurant.Either there was change in chef or some other temporary issues. Hope it would be fixed soon and we will not be disappointed when dining next time with our friends.",5,"2019-04-07 21:07:25",2,1,0
"22092","The place has the best Asian food options. The nasi Goreng here is authentic and taste like it not like other restaurants where they just give u fried rice. The pork fried rice is very tasty as well. ",4,"2019-04-03 11:12:36",4,5,0
"1627427","I went to Urban Asia on a date and we had planned to have sushi. Sushi was not available at all. We were heartbroken. ""Sorry Sir"" became the theme that night. Date went dull. ",2,"2019-03-27 11:00:46",74,1134,0
"14300271","The staffs are very Friendly and polite... This is one of the best Chinese restaurant in Hyderabad, i suggest this place to all the people who love authentic oriental cuisine. ",5,"2019-03-26 21:10:27",5,113,0
"30660581","Ambience is just decent, but The food is justtttt mouth watering!!!Have tried  Nyonya- it was heaven....A must try dish!! The signature dishes are the best..",5,"2019-03-25 22:00:55",8,7,0
"2746120","Visited on a weekday for a quick dinner. Ordered the Kung pao chicken , mojito and schezwan noodles. Food was very delicious especially the king pao chicken. Will definitely go back to explore more. ",4,"2019-03-22 21:49:26",62,189,0
"3882191","The food was not made well and the service needs a lot of improvement. The pad thai was too sticky and the thai green curry was very watery. They didnot have ice to make drinks and we were kept waiting for a very long time for the bill. The outlet needs better management. Unhappy with my visit here.",1,"2019-03-22 14:43:11",9,2,0
"15980641","We have been to Urban Asia - Kitchen & Bar, Gachibowli. We ordered crisp noodles (shrimps) with sweet and sour sauce which was obviously a wrong choice. Crispy noodles is never a right choice (at least for me) wherever you go and sweet n sour soup with shrimps just made it worse. I am a seafood lover and the quantity and size of shrimps didn't justify its price. Next was Standing Pomfret dish in schezwan sauce...which turned out to be a disappointment. Who prepares pomfret in all-purpose flour? It was not good at all. ",1,"2019-03-04 20:44:55",8,9,1
"15744469","Love this place for food. I recommend Tamang chilli chicken , heaven on a place . Hakka noodles not so impressive. I always go for à la carte . Buffet menu not so tempting. Staffs are courteous and service is good . ",5,"2019-03-02 18:32:35",11,31,3
"46072191","Food is very nice, especially chilli lamb and honey chilli potato is amazing. Good thing with this restaurant is it consists of three different menus, the thing I'm saying is we can eat three different restaurants menu food in single place. Drinks collection is also good. ",5,"2019-02-26 22:45:28",12,4,0
