"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"990863","I have visited this place for breakfast buffet. The ambience is nice and clean. The staff of the place is really polite and efficient in management.
They offer varieties of options for the breakfast. Juices, chocolate shake and honey carrot juice were present for the starters. They have 5-6 options in fruits that are cut in pieces as well as kept whole fruit in the basket too. Chicken salad and cottage cheese salad were amazingly prepared and were healthy options for the breakfast.
Noodles were too sticky and not at all good in taste. Chicken salami, sausage, ham and chicken masala were good. Pav bhaji, vegetable gravy and chicken stew, aloo puri were average but good variety for North Indians. There was only one option for parantha that was paneer parantha. I think they add more options for paranthas. Upma, idli sambhar, masala dosa, poha and kesari baath were good options for south Indian meals.
They have donuts and cupcakes in the flavour of chocolate, honey and strawberry. Overall the experience was great with many varieties of options for people from North to South.",4,"2019-04-28 19:05:34",150,418,7
"37584205","The kind of quality you expect from a good restaurant is not provided,they don't provide service on time, though staff is well behaved but servicing us quite slow,they never follow the instructions given by you.they highly need improvement.Even their guest washrooms are like pathetic just like public washrooms.Please avoid going to such places",2,"2019-04-20 03:02:22",8,0,0
"37568600","Zing serves you with a wide range of options and fresh juices.
I stay alot at Radisson and the staff is very polite and well behaved.
The food is good, loved the live counter. 😊 ",4,"2019-03-07 13:19:16",10,7,0
"1519568","We stayed at the Radisson Hitech city and while waiting for our journey to the airport, spent some time at the Zyng Cafe. We tried the Kava Chai and was just awesome. It had he right mix of spices and an underlying flavor of almonds. Manoj who was serving us makes it even more special. Had a nice time.",5,"2019-02-23 17:10:05",42,62,0
"48375671","I had a breakfast buffet in Zing and i am happy for being charged for the good buffet. A great place for families so kids can pick and choose what they want and go back for 2nds and thirds. I got on my hands on chocolate and almond croissant, pie, doughnuts and strawberry danish. Apart from buffet, i had harissa cottage cheese in appetizers special and painkiller cocktail which was equally as good. Overall a good price for what one get with nice city view and ambience.",4,"2018-10-31 02:14:44",41,135,0
"14811881","Food is a Sentiment for Hyderabadis - Rightly said and i can say that this restaurant has really hurt my sentiments. Coming to the point, been to so many 5 star hotels but never been really satisfied with food - same goes with Radisson Zyng.
To start with the Ambience - Good with petfectly balanced lights and music. FOOD was NOT GOOD. The starters were served on table - Chicken nuggets and Chicken kebab, cold and tasteless. There was a lavish spread with Chinese section, Indian section and Continental sections but nothing was upto the mark. 
All i can say that it was a forgetable experience 🤧",1,"2018-08-24 00:26:38",21,1347,8
"64376883","Best place but expensive as we know it’s 5 star so the prices are according and the important thing is all dishes are very good and marvellous ",5,"2018-08-08 23:52:22",1,0,3
"353717","Service is not soo great. But very super place. City view and a drink. Thats a right combination for a joyful ocassions. Try it and you will surely like it.",4,"2018-05-25 01:09:29",165,455,2
"262102","Went out on a team outing. Had drinks, starters, dinner and the dessert.
The starters were good.
The food was ok.
Desserts were also good.
Overall good place with nice ambience.",4,"2018-05-07 23:19:16",70,172,0
"279147","Went here on a Friday evening after a conference. The place was pretty empty as one would expect as it is in a 5 star hotel. The seating is quite cosy and laid back. I had a couple of beer - Hoegaarden. They did not have much variety in terms of beer. The crispy corn, peanut masala and manchurian were all pretty decent. Would not opt for this place on a regular basis.",3,"2018-02-24 15:41:57",27,423,1
