"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"51955850","Closed ambiance, loud. Food was filling, we ordered veg platter and the pizza is a must try, thin crust with a good amount of cheese, if you're a cheese lover do try it.
Ambience- 4.5/5
Service-4/5
Food-5/5",5,"2019-05-11 23:28:02",6,1,0
"55871826","It was great experience . You will find crowd mostly on Friday and Saturday dance floor is not that great. Pricing was normal. You can enjoy with family too.",4,"2019-05-11 22:50:38",10,5,0
"30170567","Place is awesome so their craft beers. Liked Belgian Wit and Belgian Strong Ale. Both are amazing. Food taste and quality is good. They must improve a bit on quantity. After all they are charging good price for food. Lot to improve in service. They are not vigilant about customer needs. No cutlery was kept on the table until repeatedly asked for it. Overall it is a good experience.",4,"2019-05-09 18:56:52",92,727,4
"2273660","I came there with my friend as stags. It was written stags are allowed till 8 pm but the reception person was unkind to say “you are not allowed “ at 7:45. He was looking down on us just cause there was no girl. The other point that he raised was that my friend was not wearing shoes. It looked reasonable.
Overall, it felt humiliating and I felt it wasn’t a decent place to even receive you. ",1,"2019-05-05 19:54:55",1,0,0
"42982397","Most terrible place. I used to love Chennai 10D And with that brand I went to Hyd 10D. Firstly they took cover charge for a couple and they had no seats. Could have told us we have no seats we would not have paid cover charge. We stood for good 20 mins and then given bad seats near the speaker where one couldn't even talk! And then the waiters weren't serving us food properly. Had to ask them twice after whicj they took order and when they did they didn't give us cutlery. Can you even imagine??? I had to ask that give forks !!!!!!! I had the worst experience ever of going to a place. Extremely disappointed. Please learn how to manage a crowd. Also I wanted to book my table beforehand. But the option was not even available on Zomato and they won't pick up call. It just felt they didn't want things to be systematic. Extremely disappointed. ",1,"2019-05-05 11:43:02",4,1,0
"63908160","Reading the reviews we visited this place, however our experience was not good. We were not offered our preferred seat even when most of the tables were empty and unreserved. Few of the staff members were rude and rigid and the food was fine.",1,"2019-05-05 01:17:47",2,0,0
"31706341","I had chosen this place for a weekend to spend quality time with my friends, overall can giving ratings for:
Ambiance - 10/10
Food - 5/10
Music- 5/10",4,"2019-05-05 00:12:44",3,0,1
"38194701","An Uber cool place with an ambience which reminds you of any pub in London well isn’t the name making it obvious. Been here couple of times, place outside on terrace gets filled up faster than inside,they now have water sprays outside to keep you cool in summers.
This is a brewery but again not all beers in the menu are available most of the time. Although the home beer is good. Must try.
Food is okay, can be better.
Overall 4/5
Ambience 5/5
Food 3/5
Service 3.5/5",4,"2019-05-03 08:46:22",20,10,0
"1974278","Good food good ambience at less price...!! What else needed🤘🏻
10D has two outlets one in Gachibowli SLN terminal mall 10th floor and the other one in Begumpet ...The best thing about this place as I mentioned you will have awsm food at very less price...what I ordered was chicken lasagna with garlic bread and Mexican chicken quesadillas both were yummm and they came with a drink of your choice which can be beer wine cocktail soft drink dessert ....
So you get food with drink combo ....for my two orders mentioned above it cost me 280/- each which is amazing....👍🏻",4,"2019-05-02 12:56:16",37,18,2
"15553670","This place is sooo good in everything food, ambiance,drinks and what not. But the main problem is again I am a stag for most of the times so couldnt enter majority of the evenings :(, else it would have been 5 star. 
Totally worth the visit ",4,"2019-04-30 01:06:19",99,106,0
"41871066","i order Mexican veg salad what dressing giving i Don't no but this is not good very bad proper dressing is olive oil & mustard sauce but giving me tomoto sauce dressing services is good bikash shoo you gave good beer was a very good beer thanks for bikash but ambience is good",5,"2019-04-29 22:20:42",3,2,1
"41919477","This is a good place to hang out.The ambience is really good . One of the best chicken nachos I have had till date but the crispy chicken disappointed. They Do not have a big list of beers being brewed and the is not that great when compared with other brews in hyderabad.
Would recommend this place if you are someone who likes virgin pinnocolada",3,"2019-04-28 18:35:20",10,7,0
"1738317","Located on the 10th floor of SNL mall , this place is one of the most Hip party places in Gachibowli.
The ambience is good and the place is huge as well..
Food is also good and service is again awesome.
Good place to have a group events . ",4,"2019-04-28 11:44:07",91,493,0
"100006265","It’s wonderful and lively place on 10th floor.outdoor seating is beautiful. We ordered chicken lasagna, fish & chips, chicken lollipops, veg schezwan noodles, chilli garlic baby corn and schezwan egg fried rice. Every dish was really good but the schezwan egg fried rice could have been better. Mocktails are no doubt the best.must visit place. ",4,"2019-04-25 14:32:54",7,2,10
"108384182","Great ambience and food but cocktails could have been better. I had pasta with white sauce and it was best i had in quite sometime. However i was disappointed with cocktail. I ordered LIIT but it was not as good as i expected.. but overall it was a good visit and i will Probably try something else next time.",3,"2019-04-24 18:54:06",1,0,0
"5109231","Summer chills are here at Ten D. We get to know that when you try the new Brew Summer Blonde Ale. Highly recommend beer dont miss it cheers beautiful ambience.",5,"2019-04-18 21:06:12",1,0,0
"14515141","It's in the other side of the SLN Terminus , out door seating is great , ambeince is good , but you feel bored sitting inside !! Food was good !!! Ladies night on Thursday , worth the visit",4,"2019-04-13 18:14:32",71,161,0
"240187","Been here for lunch with 6 ppl.
Decent interiors, nice and comfort seating.
Food is delicious.
Combo menu has great selection.
Loved Potato wedges, corn and broccoli fermentino.
No options in desserts.
Food 5/5
Drinks 4/5
Ambiance 5/5
Staff behavior 4/5",5,"2019-04-10 12:26:11",43,1033,0
"57197701","Ambience is good. But quality of food not up to the mark. Good place with family and friends wth music and all. Most pathetic cocktail i ever had",2,"2019-04-10 11:42:07",2,1,0
"33531144","10downingstreet is known for it's wonderful ambience. Their In-house Brew is awesome!
One of my all time favourites is the mushroom added 'Shepherd's pie'!
If you want to chill with your gang on a cool sunday evening, the outdoor rooftop bar will be the place!
They also have a cozy dance floor space!",4,"2019-04-09 16:18:44",8,16,0
"39118650","It's a wonderful and lively place on the 10th floor. We were sitting outside which was even more beautiful. There is even a dance floor near inside sitting area.
The food we ordered was chicken lasagna and veg lasagna, pink pasta and spicy chicken rice of which all were good. The food we ordered was served quickly.
In weekdays the place is lightly crowded which makes it a nice place for dates or for Hangouts. ",5,"2019-04-09 11:36:02",50,69,3
