"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"87617816","They could mention orders are only for kids and better order 13 Bowls for adults
Pathetic and stingy restaurant
They jus sent a fistful or rice with couple of pieces jus enough for kids below 5th standard, vexed up",2,"2019-05-14 13:46:49",15,2,0
"105920525","I ordered a chicken 65 noodles bowl full and there is literally only 3 pieces of chicken and a moderate amount of noodles. Poor taste, moreover. ",1,"2019-05-01 00:33:17",1,0,0
"52855942","worst food i ever had...i have ordered chicken fried rice rice bowl which was horrible. I think the road side food would be far better than this. This people use all cheap kind of cooking stuff (ketchups, spices and all).",1,"2019-04-19 15:08:49",1,2,0
"34317869","Worst place 
Worst ordering system 
Utter waste of money 
Highly disappointed with product and services here 
Do not dare to try this ever even if it is free ",1,"2019-04-16 23:46:00",1,2,0
"49977725","Just don't prefer this place, because you will regret later.Food is salty and tasteless.I ordered for chicken fried rice and they gave me something salty and uncooked.",1,"2019-03-27 18:28:41",9,1,0
"16535578","Not happy with the quality. Totally not worth it. Received food from a different restaurant named chakde restaurant to my surprise. Save your bucks!!",1,"2019-01-27 23:46:06",1,0,0
"712071","I had a very poor experience ordering from this place. We had rajma chawal, and it was totally not worth it. The delivery was fast which gets it the one star, but the rajma was a disaster. It was dry and salty, also not enough quantity considering the quantity of rice. Hope they improve!",1,"2018-12-23 17:25:36",89,358,1
"42426880","I can not give less rating than this.I ordered veg. manchurian rice and I found chicken pieces in my rice.Highly unacceptable.Even the food was not fresh.",1,"2018-11-12 21:07:02",2,13,0
"36523232","Ordered online from here. The delivery was a bit delayed. But the most surprising thing is that the cover in which the food was delivered had a bill from Chak de which is another outlet in Gachibowli. I don’t know how that happened. 
Try 1. Chilli chicken 🍗. I ordered a starter. It will be enough for two as a starter. Taste was good. Over all I will give ⭐️⭐️⭐️.5
My rating :
1. Food : ⭐️⭐️⭐️.5
2. Ambience: yet to visit 
3. Service: yet to visit",3,"2018-08-05 21:46:01",176,3777,0
"61451573","I have ordered veg Manchurian fried rice.only 2 to 3 Manchurian pieces in the bowl and very spice I am not at all satisfied",1,"2018-07-19 13:44:49",1,0,0
"32705139","Ordered chicken lollipop, the chicken was stale and rotten. I suggest you not to even consider this as a restaurant. This is not an emotional review, trust me my stomach was upset after eating the food.",1,"2018-07-09 22:24:53",1,73,0
"3186364","nice food",4,"2018-07-09 13:35:51",1,2,0
"59634736","A very balanced meal. Loved it. ",5,"2018-07-04 21:37:38",1,0,0
"59274624","good",5,"2018-07-04 19:14:47",2,0,0
"53263794","very poor, I have received some other order instead of what I ordered, quality was not so good,",2,"2018-07-01 15:08:43",1,1,0
"58235781","not cooked well and issue with the diliverd items",1,"2018-06-29 17:16:24",1,0,0
"49470760","Good
Good",4,"2018-06-23 15:34:55",2,16,0
"51821982","good",5,"2018-06-22 14:07:01",9,1,0
"48387269","rice was smashed , may be  grinded  on curd rice",1,"2018-06-22 13:52:43",4,2,0
"50527185","good",4,"2018-06-18 13:26:49",6,1,0
"50336495","Very poor!! You dont even expect how bad the taste was!! 😠",1,"2018-06-17 16:28:37",2,5,0
"56938827","Worst meal I ever had. I've ordered Chicken 65 rice through Zomato.
Suffered a lot after eating Chicken 65 Rice.
Rice has not cooked well and chicken was raw.",1,"2018-06-14 03:09:24",2,2,0
"52342281","gud",5,"2018-06-13 12:36:21",4,12,0
"44305297","Good ",3,"2018-06-12 23:14:42",1,1,0
"32573432","i didnt receive my cold drink can",1,"2018-06-12 20:14:34",2,70,0
"54965648","packing is seriously not well.all the rice fell inside the cover. more over it was very spicy.decided not to order from this resto.",1,"2018-06-11 21:36:58",1,1,0
"55376302","super fast",5,"2018-06-05 13:39:47",1,1,0
"51740122","when you pay money, you want the quality and the quantity. This restaurant (13 Rice bowls) charges Rs. 170 for a Chicken 65 Rice bowl (Full). But it seems either they have forgotten to put in enough chicken or deliberately cheating the customers. I got 5-6 pieces of 'egg burji' sized chicken in a big bucket full of only rice. 170 Rs. for that? Don't you worry Mr. Restaurant Owner, I am not going to order again from you and I'm not gonna let my friends order from it either. You think the customer's money is so cheap that they will but a plate full of only rice with sprinkle of chickens for Rs. 170? Disgusting restaurant.",1,"2018-06-04 15:47:39",2,0,0
"38121941","good",5,"2018-06-04 14:21:19",5,1,0
