"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"51208422","Have been ordering recently from here. I find this place serves good quality food with proper packaging. Have ordered noodles and fried rice from here multiple times. Quality is good, comes neatly packaged with spoons. Taste is good as well. Happy with the food here!",4,"2019-05-01 21:54:42",12,12,0
"3032462","I have ordered few non veg combos from here couple of times. They have good varieties of combo. The taste of the good is average. Value for money. ",3,"2019-04-30 23:50:24",146,332,0
"35824038","I was craving for some chinese food before exam day and ordered from Asian Meal Box. It was the first time I ordered from this place. I couldn't believe when the food turn out to look the same it looked in pictures upload by them.
I ordered Gobi chilli and tossed noodles combo(medium) together with one gobi chilli extra.
Veggies overloaded in noodles and the sweet,sour and spicy flavor in gobi chilli was astounding. It's been 2years in Gachibowli and this turned out to be the best chilli and noodles I have ever had here. The garlic aroma in gobi chilli and the sourness was remarkable.
Medium combo is best for a hungry adult. I don't know about mini combo as I didn't order it.
Highly recommended place.",5,"2019-04-26 07:14:30",4,3,0
"53015472","I have order pannier 65 with egg fried rice and one extra egg m paid for those but I'm recived only pannier 65 with egg fried rice not recived egg but I'm get bill from restarent include with extra egg",1,"2019-04-25 18:42:45",1,0,0
"47872170","Whats the difference between small medium and large? Total waste of money! I would never recommend anybody to ever try out this place! Its a total waste !",1,"2019-04-23 21:17:32",1,0,0
"68384048","I got lose motions after eating veg fried rice with gobi manchurian!
The taste was good but the hygene was shit! Must have been old food, not freshly cooked.",1,"2019-04-23 07:46:44",1,0,0
"54558775","One of the best gobi manchurians in the world! thank you and keep up the quality always! ",5,"2019-04-17 20:51:04",21,15,0
"873663","In spite of what some other reviewers seem to be feeling, I pretty much liked what they sent. I ordered a steamed rice-chilli chicken combo and it was nice, the chicken was delicious, the rice could be a bit more steamed though. Overall, not too bad.",3,"2019-04-12 15:55:38",62,156,0
"53705029","Food used to be good here . But these days they are putting lots of oil . Taste is also not good. So please bring the old taste and quality. ",2,"2019-04-11 19:33:26",2,1,0
"49977725","They have one of the most tastiest egg fried rice I've ever tried . It's like addictive,This was my recent favourite, Price wise affordable also quite worth the money,They give both veg and non veg sides along with egg rice, ultimately all sides tastes similar.ive tried almost all the food combos here everything was good.. go for it.",4,"2019-04-04 20:25:19",9,1,1
