"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"2571704","Monster box: They should probably stick to the sausages and breads. The veggie fingers and cheese fingers are more batter and less of the actual stuff. The fries are great though
The sauces compliment there food really well.",4,"2018-09-22 22:08:44",124,370,6
"48257693","Dish Name : Monster platter
Contains : 2 chicken sausages + 2 chicken cheese sausages + 2 veggie sticks + 2 paneer sticks + 2 mozerralla sticks + fries + 4sauces + 2breads
Recently have tried this one. Ordered them via swiggy. The sausages and veggie sticks were good the rest were average . But the breads got missing in our package.atoneplaceonline.com",3,"2018-09-20 18:29:18",85,190,1
"33665373","I had clearly mentioned in customer comments saying I need a mix of Insane and Rebel Sauce. Chatted with Ur customer associate as well and they too confirmed that the information has been sent to the restaurant even then I just got Insane sauce and no rebel at all..... very bad way to handle from Zomato and Auto Express ",1,"2018-05-26 16:25:23",33,33,0
"53780451","One of the best place to have Hot Dogs theirs breads are so amazing and sauces are like the best in the city their bbq sauce is always a hit there kudos to the team",5,"2018-05-23 15:31:18",2,0,0
"35151224","I had ordered cheesy dog with insane sause. The bun completely enclosed the sausage and the sauces, making it easy to eat on the go. I loved the sausage and sauce was fine but the aftertaste wasn't that good. Still it was much better than the most hotdogs I've had. ",4,"2018-05-14 19:10:50",14,31,2
"54901617","Hot dogs supplies in Gachibowly is most simple to ordered..... I like to have the mini hotdogs having sauces fill with insane and brat although I use to ordered everyday........ I love to have hotdogs the most....... ",5,"2018-05-12 18:56:52",4,1,0
"47115040","f",4,"2018-03-24 20:31:38",1,1,0
"15669503","their hot dogs are the best.. love the insane sauce! 👍",5,"2018-03-21 05:18:59",4,55,0
"33953375","very less sauce",3,"2018-03-09 11:34:22",1,1,0
"30725843","It is very tasty . They are having different type of sausage .. all are extremely good and delicious ...... I love insane that is not spicy .... In hot 🐕 only sauces are playing a good role . Ask them to add extra and enjoy each and every bit .",4.5,"2018-03-01 20:11:17",2,15,0
"36708615","worst food ever",1,"2017-11-19 18:21:14",3,22,0
"30123713","This is not what Indians prefer. Its just a normal bread with sausage and sauce (lots and lots of sauce). Sauce can be really spicy depending on what you choose. The sausage is fine but overall the hot dog didn't match up to my expectation. ",2,"2017-10-25 21:40:09",69,572,0
"454362","Very average food. Tried the insane hot dog. Sauce was good, but the food in itself is nothing special. Its just a sausage, a bread and sauce. Price wise it is ok. Won't try again though.",3,"2017-10-22 20:18:42",25,28,0
"44424297","All the variants of sauces were simply superb. 
Never seen in Hyderabad such reasonable and tasty snacks.
MUST try to get a different taste.",4.5,"2017-07-31 19:05:13",1,1,0
"37953867","Unique taste have not had before tried for the first time and become a fan of it keep it up try to open more branches in other locations as well..",5,"2017-07-15 14:40:25",8,8,0
"6409371","Great value for money. I tried all of three variants, liked the insane mini one. The sauce they used for insane variety is very delicious. 
If you are looking for quick pocket friendly bite, this is an ideal place for you.    
Delivery is not so good as the food was not hot",3.5,"2017-07-09 19:11:50",20,18,0
"262171","Ordered a simple rebel hot dog. Turned out to be quite bad. Super spicy orange sauce and LOTS of it that too. I don't know what they were trying to do. 
Ruined hot dogs for me. ",1.5,"2017-06-22 19:16:46",11,36,0
"41291798","Tried their hot dogs and loved them. The prices are really decent and the sauces are also quite tasty. Will be back to try more items on offer.",3.5,"2017-06-11 12:32:07",20,857,0
