"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"3201367","Have been a huge fan of this chain since 2013. Have been to the restaurant in different cities, and have noticed some significant differences across all locations.
This Gachibowli BBQ Nation has some items missing from its live counter, but have curd rice which wasn’t available in any other location I have been to.
The staff is extremely courteous. We were served by Rajib, who was really warm, quick in his service.
The overall quality of the food was satisfying, just like most of the other outlets I’ve been to.",4,"2019-05-05 17:13:13",67,185,4
"40319532","As usual it's fab place to have grill in a buffet. Non veg is awesome here. Chicken, Mutton, Prawns, Fish are served on the grill. Some days you also get crab curry. Now they opened tawa starters as well.
Nice place to go for team lunch/dinner.",5,"2019-05-04 13:58:30",231,406,7
"53439650","Food quality is good. But not so many items, like crabs, octopus, kofta are available , particularly in this branch which are available at other branches of BN or ABs. So, it was really disappointing. 
Also service was a bit slow, we really had to wait for items to come on our table in between. That really turns off our mood though the waiters are jolly n try to make us feel good. I think the number of waiters are less.
AC facility was good, very cold. 
But I don’t recommend this place.",2,"2019-05-03 15:36:51",24,13,0
"37794020","This is an amazing place for Veg as well as Non Veg starters. There are so many varieties in it. As you will be already full, you don't generally go for Main course and also it's very average. I really love their service. Suppose you don't like item, they will replace it by customising according to your requirement. ",5,"2019-04-27 22:12:07",18,18,1
"64794133","Service was excellent biriyani and service excellent very nice food very good staff and servise drinks was excellentb.bq chiken very test and fish pine apple very test service and food quality is excellent ",5,"2019-04-27 01:21:02",2,4,0
"1172001","Was wife's birthday and our anniversary as well.. Naresh and Bipul made it  point to make it extra special. The hospitality and the culture of the employees keeps taking me back there forever.. ",5,"2019-04-21 05:57:05",20,122,0
"10585871","This place always exceeds expectations!!! Friendly staff, customised orders and finger licking good food!!! And of course you need a second stomach for the desserts!!!",5,"2019-04-14 12:47:39",3,47,0
"37324019","It's Barbi boss...no comments.
It's was sudden plan from Gang to visit this place, fortunately that day was 10 years celebrations day of BN.
We got some discount on bill also. We all from coastal area basically and sea food lovers.
Believe me or not, I loved and felt happy wit prawns here...yummy and yummy.
It might silly...we did justice to my money, may more also.
That was a weekday and I want to try this place on some weekend",5,"2019-04-09 22:54:30",20,27,0
"509490","Had to wait a bit to get a table that's a good thing 😄, great food and best service such a great staff Sudeep Roy, Naresh ur a star I have seen him doing everything keep up the good work guys ",5,"2019-04-07 16:30:55",2,104,0
"35183130","I am a big fan of BBQ nation since a decade now. This however was my most dissatisfying experience to date, after visiting several of their locations across the country including this one in the past.
The only thing they handled well, from the word go was the seating. I booked a table for 14 from zomato. It was ready for us when we arrived.
Everything else seemed to be falling apart, their team was struggling to deliver.
The starters took forever to be served. Most of them tasted similar though were called different things, refills were small portions and we had to keep requesting for more which is unlike how bbq manages things. The mocktails seemed watered down and on highlighting this, some were duly replaced.
The chef did come to check on us and on sharing our experience justified that our palate was confused due to tasting several dishes. When we held our ground, he went back to personally create some dishes. His version of the starters were way better but we were done eating by then.
I would like to highlight that the servers and chef were trying every bit to run around to meet requirements but seemed overwhelmed and struggled to get great food to the table.
Hope this was just a bad day and this outlet will get its act together. ",3,"2019-03-29 17:36:44",24,41,0
"73016696","Had a worst experience today at BarbQ Nation  , gachhibowli, hyderabad
Taste is not as good as remaining branches. Non veg items seem to be frozen few days back then coocked, feels like a was while eating",1,"2019-03-23 17:00:41",2,1,0
"53349761","This is the worst barbeque , i have ever seen in my life. Barbeque for name sake. No barbeque item like paneer, fish was baked properly. waste of money",1,"2019-03-20 14:04:51",1,1,0
"15988980","We went to this place as a part of corporate outing. It was my first time to Barbeque Nation. I must admit that I was pretty much humbled by the chef coming over very often and asking if the food was up to our satisfaction. The starters alone were enough to fill up my belly. When it came to having the main course, the options were not many but it suffficed, I would say. The waiters were patient enough to serve us whatever we needed and we all left with a happy note and fat bellies. ",4,"2019-03-03 17:54:48",4,1,0
"2749154","Barbeque is mostly my favorite but if I compare barbeque nation with Abs , sahib's barbeque... obviously I have to give one point less to this one...food is good but limited items..but if you have kid go there my son and my friend's kids enjoyed a lot there they were given car and balloon by staff and lots of fruits and french fries...they enjoyed to the core... ambience is gud service excellent...
Food 3/5
Ambience 4/5
Service 5/5",4,"2019-02-23 22:46:54",10,23,2
"2663994","This Place was really amazing, as usual the staff is very polite, Appreciate their work in maintaining  professionalism, loved being serviced by Saif Ali Khan and staff.. ",5,"2019-02-23 08:55:55",1,0,0
"48865719","Been to the place recently. The service was on a slower side strangely but the food items on the grills taking a little longer to arrived. Food good as usual",4,"2019-02-21 21:27:15",45,82,0
"2742200","Friday afternoon, We planned team lunch (veg & non-veg) in Gachibowli Barbecue Nation. We were asked several times to give excellent rating by various attendants which was quiet annoying while we were having lunch even though food & variety served was average and wasn't upto standard w.r.t taste & variety.
In short, it wasn't value for money. 
I think it would be better to choose Absolute Barbecue over Barbecue Nation, as customer you get value for money. Seems like now Barbecue Nation is just riding on its legacy.",3,"2019-02-08 16:53:46",1,38,0
"36554430","Inside Atmosphere is good....and serving and way of treating everything I loved it.....and very reasonable price for parties..we can enjoy with friends....",5,"2019-02-07 02:08:22",2,26,0
"48023685","A well-known place to have buffet
Staff(5/5)
Starters(4/5)
Dessert(5/5)
Try chocolate kulfi and paan kulfi.
Mojito(3/5)
Main course(3.5/5)
Overall experience(4/5)",4,"2019-02-04 17:37:16",86,2479,0
"52161464","Located in the heart of Financial district it is very convenient place to visit on a weekday with colleagues. Their service was simply superb, they tried to understand the requirement of the customer’s on each and every table and customized the spice level etc., based on the request. Had good number of options in Veg as well. Over all food was very good, service was exceptional.",4,"2019-02-02 18:12:24",52,43,0
"70619372","Kirak Bole tho kirak Hyderabadi language  just loved it had a nice time enjoyed the food mainly  pan Kulfi  loved iiiittttttttttttttttttttttttttt",5,"2019-01-31 23:00:53",1,0,0
"47603761","The staffs at BBQ Gachibowli are very good. From start to End they took care ,which dish is good,any modifications needed.
Food was very tasty(starter+Main course)
You can try Fish Finger(chefs special) made on Request.",5,"2019-01-31 05:49:15",2,0,0
"48283273","friendly service
The restaurant ambience is good
The food tastes good
And they need to increase the desserts
And jst increase the items
Awesome finally",5,"2019-01-28 13:33:03",2,1,0
"966235","Been many times here and the place is not crouded during dinner time, the best time to visit this place is during dinner time only as lunch time too much crouded with office guys specially Mon to Fri, coming to food , prawns and fish starters are too too good , other kebabs also too good, staff is too good in service and they treat us like kings and queens, I strongly recommend Gachibowli branch as less crowded during dinner and weekens ",5,"2019-01-27 21:41:26",6,5,0
