"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"30738220","Taste 2/5
Ambience 2/5
Service 3/5
Over all it is ok ok...If you nvr before been to this place just try once... Not sure may be on that day something wrong.. as I heard BR is best place have delicious ice cream..
Limited menu in SLN terminal Baskin Robbins... Need to improve many areas...",3,"2017-11-10 18:45:13",30,71,0
"15839121","These guys never have cones in stock ! Please please restock! I have been there thrice and gone back. The service is good. Ice creams are the best no denying that though.",3.5,"2017-09-07 11:47:51",45,279,0
"39137427","I have visited this place few days back..Ambiance is average and it is always crowded..
I have tried many flavors here but one of my favorite is Belgium chocolate..the texture was really soft and chocolate taste was damn awesome..Have also tried almond caramel but that was average in taste..
My overall experience was good..",3.5,"2017-09-04 19:55:04",148,2105,6
"12715181","Everytime i go to a BR outlet, i order my regular.. double scoop belgium chocolate.. love it . For me it is better than any other brands.. except london diary 😊",4.5,"2017-08-30 13:53:32",38,51,0
"15732510","Been here for the first time, tried splish splash, belgium bliss and banana caramel. Belgium bliss and banana caramel are awesome, loved them. I never ever thought of wasting an ice cream, but splish splash made me to do so. Disappointed with splish splash. ",3.5,"2017-08-01 09:52:15",189,1486,3
"2509246","I always love there icecreams .... the presentation and the taste is just wow .... you just have to knw wat combination will suit your taste buds .... ",4.5,"2017-05-31 09:24:08",40,105,1
"20411590","Tried various stuff from here and have had hits and misses..In the icecreams, Bavarian chocolate is really good. Banana strawberry, splish splash & roses and cream are average...infact roses n cream is a let down! Artificial pink color n flavor.. Coming to the shakes.. mango berry magic is good...but no berries 😜 its just mango and vanilla icecream with milk..but the generous scoop of Alphonso mango pulp and pieces make up for it. Two big chunks of Alphonso mango in each drink..yumminess! thearistochic.com",3.5,"2017-03-18 19:13:14",79,244,1
"37878154","Ordered the double scoop with almond pralines and honey nuts . The ice cream was good , especially the honey nuts flavour in the double scoop ",3.5,"2017-02-04 11:46:21",19,7,0
"895038","Just like any other outlet of Baskin robbins. This is in the food court of SLN terminus. I had some chocolate flavour and it was really good.. ",3.5,"2017-02-03 19:10:25",400,2709,0
"452406","The usual classic Baskin Robbins taste. I don't think there's anymore to be said. One disappointment was the hot butterscotch topping. It solidified and ended up forming a chewy layer over the ice cream.",3.5,"2016-11-29 14:09:01",157,1107,3
"32628524","Nice place near by my work place best place for vegetarians ice cream without eeg awesome good job guys keep it up 
Special Inst. Try hot chocolate on the top",5,"2016-11-09 01:49:58",25,221,0
"30770089","Every thing said n done about their commendable ice creams, I came to know they also deliver ice cream rolls for bdays or occasions. Don't know about the cake scene. Definitely gonna try it out soon.",4,"2016-11-07 00:18:53",344,975,1
