"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"186898","I ordered the biryani with great expectations. The packaging, and the presentation is extremely nice, and the aroma was great. The biryani thigh, was frozen in the middle! It's a prepackaged frozen food reheated at the time of ordering. That is not the expectation, at least in Hyderabad!
The fact that it is not fresh offsets a lot of the positives for me ",2,"2019-05-18 18:01:40",11,117,0
"50724794","Ok so this is the second time m ordering from here...and the taste is same as I felt for first time.... really good experience 👍😊The Biryani comes in very stunning package...it looks good as soon as u open it with almonds on top of it.It comes with raita and gulab jamun too😍 Talking about Biryani it's not too spicy which I like...
Packaging-10/10
Taste 9/10
Must Try✌️",5,"2019-04-21 21:11:05",1,1,1
"38874531","The Behrouz Biryani is the Royal Biryani. The flavour of Rice is super and the pieces of chicken are yummy. The presentation of Biryani is with fried onions and Badam ( Almond ) . Served with Mint Raitha and Gulab Jamun.",5,"2019-04-19 21:35:00",10,11,1
"33609297","I never received this order 21812387 today. No one contacted me. I asked Zomato chat rep to have someone contact me regarding this issue. Please call me after 3 PM IST.  I have registered my compliant on twitter handle, how can you mentioned without verifying with me that it was delivered ? No follow up done from Behrouz. Very disappointing. Please refund my amount. See the rider is still on the way (pic)",1,"2019-04-16 01:51:20",28,104,0
"66509100","One of the worst biriyanis i ate . Home deliverd thru zomato . Very worse . I wud like to cook my self though tired than ordering in behrouse.one of the worst biryani i ever had. One has to pay for packaging only. Big packaging and less quantity. One should never order from Behroz biryani. Do not go with their briyani picturs shown on website in reality its only rice packed in some big attractive boxesNever try biryani here , However we were shocked to find just one piece of mutton in the Biryani. Not sure how Behrouz expected us to consume the box full of rice with a small piece of mutton. We have decided not to order anymore from this restaurant. worst of a kind and never tasted such filthy biryani in my life , and secondly they are charging bomb price for such filthy biryani ie 379 
No taste and no quality. I wonder where he brought his chef from to prepare biryani , guess from a local slum area to get this biryani made and serving to innocent public of Hyderabad
Note 
increase the quality food then no matter what the price is .",1,"2019-03-24 00:02:00",1,0,0
"100233354","So much hype for a sub par biryani. Ordered paneer biryani, taste did not live upto the hype. The taste was bland, could have been better. Any local biryani place has much better biryani at a lower price.",3,"2019-03-20 14:06:45",1,0,0
"65573249","I've order for home delivery. The service was quick and Hassle Free.
Ordered veg biryani from the restaurant as suddenly I was craving for veg. I was so impressed by the packing & also they give raita & gulab jamun with it.
The biryani was properly packed. And was warm enough to eat too. It had a really good taste that other places with veg biryani don't. It's really different. And its very tasty.
One can definitely try their veg biryani.
( All vegetarians & biryani lovers this is for you)
Do try it out. ",4,"2019-03-12 02:18:56",78,158,1
"47191113","Absolutely not the taste we indians love. We would want food to be spicy and recipes at Behrouz and co. aren't the way we expect. Not the best choice ",1,"2019-03-10 19:30:28",2,1,0
"1484925","Behrouz never disappoints, As always amazing packaging and amazing biryani. I love the fact that they send the gulab jamun and yummy raita. I wish they also include a Saalan with it.Ive tried their Murgh Mahakani Biryani which is as usual very flavourful and spicy. 
Disclaimer: Have it when it's hot and fresh.bitesizedjournal.com",4,"2019-03-06 13:14:01",220,1860,2
"41922826","I was promised to get a refund for an order that has not been delivered. They first told me that i would get my money in 24 hours, then changed it to 24 working hours, now they are not answering the phone. Bloody cheaters. ",1,"2019-03-06 01:03:42",1,52,0
"29826677","Ordered for Zakheedar Paneer and got chicken biriyani with the label of veg. This is not acceptable at all. This is not the first time this is happening with Behrouz",1,"2019-03-01 22:41:09",2,0,0
"52793165","Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.",1,"2019-03-01 18:18:25",1,1,0
"51740763","It is an delicious food old is gold old recipe is gold recipe
Awe some food delivery.. with this biryani they are serving desert was Soo sweet n nice n also Raitha they are served chilled with cutlery they are served with somp it is tasty",5,"2019-02-25 18:46:18",3,18,0
"48329535","I am big a fan of these place. They have one of the best biryanis. I frequently order from here and till now they have never let me down. You should give it a try and taste afghani style biryani.",5,"2019-02-16 21:20:18",24,21,0
"92998708","Ordered the much hyped about Behrouz biriyani today.Wanted to have it since ages.So today when the package came I was really thrilled.The biriyani comes in a stunning package.And as you open it the room fills with amazing Biriyani smells.The biriyani was looks good with a lot of almonds and greens as garnishing on top.The biriyani comes with raita and a gulab jamun too.The biriyani is quite different from the other popular biriyani in Hyderabad.This one is extremely sutle in taste.The chicken was tender and was breaking apart easily. The rice grains were staying apart and was expertly cooked.Overall the biriyani was a really good experience.But I personally prefer the spicy type when it comes to Biriyani but this biriyani is different and it is mouth wateringly delicious in a completely different way.",3,"2019-02-15 22:46:17",27,34,2
"57924275","Bad service I have not received the order but I got a mail that you have enjoyed the meal. Irritating service from zomato . Not support team and pick up delivery boy called for delivery",1,"2019-02-14 23:37:37",1,0,0
"39891108","I just love their packing. It looks so royal and classy and has the premium feel. Their biryani makes you feel that you are having the traditional royal Hyderabadi biryani and the smell from it will make your mood. Great stuff. Keep it up, guys!",5,"2019-02-11 12:08:25",30,22,0
"46261948","Very less quantity and the food was packed in cartoon book very unhappy ",1,"2019-02-10 12:40:03",1,1,0
"2302452","The biryani experience started well. Having said that, it's not as good as earlier experience now. Two simple issues: chicken biryani has no chicken and dry fruits have disappeared. Should bring them back?",3,"2019-02-09 01:52:11",2,0,0
"83467295","I have ordered the veg falafal biryani irrespective of the ratings given..But to surprise it came out so tasty...From the first bite to the last rice in your plate u will get the royal taste..It had alot of vegetables and the mint raita too tastes well..I am Not from hyderabad..Tastes first time biryani here...Now I can say why it's so famous..Full marks to awesome packaging.on time delivery...At the end I must say..Add on it to ur bucket list..",5,"2019-02-02 14:59:49",7,0,1
"36387823","Well this is an absolute honest review from a hardcore Hyderabadi and a true foodie.. I understand a lot of people complain about behrouz biryani but here's my review, behrouz is not a Hyderabadi biryani and is unique in itself and the brand claims it's biryani not being local.
I might not like it to the core as an Hyderabadi but as a food critique I don't have any complaints.. it's unique in it's preparation, was absolutely mild, ordered chicken lazeez biryani which had juicy chicken pieces, the quantity was sufficient for two moderate eaters, was aromatic and we'll garnished with dry fruits.
Felt the flavour was somewhere between a regular biryani and Mandi, now this review even holds strong backing as I had a Irani friend who liked it as well.
Really loved the packaging and the complimentary desert. The gulab jamun definitely killed the joy at the end, did regret eating it..and the mint raitha can definitely do be improved.
Overall -
Taste : 3.5/5
Price : 3.5/5
Packaging : 4/5
VFM: 3.5/5",4,"2019-02-01 06:08:13",57,51,1
"12403131","Please deliver in time when you take an order. Your service sucks. And so does your delivery algorithm!! How can you show 0 minutes for 15 minutes near the delivery location",1,"2019-01-27 22:48:35",6,93,0
"87922124","I usually order from here. today biryani was 50% in quantity.",1,"2019-01-20 22:20:27",3,0,0
"36429698","Pathetic service, i ordered twice they r nvr be on time and the taste is worst...
Nvr go for it. That's it nothing more than to review about behrouz",1,"2019-01-16 19:20:05",3,9,0
"43902984","I ordered Lazeez Bhuna Murg Biriyani. After seeing the Royal Box of Biriyani, I was really happy. Whole packaging of raita and Gulab Jamun was upto the mark and really good. But then the taste, it tastes sweet. Everything was good from packaging to the Mouth freshner they gave but I didnt like the taste of biriyani.The quantity was good, and was garnished with almonds and cashew.",3,"2018-12-29 20:40:29",4,4,1
"16100018","The only biryani which tasted a little sweet to me. Sometimes when u order curd rice and expect nothing fancy but you see some garnishing with pomegranate and then you have mixed feelings. Coz the dish looks pretty but..... Similarly, the packaging is great and garnished with nuts and looks very rich. But at the end wasn't satisfying.",3,"2018-12-29 10:55:29",78,510,0
"45800643","It is just average coming to taste. You dont feeI that lavishness as you feel from the hoardings and all. I have ordered from swiggy and quantity is not sufficient for 1person. At this price better we can pick many options. Better dont take it. ",3,"2018-12-24 21:19:14",16,11,1
"59014842","I have ordered two box's of Chicken Biryani the chicken piece were too less, not what I was expecting for the amount I have spent  on a so called Royal Biryani... hope the feedback is taken positively and acted upon",3,"2018-12-24 17:07:20",1,1,0
"43663519","i did not get my order and i have paid for it already . There is no customer number of Zomato as well. I need my money back asap. Zomato guys should have a customer care number or any way to track order there is no support present. i need my money or food asap.",1,"2018-12-24 13:10:03",1,1,0
"35028111","Biryani aroma is good. But aroma is too strong for the taste buds. Chiken well cooked. My only concern is plz use little lesser aroma so that our stomach has got space for the food as well, rather than only having aromas.  Taste of biryani is average .",2,"2018-12-23 21:18:41",9,8,0
"108324","Biryani is good but they didn't deliver ...I had to pick it and that too was informed very last minute...the address mentioned did say it's a fassos only take away facility for food delivery companies like swiggy n zomato... I was standing there at 10 at night to pick my parcel...very poor service",2.5,"2018-12-21 13:19:58",1,2,0
"41725662","Awesome food, great experience so far! The food as been great every time I order. I highly recommend their mutton and Murg biryani. Delivery by zomato has also bee good!",5,"2018-12-17 18:34:42",4,6,0
"40027531","Horrible experience..I would not rate them at all but since I could not save it without a star, I'm just giving it a star. They had accepted my order and in about 40 minutes when I was expecting my order to arrive, called them, to my surprise they have just said that they could not deliver my item since they have other pending orders..be professional or at least have some courtesy!! ",1,"2018-12-17 02:03:10",1,1,0
"52077480","A briyani worth a war is biryani worth a try. Truely Royal biryani. Right from the packing of biryani to the last rice left everything about was Royal. Although I didn't like the Gulab Jamun but as I said biryani worth a try.",5,"2018-12-16 14:26:01",35,26,1
"32653913","Late delivery. Cold food. ",1,"2018-12-15 11:50:09",1,14,0
"72524329","Highly disappointed there is a sea of change in the quality of biryani we ordered last and now  its awfully spicy and too wet like eating rice and curry",1,"2018-12-14 19:47:06",1,0,0
"27657052","Pathetic biryani ever I had. In my life.. If u really wants to eat biryani then don't order for here.. Better look for other options..
Only the packing is good but food is not at all good..",1,"2018-12-14 12:11:46",1,406,0
"52970756","This is a good joint that doesn't care for customer. They accept order and don't care to deliver and they don't pick the call neither they respect customers. ",1,"2018-12-13 23:10:06",3,1,0
"75757711","The best biryani place. If you are nearby around you can have a look at this place this is place. Best biryani all the biryani tests very good. They have the old mughals spices which tastes sop unique and very good. It's mouth watering biryani.",5,"2018-12-13 20:36:48",3,1,0
"85524323","One of the best place to have biryani in the city this Is one if the beat place to have biryani in Hyderabad. We were group of friend had almost all of the biryani present their. All the biryani were very good. Nice place to hangout here. I recommend this place to everyone.
Ambiance 5/5
Food 5/5
Quality 5/5
Overall 5/5",5,"2018-12-13 19:52:02",10,3,0
"30940686","#Zomato Review program
Ordered veg Shahi subz Dastarkwan which comes with the combination of veg Subz-e-biryani and falafel-e-khees. To my suprise I ordered veg and I got non-veg biryani I dont know was that an upgrade for me ?!
Nothing changed but got an add on “the black box” which has a chocolate lava cake which was the only thing good. The package was  good like before and as expected. Nothing to say about that biryani because I didn’t taste it. On an assumetion the biryani was with good mutton peices and didnt look that spicy and had almond pieces over. Need to improve alot with the service and also taking the taste into consideration for a hyderabadi.",2,"2018-12-12 21:52:27",144,1087,2
"53924136","not received any order from your restaurant",1,"2018-12-12 18:41:12",2,1,0
"33160796","Worst place for vegetarians. They serve chicken pieces in veg paneer biryani and mark their box with green labels. Irresponsible team hiered spoillers. ",1,"2018-12-10 00:38:50",5,6,2
"79777444","I am very very biryani lover and I tried the Behrouz biryani and it was worst. Taste is too bad 👎. Packing is too good but taste is too bad",1,"2018-12-09 14:47:55",1,0,0
"37654090","Packing is good, but we have paid for it..
Salan - over spicey.
Briyani rice is good , over masala and very less pieces of chicken .. not happy",1,"2018-12-08 18:11:32",3,31,0
"52256861","They have not delivered the order and the number they mentioned to call is not reachable. We waited nearly 2hrs neither order received or zomato sup port cant do anything about the delivery. Finally we have not received the order. But mail has come to provide the review. Be careful while ordering from this restaurant. ",1,"2018-12-06 22:27:44",1,1,0
"564370","Behrouz Biryani is listed on zomato and offers online ordering via zomato, Scrumptious food you can eat in the comfort of your home. We ordered Lazeez Bhuna Murgh Biryani, Quantity and taste & fragrance is good(flavorsome and non spicy), price is on the higher side but totally worth it. What I really loved is, received a complimentary dessert (gulab jamun) the presentation and packaging was amazing . A must try for all biryani lovers!",5,"2018-12-04 03:42:42",69,704,1
"45700168","Amount of chicken given in biryani was very less.. Taste wise it was good.. packing wise it was amazing..",4,"2018-11-29 13:23:49",1,17,0
"1844858","Worst Biryani I ever had... Kickout these blady Biryani from hyderabad..... Spoiled the taste and stinking smell from the rice.. Lokks like they served last night Biryani.. I have throwed Biryani on ",1,"2018-11-29 05:56:03",6,27,0
"2319082","First impression when i looked at the box i was like Awee!  😯 The food was packed very well and the Gulab jamun in the box has truly surprised me!  I had ordered chicken biryani for lunch, this order was a delivery one.  
As I’m a native from Hyd I like the biryani to be having dum and spicy. The biryani was less spicey but was good. If few more pieces of meat were added, it would have been great.
A bit pricey though. I will definitely try the mutton biryani next time!",4,"2018-11-26 17:27:13",12,2,1
"4059311","Now this was a surprise.... I thought it can't be good like they are saying but its really gr8, specially the ghost biryani... Ordered dum ghost biryani & lajeez bhuna murgh biryani. The packing was excellent. The biryani was soo good. Very nice... Served with one gulab jamun also....",4,"2018-11-25 08:20:35",150,233,3
"62633602","Worst biryani i never tested
ambiance is soo colourful to attract the customer
I m giving 1 rating bcoz if the rating star is less than 0 i definitely give u 0 There is no restaurant bcoz ur face will be smashed after they ate
Bloody biryani ",1,"2018-11-24 21:53:32",1,0,0
"27105799","I ordered chicken Biryani. It's awful. Its not fresh. It's stored. I had stomach ache after eating it. I also got a gulab jamun and that's very bad too. All the taste is lost. On top of all this the price touches the roof.",1,"2018-11-24 11:48:51",2,141,0
"35865851","#foodengineering     One of the new tastes of biryanis in hyd we ordered bone less chicken biryani and mutton biryani which comes with Gulab jamun .the packing is also up to mark",3,"2018-11-23 13:49:36",67,2375,4
"32541030","I dont like this biryani. Worst biryani. Not having taste. Its doesnt mean that biryani taste is good if they are adding almonds in biryani. It should in good taste from inside. On top of this biryani price is too much. ",1,"2018-11-22 11:27:42",4,19,0
