"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"36111060","This is a nice cozy place with such great ambience and amazing hosts! Please do try to come and support them. The food is great and the staff are really courteous.",5,"2019-04-15 23:16:45",17,84,3
"34153138","Awesome veg food too, was expecting good non veg,but surprisingly veg was also very nice.
Had thread paneer, veg fried rice, and choco lava is one of the best I ever had ",5,"2019-03-26 20:01:53",1,2,0
"1904466","Been to this restaurant today. Ambience is good. Very limited items in the menu card. I had
Chilli paneer - tasted good. But paneer could have been little smoother
Butter naan - nice in taste
Mix veg curry - tasted good
Methi chicken - very tasty
Service and over all experience is good",3,"2019-02-15 02:29:08",156,726,13
"1349101","At the entry of Nanakramaguda road, decent place to sit and have a meal.
Didn’t try too much from the menu, although the chilli chicken was okay. Efficient service.",3,"2019-02-10 14:58:35",186,13393,2
"1296747","Pretty decent chinese options. Had tried it couple of times from Swiggy pop. Fried rice, noodles and paneer manchurian is a safe bet here. Would try more dishes for sure. ",4,"2019-02-02 23:56:18",119,597,2
"39249919","Don’t bother going to this place, menu is extremely limited to 4-5 items, restaurant without chef. We checked before entering and post waiting for 15 minutes they come and say no chef",1,"2018-12-24 19:22:18",5,7,0
"49921342","This restaurant opened in the same place where  Eatico was there. Had Butter chicken with Nan. 
Ambience:4/5Taste:4/5Service:4/5Value for Money5/5Overall Experience:4/5",4,"2018-10-06 14:49:07",72,42,2
"47044583","Great butter chicken!
We have been ordering from this place for a long time now and the butter chicken is absolutely delicious! Great food, good delivery!",4,"2018-09-16 14:09:28",5,15,0
"45258154","I took garlic naan and paneer butter masala from Blu Ginger today(15th September 2018). The naans are completed blackened and are like rubber. The paneer butter masala curry is also not tasty and I am sure they are using very low quality material for cooking. I don't recommend this place to any one.",1,"2018-09-15 20:44:16",1,1,1
"52491900","Grill and bluginger both  are the same in the same building they run two restuarants with different restuarantsz...you can visit this restuarant it will be good starters are super ....chicken manchow soup excellent....biryani ok ok",4,"2018-09-11 14:48:50",16,27,1
"65549760","pieces not cooked properly and flavour of the rice is not as previous orders ",3,"2018-08-14 21:33:05",1,0,0
"42987090","We ordered crispy corn which is ok-ok in taste but quantity is less for price. kadhai paneer which is pathetic in taste and waiter brought it while having starter only. So all main course was got cold.
We already told the guy who took the order that we want curry super spicy so make it super spicy but don't know which language he know to understand what is ""super spicy"" means.
Lastly we ordered veg pulav which was tasteless with no salt in it. I was very disappointed with food and with manager also. ",1,"2018-08-12 22:58:51",9,10,0
"50140601","I wondered as if I am having a corn soup or noodle soup? fried rice was also bland.... ",2,"2018-08-06 17:23:27",2,15,0
"62718977","If you are a biryani lover, please avoid/skip this place. Nothing special about it, just plane biryani no unique flavor to it or i would like to say no flavor at all.For the price I paid 261 rupees through zomato, would not be sufficient for one person also.",1,"2018-08-05 22:27:48",1,1,0
"52943214","Less quantity... High price ",2,"2018-08-03 20:22:56",1,0,0
