"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"47098527","Good ambiance with wide range food options , people having different taste of food can enjoy the place and good for team dinners
Happy dinning",3,"2019-05-08 23:38:31",1,1,0
"2562074","We were there to celebrate our anniversary. There was a set menu, Welcome Drink(very refreshing) tomato Shorba(passable),crispy paneer, chicken tikka (both were very yummy) , butter chicken, paneer butter masala( both passable) , daal fry (yummy) roti (soft) and steamed rice.The pasta in white sauce was good.. But the absolute let down was the pan seared fish with tomatoes. The fish was not done properly, no crispy skin and was a bit smelly. There was ice-cream too.. The service was amazing and so was the ambiance. ",3,"2019-05-06 11:02:50",66,192,0
"62584553","Mr. Faraan, Mr. Llima, Mrs, Piyali, is awexome and I love the way this people behave and awesome I prefer again to this place It is an awexome place to visit actually I think to live here again next time I visit.. ;)",5,"2019-04-28 16:03:36",2,0,0
"968170","Had a great experience at this place. Went for the sunday brunch and to enjoy by poolside. Food was great, service amazing and loved the setup and outdoor seating.",5,"2019-04-22 23:05:51",26,192,2
"33767564","I was excited about the team lunch at Hyatt, however, it turned out to be a disaster!
1. Food variety: Very less compared to any star rated hotels in similar bracket. We were offered only 2 types of Veg and Non veg starters and without even mentioning the dish name. No mutton items what so ever, neither in starters, nor in main course.
2.  The service was poor and slow. I am not sure whether that is for quantity of staff or the quality of staff.
None of the staff was nice or responsive in a way that makes you feel good.
3. The quality of food changed with subsequent refill.  Even the ice creams were too sweet.",1,"2019-04-22 10:59:05",2,25,0
"31302305","Went for team lunch. Have been here in the past too but experience this time was not at all good. Food was not good especially the ones that were refilled. It appeared as if chef changed in between. Breads were too dense, desserts too sweet, chicken overcooked. Most disappointing was the service which is not at all expected from a brand like hyatt. Very slow service with a I don't care attitude. Had to wait very long for some of the requests. The only good thing was probably the decor. And no one will come back only for that. ",2,"2019-04-19 19:21:40",7,6,0
"31009676","I have been here for breakfast. Its a huge spread as other 5 star properties usually have, but I saw a great variety and different kind of a menu here. For me, a waffle cart was the best part. I just loved the hot and crispy waffles with maple syrup, nutella and berries compost. Do ask for a chef's special. The breakfast option with the stay is a must pick and do try as much as possible from the spread.
A few other things which I liked were the baked potatoes. Just loved them.
Another good thing about them was that they did not cut the fruits beforehand. You had to select your choice and they were cut right in front of you. In the juices section, I could remember a carrot 🥕 ginger, tulsi, aloevera and many such. Detox water was another addition. Apart from these, you could chose the fruits and veggies you wanted and they would make a fresh juice right in front of you.
Find attached photos with this review to describe my experience in a better way. ",4,"2019-04-15 11:06:53",83,145,10
"883344","Ambience: Peaceful place to hangout with a small group especially during late nights
Service: after two visits, I can say the service is consistent just like any other top hotels in the same league.
Food: Yes, I must say the burger is mediocre. I went for the tenderloin burger cooked medium. This patty has some herbs mixed in it, so if you like some rosemary and thyme in your patty, try it out.
For 850 rupees including taxes, I can say it’s on par with other offerings in the city with a different twist to their burger. 3.5 stars for their burger.",3,"2019-04-11 13:06:08",9,6,1
"849785","I don't expect how people are maintaining the place. 
The service here was such pathetic I think Irani cafes on the roads have better service and delivery time of the service. 
Keeping the service aside the food is decent and the ambience and the pricing is decent but service is one of the worst I can expect from a star rated hotel.
If someone from the management is reading it kindly improve your service if you think there is a need.",2,"2019-04-04 22:37:57",1031,1653,0
"29205968","Breakfast was great.
Lot of options for health conscious people.
Continental and local dishes for foodies..
Service was average though... overall great place... ",5,"2019-04-01 00:47:59",10,8,0
"542126","Sunday Brunch!
Experience: Very Bad!!!
Food: Not Great but few dishes are good..!
Service: Worst..!!!
Management: Rude..!!!
Billing: Brunch Prices not mentioned anywhere but only on Zomato, but they say that price is wrong. Asked the Manager (Mr Maneesh Singh and Prakash) to show the original prices on any Menu or Booklet or Hyatt Website..! They replied with bullshit answers..!
Only thing we liked is the place and ambience..!!
I recommend not to prefer this place with family..!!
This management has shown us how a famous brand like Hyatt can also be the worst experience..!!!",1,"2019-03-10 21:42:34",1,27,0
