"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"3214370","Peaceful place. Prompt service. Great food. But extremely limited menu.
The 3/5 is due to the inconvenience of applying Zomato gold.
I was told that the 1+1 offer is valid only on items in same ""section"". Considering the already limited menu this is was an inconsiderate stipulation. So if you are planning to use Zomato gold avail better option.",3,"2019-04-28 22:28:31",2,0,0
"106483028","Best place for best food and service.I have been their for the first time and the dining was really great,Food was amazing and the manager and their staffs were also punctual in their service. I request everyone to try once.",5,"2019-04-28 12:31:11",1,0,0
"519081","Been here twice. Zomato Gold helped me about the price. 😋 But coming to the taste liked the lamb biryani and lamb curry a lot. Really delicious. Good ambience.",4,"2019-04-12 18:51:30",7,2,0
"29205968","If you are curious about the taste of dishes in Indian restaurants in other countries... this is exactly the right place.
Don’t order for medium range wine... they provided cheap wine in the market as medium range... 
Desserts were good and starters were delicious too... main course was not good in both the occasions I visited.. ",3,"2019-04-01 00:42:01",10,8,0
"31890053","Great place!! What makes Deori different is the importance team is giving to different flavours, short buffet menu and could sense a variety of flavours, Pineapple Rasam and Aam Panna were just awesome...Thanks Chef Harish for the Recipe!! ",5,"2019-02-13 14:38:40",4,6,0
"46587457","Nice ambience and service is also good. Tushar and Naom were very cordial and gave a good service. Must visit place and order Palak kofta and tandoor broccoli.",5,"2019-01-07 22:13:20",10,37,0
"114164","What to say the ambiance of the place is just too good. It gives a luxury feeling rather a kingly feeling. The variety of good in the buffet is very less. The taste is andhra style, so if you are planning for a north indian falvour in buffet u r wrong. The kabab paranthas are great at this place at the time of kabab parantha fest. Its a family place where u can have dinner in peace and calm. Afterall its a Hyatt restra so it is meant to be classy.
So guys have a great time at Deori.
Cheers Rakshita Nath ",3,"2018-10-03 16:33:47",197,1378,2
"59032191","Amezing food.great place................................................friendly chef..............................................skilled staff.........😋😋😋😋😋😋😋 ",5,"2018-07-15 19:49:08",1,3,0
"48074394","Great food................................................nice place....................................great outdoor sitting.................................................... ",5,"2018-07-15 19:39:04",1,1,0
"55247528","Wonderful service😀. Great live counter, music was very nice ,friendly atmosphere and authentic Indian food specially Rajputana Lal mass.....",5,"2018-07-15 19:30:48",1,4,0
"1971820","Dont know what to say.... We shouldn't be calling this a buffet.... No item spread.... Even the served items are not at all good.... It was waste of money for my company as we went there for a company dinner and it was waste of time for us.... Wont recommend this to any one.... Only foreign clients who are new to india may be liking this.....",1,"2018-07-05 17:14:11",9,133,0
"740974","Visited the place for team dinner. Leaving the ambience, nothing is upto the mark of a 5star restaurant. The buffet spread lacked variety and taste. Service is pathetic.",1,"2018-07-04 21:03:24",6,5,0
"2591054","Went to dinner on saturday night with family. From a very wide spread of indian food, only 2 dishes were worth eating, others were average and avoidable. The sweet dishes were also not good. There was no ice cream or kulfi.",1,"2018-06-24 00:19:38",3,23,0
"3169376","Ecstatic Experience having the best of the Hindi Bollywood classics played on the background. Nice food. I loved the Sanas that was on the buffet menu that day. Very good service by Param",5,"2018-04-20 07:17:57",6,3,2
"35025218","If you hpnd to visit this place, please do not leave without having their Lauki ki kheer it was out of the world.. Thank  you team Deori for making my dinner special by preparing spicy Andhra chicken for me 🍗... ",5,"2018-04-01 08:24:23",8,330,0
"48276126","We had lunch,Chef Pushkar personally guided us to our seat we had a warm welcome. Talking about the food, taste is awesome,I had chicken kebab 5/5,pizza 5/5.plus the mushroom saute was mouth watering & yummy.Chocolate pastary5/5,strawberry mousse 4.6/5,Chocolate mousse 5/5.",5,"2018-03-23 23:20:16",2,2,0
"33759937","Great Indian restaurant with a lovely chef and hospitable staff. Cheerful manager ready to provide the best service. Live kitchen ,kebab live counter is awesome...",5,"2018-03-07 01:59:05",1,10,5
"34553126","Deori, the specialty Indian restaurant at Hyatt Gachibowli is back with an amazing makeover.  Go local is the main draw – right from the impressive décor, accents sourced and created by Hyderabadi artists, to Indian home-style cuisine. And their Indian Night Buffet is definitely worth a visit. Priced at Rs1200 (plus tax), there’s an extensive variety of regional dishes to choose from – be it soups like Murgh Badam ka Shorba; Tunde Kebabs and Achar Paneer Tikkka for starters, ten varieties of healthy and tasty salads and pachadis, and an equally tempting main course. The main course has 6 north Indian as well as 6 South Indian dishes, that’s quite a bit of variety to please any palate....Read full post on salttotaste.in",4.5,"2018-02-27 22:40:59",NA,185,5
"272299","Deori has undergone some renovation and refurbishment and it looks pretty inviting. The Indian Night Buffet is sure to be a hit in Gachibowli area. It offers a scrumptious fare in very artistic settings. The Indian Night buffet brings regional Indian cuisine in a glossy avatar with a pickle bar, earthy artefacts and classical music and dance performances and a quaint in-house mithai shop open for retail! I personally loved the array of chutneys, papads and chaach. If you get Sarson ka saag and Bisi Bele Bhaath under one roof, who is complaining! The 4 live stations ensure hot food on your table. The mithai ghar is actually the show stopper. The Hyatt team has gone that extra mile to make a truly enchanting Indian meal experience with ingenuity and creativity!
#Deori #Hyatt #Hyderabad #IndianRestaurant",4.5,"2018-02-16 09:39:09",75,297,8
