"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"63976820","The quality of the food was really good. . . I personally enjoyed the pasta and pilaf a lot.. and thanks a lot for letting me know it's pilaf not pulao😅😅😅 ",4,"2019-03-18 22:36:11",1,1,0
"70280941","The food is amazing and the service is speedy and assistive. I ordered a Duo Chicken Pizza and it was delicious. The crust was crispy, flavoured and chewy. The toppings worked together wonderfully. By the end of my meal I was already planning my next order. Thanks.",5,"2019-03-18 17:53:39",1,2,2
"51954971","Food
Pizza - Spicy paneer pizza was the best pizza I ever had, it is overloaded with paneer and olives good amount of cheese.
Pasta - Veg pasta are the best at this place. The sauces in them were soft and qualitative. Tasted on point , you should surely try them out.
Lemonade - All the lemonade were good enough to give that relaxing and soothing feeling. They have the mild flavours yet outstanding .
Green apple and watermelon.
Rice - Veg pilaf rice was great with spices and feel like taste of india.
Overall
Taste : 4/5
Quality : 4/5
Price : 4/5
Hygiene: 5/5",5,"2019-03-16 16:30:18",2,2,3
"36521042","The food is amazing here. The veg pilaf was really a amazing. The buttery flavour of the rice was standout. Other dishes which I tried were equally good (peri peri Mexican rice, duo Chicken pizza, spicy paneer, Caribbean spicy rice,fiery chicken pizza,green apple lemonade, blue Curacao lemonade, strawberry lemonade, watermelon lemonade, peach lemonade, farfalle Alfredo with broccoli, farfalle Alfredo chicken).
I will really recommend my friends and family.",4,"2019-03-16 16:11:36",5,4,2
"36263035","Devour is unlike other brands for food business. It is basically a remote kitchen only but I have been told by my friends that they have an outlet at the DLF as well. I am not so sure of it though. My friends treated me to a some pizzas from the place and I liked it. It was pretty much balanced in terms of taste and toppings. But since I am used to having my sliced completely filled, which I believe is the case with most Indians therefore I felt may be a bit more could have been added. Again the taste was also quite balanced and I could savour it without much discomfort.
To be fair it was quite a good experience of getting a food from there and I would just like to add that they could get a bit more generous with cheese and toppings.",4,"2019-02-21 00:32:55",59,182,4
"37387065","less toppings, they delivered a half cooked pizza , the base was white and soggy. Used to be ok earlier but they mess up with zomato orders .",1,"2018-10-14 20:36:40",4,4,1
"1184176","I have become their regular.I just live their pizza
Usually I do not like barbecue sauce because it's kinda sweet but they balance it so well.
My next fav is their carribean rice, I can eat that every day.",4,"2018-10-01 08:03:24",87,137,0
"31944737","better packing next time. ",4,"2018-09-11 20:29:17",1,1,0
"47163204","wish I have zero star here.",1,"2018-09-10 23:09:37",1,1,0
"32612312","I called to say I want no spicy and the guy still out chili flakes in everything!  Why wouldn’t you put it on the side? My baby and I cannot eat spice so this was a waste!",3,"2018-08-04 21:00:22",10,2,0
"47087577","Dear Zomato and Devour,
The pastas were a crap, was not cooked properly and the pesto sauce appeared deprived of spices. 
The chicken was soggy and hard to bit conforming that it’s uncooked as well. 
With this I would like to warn you about your dropping quality. 
I consider myself a genuine lover of Italian cuisine. And, I would contemplate treatment like this to be quite offensive. I hope this wouldn’t be repeated in future, or else I will have to opt for other delivery services.
Regards,
Somraj Saha
Research scholar 
UoH",1,"2018-07-27 22:15:35",3,1,0
"61677795","good",5,"2018-07-23 22:11:14",4,1,0
"51262356","I did not receive the food.",1,"2018-07-06 14:13:46",1,1,0
"48145759","cold n testless pizza",1,"2018-06-24 15:47:50",1,1,0
"758578","Pizza was less than average both in looks and taste. Didn't looked or tasted as the name suggested ""exotic"". Also the name says Veggie pizza, but very less veggie in the pizza. It was more like Margherita pizza with little veggies added out of courtesy. The restaurant should mention what veggies they give in the menu.",2,"2018-06-18 22:32:20",10,119,0
"42503968","Gud",3,"2018-06-17 23:22:23",3,1,0
"53207599","pizza is not good",3,"2018-06-15 22:03:43",5,0,0
"51499161","quality is not good",1,"2018-06-15 19:09:44",3,8,0
"39884196","pizza got stuck and a bit too much sauce ",3,"2018-06-12 00:29:02",2,1,0
"32579267","The order took a lot of time. The pizza was cold and so chewy that I had to throw it away. Not buying anything from zomato again. Is this the way you treat your new customers?",1,"2018-06-11 15:06:29",3,55,0
"41242009","If it's a Devour inside DLF one then I had a very bad experience with this.
I'd ordered peri peri Mexican veg and inside that there was a green worm on broccoli.
I don't know what to say furthermore.",1,"2018-06-09 15:48:16",2,1,0
"7131451","amount too high and pasta not upto the mark",2,"2018-06-08 22:21:53",8,3,0
"39414697","The pasta tasted was made like roadside noodles with capsicum onions and cabbage. If you dont know what aglio olio spaghetti means, it should not be on the menu. Highly disappointed ",1,"2018-06-02 01:09:21",5,22,0
"37930336","The worse quality I have ever tasted.",1,"2018-05-02 23:16:45",8,3,0
"30428457","Pizza is value for money ",5,"2018-05-01 19:53:50",2,13,0
"47017734","Wasn’t tasting well.. Packing doesn’t hold the heat.. I order Pasta.. Its the responsibility of the restaurant to make sure the food stays hot",2,"2018-04-30 22:14:14",4,2,0
"2117916","The pizza base was like cardboard. It was supposed to be Veg ultimate.. But all I found was very few pieces of tomatoes, olives and some jalapeños. Poor quality. ",1,"2018-04-29 21:29:20",4,5,0
"38009622","gud",4,"2018-04-27 22:56:08",3,7,0
"53989010","i have order a pizza from this restaurant and milk shake please check in snapshot how was it, and their packing was ultimate, really upset with this kind of service from Zomato why such a big company you know",1,"2018-04-26 21:41:58",1,1,1
"53836946","value for money ",5,"2018-04-26 21:22:46",2,1,0
"51677445","I am content with both the quality and quantity of food here, ordered peri peri chicken rice and it was absolutely delicious. Best part - quantity of the chicken pieces :)",4,"2018-04-24 13:01:25",1,1,0
"37683945","Cheeselicious sandwich 😍 and top of it that treat",5,"2018-04-21 01:56:02",4,2,0
"33755911","I think I have had the worst pizza experience... I ordered pizza at around 11 pm and got it delivered at 1:40 only to find that it was cheese burst chapati... Dats it... WOULD not recommend this place ",1,"2018-04-20 19:04:39",4,13,0
"343717","Pizza tasted awsome but 3 * because it was not mentioned it's thin crust. 2 of us after eating the whole pizza our stomach is not even half full, just because it was not mentioned it's thin crust. Else we could have ordered more!",3,"2018-04-19 22:15:29",36,153,0
"53514252","Tasty",4,"2018-04-18 02:36:41",1,1,0
"51575454","INCORRECT ITEM SENT",1,"2018-04-18 00:46:33",1,1,0
"51678692","worst food",1,"2018-04-16 02:59:17",3,1,0
"33910385","Pasta is worst ",1,"2018-04-14 22:15:48",1,1,0
"2793880","Cheese in the pizza doesn't have quality and taste is okayish",3,"2018-04-11 20:07:03",14,67,0
"33503433","Ordered from here for dinner. I found some things not at all upto the mark while some were better than average. Following summarizes my experience-:
Service- The delivery was got on time and there were no issues at all there. 4/5
Packaging/Presentation- The Packaging was good. The chili cheese Toast was in an aluminum foil bounded box while the Mexican Rice was in a plastic box. The presentation was okay, nothing extraordinary. 3/5
Food- We ordered the following-:
Chili Cheese Toast- This was a LOL item. It was just Amul cheese on toast with some green chilies on it. I could have made this at home. Do not try this one or you may just bang your head to the wall. The taste was fine but not worth it. 1.5/5
Mexican Rice- A quite good tasting rice. Garnished with tomatoes, broccoli and onions. The taste was similar to Cheetos if you have ever tried it. 4/5
Will I order from here again? Have seen on Zomato that the Pizza is good. Want to try the same. Will definitely not order the Chili Cheese Toast.",3.5,"2018-04-09 15:08:35",316,1157,0
"51953517","taste was awesome and packing too.",5,"2018-04-05 02:20:33",1,1,0
"33889593","very nice food",5,"2018-04-04 13:52:52",9,1,0
"51512076","very good...value for money",5,"2018-04-04 01:29:56",1,1,0
"12535271","Pizza was tasty but the drink Green apple
Lemonade was too sweet and below average",4,"2018-03-30 16:23:38",14,119,0
"443870","everything was good...please put a bit more mozzarella cheese",4,"2018-03-28 18:18:05",1,0,0
"40765931","Amazing Italian food😍",5,"2018-03-28 11:08:23",1,23,0
"48929066","Na",4,"2018-03-27 00:07:40",5,1,0
"15799423","Worst order ever. Thinnest crust I have ever seen for 250₹ 10 inch of papad on the outside. Only the good thing is its smell, but that doesn't satisfy hunger, you see. EXPIRED packets of chilli flakes & oregano. I wonder how old there chicken or veggies are. Don't even want to give this to  beggar to eat. What if his health goes wrong ? The crust base is full of flour unbaked. It was all on my hands as I took the slice in my hand. Shame to be selling on a platform like Zomato.",1,"2018-03-26 01:21:53",21,138,1
