"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"52137531","Driven is a bike themed cafe where you can even take bikes or luxury cars for rent
This is located in the busiest IT areas of Hyderabad. This is one of the places that is open till late night in this area.
Though the food is good here but certainly overpriced.
Their cold coffee is really good but the brownies need to be a little soft.",3,"2019-04-30 22:01:34",84,368,0
"6416581","Best place for hangouts and chats.
Ordered capuccino - not so great and okay . Can be done better.
Chilli cheese toast - 5/5 . I liked it for its taste and cheesiness.",3,"2019-04-26 22:23:50",59,117,0
"57385991","Been there for the first time though it was for few mins i was just amazed with ambience and music,the staff was very patient and order was quick",4,"2019-03-26 21:03:04",5,1,1
"41691031","I visited here last week with my friend. The pizza was awesome along with the dessert. Pasta was fine, along with latte. The desserts are really good.",4,"2019-03-23 20:49:43",10,4,0
"30948677","We went at 6:30 am here because we found that this place is open at this time, but we met with disappointment as there was nothing we could eat or drink as the place was just open and serving almost nothing ",1,"2019-03-21 06:23:20",5,52,0
"14812991","I am not a big fan of sports bikes, but I totally loved the place.
The interior and lightening is really soothing.
I preferred sitting on the first floor as it gave a better view of the place.
For food, we ordered a chilli garlic toast, chocolate donut with Mocha Frappe and Vanilla Frappe.
Individual Rating:
Food: (4/5) the donut was not upto the mark
Service : (5/5) It's self service, but my order was ready in like 5 minutes
Pocket Friendly : (4/5) The portion size was really small for the money they were charging
Ambiance : (4/5)
I really wanted to give this place a 4.5 star, but that cannot happen on Zomato now. ",4,"2019-03-18 15:39:08",168,425,3
"2571178","Such a unique concept this cafe has of hiring bikes and cars and enjoying coffee along with it. Ambience is too cool and food is also nice. Really loved my visit there.",5,"2019-03-07 20:16:09",22,46,1
"47576768","I went this place with a lot of expectations.i travelled 30 kms with full of curiosity and then when I reached the cafe I ordered my food and went exploring the cafe it was good with all bikes and cars surrounded by it. The theme of the cafe was too good but I waited for 30 min bcoz the top floor of cafe was under maintenance to see ambience of cafe I waited there and when I went upto there I find some intresting stuff I am satisfied with you BTW the food was some what good...!! ",4,"2019-03-03 23:36:46",18,295,2
"350272","Late night craving for some coffee and chocolate? Driven Cafe, be it! 
Been here a zillion times and always had the same experience of great coffees and superb service. 
Always had the Americano and sat outside for some nicotine and fresh air.  
Walkable from Amazon (my workplace) makes it easily accessible. They are open 24 x 7 ",4,"2019-03-01 12:59:25",56,88,0
"45446560","Quirky interiors + Great food = Perfect! Must try - Coffee and brownie! This place has great interiors and it’s not just about the food here. At Driven Cafe, you can even hire cars and bikes! ",5,"2019-02-28 11:37:22",13,4,7
"16053270","This is a great place to hangout, the interior is amazing done & looks fabulous. The beverages offered are really great also the pizza is awesome. Although they could add more things to the food menu that’ll make it better. Overall a very much recommended.",4,"2019-02-21 13:07:08",7,565,1
"53439650","I love this place. Perfect place to have coffee atleast for me. Spacious, evergreen english songs eg Nirvana, Bryan Adams, on the back ground. It is just a perfect cafe where u can just sit, talk, sip coffee, enjoy the background songs, not a noisy cafe like some other cafes. This cafe is definitely going to be my new favourite in the city. 
But the negative point is that they don’t have much items on the food menu which is why I gave only 3star. 
Recommended if you care the ambiance and coffee more than the food items.",3,"2019-02-14 21:13:09",24,13,2
"4942451","Reviewing after a long time because this was really special.Me and my husband went on a long drive and when I suddenly had the craving to have a nice cup of coffee this place happened. The ambiance was really cozy and different.We ordered cup of tea , coffee and pizza. The best part was the heart shaped almond Choco pastry.loved the theme and concept of cars and bikes. ",4,"2019-02-14 20:54:09",90,247,4
"34920544","A cozy,classy cafe to visit amidst the chaos at this junction.Loved the ambience...truly justifies their theme of automobiles.One would wish to own the cars they have for display,someday!!!
They had a widespread authentic menu.And since we were very hungry,we ordered almost every thing.And all of the items left us craving for more.
You would find plethora of coffee. It is paradise for a black coffee person.The way they present their dishes,and the way it tastes is something you wouldnt get anywhere else in the country.You are the best,Driven cafe.You have my heart.
Value for money:5/5
Food:4.5/5
What I loved about the cafe:Ambience,theme,food
What could have been improved:Service
Recommendations:cafe latte with hazelnut,Peas and potato sandwich,double chocolate decadent,apple pie",5,"2019-02-01 20:49:19",60,37,4
"27383179","The interior arrangement and design suits the name 'driven', many bike models along with bike related stuffs. Location wise it's placed at good and well communicated area. Coffee collections are remarkable. I have a good experience ans would suggest if you are around the place then visit once along with friends. ",3,"2019-01-26 12:34:26",12,27,0
"39975834","The cafe is inside Kapil towers in financial district. Ambience is cool n chilled out. I ordered latte n veg pizza. The food is also very good.
Outside the cafe are high end cars n bikes available on rent. (Harleys n Porsche).
Worth visiting for a coffee with friends.",4,"2019-01-23 00:28:49",42,49,1
"36037724","Perfect ambiance and the best place to hangout from mid night to all night for a person like me. Have to say the place is such that it detoxify you from stress. For bike lovers it is heaven. I usually have kettle tea here and found it really great and unique...Just Love this place",5,"2019-01-21 20:59:45",7,3,0
"8250811","Driven cafe comes with a perfect ambience that entices any motor head. The themed cafe has a number of exotic cars and bikes that one can choose from to rent. The wide range of beverages and the quirky bites that Driven cafe has to offer, make it a must go place!",5,"2019-01-20 14:06:45",97,291,2
"37543093","One of the best cafes I have visited in Hyderabad.. starts from their coffee to cookies all are awesome..
The interior is also good..
Good & polite staffs..
Nice hangout for couples,groups & family..
Loved it!✌️",5,"2019-01-10 17:40:40",35,170,0
"61475779","Great being there and just had good coffee . The interior was awesome. Guys who loves automotive , I prefer to go once . As they have lots of expensive automotive machines.✌️",4,"2019-01-08 17:46:23",14,1,1
"40319532","Good cafe to chill amidst the chaos at this junction. Excellent interiors, very different theme of automobiles. Good food on high chairs :) Innovative way to confirming you order - where a buzzer gives the confirmation :)
It was a nice experience to be here. Do try their choco-almond bomb dessert.",4,"2019-01-04 15:41:26",231,406,6
"35166289","A place to rent amazing bikes and cars and a perfect background for your photos.. this place had a lot of photoshoots going on when we went there.. Food was okeish but ambience is great.. ",4,"2019-01-03 11:48:57",64,202,2
"47676142","#DRIVEN CAFE - A RUSTY BIG TOY CAFE !! Which server some terrific a central nervous system stimulant of the methylxanthine class called 'Caffeine'.
This place is well setup in gachibowli near sheraton Hotel. Surrounded with some fancy cars and bikes with some great ambience and blood rushing coffee. Visited this place many times and tried few items on their menu.
The coffee was good and their food was okish. The walnut brownies was one of my favourites on their menu. Really good place for people to hangout and spend some time.
Service was very poor. That's the main reason for my 3🌟! ",3,"2018-12-16 04:19:03",83,145,3
"1164000","Visited this place to have a photoshoot because this place was retro kinda style. Ordered pasta, pizza and my friends had coffee. They were good too. Great ambience and worth visit.",4,"2018-12-14 17:31:40",228,419,8
"15670778","Amazing place.❤️ Spectating the cars and bikes and the idea of renting your dream car Is just superb. Ambience is perfectly crafted for the theme they have.",4,"2018-12-11 22:13:49",32,263,0
"31812839","Amazing interiors, Good music and comfortable seating are a few plus points at Driven .
My go to favorite is the walnut browine.
A good place to catch up and chill. ",4,"2018-12-09 12:54:20",63,88,3
"16051561","One Best place for indoor photoshoot. Coming to food its just so yummy 😋 pasta 🍝 and pizza 🍕👌🏻. Been here 2 times and wish to visit many more times 😁",5,"2018-12-05 14:39:05",88,109,6
"1635511","The first thing that strikes you about the place is the ambience. You have a triumph thunderbird LT on one side with it's massive round headlights and a ducati monster on the other side in a dashing red. There's great music playing and there's riding gear, etc. hanging off the walls with numbers to call in case you want to rent some of it. 
I went in early morning around 8:30. The cleaning lady was still sweeping and it was kinda hot inside (ac switched off probably). There was no one behind the counter. Asked the cleaning lady and she shouted out for someone who came right away and took my order. 
Ordered for a mint mocha and a cinnamon roll. The guy was coughing randomly (hopefully not into my food or drink), but I found this to be an annoyance. I mean, you can have the fanciest of ambience but if the people who serve there aren't trained in basic hygiene and cleanliness, it all goes to waste. 
The mint mocha was superb and the cinnamon roll was ok-ish. As I paid, I got a torn note, so I gave it back (to exchange it of course). Instead the guy just took it and went away. I waited for a while, then called out. Asked for my money and instead of one note, he handed over two. The dude was clearly in his sleep - probably having been through the night shift.
Giving the rating only for ambience and quality of food. 1 point taken away for the serving attendant. 
Oh, and they don't have anything non-veg.",4,"2018-11-29 17:59:43",86,646,0
"31189330","I was here with my bunch of friends a few days ago. I was in awe with this place and I guess anyone who visits here would also be, by the beautiful big toys this place has. From luxurious cars to super sexy sports bike, anything you want to rent this place has.
Coming to the food, they don’t have much variety, it’s just pizza, pasta, sandwich and desserts. We had ordered veg pizza- loved it, loaded with cheese and veggies with super thin crust. Four cheese pizza- I didn’t like it that much, made up of four types of cheese with super thin crust. Veg sandwich- nailed it, it was the most yummiest one for me. Paneer sandwich- my friends loved it, I don’t eat paneer so I can’t say that for myself. White sauce pasta- it was good, more veggies to it would have made it perfect for me.
Coming to drinks, I ordered cool blue slush and I loved it taste wise , another reason being, it took too long to sipped up fully. 
Overall, it was a good experience for me.",4,"2018-11-24 13:10:59",40,66,3
