"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"43784015","One of the best innovative burger 🍔 concept.
The first bite when I had it was like how come I missed this kind of taste. Awesome must try cheers. I go with mercury burger 🍔 as I am a cheese 🧀 lover. 👌🏻",5,"2019-05-12 03:57:37",3,30,0
"34587495","Must try place if you are very hungry late night ! Amazing burgers . Even their veg burger tastes so good .
Well my favourite late night joint for burgers ",4,"2019-05-04 22:21:45",32,10,0
"48827827","Great taste but not worth it! There is not place for dinning. Open all night! Fresh! Can come with friends but not dinning as said! Was full of cheese!",3,"2019-04-19 00:36:09",2,30,0
"3032462","This place is a roadside burger joint. Their million way burger is a must try. The chicken is grilled freshly in charcoal and is juicy, tender in texture.",4,"2019-03-31 23:58:46",146,332,0
"42353640","I have taken 2 stars out only because of the time they took to make the burger. No doubt, the burger was very juicy and tasty but the time they took to make it was far too long. ",3,"2019-03-31 23:47:27",42,137,1
"29152423","This is possibly the best burger place I’ve eaten at in around in a long long time. Being a Hyderabadi you grow up to your local baker-uncle, then came McDonalds and other brands, which were good, but they didn’t feel quite homely and you couldn’t necessarily see the theatrics of your burger in the making. 
GD’s is a place to go to have a gastronomic experience, not just in terms of the taste but also the theatrics.
The polite owner will always be around asking you about the burger and always taking care of anything the bakers want. 
If you want to be more than just satisfied with your next burger, I suggest you stop by GD’s. ",5,"2019-03-22 21:00:34",7,175,0
"32615201","An absolute pleasure! Right opposite to Dlf building. The guy makes sure to give your burger the exact time and patience needed to cook it to perfection. A delightful experience!",5,"2019-03-22 19:26:27",3,1,1
"2036154","#DoYouKnow? A burger is the short name but in fact called as Hamburger and if you lay down all the hamburgers eaten my Americans only in a year, it circles earth 32 times.! 
So why Burger topic now? Because of my recent visit to “GD’s”  opp DLF that offers quick bites like, sandwiches, hot dog, grilled chicken starters & most importantly their famous mouthful sized burgers. 
Galaxy Burger, no wonder a fast selling pick for its grilled buns crammed with two layered cheesy juicy meat that over salivates your palate.  Grilling bun might need a little tweak to avoid chewiness or I am that one unlucky chap! Followed by brilliant #CometTail hot dog with freshness in every bite and decent smokey #AtomicWings with a sweet-tarty (BBD sauce) finish (but a little over grilled). 
Though many of them choose this place for their speciality Meat burgers they do have good coverage for Egg/Veg’etarians and heard #AntiMatter burger is a worthy try. Overall paid 480INR.
Value for money yet filling one soul comfortably are the key reasons which can potentially bring you again.
#burger #sandwich #hotdog #wings #DLF #whenatgachibowli #wheninhyderbad #Hyderabad #shotoniphone #food #foodie #LoveFoodHateWastage #EatResponsible #Foodenthusiast #foodblogger #foodphotography #hyderabadfoodblogger #annadathasukhibhava #palatepassionclickeatxploreyo.wordpress.com",4,"2019-03-21 21:39:55",275,1954,4
"1635511","Ordered from this place since I was on the lookout for a big fat juicy burger. They didn't disappoint. The Galaxy burger that I ordered was huge. The chicken was grilled properly and tasted fine as well. The only thing I didn't like (I'm a fussy eater) was that the chicken wasn't a breast piece or some sort of filet. It had some loose pieces of fat or skin (which I'm not fond of) and that kinda put me off. A pounded chicken breast without all those ""things"" in between holding the flesh, would have been better. Ultimately I took the burger apart and had the bread and chicken separately. Taste was good though. 
Still trying to find a burger that can satisfy me...",3,"2019-03-19 18:32:14",86,646,0
"615597","The best steak burgers in Hyderabad without a doubt.Consistency to the “T”. The taste never alters. Highly recommend all meat lovers to sink their teeth into the juicy steaks ",5,"2019-03-17 18:20:10",2,0,0
"36387823","Have been hearing a lot about this amazing burger place opposite to DLF, what an amazing join with live grill and freshly made burgers, loved the friendly staff and a uniquely named menu.. ordered Galaxy and milky way burger which were amazing and cooked to perfection, the charcoal grill gives the burger a unique BBQ taste with chunky chicken pieces in it!!
On rush hours the service time can go lengthy, limit parking space the shop shares a juice center which is a plus point to grab some quick fresh juice or soft drink to go with your burger, and is open all night!!
Feels moderately over priced however considering it being surrounded by MNC""s and the taste maybe it's justified, and definitely it's a worth visiting place!",3,"2019-03-03 14:39:56",57,51,2
"15744469","Love their BBQ chicken and mercury burger . Though service is little slow and eating area is small , if you can manage to take away then this the best burger at its cost. ",5,"2019-03-02 18:51:45",11,31,0
"53954528","One of the best tasting burgers in Hyderabad. I have tried many burgers in Hyderabad but this place serves the best burger. The charcoal grilled chicken with cheese is very delicious. ",5,"2019-02-23 01:23:22",4,1,0
"35563154","Tried the Mercury burger 🍔 It is cheesy burger with chicken stuffing. It is a must try for burger lovers. The ambience is pretty cool to visit with friends. There no place to sit and eat. The burgers are too good",4,"2019-02-18 16:12:14",2,17,1
"488653","Big fat juice burgers, the best recommended are “Milky way”, “Galaxy” and “Big Bang”. Even other chicken dishes such as chicken wings and full bird BBQ are nice and tasty. Please go to the venue and order to enjoy 100% flavour and taste.",5,"2019-02-17 19:31:51",8,159,0
"462684","packing should have done in a box ... ",4,"2019-02-12 19:46:43",2,0,0
"54920620","Meat in the burger was little uncooked and hard to chew",1,"2019-02-10 20:45:20",5,3,0
"47420166","I think it justifies its tagline worth the wait.They generally take around 15mins to prepare.prices were bit high.Its a place for a quick bite.",5,"2019-02-07 23:20:19",2,2,1
"478838","I’ve been to this place on my friends suggestion. Ordered one single chicken burger I don’t remember the name exactly. The chicken is grilled to perfection. Chicken piece is enormous than burger, infact when you bite the burger its not the burger which goes into your mouth its the chicken which goes into your mouth first. They’ve also stuffed alot of cheese into it. Good taste for a street level burger place but there is definitely scope for an improvement. ",3,"2019-02-06 20:21:30",199,180,3
"51204874","Great place to enjoy #americanBurguers. My favorite is cosmic burger. I been recommending this places to all my friends. #goodfood #lovingit #sizzling",5,"2019-02-02 23:38:11",2,2,0
"52554454","Ordered chicken milky way burger at 3am and realized McDonald's and burger king are nothing compared to this burger!
Can sleep with happy tummy!",5,"2019-01-31 04:15:36",9,6,0
"34297934","The burger was tasting sour maybe lot of sour sauces were added",4,"2019-01-24 17:55:12",4,15,0
"73276688","Simply Awesome. Tried Milky Way, Mercury and Cosmic Burgers and the Comet Tail Hotdog. All of them tasted great. The chicken has a deep texture and a nice smoky feel. Do try out this place.",5,"2019-01-24 12:27:19",1,4,0
"7997761","The paneer sandwich I ordered was not even grilled properly, the filling was just too bland.",1,"2019-01-20 22:22:32",1,5,0
"76701990","Visited the stall of this outlet at IBS last month. Ordered veg burger and veg sandwich. The panner which was inbetween both burger and sandwich was awesome! Really loved it! Somewhere I felt the prices are bit on higher side and very less vegetarian options😕",4,"2018-12-20 09:57:36",36,28,1
"15970119","Quite good for burger lovers. Worth the money and milky way is my best choice here. #foodlovers#nightfood#tasty#teamparties...one of the best burgers I had",4,"2018-12-12 12:49:26",10,1,0
"31055811","Extremely spicy",2,"2018-12-04 21:20:54",10,3,0
"276088","Ordered the Cosmic Burger and the Comet Tail HotDog. 
Packaging - Great! Packed in aluminium foil wraps, the burger and the hotdog were neat and clean, without any spillage. 
Quantity - Abundant. I was literally full in half a burger!
Taste - Brilliant! The chicken was succulent, the fillings and veggies were fresh and crunchy and the bread was soft and melted in the mouth.
Would definitely re-order.",5,"2018-12-04 12:08:20",6,484,0
"56956951","sandwich was nice",5,"2018-11-29 23:46:01",7,2,0
