"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"29973853","If you love butter chicken you can't miss out on this place. Butter chicken and naan and you'll be satisfied. Nothing more that's needed. Brings in the true Punjab to Hyderabad",4,"2019-05-16 23:48:59",25,5,0
"50417898","Definitely worth a try if you're looking for some lip smacking North Indian Food.
Must try: Kadai Paneer, Garlic Naan, Shikari Murgh, Dum Ke Aloo, and Chicken Nachos.
Patiala Lassi is a must try as well but I wasn't too happy about it cause it didn't have much authenticity to it. It sure would be a game changer if they brought in some changes to it.",4,"2019-05-14 12:18:10",72,856,0
"31630480","I went to this place for a lunch with my friend. We were the first one to land at the restaurant - sharp @12noon. Yeah! We were actually hungry. I liked the place - decoration was awesome! Cool interior. We ordered Veg Machaow Soup, Masala Papad, butter naan, Paneer Massallam and masala cold drinks. Please do note they give only Masala cold drink and not a regular cold col drink. We liked the food, taste was good. But the cold drink was tasteless - I guess it was already opened one so couldn't get the taste bar that everything was good. Ambiance was actually the best - decoration, the and ample space. But service could have been good and fast.
Food - 4/5
Ambiance - 5/5
Service - 4/5
Overall - 4.5/5
Thanks for the hospitality though!",4,"2019-05-11 13:24:25",13,0,4
"35384499","Good ambience. Amazing food. 'Gol Gol Gaulloti' and Dal Makhani are must try items.
Good place!
Good ambience. Amazing food. 'Gol Gol Gaulloti' and Dal Makhani are must try items.
Good place!",5,"2019-05-09 14:35:09",5,2,0
"2745750","Love the food here.. but not today :/
Dahi ke kabab - most Favourite - not today.. small kebab no dahi..
Dhabe di daal - big ginger chuncks
Tandoori roti - not cooked
Service on slower end.. Wish ordered food on swiggy than coming down.. its better when delivered ..
Had food but not enjoyed... Please keep the taste and service top notch.. wish you good luck",3,"2019-05-05 22:46:31",2,65,0
"15390331","We had ordered the Spicy Mutter paratha (2/5) and the Mooli paratha (3/5). The parathas were thick and there was no butter on them. It comes with a drink(3/5) and dal makhani(3/5). Now I am not a regular paratha eater but occasionally i love my aloo, gobi and mooli ke parathe. I have always ordered and found them to be good but this time i was disappointed. From the looks of the paratha, i am sorry to say this, but it didn't look very punjabi. Punjabis know their paratha well and wouldn't compromise on it. Cheers!",2,"2019-05-05 00:02:20",207,400,1
"66243991","We visited this place during weekdays. This place is at prime location , easily accessible and has good ambience. We ordered tandoori and lasooni Tikka. Both of them were under cooked and were not worth it . Main course was not good either. Servings were taking lot of time to complete. ",2,"2019-05-01 21:27:38",1,0,0
"3120675","We a bunch of friends went for a holiday dinner. Ordered tandoori murg, lasuni murgh tikka. Both the dishes were under cooked. Masala was not cooked at all. Had to throw away.",1,"2019-05-01 21:16:52",1,0,0
"33519259","Worst dal khichdi ever very less quantity. Expected a very good taste and quantity. Just pathetic service restaurant should check before serving the food. If you are going to maintain such poor quality it is not going to work for you",1,"2019-05-01 16:36:29",2,39,0
"111695","good ambience.
Tried Manchow soup,roti,dal makhani,raita.
all were very good in taste .
I tried thali once that was also good and enough for one person.",4,"2019-04-26 17:42:31",91,1078,0
