"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"35855466","I ordered a Black Beast sandwich (veg) from the restaurant through Zomato. But What I got was a sandwich with meat in it, which unfortunately I got to know after taking a bite out of it. Being a pure vegetarian it felt revolting after understanding what just happened. This was a gross negligence from the restaurant side which resulted in putting physical and well as emotional strain on me, exactly opposite of what good food is supposed to do.",1,"2019-04-26 16:50:24",2,3,0
"1095112","I ordered keto chicken Bowl. Packaging was good. Though proportion of purple cabbage was more compared to chicken and other veggies, i liked the food.
Would be trying their other dishes soon",4,"2019-04-11 14:11:12",27,4,1
"217608","Ordered their so called ""bright beetroot idlis"" was expecting colored idlis. Instead they sprinkled some chopped beetroot on top of the idli and charged me 170 RS. Disgusted!! ",1,"2019-03-27 17:41:41",7,2,0
"47403765","Grilled Chicken With Quinoa Bowl is full of protein & fibre with a tangy lemon ginger soy dressing escorted with some veggies.The combination of quinoa with grilled chicken is fantastic.",5,"2019-03-19 12:17:57",85,433,0
"36471678","Ordered one Keto Thali from this. They didn't have coconut flour so they send normal flour paratha. It was good i realised that and didn't eat it else one week of my diet would have gone to waste. This is really bad practice should not have taken the order if right ingredients were not available. ",1,"2019-03-10 15:08:28",3,0,0
"29563466","I have ordered from this place many times now..I absolutely loved the cottage cheese pesto sandwich!!!!! ...I also liked the beetit thali very much !. Paneer bhurji thali was fine..not that great.However sometimes , a few items like curd or tomato salad, miss from the orders. Other than that,no issues! Packaging of food is kinda cool ",4,"2019-03-07 14:41:07",9,72,0
"89367426","I've been ordering from Healthie many times, and am usually happy. However, I don't think the nutrition information is correct, and the food often has missing ingredients. Also, I ordered the keto pesto chicken pasta, and it had actual pasta in it. So was a bit disappointed with that. 
Otherwise, I love the black rice bowl and the Korean bowls. Egg white omelet is also tasty.",3,"2019-03-04 09:17:56",1,0,0
"53737999","Ordered falafel salad. Good packaging, below average food. Literally only had lettuce and falafel. I suggest adding more veggies or a dressing",2,"2019-02-17 12:12:53",1,0,0
"41976684","I have ordered chickpea salad which was under breakfast category and to my surprise it was loaded with so much chilly that my friend's eyes were watering for four hours... It was unbearable.. quantity of food was enough and also chickpea was of good quality but I am not sure why a salad tasted like that",2,"2019-02-07 19:20:27",5,12,1
"432845","Ordered two Salads from here. One Lebanese Falafel and Kri Kri D'Amor Salad. Both of them didn't have dressings are promised, nor did they have all the ingredients specified. Was very disappointed. ",1,"2019-01-04 23:09:04",11,10,0
"86786431","The food comes really warm and the packaging is really good. Please introduce more categories in your keto bowls, the dressing is really nice for the salads. 
Deserves 5 star 🌟 ",5,"2018-12-24 22:29:02",4,0,0
"48267689","When I was looking out for Healthie items, this place popped up in my search.
I sure was delighted to look at their wide range of healthy options and when delivered it was not only appealing it truly tasted good.
A must try!",5,"2018-12-17 19:07:35",16,1,0
"41621693","Definitely not healthy. Look at the amount of oil used in Paneer Burji. The packed food use to be good but not now. Also the packaging was in Yumyumdilli.com name.",1,"2018-12-12 20:36:26",1,0,0
"44104236","I have ordered (Veg daliya Kichidi) from Healthie(swiggy). Surprisingly I have received the order from Foreign café and they claim that they have different names. Very unhygienic food and found foreign particle(COCROACH) in kichidi. Can't imagine these kind of things. Till date I didn't know veg daliya kichidi means including cockroaches as well....don't have the option to give -ve rating.",1,"2018-12-11 22:24:07",2,1,1
"56026669","the food was rotten which I ordered today.. did not expect to pay for rotten food
no value for money. such a disappointment. hence please don't choose this restaurant ",1,"2018-12-11 21:07:18",1,3,0
"40944934","Tasty food ever, I have ordered chicken pesto pasta last night.Food was very tasty. It's my first time from this place, would love to experiment with other dishes from here. #FoodLover",5,"2018-12-06 12:51:35",6,7,0
"84138019","Ordered Farm Veggies & Quinoa Bowlwith them 2 day back. They have good menu options for Healthy food. Food Delivery: 4/5Quality - 5/5 Veggies were fresh and specially love their dressing. 
Overall satisfied with my meal.",5,"2018-12-04 09:13:17",7,1,0
"3158048","Was asked to review the food. I have ordered chole Rice and farm veggies with quinoa. The packaging was very good. Also liked the presentation of the food. 
The chole rice was very good. tasted good. But the farm veggies with quinoa was okay. The veggies can be cut into finer pieces. Some of them were very raw. Probably add a piece of lemon to taste it better.
Overall, not disappointed with the food and the delivery.",3,"2018-12-03 12:28:03",126,1136,1
"2505014","Was searching for a healthie food place from a long time, finally heard about Healthie and my search finally ended. Ordered their chicken bowl and black burger, generally healthy food is not thtt tasty but this to my surprise was too delicious. Way to go healthie ",5,"2018-12-01 21:29:15",38,1121,0
"36523232","Haven’t visited this place. Ordered online from here. The package of food was worth mentioning as it was nice. 
Try 1. Zesty grilled chicken 🍗 salad. It had Good amount of chicken pieces and it tasted really nice. ⭐️⭐️⭐️⭐️
Try 2. Grilled chicken and balsamic onion sandwich 🥪. This was again good and will be enough for two as a snack. The amount of chicken was bit less. It was delicious 🤤. 
They are using multi grain bread 🍞 so the name healthie is appropriate. ⭐️⭐️⭐️⭐️.5
My rating :
1. Food : ⭐️⭐️⭐️⭐️
2. Ambience: yet to visit 
3. Service: yet to visit 
Must try 😋: 
1. Grilled chicken and balsamic onion sandwich 🥪 ",4,"2018-11-30 11:43:03",176,3777,0
"43294107","Finally i have found a place from where i can order Healthie food yet so tasty!Packing is superb as it comes in a cardboard box  like a gift.Was deliverd on time.
Good job love the concept",5,"2018-11-30 11:09:40",2,17,0
"129096","Had the grilled chicken with Balsamic onion Sandwich, the bread was really fresh and as their name goes it was a healthy one since they used a multigrain bread. The filling had grilled chicken coleslaw and onions caramelized in balsamic vinegar which tasted really good. Would have been better if the quantity of chicken was more. A decent alternative to sub.consultdaisy.com",4,"2018-11-29 12:24:36",67,842,0
"57963932","Peanut butter brownie and the rice bowls are super good. I never thought that healthy food can be good in taste as well. I loved it. Must try",5,"2018-11-28 22:23:19",4,0,0
"35769975","I have requested for Grilled Chicken Balsamic Onion and Zesty Grilled Chicken Salad. 
The package was neatly wrapped up in a small box. 
Coming to the food: The Grilled Chicken Balsamic Onion Sandwich is a combination of Sub and Burger. The bread used was a Multi Grain one. Moderate amount of mayonnaise but, good quantity of veggies and chicken. Very Yummy, the bread was really fresh and tasty.
Zesty Grilled Chicken Salad. The box was full of chicken pieces and sliced black olives. Mouth watering to look and it tasted as good as it looked. Chicken was nicely grilled with salt and pepper. Tomato and lettuce doubled the taste of it. 
Overall the food was good. For all the healthy eaters and diet conscious foodies this is a run to option. ",5,"2018-11-27 23:17:41",51,84,2
"48875452","If you are looking to maintain a healthy lifestyle by eating balanced meals on a daily basis, then be sure to check out Healthie offerings. The food always reached me in the desired condition and almost always on time!
Absolutely a gem of a healthy experience.",5,"2018-11-27 10:30:31",8,2,0
"78588273","The peanut butter brownie and the cake jars are always best. I would love to have them everyday. The taste never changes whenever I travel from delhi to gachbowli. I loved whatever I have tried yet. ",5,"2018-11-27 07:02:25",10,2,0
"50746373","Ordered grilled chicken with brown rice and Persiat. Made my day. The taste of food is amazing. I never thought Healthy food can taste this amazing. ",5,"2018-11-26 23:53:08",3,9,0
"1346516","Its difficult to find healthy food which tastes good too but nowadays lot of resturants have started focusing on that ! Healthie is definately one of them ! 
Note : This was a food review program ! 
We tried healthie chole chawal and farm veggies with quinoa ! 
Rice was very light and chole was boiled properly due to which it was very soft ! 
Veggies was very fresh , infact i ate half portion next day lunch and still it didnt ruined ! 
Quinoa is not everyones cup of tea, so if are aware of them, than order else you wont find them good...
Only issue what i found was price and quantity, 
The quantity was less for sure for what price the customer pays , 1 meal was not suffice ! 
Other than that, definately try them out and before trying do checkout exactly what they are serving ! ",4,"2018-11-26 13:10:38",126,337,3
"45306127","I have placed an order with them for my favorite healthie Oats Masala Dosa and Milky Porridge (Daliya). Taste was too yummy. Order delivered in nice packaging and on time also. 
Will order soon from you guys. Cheers!",5,"2018-11-26 11:10:21",11,6,0
"56377640","Last Week, I had ordered Cottage Cheese + Eggplant Keto Bowl along with Sunny Protein Bowl
. The taste of food was  exquisite and packing is too good. Highly Recommended..!!!",5,"2018-11-25 20:03:38",19,15,0
"29505039","I have tried their Chicken Burrito Bowl. Chicken and vegetables were completely fresh. It was worth paying Rs 280 for this meal.  Good option for Healthie Lovers!!",5,"2018-11-23 11:28:23",3,54,0
"32610669","This place is my go to place for all things healthy.
They are just brilliant!!! Love the keto bowls and Sandwiches. Apple beetroot carrot is my favorite juice from here. Very well packed and delivery was on time too.",5,"2018-11-23 09:24:26",15,74,0
"81056086","So I was looking for some good options here in Hyderabad for North Indian food for lunch.
Saw their menu and ordered a meal from them. I witnessed authentic Indian flavours in their food. 
Also the packaging was nice.",5,"2018-11-22 23:17:04",3,26,0
"36677889","Ordered grill chicken with brown rice. taste is so good. Reason for giving 4 star is that the dish is very dry and no sauce is provided. Could have given flavoured/herbed brown rice instead of plain brown rice.",4,"2018-11-21 09:23:01",11,15,1
"81268593","Ordered again from this outlet as they always serve Fresh & Healthy food in maximum 30-35 minutes. This time, I placed an order for Fruity Bounty Bowl
. Bowl was full of fresh fruits, granola. Completely healthy diet. Will order again soon from you guys!",5,"2018-11-15 11:03:55",11,5,0
"1738537","The best part of Healthie restaurant is it’s fresh and wholesome food. The black range is worth a try.
I am big fan of Kichdi’s here. These type of Kichidis are not available any where else 
I like their packaging as well 
Well done! ",5,"2018-11-08 18:23:14",24,621,0
"45331219","Last weekend, I was here and tasted Chicken Black Rice Bowl - It was so delicious meal after a long time [I was on keto diet before]and I ended up tasting Chocolate & Chia Seeds Pudding with Honey - which was a perfect notch for my tummy :p I'm in love with this place, would definitely come back and try some other exotic varieties in the menu!  #FoodLover",5,"2018-11-06 11:52:03",12,31,0
"52413895","I tried burrito bowl (chicken ) with black beauty as drink and it was worth I paid for. The food was so delicious that I even crave for it now.  A must try for healthy food lovers. ",5,"2018-11-05 22:44:41",18,3,0
"70835992","Amazing food! Ordered Cottage Cheese Pesto sandwich and it was superb in taste. All the veggies and sauces were perfectly mixed. Perfectly packed and delivered on time.
Love the taste!",5,"2018-11-05 14:30:22",29,104,0
"36894977","Everything including food, delivery and packaging, was excellent. I ordered Grilled Chicken & Balsamic Onion Sandwich. Everything was perfect and with reasonable rates.",5,"2018-11-05 13:42:08",59,2065,0
"49825233","Yesterday I try this this restaurant for home delivery. They delivered food very fast and the food was warm and tasty. Packing was also good. Will order again soon.",5,"2018-11-05 12:32:30",15,2,0
"78803109","We had ordered for our team meeting. Each one of us loved the food. Definitely gained a lot of regular customers. Loved the cholle brown rice. Can't wait to order again",5,"2018-10-31 17:32:20",3,0,0
"58556873","i had a very good experiencd. ordered a quinoa bowl and ruby reviver. very nice. will order again. delivery was slightly delayed, but good service. ",5,"2018-10-31 17:15:51",2,4,0
"2069396","Ordered a Chicken and egg sandwich and quinoa bowl from here. Great food, great packaging, good delivery. An apt place to order from for all the health conscious people out there. Can t wait to try out other dishes from the menu.",5,"2018-10-31 13:37:46",3,0,0
"51873905","I ordered from their other outlet, great food overall. I've been waiting for something like this and they are very good at what they do. Tried keto bowl and ruby revived for now. Can't wait to try other dishes from the menu. ",5,"2018-10-31 13:02:52",2,1,0
"34266265","very nice very very healthy choice.",5,"2018-10-27 13:40:33",3,2,0
"2904554","A BUNCH OF IDIOTS & UNPROFESSIONAL CHEATS. I just got done with a heavy workout and ordered a diet meal. A FRUIT BOUNTY BOWL WITH 1. Nutty Granola, 2. Fetta Cheese, 3. Lemon honey dip and other fruits. And what they served is a bowl of SLICED APPLE & 4 PIECES OF PINEAPPLE. The worst service ever. Cheating their consumer. They make you wait for an hour , serve in a box that isnot even their own brand and SERVE SHIT. I need my money back! Imbeciles",1,"2018-10-18 22:52:53",36,76,2
"30552507","The Sandwich was very good healthy tasty...I recommend the sandwich from this place and had a very good taste I have ordered vegie Panini was outstanding",4,"2018-10-16 14:50:32",9,53,0
"57604422","By the name itself the food was very healthy with- cabbage rice, sorted vegitabls so , and chicken.
But there was something missing it was not that outstanding but a average meal. 
The chicken hasn’t grilled properly . 
The sauce killed the prospect of keto meal ",3,"2018-10-09 09:24:47",43,63,0
"35836801","I ordered strawberry banana parfait, lebanese falafel and cottage cheese pesto sandwich. Everything are so overpriced but not prepared with much care.
I ordered twice from this place and both the times i got different items as my choices were not available and the order came late as well.",3,"2018-10-02 09:13:14",247,316,0
