"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"53439650","I have been a regular visitor in this restaurant. I particularly like the gravy noodles(Chinese chowmein). Also, it’s not a crowded place like other restaurants. You will enjoy the place if you want to have a quite meal. The food quality is also very good. It won’t disappoint you. 
Once we had Black Beans chicken, it had a flavour that taste like fermented soya bean(you will understand if you were from Northeast part of India). Basically, our body gets heated up after we consumed the dish. 
It was a different kind. 
The owner is also Chinese.
Fast service  
Problem: They accept only cash!!
Recommended.",5,"2019-04-11 13:29:32",24,13,0
"59198907","Stale food, don’t waste money ",2,"2019-03-19 22:56:48",2,0,0
"46411704","A place to go for when you're craving Indian Chinese.
If you happen to be here go for their manchow soup, chilli paneer, kung pao chicken and chilli chicken.
Decently priced restaurant with courteous staff.
Please remember to carry cash as they do not accept any other form of payments.",4,"2019-02-18 05:53:26",9,2,2
"231143","Always the food is sent and packed with love. They take care of our not spicy food request beautiful. The taste of the food gives flavour and comfort. Thankyou for always being your personal touch.",5,"2019-02-15 21:14:10",2,125,0
"40382729","It’s not the first time me and my friends have been to this restaurant. Today we went to Hongkong restaurant for lunch. Earlier we were four and later one of our friend joined us so we wanted a bigger table. We shifted to other table. The lady incharge reacted as if we have done a crime by shifting table. 
2. The restaurant neither has swiping machine nor PAYTM. Like , these days Paytm every one has it. Very strange that means if you want to go to Hongkong restaurant Gachibowli , please note Gachibowli you have to have cash or else you cannot have food in that restaurant. I am surprised.
3. When my friend checked can we pay by card she started making faces. We thought ok let it be we will some how manage and we started paying in cash . she asks us a question can’t you all pay in one go. My friend said that we all have  different bills and we will pay individually. 
4. Last but not the least when asked for mouth refreshments she behaved or she answered back as if we have asked her something complimentary. 
5. Way of talking is pathetic. We are not expecting her to be like a 5 star hotel restaurant but basics has to be followed . when you run a restaurant and don’t forget that you are into hospitality business where in guests feedback matters a lot. The entire experience was very bitter, neither the food nor the restaurant services offered at HONG KING RESTAURANT was worth spending so much money. 
Me and my friends for sure will not come again to HONG KONG GACHIBOWLI. ",1,"2018-10-31 16:07:12",2,4,0
"70958988","Really great chinese food, and great ambience. Highly recommended . Very good taste and easy on pocket too. See for yourself and you will be amazed. ",5,"2018-10-05 21:42:04",1,0,0
"33568646","nǐ hǎo , hú lí 🤔
I meant “Hello Foodies” in Chinese language.
I visited this place during lunch time, I came to know about this place through word of mouth. 
We have ordered “kung pao chicken”, “Pepper chicken” and “Singapore noodle chicken”. 
Too much chicken right? But its ok they were all yummy 😋... kung pao chicken is now into my  list of most liked food. 
xiè xiè -  “Thank you”",4,"2018-10-04 22:39:27",85,917,3
"2347610","Really good food. Would hope they start a paytm account soon to help us order n pay. Have ordered a few times and never been disappointed. Keep up the quality and taste.",5,"2018-09-28 23:04:48",6,44,0
"1949380","This is by far the best Chinese I have had in Hyderabad. Been a regular their dishes and can vouch for their taste. yet I would expect a bit less of oil, a bit more of cleanliness and service.
overall I have been a happy customer of this place. 
taste-8/10
ambience-5/10
service- 7/10
quantity- 9/10
owner- 9/10 (apparently i have been at their sister restaurant at Puri as well and that is how I found a similarity with that place)",5,"2018-09-07 19:10:03",13,79,0
"3201521","Ordered food from here last night..
Amazing noodles and awesome chicken lollipops...
Taste - 5/5
Quantity- 5/5
Totally worth the amount paid..
Must try place people !!!",5,"2018-08-27 10:53:36",179,1202,0
"37405184","Awesome food. Don't go by the negative reviews. Very few people in this city will have taste buds to understand the real Chinese cuisine. Just close your eyes and ask them to give you the best dish. It is very pocket friendly. A small place to eat and they only accept cash. overall the food won't disappoint you.",5,"2018-08-27 07:04:34",13,10,0
"45687252","It was almost 10 and after a hectic day I was longing for Chinese food. After a long time found an ideal place in Hyderabad which is pocket friendly. Good quantity and the staff was too good. Really loved the food. 😍♥️",5,"2018-08-19 22:08:32",2,6,0
"1366361","Dropped by here for lunch as I had got many good feedback about the food here .
The place is very simple , no extravagant stuffs, feels like you are sitting at the dining table of someone's home.
It's also run by a family I guess.
Started with ordering a manchow soup , which was very good,strong flavors of pepper which was a huge relief for my sore throat.
Moved on to order a chilly chicken dry and a mix noodles.
Chilly Chicken - Dry , lots of oil and not that good. Quantity is sufficient for two
Mix noodles - Tasted good but the prawns used were totally dried . Again the portion size is very generous.
Overall, not that satisfactory a visit.
Note - They don't accept cards or any form of e-payment.
Ratings,
Food -3/5
Service-3/5
VFM-4/5abthefoodie.wordpress.com",3,"2018-07-15 15:10:02",275,4156,4
