"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"70510998","And indeed a customer was not turned empty handed even when they dimmed their lights and were almost ready to key the doors! Thank you Indulge for bringing in that dying hope ' ice cream nai milega' back to life this night!! Cheers😇",5,"2019-05-11 00:50:57",1,0,0
"48510321","Loved all the flavours of indulge!!❤️ My personal favourite is African dark chocolate with smoked almonds and vegan almond milk. Tried muskmelon, mango with chilli, rich almond butter, jack fruit, jamun. They were rich in quality. Worth the price. ",4,"2018-07-13 21:22:36",44,138,1
"4743521","The ice cream scene in Hyderabad has been a budding one and there are these little gems to discover. Its pure indulgence in here. You are set to lose your heart out here. One is sure to miss this place and I have asked the management to place a decent board about the place. They have a decent spread of flavours, each unique in its own way. The Jamun flavour really piqued my interest at trying other flavours. After around tasting a half dozen settled for the tropical and the muffin one. Both were an instant hit. The flavour, the texture, the visual delight, everything fell into place. It couldn't have gotten any better than this. And I can say this with surety, there are none outlets in Gachibowli to even put up a decent fight to Indulge.
Best part: You get to take away the cups you are served in.
Taste: 5
Service: 4
Ambience: 0Value For Money: 3",4,"2018-07-01 01:24:33",207,1048,4
"39216844","Went there a couple of weeks ago with a bunch of friends! They have got this amazing low fat ice cream! Plus different flavors for the same price! The toppings are less than 20 bucks! I had a wonderful time ",4,"2018-06-30 02:52:54",180,1896,0
"40248995","Reach almond butter ice cream is blend of delight... It slips into ur mouth like blessing... U will love it is u like almond ice cream of natural... U surely will gonna love it.. it's much more that it...",5,"2018-06-25 21:55:15",1,25,0
"940650","Indulge an ice cream joint of Hyderabad's iconic sweets-maker Almond House who has been in the sweets and savories business for a long time. I always wanted to try there ice creams and gelatos for a very long time. Their Unique flavors and combinations they regale ice creams in a cute little porcelain cups and this makes them a distinctive joint from other joints in the city. All the ice creams, gelatos and sorbets are freshly churned with natural ingredients right in front of our eyes and the best part about them is there low-fat and low-calorie portions. We can also customize and mix multiple flavors in a single cup for no extra cost. Not just that but Indulge is one of the very few joints which serves vegan ice creams like Kala Jamun, chocolate, muskmelon etc depending on seasonality. I tasted almost all the flavors available at the joint but I must say the true standout flavors were Mango chili, Tropical fruit, Bellam Kaju and Delli Kulfi. The sweetness level just exemplary, unlike the traditional ice creams which I feel, are a way to sweet. The Sorbets and Popsicles served are tangy and loaded with the goodness of fruits and are a must try for all fruit lovers. A special mention to Mango Chilly which was an absolute standout due to its initial sweetness and a spicy aftertaste makes this my pick among all the flavors offered by Indulge Icecream. All peeps bored with traditional ice cream flavors head to Indulge for an unconventional experience
Verdict 
Taste 4.5/5
Ambiance 3.5/5
Service 5/5
VFM 3.5/5
Overall 4/5",4,"2018-05-29 11:17:54",102,1092,7
"31169248","I was here with my friends after seeing pictures of mouth watering and colorful indulge ice creams on social media. After tasting almost all the flavors available, unable to decide what to eat as i found all the flavors very yummy, i decided to go with the vegan strawberry + tropical. The berry taste with the sweet taste of tropical flavor made the best combo. My friends took a dark chocolate with almonds and rich almond butter ice cream and they weren't disappointed either.
The staff was cordial.We had the ice creams in cute little cups and the staff was sweet enough to clean it for us and we were asked to take the cups home. :)
It would be awesome to have a branch of indulge in himayatnagar as well :D",4,"2018-04-30 19:11:12",8,5,0
"7275631","#### TASTING SESSION ###
#### BY MANAGEMENT INVITE ###
Indulge ice cream has around 4 oulets in the city ..this one is as a part of ratnadeep super market in vinayak nagar gachibowli......
This can be called as an express counter just on the right end side on entering the supermarket..
Indulge being a baby of famous ALMOND HOUSE which are into sweets and savouries sincec almost half a decade they have a good collection of indian sweets and gelatos ..
Their gelatos are low in fat.. less in sugar and made of natural indegrients...
They are made fresh in the ice cream churing machine at site...
Sorbets are available in some flavours too...
They have some really exciting flavours such as filter coffe , dark african chocolate with roasted almonds , cheeku , bellam kaju which are a must try..
kalajamon varient was one thing which i really liked in this visit..
For fruit lovers tropical flovour can always be a good choice..
For a distintive flavour you can opt for mango chilly , coconut n chilly and saffron and rose....
Their gelato shakes are really yummy and mango shake tops my list...
Sorbet such as fresh lime and ginger and litchi are on the menu and the prior being my fav pick..
They serve in a small porcelean cup which can be taken along after you are done...
A really good concept which iv like a lot and make me want more and more...",5,"2018-04-26 10:10:45",924,1358,7
"39445763","The taste was okay and overall above average. We tried the cookies and cream flavour and rich cocoa. 
I wouldn't say it's a must try and it's just a try in case you bump into it. 
One thing to note here is the cup which they serve the ice cream in. It's quite a different concept and moreover its takeaway 😁😉",3,"2018-04-24 12:05:22",67,144,5
"137232","Nice little joint in Gachibowli which offers unique flavours of icecream..the hosts are all amazing and helpful..and to top it all..they also provide you with cute little cup as well 😉",4,"2018-04-20 17:05:52",41,135,0
