"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"41931412","Not worth of getting even one star. This restaurant first accepts the order and then cancels it without any reason. Worst restaurant in this area.",1,"2019-01-26 15:12:55",4,2,0
"1468799","A small North Indian food cravings took me to this place, it was busy and we had ordered a few Butter phulkas and tomato curry and a kaju gravy , The quality of food was decent and the ambience was average , A budget friendly restaurant that serves out decent food.",3,"2019-01-19 20:41:35",70,430,0
"2163462","There are three complaints I have about the food.
It's tasteless - with no spice or seasoning.
Everything we ordered was FLOATING in oil.
The Paneer that we ordered was spoilt.
Will never ever order from here again.",1,"2018-11-26 00:01:11",193,1272,0
"47198081","the taste was bad",3,"2018-10-06 21:53:57",2,3,0
"421488","Oily and spicy. Not good. Really like a local quality dhaba. Too much masala. Just ate the paneer and left all the masala. Paratha was ok. Most probably never going to order again.",2,"2018-07-09 14:16:47",56,137,0
"1296747","Tried the restaurant as it was pocket friendly but it didn't turn out to be stomach friendly. The veg burrani starter was tasting okay but was dripping oil. The makki roti and saag was not that good too. ",1,"2018-06-22 09:24:09",119,597,2
"15795291","Had ordered for delivery yesterday. The food arrived hot. I had ordered veg Manchurian, jeera rice, dal makhani and mushroom masala. The dal did not have any flavor. Probably just boiled, added water and salt. That's about it. Mushroom gracy too was a mashup of tomatoes and mushrooms. Jeera andmanchurian were ok. But looks like hygiene isn't maintaned as my stomach isn't good today. Definitely something to avoid!!",1,"2018-06-04 08:49:39",83,233,0
"44461707","I had a worst experience.
ordered Malai kofta( I guess he made it with coconut ) tasted very bad. Never ever order malai kofta here.
Other food items are okay. Know from freinds before you order.",1,"2018-03-25 22:12:12",4,1,0
"40030922","I haven't been there but ordered food online and it was really nice,you can smell the north indian taste.i had dal makhani which was really great.",4,"2018-03-09 12:37:11",13,835,0
"35254703","If you want food which tastes similar to ur home food then must visit this place, price is also affordable and I like this place very much. Whenever I felt like not cooking this place was for my rescue...will visit this place again soon
Recommended- Thali 😋",4.5,"2018-02-10 01:42:26",36,532,0
"35836801","I used to have lunch here on regar basis. The taste and quantity wise it was decent. Food is not much spicy. They need to take care of the hygiene factor ",3,"2018-02-01 00:11:00",247,316,0
"730255","Been to this place on a recommendation of a friend, expecting that the food will be nice with a north indian touch. 
Ordered Mutter paneer, Dal tadka, Roti and Jeera Rice. Only Dal tadka can be rated as 3 out of 5, rest of the dishes were disappointing. Paneer was like rubber and was not fresh, the gravy was prepared in coconut oil, Rice was not prepared properly and was tasting bad. Along with this the chapatis were under cooked. 
Though this place is pocket friendly but this quality is not acceptable.",2,"2018-01-12 10:49:30",26,59,0
"30428065","Food is vryyy homely. ..suits my taste.i like d thali  here..its delecious!! Highly recommended. . Little crowdy..pocket friendlyyyyy...go fr it!",4.5,"2017-11-04 18:11:49",1,0,0
