"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"31712636","An average bakery while competitions are regularly improving they need to up their game. Cakes are nice but nothing special about them. Still if in hurry you can pick a decent cake at decent prices.",3,"2019-04-02 12:08:52",28,24,0
"81554157","Good place to have some bakery stuff. Very yummy 😋 taste with some good quality. Had a great time have some snack here. We had donuts which were amazing tasted very good. Tho there was some drawbacks but overall it's was good experience.
Taste 4/5
Quality 4/5
Ambiance 4/5
Quantity 5/5",4,"2018-12-01 19:56:08",11,193,2
"49226482","Don't order from here. I ordered at 3pm and got cake delivered at 9 pm. Totally spoiled the mood.
Got message at 6 that it is out for delivery. Just bake guys called at 8 to get the directions ",1,"2018-08-02 21:00:49",1,1,0
"51998205","We ordered mocha magic but the restaurant after 3 hrs say they dont have it and sends another flavour",1,"2018-06-08 18:20:18",2,2,0
"50344255","cake is yummy",4,"2018-05-30 18:23:33",1,0,0
"53771999","First what I have ordered, they said that it will take 3 hrs to deliver.. I thought it's ok, but they called after 2 hours and said that it was not available. I donot know whatbtge HELL they were doing in that 2 hrs !!!!
now coming to the delivery, they didn't bother to say that they were going to be late by 30-40 minutes (over that 3 hrs.). I was waiting for them and toy surprise the Just Bake even tried to pick my call when I tried to contact them. thanks to the Zomato support team, they came handy and they did rest of the job. finally after 3-4 hours I got the cake which I haven't ordered at first. 
But, one thing I will praise...the cake was awesome..very good in taste as well looks.. that's why I gave 3 star, rest the service SUCKs...",3,"2018-05-19 22:32:24",5,1,0
"53622599","Cake was very bad. It was not at all fresh",1,"2018-04-20 11:39:39",1,1,0
"27562729","I am short of words to express my disappointment with the service of Just Bake, Gachibowli. I live in dubai and wanted to order a cake for my brothers birthday. After a lot of conversation n literally pestering over whatspp it was come to a conclusion that my cake would be delivered at 11 30 in the night. ( that's when u usually want to wish your friends n loved ones!!!! At the stroke of 12!!!)  I was made to pay extra charges for the 2 kg cake for a 'special midnight delivery'!  And then finally I come to know through my ppl that the cake was delivered at 7 30 pm!  Much to my disappointment 🙄😕  Ruined my entire plan of surprising my brother. On asking them,I got a one word reply on whatsapp: APOLOGIES!  who is answerable for this callous approach?!  I demand for a reimbursement and a better apology for ruining  one of the best days of my life! 😤😡",1,"2018-01-19 12:17:34",1,16,0
"204895","Been here to celebrate an office colleagues birthday had a very bad experience literally one of my colleague got a house fly while eating the cake.. We wanted to give this place a second chance so we went again this time though the cake they served looked fresh it was having a foul smell.. We have decided that they won’t improve and this place is a bad option for cakes or any savoury they would only serve old stock",1,"2018-01-19 08:38:30",4,38,0
"29287577","Really bad service.. Though I am a fan of the cakes they prepare but they are really really bad at taking order and delivering it. They must understand the value of a commitment.. If you want anything from this restaurant then you should just go there and get it.. Apparently these guys are from the ice age.. Don't know how to use technology to deliver cakes without the person coming to their restaurant in person",1,"2017-08-17 18:22:22",3,4,0
"5429771","We ordered a 'death by chocolate cake' and it tasted good. The texture of the cake was good but the dark chocolate was a bit bitter but it didn't hamper the taste of the cake.",3.5,"2017-08-08 12:41:14",42,37,2
"37966528","Well this baker used to be good however their quality degraded over time. Moreover they don't put any effort on cleanliness of the place as well. Some time back I tried their pastries and puff. I didn't like.. not in my list now :(",2,"2017-05-12 10:15:36",45,64,0
"10186131","#FoodieXP #LoveForFood #JustBake #PictureCake #McQueen #Birthday #Kids
What about having a Cake of your favourite to celebrate Occasion?
My Son is crazy about Cars and his favorite is McQueen .
A Choco Hazelnut flavor picture cake of McQueen printed with edible ink on an edible paper Wowed by all kids.
It made occasion bit more memorable. 
This might be my 3rd order in last 6 month and Just Bake impress me with it’s consistency.
Cost for 2 KG – 1600 INRfoodiexp.wordpress.com",3.5,"2017-01-18 09:31:43",170,1513,2
"240089","Had ordered A Dark Chocolate cake.
For a change, i liked it.
It was soft, creamy, chocolaty and too yummy.
The chocolate crumbles were really fresh and tasted great.
Thank you for the yummy-licious cake.",4,"2016-07-11 10:32:00",207,611,0
"651357","Guys kindly don't order food from just bake Gachibowli they had provided spoiled veg puffs and we asked them 
Instead they agreed and said if u guys want to complain go ahead we won't care we have our customers 
This is a genuine review kindly don't encourage this guys they didn't even care to say sorry as well don't even go and encourage ",1,"2016-06-16 20:30:07",2,77,0
"7943351","3 marks only for service. Didn't like the burgers, too oily.Tried chocolate pastry, it looked stale. Overall didn't leave a good first impression. The store guys were courteous and all marks for that.",3,"2016-06-10 16:28:35",116,158,0
"32393234","Bought dark chocolate cake 1kilo for my friends birthday. We were totally dissatisfied with the quality of the cake because the cake was hard and we were unable to taste it. Probably, they could have prepared the cake a week back. The only best part was the correct delivery time.",1,"2016-05-10 20:47:30",16,69,0
"2807672","Ordered an eggless Irish coffee birthday cake for our little office party , it looked amazing but tasted horrible , the cake was soggy , it felt like some one has just pulled it out of water ! Next time I am not going to order anything eggless.....",2.5,"2016-05-01 23:34:53",121,883,1
"33801655","Very Poor response from Just Bake Gachibowli, when I reached their shop that time there is no cake in their stock, they told to leave mobile number and they will call back when the cake will come to their shop and will arrange home delivery.
after long waiting they did not call back , when I called them they told home delivery is not possible now, my suggestion if you are unable to deliver then please do not make any false statement.",1,"2016-03-08 14:15:30",1,0,0
"4532951","Yesterday was my first visit to this joint. After a hearty dinner, we ended up here, looking for some desserts. 
The place had barely any customers in the seating area. We took a White Forest piece, which was pretty decent, and a Vanilla cupcake, that felt like love! 
Because we were full, but wanted to try out more, we had another Vanilla cupcake packed, along with a chocolate cupcake and a lemon tart. The chocolate cupcake had a bit of too dark chocolate, and the lemon tart was likable. 
Pleasant experience overall, that cost us 200 bucks.",3.5,"2016-02-07 14:15:01",150,2105,1
"1084337","We were looking for a small birthday cake of half kg. We went to a lot of bakeries but could only find chocolate or butterscotch cake of half kg in that area. We then went into this bakery to check it out. 
We found this place decently spaces out..lot of seating place..but empty ...it as around 9pm. They had many flavours of cake of half kg. Being tempted by appearance and variety ...we took blueberry cake.
When we reached home and had that cake...it was not at all good. Nobody liked it...it was just a sponge cake with lot of cream and blueberry jam. 
Not recommended.",2,"2016-02-05 18:16:43",63,203,0
"1270124","It's a very decent place to go. It is never crowded and you can have a little extra time if you take a date along.
The cakes and pastries are good. So are the cupcakes and muffins. I have has their snacks a few times. They were not as good as the sweet items though.
The part which I like most is that they were open to customize the birthday cake with a funky look and they even laughed it out with us. (Probably, because they do not have a rush.)",4,"2016-01-30 17:20:59",80,70,0
"32999630","Pathetic experience. I have ordered a cake through on-line and paid the amount. They sent a mail it will be delivered in 2 hours. After 2 hours when I called them they said it will be delivered in an hour. After that no one took my call.Its been 30 hours since I ordered I don have any information regarding my cake. My suggestion is to never order from JUST BAKE. My order no. is :JBED0019701.
roduct Name	 Cake category	 Qty and Wgt	 Message On cake	 Spcial inst	 Unit Price	 CostFruit Of Forest 1Kg	 Fruit Signatures	  1 - 1 Kgs	  HAPPY NEW YEAR	 	 Rs 650 /-	 Rs 650 /-
Delivery charges:	 Rs 0 /-
SubTotal:	 Rs 650 /-",1,"2016-01-01 22:16:55",1,1,0
"1584235","Well I love the cakes from Just Bake. We have always been ordering from Just Bake for any event in office. Tried their Fruit of forest, Rusty Rasberry, Irish Coffee, Dark Brown cake and many more. I was never ever let down by the taste nor the freshness. The delivery is on time.",4.5,"2015-11-03 00:25:03",172,476,0
"3213627","Really average place, baked goods are stale sometimes but their puffs are very good, especially the paneer bhurji, kadai veg ones. The veg crown bun is usually a fairly safe bet as well. ",3,"2015-11-02 03:01:08",22,11,0
"4430961","I tried sizzlers here and it was just awesome. It's so disappointing that they don't have them now in any of their outlets , cakes and pastries are good, I like muffins here. They have big space for seating even though there's no big crowd I've seen coming to this place",3,"2015-09-26 02:07:11",62,89,0
"31236336","Bad experience on b'day celeb. Got a dry cake with no taste. NEED MY MONEY BACK . RIGHTTTTT NOWWWW",1,"2015-08-05 17:43:10",1,26,0
"30359956","Pathetic experience. Been trying to reach them for 45 mins..and always unavailable. not sure why these ppl have 2-3 numbers which do not work.",1.5,"2015-07-27 12:12:26",48,79,0
"30796241","I ordered cake through online   yesterday for my child birthday  and i have to call nearly 20 times to get cake (not mine) to deliver
1. i have choosen delivery time at 3.30 to 4.30 PM , after many follows ups it got deliver at 7PM
2.  message and name on the cake is different
3. ordered egg less cake , not sure what they delivered as some guest complained onit
4. given 2 points also for the chief, he made the taste cake
but whole online management is worst",2,"2015-07-10 23:57:45",1,0,0
"307459","Nice selection of normal flavored cakes, recently bought the Irish coffee flavor, it was good, they have theme cakes as well, always fresh, perfect taste. 
I would have given four if they did have tiramisu or cheesecakes and or ice creams cakes. ",3.5,"2015-06-08 06:43:45",86,700,0
"27894707","I love the death by chocolate pastry and chocolate muffins. The muffins for sure are better then hyped places like karachi bakery. Although the snacks were more worth the price when this outlet was new, dont know why they repriced all the stuff.
The cakes are also great, specially the point that they deliver it to corporate offices. Saves a lot of time.",3.5,"2015-04-09 01:44:06",276,1753,0
"2020038","Had the most repulsive Red Velvet cake here. We had come with high hopes of satiating our sweet tooth. To start with, they didnt even have a decent spread of pastries. The red velvet cake and  blueberry pastry we bought turned out to be stale and the icing was dry and stiff. Overall bad experience and unreasonably priced high for such awful tasting confectionery.",1,"2015-04-02 22:07:37",10,83,0
"1351980","was lucky to visit this place as one of its first customers and the whole concept seemed quite interesting! the deserts and snacks that were served were amazing! i personally loved the burger that was served, the bun was very soft. we were also served a humongous ice cream bowl with a mix of different flavors! worth visiting again! :)
PS: Pics do the talking! :)",4.5,"2015-03-31 03:08:13",179,1490,17
"1774269","Actually visited there few times to buy birthday cake for my friends. The cake section has a wide variety. The cakes are good but i find the price of this place a bit higher as compared to other similar quality bakeries. ",3,"2015-02-13 23:58:04",12,106,0
"1566136","We just had a cheesecake here, but it was really good. Also they have these rum cakes which we had taken for a birthday once and that too was very tasty. ",3.5,"2015-01-14 15:01:21",117,492,0
"1697710","they don't have almost 90% of the stuff mentioned on their menu. They probably just keep cakes. I had called the gachibowli branch and was told to call kondapur branch which had nothing from the menu.",1,"2015-01-11 18:22:29",36,204,0
"15758378","With over 10 outlets mushrooming all over the city in no time, I decided to try Just Bake for a friend's birthday! The Whiskey Chocolate cake was yum to say the least and it looked really good too! 6 months later, I earned a Just Bake for my own birthday...a yummy Black forest!",3,"2014-12-31 13:30:04",34,167,2
"8572511","Brought christmas cake here was to my nightmare was one of the worst cake with low made with cheap quality ingredients  and the it was smelling all chemical over it
I strongly condemn  this type of bakerys all they care is money and use chemical preservatives....",1,"2014-12-26 12:30:54",16,8,0
"11344631","Just Bake in Hyderabad is not living up to its great reputation in Bangalore !
This particular outlet is pretty spacious & has okayish ambience & is not really kept neat & clean.
Staff seemed pretty dis interested, only one guy at the end of the large counter looking lost was what I found when I entered.
After browsing through the options available at the counter, decided to try veg puff & an item which was Paneer based & looked like a Calzone(it did not have a name on it !).
Veg Puff was decent, however the Paneer item was ridiculous. For the price they charge, having these sub standard items is unwise.
Haven't ordered a cake from them yet, but I am not sure if I would want to.
Will rate the place a 2 on 5 & may not return, unless I start hearing good things.",2,"2014-12-21 18:42:31",213,466,0
"69511","review of their DBC(Death by choc) cake...haven't tried anything else...........make sure it is at room temp so that the choc is soft and smooth......then let the magic happen when u take a bite of the cake",3.5,"2014-12-11 21:18:14",1,59,0
"8766401","It is nice experience with just bake bakery.
This is the first time I ordered cake for home delivery they delivered in time with good packing of no damage and finally taste is awesome.....",5,"2014-11-26 11:00:25",1,0,0
"3031399","As it is placed at a walking distance from my work place have tried the food and dessert here multiple times with the hope of having edible food...but just bake has been a  disappointment  every single time.the doughnuts are always stale and hard, so is the brownie that leaves a bad flavour lingering in my mouth . Have made up my mind will never ever eat from this place for the sake of my health . I HOPE JUST BAKE LEARNS BASIC BAKING .its a big no from my end to suggest this place to anyone but my enemies.",1,"2014-07-01 14:37:43",3,0,0
"2472234","My office is near to just bake n had today 1st time veg puff n panner puff in that bake n I got bad stomach ach ,, I was really disappointed . They were not maintaing quality like before . Not hygienic :(",1,"2014-06-29 19:53:09",7,151,0
"1464344","I actually gone here for buying a birthday cake for one of my close friend i had earlier good experience with them in bangalore so trusted the name but really it was little bit  disappointed but not dat much... it was okay better den some previous cakes from other bakery in hyderabad...... the thing which i liked here is veg puff it was really nice...... I had never had this much good puff earlier.... but some time they ruined the puff.. I dont know why but they keep puff and Croissant into micrcowave and which will make it soft and that you cant eat because the crispiness of that has gone nowfuninkafino.blogspot.com",3,"2014-06-11 23:28:27",107,1444,4
"682986","Paneer puff was just about okay. Paneer bhurji was stuffed inside instead of paneer pieces. Ordered chocolate temptation and chocolate cup cake. Chocolate temptation was more of regular chocolate pastry with creamy chocolate on top. chocolate cup cake was pretty good.  The lower part was a bit on the harder side. But the delicious upper layer makes up for it . Go to just bake if you are crazy for fancy cakes.  I guess this is the only bakery in hyd which bakes a cake in formula 1 car shape. Want to try that cake ASAP",3,"2014-05-17 22:32:55",79,1181,0
"317745","Stay away from the red velvet cheese cake...could have been more disappointing. They shouldn't make stuff if they can't make it right.",1.5,"2014-03-23 12:56:33",16,9,0
