"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"32534966","This Place has only take aways, so I have ordered Red velvet Creme Cheese cake, and the Cake taste is lip smacking and everyone liked it. We even took a box of fresh brownies which are awfully tasty.
Only lacking thing is this place doesn't support customization of cakes. Prices are a bit high but they are worth it as the taste is good.",5,"2019-05-17 15:28:00",19,20,5
"110142804","It is one of the premium bakers in Gachibowli. Most of the items are made on order, probably 24 hours prior booking is required. I ordered a Triple chocolate cake for my husband. It was good in taste but nothing extraordinary and came with nice packing.
Overall, you can try their cakes once although it may pinch your pocket.",4,"2019-05-02 17:10:01",3,2,1
"83343007","Its a very expensive bakery not like other bakery they dont sell brownies and cupcakes in pieces they sell box of cupcakes and brownies . The brownies are amazing very tasty , they are soft and smooth . Love it . ",4,"2019-05-02 00:51:39",56,40,0
"31879313","Okay so initially I thought it's quite expensive, especially for the brownies. But I had to try, of course. I took a risk of taking 2 boxes of assorted brownies for my friends. Well, in a nutshell, they loved it and so did I. Id not think twice about the brownies again! Cheers! ",4,"2019-04-26 20:57:57",12,6,0
"790762","This place is all about the hype. Ordered their signature cake - Classic Chocolate with hazelnuts. 
Good - Top cream layer, Good number of hazelnuts.
Bad - Extremely dry, hardly any cream inside the layers. 
For 2900₹ it's extremely disappointing.",1,"2019-03-29 08:22:51",8,3,1
"483974","Customer service is Zero..
They don’t know how to behave and dude they don’t even have an extra box.
The entire store is under renovation, how do we know the cookies and cookies are freshly baked..
It’s expensive too. The least you can do is speak properly with the customers, well these people they definitely CAN’T.
This place only has the hype!!! ",1,"2019-03-22 14:31:03",71,367,0
"2317944","Best Brownies!
Labonel box of brownies are freaking expensive but are of good quality. Purchased a Walnut brownie box from here. Melt-in-mouth Brownies were cakey and moist inside.
PS: Zomato says this place has indoor seating but they don't have any and it disappointed us a lot. It's just a take away.",4,"2019-03-18 19:28:49",81,869,1
"34487289","got a box as a gift!
Trully Amazing brownies gotta experience it...goes really well with some good old vanilla ice cream  dash of chocolate sauce or even solo ",5,"2019-02-19 17:32:33",38,43,0
"86347325","What a amazing experience, very delicious desserts
Staff is very friendly, hurry to visit to try more treats,
Very good ambience, 10/10 for everything ",5,"2019-02-11 17:44:25",10,9,1
"39402646","Average cakes at a very high price.  Banana bread was very greasy and too sweet. Staff also not courteous. Will stick with Concú from now on.",1,"2018-12-31 14:20:54",1,3,0
"2910520","Best brownies and cupcakes in the town... That chocolatey feel you will not get anywhere else.. trust me.. I feel they are over priced.. but can spend it",5,"2018-12-26 12:43:39",62,103,1
"33665347","Their atmosphere is beautiful and the vibe is amazing. Tried their cupcakes. One of the best in Hyderabad, especially the red velvet cupcakes. It is a bit on the pricier side, but definitely worth it ",5,"2018-12-19 21:35:22",6,6,0
"15670778","Chocolate cup cakes and Brownies, they were amazing. It is fine baking in it's true sense. A little high priced but then, they bake worth it!",5,"2018-12-11 22:46:29",32,263,0
"1298546","Very delicious cakes and brownies. Great quality. But a little expensive when compared to the size of the cake. Range is limited when you reach randomly. Variety only on order basis. ",4,"2018-11-29 16:59:46",3,139,0
"2644474","Their tag line 'fine baking' describes this bakery best!
Really one of the finest bakes I have encountered so far.
The chocolate brownie are commendable, with the right balance of chocolate-iness and fudge-iness in every bite!!!
We also loved the cookies and banana loaf",5,"2018-11-25 23:25:29",9,6,0
