"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"37616423","It's a small outlet in sln terminus at 4th floor. It has variety of icecreams of different fruit flavour. The one in the pic is the pineapple flavour with nitrogen.. U can try out this place.. Its pocket friendly as well",4,"2018-12-09 22:22:24",24,43,1
"15708631","This is the second time I am facing the issue with home delivery option on zomatoSecond time I ordered Ice cream and it came in a normal pack, no cooling pack. Ice cream is already like liquid and dripping in the pack. What is the point of having ice cream delivered if you guys cannot deliver it as solid ice cream?
Not sure if this is a restaurant issue or zomato delivery issue. You should do something about it.",2,"2018-09-01 22:06:19",12,92,0
"2726654","Ice cream had melted ",2,"2018-07-19 12:58:15",3,29,0
"40558719","Quantity was less. ",4,"2018-07-15 08:07:25",2,1,0
"54243468","Super",5,"2018-07-07 18:14:36",3,13,0
"51285836","The worst ice-cream ever. Guys plz don't eat this ice creams. Roadside dabbawala ice-cream is better than this. Yaaaaaaaaaaaaaakkkk
Worst ice-cream worst worst worst ever. Guys plz don't go for this.",1,"2018-07-06 18:31:09",1,1,0
"1313790","Apart from the presentstt, nothing was exceptional. Ice creams werenoretty average. We had one litchi sundae and one choco lava sundae. Litchi was better than the latter but the prices did not do justice to the taste.",3,"2018-06-26 01:18:40",85,192,1
"53343267","ice Cream taste is really awesome.. but the rating is for poor packing.. half the ice Cream got melted until the order was delivered.",3,"2018-05-30 00:03:18",1,1,0
"16101948","Order is not packed correctly. Half of the ice cream was in the cover. Please look into the issue . How a a person eat that. Please take necessary action ",1,"2018-05-27 20:07:17",2,29,0
"31953622","Good but not what expected ",3,"2018-05-06 15:33:29",12,2,0
"47769325","ice cream was melt",1,"2018-05-01 13:51:20",2,1,0
"53477718","very bad taste",1,"2018-05-01 11:05:54",4,1,0
"54246435","good",3,"2018-04-30 18:24:49",7,1,0
"30662919","The quantity of the ice cream is very less.. The cost of the ice cream is around 170 and they delivered me one scoop of ice cream which is not at all acceptable.. I want you to take some action on thus issue.. If not taken will raise a complaint",1,"2018-04-08 16:53:53",2,0,0
"34725733","The wood was worst and it s very very hard to break n also the waste restaurant I would say",1,"2018-04-01 18:58:39",1,15,0
"31541836","good",3,"2018-03-31 22:40:51",11,22,0
"46087234","packing was not proper",3,"2018-03-27 17:26:38",6,1,0
"52000639","good delivery. ",5,"2018-03-26 18:02:54",5,1,0
"51761273","I ordered blackcurrent loaded with nuts.. I felt it was lil over sweet",3,"2018-03-25 15:39:42",19,32,0
"30522438","almond taste was not  good in the ice cream",1,"2018-03-08 22:17:59",4,19,0
