"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"1575466","Went for a team lunch to this place. And we were tempted by the rating in zomato. The ambience of this place very peacefully and lovely. It looked like they dont expect to be visited by a team for lunch and it showed in their serving skills.
They started with starters which are not many and we were fully aware of it. The starters were great and tasted very light. Main source is good for a person like me who likes not so spicy food. Special mention for the salads,they were really awesome. Even the deserts were too good. All in all the food was great if you like not so spicy cuisine and the only frustrating part of the visit was the serving time.
Food :5/5
Ambience:5/5
Hygeine : 5/5
Hospitality : 4/5
Serving time : 0/5
Value for money : 3.5/5",4,"2019-05-17 20:09:31",74,1736,0
"73328891","One of the finest restaurant in Hyderabad 
Taste was really good 
We went for dinner buffet 
They served 2 veg and 2 non veg starters those are niceMain course was okay .. some of the items in was yummy
Salads and desserts are lip smacking 
One thing is food cards are not acceptable here this was only drawback about this place ",5,"2019-05-10 21:33:25",10,0,5
"99859484","Been there for a dinner with family.. decoration is good and staff very friend..
Food is very tasty at minimum cost.. this is some thing to be looked into otherwise every thing is good..
Thank you..",4,"2019-03-31 19:01:25",24,83,0
"2433000","Okay..i visited this one recently for dinner and the ambience of the place is what i totally like.The seating is extremely comfortable,it's on the third floor and you can have view of the busy road from the huge glass windows.The place is spacious and the buffet spread is very limited.The spread was limited but i was quite satisfied with the taste of the spread.The refilling was very slow,which can be improved a bit.There was a veg(crispy corn) and a nonveg starter(fish),the salad section impressed me to my own surprise.The dessert section was decent,but the maincourse lacked taste and variety.Overall,this can be visited for a relaxing and laidback dinner/lunch.Cheers.",4,"2019-03-12 18:43:57",84,635,0
"35772263","I don't know, that hotel looks like a dream. Ambience is fantastic. Ambience is great. Although number of starter offered can be improved. Me and my friend had dinner buffet on 1 plus one offer of Dineout passport. Throughly enjoyed the food. One of the rare times, Mai course is as good as starters.
Please offer more starters and desserts. ",5,"2019-03-07 21:22:02",20,21,4
"42566483","Only photos on zomato are shown good.. food taste is parhetic. Indians and foodies ahould not come here. It is only preffered for foreiners. We event for non veg dinner buffet and only 1 curry in non veg,2 starters in non veg and limited, desserts are also pathetic.",1,"2019-01-23 20:48:56",3,1,0
"88960805","The food and starter was excellent. I like the service from the staff which was great.
Starter was hot. My friend recommend that Restraunt, we are happy with buffet.
I also talk the Restaraunt inchage Rajendra who was on duty he is very cool guy,and his team is also great. He made our dinner special.
.Thank you Rajendra
We will definitely come back. ",5,"2019-01-21 22:46:02",2,0,0
"30307683","In terms of Stay, Oakwood is amazing.As they have a service apartments,lot of facilities are there and it was pretty wonderful experience. Breakfast is also amazing and lot of diverse options are there in it.
This time I went for the Buffet lunch with my team and we were really disappointed.First of all there are only 2 Veg starters and 1 Non Veg starter.At price of 850 for buffet,only 2 starters are just not acceptable.
Also we had to ask multiple times for starters.
In terms of varieties,they have only focused on salads as there are numerous options in it.
Veg starter
Chilli paneer (3/5)
Cheese balls (4.5/5)
In main course,there were various gravy options,noodles,Dahi bhalle and varieties of salad.
Dahi bhalle and kadhai paneer were good but noodles were not.
In dessert,they had  
Eclairs Praline (1/5)
Eclairs part was very hard,which instead of adding the flavour to it just destroyed the whole taste of it.
Raspberry palm on sandwich (4/5)
It was quite unique. Basically it was kind of a cream roll but in a different packaging.
Coconut pie (4/5)
Orange Pound cake (3/5)
Chocolate Cream caramel (1/5)
Strawberry pastry (didn't try)
Gulab Jamun (4.5/5)
They also serve Chocolate,Vanilla, and butterscotch ice cream.
Overall a nice ambiance to enjoy your food but definitely overpriced in terms of quality as well as quantity",3,"2019-01-21 17:29:27",179,1874,7
"1710740","Good food and a relaxing Sunday lunch buffet. Starters are limited with 2 veg and 1 non veg option however the veg salad section was a revelation. Like the green beans in creamy dressing, crunchy and mildly sweet. Main course and desserts had some good options - mango eclairs and raspberry pastry being highlights. Service is good and the staff very patient. ",4,"2019-01-20 18:40:16",54,271,0
"90480359","Yes ...at last got a place..
We enjoyed a great time over here.
Food was really nice.can be better.
Service is okay.
Ambice is really nice.
Overall 4/5",3,"2019-01-20 12:38:58",4,798,0
