"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"1462833","We have ordered chicken maximus but I suppose we have received chicken tikka & keema pizza. The pizza was delicious, really tasty but the oil content was high. I am not sure if the pizza was baked or fried. This is the first time I had pizza which was oily. Overall the pizza was really good in taste, but if the oil content is reduced it will be a hit!!",3,"2019-05-19 00:00:03",2,1,0
"38303309","I placed an order for Mac n cheese with chicken sausage and the order cost me 130 bucks. And in the pic, the order looked really nice and the quality also seemed good. Firstly, the order was delivered after an hour or so. Secondly, what was more disappointing was the fact that the quantity was not even enough to get the taste properly. I know it might sound like and exaggeration but trust me that is exactly how it was. I am really disappointed.",1,"2019-05-17 23:27:22",2,21,0
"46204312","Service is bad.yesterday i ordered pizza and my phone went down after sometime i tried contacting them so they refunded me half amount but they didn't responded.
No opinions on food but on service.",2,"2019-05-17 23:05:54",1,1,0
"48756828","This is the worst restaurant and service is worst as well and I have almost waited for 2hrs and didn’t receive the food. I recommend not to order here.",1,"2019-05-07 23:01:03",1,1,0
"51804252","This is the worst delivery system experienced personally. Previously, the pizzas were ordered by me from here. Ovenstory has mentioned that they would offer 50% discount on their pizza and when we don't receive the order in time, they add that amount as the credits, so that when again we try to order the same items, that coupon cannot be used so ultimately we don't get any offer as mentioned by Ovenstory and we need to pay the full amount. This is the worst service provided by any delivery service to me. Thanks a lot for letting me start the day in this manner.",1,"2019-05-05 14:02:48",1,2,0
"16100018","While reviewing a delivered Pizza there are multiple things to keep in mind. Firstly, the packaging was intelligent, the whole pizza was very carefully protected. It saddens me to find the toppings and cheese mixed with the cardboard. The toppings in my Maharaja Veg Pizza were a perfect blend of my favorite Paneer Tikka, bellpeppers, Olives and Onion. The toppings were generously spread across the whole Pizza with some spices, which might not to be advised for someone expecting an authentic experience. I on the other hand love the spiced toppings with some chilly-flakes and oregano. I was little underwhelmed with the base which was hanging at center (which is a sign of a good pizza) but lacked texture at the corner. Overall a really good Pizza for which I will give a 8.5 out of 10.",4,"2019-05-02 20:01:48",78,510,0
"2571704","The chicken pizzas here are on point, and the crust too.
The thin crust chicken pizza is a personal favorite. Super quick delivery and great variety",5,"2019-05-01 15:59:45",124,370,0
"82556557","Looks okay. Little expensive compared to the Domino's Pizza. There is a lot of difference in the pizza base as compared to Domino's. Could have been of little cheaper.",3,"2019-05-01 12:21:06",1,1,0
"69601689","This Pizza stores is really a worst as it's response towards customers is pathetic. On 29th Apr we ordered pizza costs about 400 with huge hunger. They received the order and not provided any response. When we called after 1 hour they auto response was that the store was closed and no communication is there. Really is a miserable experience for us with shop and zomato. Very sad. ",1,"2019-04-29 23:17:56",1,0,0
"46498659","This was how pizza was delivered to me today. So disappointed for the way they gave me that my birthday party got spoiled. A mess it created",1,"2019-04-26 19:33:11",1,1,2
"74232835","Tried Two of Thier Pizza
1)Classic Margherita
2) picante Paneer
The Margherita I ordered with some Customization of chicken Tikka turned out to be an amazing Combination
Picante Paneer is an Good option for Vegiterians
Whenever u order kindly Customized it with peri peri Cheese it's Amazing
They have option of many Cheese",5,"2019-04-22 17:43:36",27,19,5
"29562497","As part of their Food review programme ,i have ordered there chicken maximus pizza which tasted completely in American style it was so fresh and hot ,base was very soft .It was delightful ,loaded with flavorful toppings of barbeque chicken,chicken salami, chicken sausages,Olives,Jalapenos were very spicy, tangy and it was also topped with chipotle tandoori sauce which tasted to the next level. It was so yummy.Definitely worth trying out!",4,"2019-04-19 09:29:50",87,320,2
"37710376","The restaurant accepted my order but it was not delivered to me. I had to wait for more than an hour and even the money was deducted. They did not even respond to the calls. Very careless approach towards customer service. Not at all recommended.",1,"2019-04-17 23:59:45",1,1,0
