"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"36036126","Nice place to go and have nice South Indian food.
The ambience is good.
Starters and drinks were great.
Its reasonable in cost, we were some 11 people for 7 k bill.
Servers were polite and nice.",4,"2019-05-15 18:15:09",16,68,0
"16432369","This was my first time visiting pakka local. The place looks nice and service was ok. However, food was too spicy and after eating the food I can feel the burning in my belly. Food was good but it was beyond the level of spice which any one can bare.",2,"2019-05-14 16:25:10",2,3,0
"42613220","I love this place. If you want pakka local food this is the place for sure...Though the dishes are bit expensive, they worth it. Your tummy filled with satisfaction...",5,"2019-05-10 17:17:32",13,3,0
"2317944","This filmy themed restaurant has my heart❤️!
After visiting kondapur branch many times this time we happened to land at Gachibowli branch. OMG! This place was hell occupied and it was least expected. After having a prior booking on a weekday it took us twenty minutes to get a table.
Pakka local is damn Affordable, Lipsmacking and Hospitable which is a rarity in current scenario.
🍢Veg baskets were delicious as usual. Crispy coconut paneer was presented very beautifully but tasted bland. Felt like eating raw paneer by dipping in chutney.
🍽️Panner Kali March was perfectly cooked to creamy consistency with lots of veggies. The peppery flavour definitely added a new definition and combined with stuffed kulcha this dish tasted heavenly.
🍚Sambar rice topped with ghee and cashew nuts was mouth watering. With lots of tender veggies sambar rice was a perfect end to our meal.
This mad rush made the service staff go haywire and were least attentive to our order requests. Every order took an eternity to arrive on multiple reminders. Pakka local is known for their hospitality but this time they disappointed us.",4,"2019-05-08 08:22:05",81,869,6
"80010518","Items are as same the name. I like the flavour of spices in biryani. Names of biryani were also seem funny. Chitti mutyala chicken pulao and guntur mirchi biryani and deserts must try ",5,"2019-05-07 13:32:34",7,5,0
"30260723","I have been here twice. This place is definitely for those who want to try pakka local delicacies :D Here goes my crisp review.
Ambiance: 
Ok. This is typically crowded even during weekdays n dinner. But I didn't have to wait in either of my visits.
Food:
Too many varieties to bring out the taste of the south I must say. We tried the miryala rasam soup (amazing it was), pappu annam(Yummy), mirchi rice(different), the pellivari bhojanam(Ok, it is a mixture thali to satisfy the north n the south it had biryani, naan and pappu, rasam sambar etc., so personally did not like the choice of items in the thali).
Starters:
Too oily. Even the complimentary papads that we get are too oily.  Not happy with the deep friend dishes even the french fries are soooooooo oily.
Service:
Good. The lady was very good at suggesting the dishes and explaining what each is. I
Cost:
For those who want to try south indian dishes this is definitely a good place hence the cost is ok. For others, it may look pricey.
Overall.. a good place and I'm positive I shall visit again.",4,"2019-05-06 12:15:10",15,33,0
"29614243","The service was very very slow. Almost the whole restaurant was complaining about the service. There were so many people to serve but not one was taking proper care of any table. We ordered paparayudu chicken pulao and had to cancel the starters as they took a lot of time. The pulao had good flavours and was tasty enough.",3,"2019-05-03 16:33:50",2,56,0
"1566761","more than 100 orders for me so far from this place! 🙂
amazing food guys.. they've got options there in the menu you see.. apt spices, fine taste, adequate quantity, all good! 👌",3,"2019-05-01 22:48:31",38,397,0
"32534966","Went for a casual dine out for dinner. Ambience was good but the tables are small. Live ipl match and the waiters dress code was the same. Tried the konaseema masam vepudu as a starter which was spicy tasted good and Guntur Mitch biryani was spicy and lip smacking.
Pocket friendly and service was okay but not quick.",4,"2019-05-01 12:10:33",19,20,1
"894969","We went to this place on Holiday for dinner looking at high ratings on Zomato. Overall ambience was good but nothing outstanding and tables were too small for 4 people.
We went for tomato soup along with veg kheema balls. Soup was good but kheema balls were ordinary. We ordered Chettinad veg curry and Tawa paneer in main course along with Lachha paratha, phulka and masala kulcha. Both curries were highly disappointing. No richness and just spices. Masala kulcha was full of masala. Taste and quality of food is below par.
Overall experience in terms of Food, service and ambience was disappointing. Not recommended unless you run out of all options. May be better only from pricing standpoint.",2,"2019-04-28 21:43:11",209,4085,5
"10237171","Starters are excellent
Breads and all other curry are also good 
Ambience looks good 
Biryani was ok 
Staff was very friendly , it's a family restaurant,we went on Thursday but still place looks crowded",4,"2019-04-26 06:30:00",10,27,1
"27700933","Tried pakka local after listening so much abt this restaurant, but im bit disappointed. Starters are too good, main course is decent but juices & lassi are tasteless & diluted. So rating less. Ambience is decent and serving is good. ",3,"2019-04-25 06:59:22",86,84,0
"41204190","Pakka local!! Food is satisfying, prices are reasonable, ambience is good and most importantly the music that these guys play is so good. My suggestion you gotta visit this place at least once. ",5,"2019-04-14 16:22:47",3,32,0
"43933341","Starters are awesome and mocktails are superb. Had small disappoint with dum biryani, didibt find dum in the biryani and need to be little more spicy and tasty..",4,"2019-04-11 13:09:42",1,40,2
"32600048","It's a family restaurant and it's pretty pocket friendly. The service is really good and the ambiance is nice. I have no complaints at all and would highly recommend you to visit and give it a try.",5,"2019-04-10 09:49:31",67,220,1
