"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"67026152","Please include vegetable haleem in menu to order as it is only available in pista house. We can say the best vegatable haleem is available here and served hot. ",3,"2019-05-15 18:28:12",1,0,0
"48488659","The best haleem in the city, mouth watering tummy satisfying dish... Eid is not fullfilled without eating this haleem... I am very happy to suggest pista house to the food lovers in the city who have not yet tried",5,"2019-05-15 17:16:38",7,9,1
"36583506","""Haleem Haleem Haleem""
Hello Peeps;
People Around Us Say Pista House , Pista House During Ramzan Just Because They Prepare Haleem well.
I Was literally Waiting For A Free Time To Go & Have Haleem .
Then Seeing The Very Big Queue Outside The Pista House I Decided To Go Home & Order.
I Ordered Mutton Haleem , Naan & Paneer Butter Masala.
Naan & Paneer Butter Masala Were Mouth Watering To Look At & Even Tasted Soooo Good!!!
Haleem Wasn't that excellent. It Was Ok Ok Because They Added A Lotss Of Spices Like Black Pepper & Cloves.
👉👉It's Irritating When You Chew Haleem & Get Lots Of Cloves In Between When You Chew ( I hope You Understood, Lol)
Paneer Butter Masala : Quantity Was Sufficient For 5 Naans. I Would Rate 5 For The Taste. But I would Rate this Restaurant Upon Haleem Only.
Haleem Taste : As I Said , Not As Expected. It Was Just Ok. Cloves Spoiled My Cup Of Haleem.
I Will Still Give It A Try In Other Branches Of Pista House & Will Let You Know The Reviews. ",3,"2019-05-14 10:57:05",24,63,2
"9326051","Tried ‘Pathar ka Ghost’ and loved it. This place is famous for Haleem which I am yet to try. Tried a couple of Chinese items as well and loved them. All-in-all a very reputed and reliable place to dine-in",4,"2019-05-01 11:44:23",71,69,0
"79748445","Delicious food👍👌..i had good experience with this food..i liked a lot..next time i will definitely choos swagath grand but expected dessert along with veg biryani.",5,"2019-04-30 23:58:58",2,0,0
"262224","This place known for its haleem, every year i go there and taste it-love their haleem and also their hyderabadi sweets like kubani ka meeta...",4,"2019-04-30 22:49:54",113,1569,0
"51984061","Yesterday bought Rogan josh from here one of the worst rogan josh curry ever. I do not recommend this restaurant. I have tried biryani from here it was ok. Big name bad service.",1,"2019-04-28 12:19:49",1,1,0
"34510152","Well... Had to eat veg all the time I have visited this place since my wife is vegetarian but believe me restaurant famous for haleem also makes veg items delicious.. ",4,"2019-04-18 18:27:59",35,1216,0
"35267306","Attitude problem right from reception/accounts person whoever he is.Burnt food given twice nobdy cares.Take bills shamelessly not even asking why food left as it is without being eaten.",1,"2019-04-13 21:50:28",1,1,0
"103851257","If there could be an option of zero stars, I would definitely put it. It's a very bad experience ordering from pista house. The food is good, but service is very slow, pathetic and bad. The managers and people managing speak blatant lies over calls for a order on swiggy.
They constantly make the delivery guy wait with false words to both the customers and the delivery partner.
If running a hotel business is so difficult, maybe a change in management would help. Completely ruining the name and brand of pista house. ",1,"2019-04-01 19:04:07",1,0,0
"36971536","Best place to hangout.... reasonable and tasty.with proper hygienic.... the one of the best place in hyderabad ...the staff is where humble and polite",5,"2019-03-31 01:11:34",2,1,1
"27958219","I’ve been to this restaurant today and had a real bad experience and was really embarrassed as I suggested this restaurant for dinner with family and friends. We had to wait for almost an hour for the placed ordered to be served. At the end, we were not billed for the items we placed order for and the bill was for extra items. It took around 15 mins for the corrected bill with two times to and fro.",1,"2019-03-20 22:56:58",2,1,0
"32733031","Went twice, they have nice decent Ambience. Their mutton galouti kebab is good. But they overcook it sometimes. The achari chicken was good, but the biriyani was too spicy. The butter chicken was sweet and spicy served with perfect butter naan. No complains about the quantity. The quality of the food can be improved. ",3,"2019-03-18 23:03:48",62,199,6
"36523232","I haven’t visited this place. Ordered online from here. 
Try 1. Schezwan chicken 🍗 fried rice 🍚. It was delicious 🤤. Good amount of chicken pieces were there. It will be more than enough for two. It was really hot 🥵 🌶🌶🌶. ⭐️⭐️⭐️⭐️
Try 2. Chicken 🍗 tikka masala. This was good too. It had very good thick gravy. Will be just sufficient for two. ⭐️⭐️⭐️⭐️
My rating :
1. Food : ⭐️⭐️⭐️⭐️
2. Ambience: yet to visit 
3. Service: yet to visit",4,"2019-03-17 15:43:25",176,3776,0
"1607053","One of our favourite places for hangout. The biryani is mildly spicy and not very oily which we really appreciate. Kababs are great too. Isnt very heavy on your wallet so we normally visit this place one every week when office's food vendor provides less than average food.",4,"2019-03-16 20:47:40",20,62,0
"258553","Absolutely overhyped place. Substandard biryani and kababs, totally dry and tasteless. No dress code for waiters, hardly any waiters anyway. Pathetic service. I guess each and every place in Hyderabad, which is being talked about, be it pista house or paradise, are totally over hyped. ",2,"2019-03-08 14:59:27",14,219,0
"29148567","Pista house is the restaurant which comes in mind when it comes to Biriyani and Haleen. But I tried Chinese here and I must say the dishes tasted too good. A very decent restaurant with reasonable price.",5,"2019-03-01 17:28:09",32,319,0
"36155724","Went with my office team for lunch. The wait time was almost 20 mins, so better call them up beforehand if you are a corporate team.
Coming to price and taste, it is worth the money with quantity and taste both satisfying the money!",4,"2019-02-20 12:02:45",11,22,0
"44801168","Best best best biryani and chicken 65
Chicken 65 has a good amount of gravy one alone can finish it too..
Quality - 5/5
Quantity - 4.5/5
Taste - 5/5",5,"2019-02-19 16:26:07",46,5,0
"39151081","The best biriyani I had ever had.I am in love with their biriyani.And the amount they serve is awesome.The preparation of food is so good.The quality is also goid.I would recommend you to have biriyani from this place.",4,"2019-02-16 11:53:38",54,60,1
"30412649","This place is an amazing experience to refresh your taste buds. Mostly serves cakes pieces, snacks and juices/shakes, etc. but never fails to amaze you. It has good seating space and the staff seems to be courteous and does explain you in case of any questions and confusions. They even serve eggless products for the vegetarians. The place is located on the old Mumbai Highway and is a little ahead opposite of the Care hospitals in the area. The restaurant has decent parking space as well.",4,"2019-02-15 19:29:41",13,6,0
"849785","Tried the zafrani 65 biryani and then butter chicken along with rumali roti. 
The food is good and perfect in taste with the price is killer and good ambience.",4,"2019-02-14 22:23:35",1031,1653,0
"33965952","This is an amazing place serving authentic Hyderabadi delicacies.
The quantity of the biriyani is amazing and the taste is mouthwatering. The galauti kebab and the seekh kebabs were magnificent. I even brought the biriyani to Calcutta while traveling. Definitely Worth visiting!!",4,"2019-02-12 01:45:51",32,28,2
"14812991","Went to have dinner here on a Tuesday. The waiting line outside the restaurant did give a glimpse of the amazing food they serve.
Since it was just the two of us, we bypassed the line and got a seat right away.
We ordered some garlic naan and Schezwan chicken, the service was very quick and food was great. ",4,"2019-01-30 08:30:04",168,425,1
