"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"29027266","Tried most of their pizza's and sides. One of our go to place for office pizza parties . They do offer good deals on Wednesday. Overall taste was ok. Can be improved in terms of cheese and toppings. ",3,"2019-05-18 18:33:52",42,615,9
"38069551","They never have magic plan pizza. Consistently I have seen that. Staff members are rude while talking. The moment I entered they said he will want a pan piza n started laughing. Shame on u guys",1,"2019-05-03 20:05:34",2,3,0
"68350022","The ambience is quiet good,I would rate that as 3.5 out of 5. Even the service was good but I was disappointed with the quality of pizza that was served. I ordered a "" Tandoori pizza"" (Medium ),where the kababs were not stuffed completely, extra cheese was not there. I would rate the food as 2.5 out of 5 .
Even the cleaning of the tables was not there . ",2,"2019-03-11 15:09:41",6,0,0
"64212575","Actually I placed order through zomoto chicken Peri Peri pizza&received paneer as I was hurry that going to out of station same day..so I could not raise a complaint.. While u r sending order please check twice.. Is that correct r not",1,"2019-02-06 22:21:19",1,0,0
"35728378","Very bad and unprofessional service.. ordered pizza, but no response even after two hours.. when contacted them, they are giving irrelevant excuses like if ordered from zomato, they can't track it by any way..",1,"2019-01-26 21:38:20",3,2,0
"27934303","I have never seen such a pathetic pizza delivering outlet. I ordered in Zomato and waited for more than 90mins and still the status was order is in the kitchen. Can't say what they were trying with the pizza as if they were putting some gold in it. They are not using Zomato delivery also, so you have to contact directly with the outlet. Luckily for them the contact number was not working, so they were safe. Never ever go for Pizzahut, Gachibowli is the worst one in customer service.",1,"2019-01-13 22:42:30",5,62,0
"33076791","I ordered pizza from Pizza hut and these turdbuckets told me after 40 minutes that they are cancelling my order because they dont deliver to an area 100 m away from where they say they deliver to. Plus didnt even refund me",1,"2019-01-13 17:18:28",14,2,0
"50160196","I don't want to give single star but don't have an option to give ZERO stars. I have placed an order with Pizzahut online and the same is routed to Gachibowli store. The order is expected to be delivered by 8:15 PM and I have received a confirmation email saying that it gets delivered around 8:13 PM. I received a call at 8:22 PM from the Gachibowli store and they said they will be cancelling the order as they don't deliver to my address. They suggested I should place an order with Madhapur store. Unfortunately there is no way we can choose a store from which our order to be serviced. When I told the store manager that I want to complain he has given me the Pizzahut central team and have given me the number. I called the central team to complain on the same and after half an hour heated discussion they have routed my order to Madhapur store. My interaction with Pizzahut team resulted in an hour delay and have left my kids hungry. I want to caution my fellow Pizza hut lovers to be careful while placing an online order as the order may get cancelled. Especially if you are hungry then I suggest you AVOID Pizzahut and look out for safer options. The Gachibowli team is so insensitive and it is a waste of time talking to  them.",1,"2018-12-22 21:27:46",1,1,0
"36657704","I didn't received my pepsi nd they used mayonnaise instead of cheese.. Worst pizza ever ",1,"2018-12-22 15:23:07",4,26,0
"61433589","To start off, ordered a pizza from Pizza Hut only for it's brand. However, was disappointed with the outcome. My pizza was not fully cooked and it took a lot of time for them to make my order ( which was a normal veggie feast and not even anything fancy). So overall not a good experience, hopefully will order again and get a much good result. ",3,"2018-12-21 15:22:06",2,7,0
"33907635","The worst ever pizza restaurant I ever seen.
They take orders in bulk but fails to deliver any.
Not even respect customers timing and never picks call..
I would like to ask zomato to ban this restaurant.",1,"2018-12-20 23:19:57",3,18,0
"45620148","Ordered through Zomato twice, each time got confirmation from Pizza Hut not Pizza. Store was not picking up the phone, so called the restaurant, they redirected me to Zomato only. They wasted 2 hours of effort and left me stranded.
Very bad and highly unprofessional from Pizza Hut.",1,"2018-12-20 23:07:35",7,3,0
"62848079","i never received my frigging order! and the status says order was delivered!!! very poor handling of this order!!!! annoying and frustrating!!!!",1,"2018-12-17 09:49:39",1,0,0
"35910810","I received my order after waiting for 1 hour and that was completely cold. It became wet and was unable to chew it. It was a bad experience.",1,"2018-12-14 22:34:16",1,1,0
"39943021","very BAD no response DID NOT DELIVER MY PIZZA",1,"2018-12-08 19:24:19",1,1,0
"38853236","Pathetic . I ordered a pizza and never heard from them. My pizza Never got delivered. I wish I could rate them zero. Worst experience. If you don't wanna get your day spoiled DON'T order.",1,"2018-12-07 23:37:45",3,2,0
"37962833","Thr quality of pizza has improved a lot after they starred pan pizzas again. Nice outlet.... Also the offer on takeaway of medium pan pizza is great.",4,"2018-12-07 23:18:38",11,13,1
"193020","We visited this store on Friday 23-Nov with kids and the mosquitoes are flying around. The staff are not courteous enough asking for order and they are not asking to collect my food unless we keep asking for the food. They took almost 30 mins to prepare because the staff is doing chitchat with Swiggy delivery boys. The floor is wet and they do not care of cleaning it. Very bad service and staff",1,"2018-11-25 12:37:01",2,0,0
"45018320","Worst experience, for rs350 a pizza we just got 4 slices which are smaller than a normal bakery bread slice size and at least for that money taste is worst, really bad experience , ",1,"2018-11-01 22:26:58",3,2,0
"52169296","If the scale had lesser, I would have rated it lesser, with my own eyes I have seen them using something like mayonnaise in place of proper cheese,that's not what we expect.",1,"2018-10-28 12:45:58",108,241,0
"54011619","We ordered chicken supreme and chicken Italiano with 1+1 offer in takeaway... I expected with ketchup.while coming to the taste it's doesn't reach my expectations...",3,"2018-10-26 01:54:42",4,16,3
"35623254","Pizza Hut has improved a lot. Frankly, it is better than dominos. Pan pizzas and big hand tossed pizza are really good. Base, toppings and cheese are all very good. But it really need to improve signature and supreme Pizza.",4,"2018-10-13 09:14:37",6,20,0
"27330757","Went here on Friday with the wife and bro. This was supposed to be an opportunity to start the weekend. We were immediately greeted with flies the moment we opened the door. We still stuck around as it was pretty late and we were all tired. We should have moved next door to domino's at that moment. It all started with the garlic bread and its tandoori flavoured dip which clearly was spoiled two days ago and it was still being served. It was changed thrice and I still got the same batch. Later, we ordered a Farmer's Pick pizza and we clearly mentioned that we did not want capsicum on one half. It was delivered with capsicum throughout. It was promptly replaced but, not only were we given again with the capsicum, this time they forgot to add the mushroom. When asked about it, they said that they don't have any and they forgot to mention it. By this time, it was already close to midnight and we were not only hungry but irritated as well. Their manager, by the name of chary and another by the name of prakash tried their best to convince us that this is the best and only service that we can get. Based on this horrible experience, it's safe to say that I lost all respect for pizza hut and this is a clear example of how bad their standards have fallen. Never eating at a pizza hut again. ",1,"2018-09-30 20:36:46",95,287,0
"51197514","Rediculous, I never had such type of pizza in my life. Such a worst experience, taste less and 2-3 customers throwed it on dustbin at that time when I was sitting.such a worst outlet go for Kapil towers outlet or search for se other instead of this.",1,"2018-09-29 16:52:39",9,1,0
"39441735","I usually visit this place for pizza. Garlic breed and jalapeño poppers are so tasty. Recently when i visited i have one complaint these people they don’t clean the tables as soon as one customer leaves from the table when asked to clean it took them so long to clean it. I have never seen such service from pizza hut. Food was good enjoyed our pizza.",3,"2018-09-23 23:27:53",22,19,1
"54007466","We ordered meal for two with stuffed crust. The pizza was prepared nicely and cheeze was spread till the ends. Garlic bread and potato pops were also good.",4,"2018-09-19 00:18:02",44,117,3
"35254703","Ordered country feast take away medium as they have offer in take away medium Pizza... Also ordered cheese garlic bread sticks for eating there and the staff were also very nice..don't know what Lucky day it was they offered garlic bread free with our take away Pizza... It made my day😋",4,"2018-09-17 02:29:20",36,532,0
"910659","Well firstly, this is a take away restaurant predominantly. So the typical Pizza Hut ambience with nice cutleries and well setup dining space is unavailable, but it could be maintained well as it looked shabby. 
Secondly, the food standards are maintained well. Same taste and the staff are kind and gentle while taking and delivering the orders. ",4,"2018-09-16 20:49:06",7,12,0
"35322723","I tasted the worst pizza of my entire life at this outlet. The only thing good about this outlet is it's washroom that at least doesn't suck. I would have given it 0 rating but Zomato won't allow that. I simply paid 1500 bucks for a nice washroom experience and extremely sour cheese and hard as rock garlic bread.",1,"2018-09-02 19:09:18",1,1,0
"68300742","late delivery",2,"2018-09-01 19:23:04",1,0,0
"63356239","really bad",1,"2018-08-28 21:30:20",2,0,0
"1329107","good ",5,"2018-07-29 13:55:20",1,0,0
"62296223","good",4,"2018-07-27 13:33:19",0,0,0
"58019778","Arrived 2 hrs late",1,"2018-07-23 14:55:45",1,0,0
"32601206","not so good.. Better to order from some other stores! This store is pathetic.",4,"2018-07-23 01:41:18",11,58,0
"60965787","simply delicious",5,"2018-07-22 13:51:59",4,1,0
"2740492","delivery was more than one hour late.",1,"2018-07-16 00:08:01",1,115,0
"59559855","2 hr late ",1,"2018-07-15 23:27:34",1,0,0
"30688131","I have not received my order yet it is more than 2 hours........ Pathetic pathetic pathetic",1,"2018-07-15 23:02:38",3,7,0
"33199278","Superb soft pizzas",5,"2018-07-14 21:01:03",4,1,0
"15146841","they sent delivered message without delivery.  and the pizza was delivered cold.  the worst ",1,"2018-07-14 20:50:19",2,0,0
"54887537","late delivery by 30 mins",3,"2018-07-12 12:40:19",2,1,0
"55204232","no oregano was given with the order. he said all over.",4,"2018-07-11 21:57:34",2,1,0
"57925952","Delivery issue",1,"2018-07-08 20:49:58",1,0,0
"59362242","Wish I could give 0 stars. They forgot to send the complete order and I got it after 2 full hours. The pizzas we're cold, had barely any toppings and were tasting only bread! Pathetic experience. Will never eat again at Pizza hut. ",1,"2018-07-08 12:31:37",1,0,0
"59980002","Food wasn't delivered on time...approx 1 hour late...",2,"2018-07-08 04:05:29",1,0,0
"53078437","my delivery time was 8:54 pm but i got it by 9:20. my order was very delayed",3,"2018-07-07 23:34:59",2,1,0
"44518910","late delivery. pizza is not as good as dominoes",1,"2018-07-07 22:16:25",3,1,0
"43746072","I canceled the order since they had a breakdown in the kitchen, they called and said it would take an hour. Unacceptable. ",1,"2018-07-02 19:28:18",2,7,0
"34024234","Slow and unreachable ",4,"2018-06-30 22:16:27",4,1,0
"58515850","cost is more .taste is very very bad seriously u didnt offer good quality food according to the cost, please do not do this again. ",1,"2018-06-24 20:13:14",1,0,0
"54853309","No pepper no chili no ketchup nothing ",1,"2018-06-23 21:23:14",1,11,0
"32290741","Good",4,"2018-06-17 22:54:59",2,6,0
"52619984","delivery time can be improved",4,"2018-06-17 22:22:04",1,1,0
"54154670","No tissues no Kechup 👎",2,"2018-06-16 23:54:24",1,0,0
"51931515","Not at all good",1,"2018-06-14 08:31:39",1,2,0
"51713167","it was late and cold",2,"2018-06-13 15:13:02",1,1,0
"56993866","Not at all tasty",3,"2018-06-11 20:03:02",1,0,0
"45610609","no ketchup was given",4,"2018-06-10 19:52:42",3,1,0
"36865347","Better than Gachibowli Indra Nagar branch.",4,"2018-06-09 19:19:40",8,1,0
"56894172","The delivery guy despite knowing where to come kept on creating confusion on call.",4,"2018-06-09 17:57:47",1,7,0
"56674838","Good ",5,"2018-06-06 04:46:57",1,0,0
"36367167","delivery was late.",3,"2018-06-04 21:49:21",5,1,0
"56302614","good",4,"2018-06-04 20:19:09",4,2,0
"56512742","no sauces ...even pizza quality is worst",1,"2018-06-04 07:33:13",1,5,0
"55300492","Worst pizza  i ever had in my life",1,"2018-06-03 20:09:04",1,1,0
"53447740","didn't expect such a pizza from Pizza hut. No cheese was very very dry.",3,"2018-06-02 15:59:14",4,1,0
"56162327","Give only cheese bread instead of supreme",1,"2018-06-02 13:58:30",1,1,0
"37586554","very late service",2,"2018-06-02 11:01:13",1,1,0
"51226888","delivery guy was rude and not polite",3,"2018-06-01 22:10:10",1,0,0
"55903770","they cancelled my order ",1,"2018-06-01 20:57:52",1,0,0
