"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"44677130","I went to this place on a Sunday evening. First the ambience of this place is excellent and the vibes you get , quickly puts you in a very relaxing mood.
The music there is very transcendental.
Food : we ordered phad thai noodles and a skewed pork belly. The noodles were soft ,sweet ,tangy and the vegetables added the savory to it. The nuts added the crispy element to it.
The skewed pork belly was soft and full of flavors .
Service: Excellent! Period.
Food : 5
Service :5
Ambience :5
Value for money :5
I would love to spend more such wonderful evenings!",5,"2019-05-13 07:57:05",12,5,0
"38735711","We had been to this place few years back and were delighted with the experience.  Hence revisited on a weekend in May 2019 hoping for the same.  Unfortunately the quality seems to have significantly deteriorated.  A starter of fried chicken was borderline inedible.  Extremely hard and salty.  Grilled mushroom starter was salty, again.  A fish started which came wrapped leaf,  looked enticing but clearly the quality and tenderness of fish was not up to the mark.  Noodles and rice were good for main course and so was ice cream browny for dessert.  ",3,"2019-05-11 23:56:06",56,534,5
"35057829","The hospitality of this place goes way above your expectation. We were also staying at this hotel when we decided to check out this restaurant.
We ordered beef tenderloin and char kway teow.
They were cooked perfectly and had the authentic oriental flavour.
I would surely recommend this place for its hospitality, the serene ambience and food obviously. :)",5,"2019-05-11 23:03:58",4,1,3
"502322","This place never fails to impress us. Tried a variety of options from the menu. Every dish is beautifully presented and delicious😋. For our fourth visit today in starters we tried Chicken Satay with peanut sauce, the sauce was incredible, finger lickin’. Main course was MHAD Noodles, again delicious. And of course no meal is complete without dessert- Fried Icecream. Tried it in NY for the first time and the only place that can compete with it is here at RON😊. Also the staff Sita was courteous and kept checking on us to ensure we enjoyed our meal🙂 and had a lovely evening overall.",5,"2019-05-06 00:19:44",11,12,2
"3072372","Amazing Asian Cuisine. Perhaps the best this side of Hyderabad. Laxman served us very well also!:)
Definitely have the Chicken dimsums!! And Zomato Gold 1+1 makes it even better!",5,"2019-05-04 21:58:59",16,113,0
"32534966","Such a good restaurant for a date night so calm and sooo soothing the experience was,
From starters to the dessert everything was great!!! I loved the ambience and food. I would recommend this place for casual talk and date night. There would be a pinch on your pocket but it is worth it",5,"2019-04-27 14:13:22",19,20,6
"667436","Place never gets old. Perfectly situated Slonge just opposite for drinks. Republic of noodles has wonderful food! Highly recommend the chicken potstickersand Jungle curry. ",4,"2019-04-22 18:36:56",7,2,0
"42497155","Pork was on the menu, but not offered. Ambience isn't as good as their Madhapur outlet which is great. Bad acoustics so the place gets very noisy",3,"2019-02-15 21:33:35",11,4,0
"68146476","I have been here for lunch few days ago..excellent eating experience.....from walking in the door and being greeted by employee...seated and drink order taken, was may be 5 minutes. Meal was served hot and excellent taste. Server Mr. Lakshman was very friendly and helpful.",5,"2019-01-15 21:20:20",1,0,0
"35252529","Today was my 3Rd visit to this restaurant specially for Srilankan Curry. They serve a good hearty bowl of Colour, texture, nutrition and above all the amazing and well balanced flavours of coconut, Kaffir lime, spice with complimentary Jasmine sticky rice. This time I also tried Green Thai Curry and again it was so well balanced with nice green colour. But any time Srilankan Curry tops my list.
Must try for Asian food!",5,"2018-12-20 14:05:22",8,25,0
