"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"29205968","Rocks was not available and we were routed to Alchemy.  Couldn’t utilise the offer and paying in full.
No ice cubes in LIT... 
Staff admitted that they missed to update Zomato.
Worst experience",1,"2019-03-31 14:33:15",10,8,0
"30178423","Disappointed with the place. Poor ambiance.
Mushroom was toooooooo oily deep fried. No taste.
Happy hours on paper but no drinks available for happy hours.
Even though it is next to my house..there seems to be no reason would like to visit again.",1,"2019-02-01 19:43:07",21,67,0
"29223328","Not great with aesthetic appeal. The setup is pretty congested and looks more like a living room. Also, the prices are equally high as of a high end bar or pub. Totally unhappening with very less foot fall. If wanna have some quiet time alone, that's a match for you otherwise not recommended. ",3,"2018-08-26 04:21:30",53,272,0
"39225454","We were in rocks n order some drinks...barman Suresh were excellent.mojito was just perfect as per our taste.
Thanks a lot... surely will come back",4,"2018-01-09 16:59:41",52,528,0
"31169580","Went with office pals for lunch buffet. Was so bad. We could have totally gone sm place much better for even resonable price.  Wont visit again. Thnkx. ",2,"2017-01-22 22:44:40",73,271,0
"35088465","Amazingly slow service, the only good thing about all the places in this vicinity is the location, away from the cities chaos. 
If you like to be on your toes this is not the place for you. ",2.5,"2016-09-09 10:13:01",65,61,0
"14541441","A bar,  bit on the costlier side,  with great ambience and service. This place is good for friends catching up for a drink or two after a long span. No body to disturb you around even if the bar is full to accommodation. ",4,"2016-07-22 13:39:50",685,792,0
"2172400","Nice peaceful bar with decent food. 
Good if u want to talk over a drink. 
Been there for the happy hr.                                     ",3.5,"2016-06-28 23:34:11",6,30,0
"31912115","Nice Ambience quality Food. Enjoyed the evening with friends. Bit expensive but compared with other hotels it's reasonable . More over we enjoyed the Happy Hour 1+1 offer. Love to visit Again",4.5,"2015-09-29 00:35:51",1,21,0
"16569526","This place has been really near to my heart. Been here numerous times for quick meet ups with friends and family. 
The boys serving here are very courteous and pretty accommodating.  I especially like their Fish with broccoli. 
Over all great place to be.",4,"2015-07-06 14:50:31",24,1611,0
