"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"58485241","worst curry we got",1,"2018-06-30 12:35:15",1,0,0
"51544872","Very bad service and they didn't give bill also. ",3,"2018-05-27 15:08:38",1,1,0
"53512160","Good",4,"2018-04-29 20:26:03",1,1,0
"52106243","Have ordered different kulchas. Out of which the plain kulcha were not soo good. ",3,"2018-04-24 13:14:34",1,27,0
"52429957","Overly priced and unhigenic food ",1,"2018-04-19 14:17:43",1,2,0
"51381894","Biriany taste is very good according to me. ",4,"2018-04-17 19:56:41",4,3,0
"40031743","good but late delivery",5,"2018-04-08 23:15:10",6,1,0
"51910761","food tasted awful",2,"2018-04-08 19:19:17",7,1,0
"50499419","Good avg taste",3,"2018-04-07 00:28:25",9,3,0
"52702383","great",5,"2018-04-06 21:43:54",4,1,0
"51440484","good",5,"2018-04-06 19:19:34",3,1,0
"36996515","nice taste value for money. phulkhas are top of the world so guys I recommend this place for fresh non veg items and nice food. majorly chicken used here is fresh in all my orders",5,"2018-04-06 17:05:54",11,28,0
"34547486","very less quantity of meals and bad quality",1,"2018-04-06 16:56:20",1,2,0
"31193976","Homely and tasty! ",5,"2018-04-05 21:06:52",8,30,0
"52055392","chef can do more better with the curry..rotie were too good.",3,"2018-04-04 00:38:58",2,21,0
"1712495","Food tasted good",4,"2018-03-24 13:14:29",2,1,0
"47779775","less amount of rice",3,"2018-03-22 23:57:07",6,2,0
"51751558","worst food..seems to be like rotten..the starter is getting foul taste..worst worst worst food ever in my life. I'll never order again from zomato",1,"2018-03-22 18:10:39",1,1,0
"51404058","Taste was bad ",1,"2018-03-19 16:54:13",3,11,0
"44660989","Very bad, I have ordered fry piece biryani . chicken was not cooked",1,"2018-03-17 16:40:03",5,1,0
"11849501","I ordered palak paneer and the palak was filled with green chillies and other spices which is not usual with such dishes. Surely a south or Hyderabadi chef is doing hands on with north indian dishes. ",3,"2018-03-17 15:18:39",17,78,0
"36074085","food was not sufficient ......for the amount paid ",1,"2018-03-17 13:59:27",2,1,0
"51318661","chilled less cool drink",2,"2018-03-17 13:49:03",1,2,0
"51381894","very good..",5,"2018-03-13 13:22:29",4,3,0
"20525206","food wasn't deliverd but showing as delivered ",1,"2018-03-11 21:44:44",5,41,0
"49533456","On time, good behaviour",5,"2018-03-11 21:08:48",1,6,0
"39216416","They priced boneless chicken biryani Rs. 229/-... But the quantity they provided is far less compared other good restaurants ...",1,"2018-03-10 15:16:51",7,2,0
"45466352","No garam masala in excess. Very soft on the tummy. Enjoyed every bite of my order. Must try the biryani.palak paneer was yumm and just not spicy. Kids enjoyed it too.",5,"2017-12-13 18:32:53",2,3,0
"37145397","Awesome quality and tasty fresh food. Worth ordering food from Swagatam. Packaging 5* food 5* . So I highly reccomend for people around dlf gachibowli.",5,"2017-12-12 13:56:16",3,22,0
"48027045","biryani taste n flavour is nt at al gud",1,"2017-11-15 11:54:13",14,1,0
