"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"49932974","Superb food.. I have been to there few days back. Service was excellent.. and the mutton curry item was really good.. chicken soup was also great and so tasty..👌",5,"2019-01-22 19:14:28",7,4,0
"35836801","It's hard to get sweet shop that actually delivers sweets of small quantity via zomato and swiggy. I managed to find them on swiggy and ordered Lavu boondi laddu on the occasion of Ganesh Chaturthi. It was good. Will order from there again ",4,"2018-09-29 18:05:07",247,316,0
"1549883","I had bad experiences with sweet magic 3 times in this month. Pastries were so hard and didn't look fresh everytime I buy there so I avoided pastries from them. 2 time I faced issue with kaala jamun which was like bitter in taste and asked my mom to return the same tomorrow. Only best thing I like there is ulavacharu.
Management i have already complained to the billing counter guys about the pastries. Not sure if it has reached u. Please consider and take some action on the sweet magic Rai durgam",1,"2018-08-18 22:48:02",7,24,0
"30454905","Been here with family for dinner.  
Comfort and hygiene :
Ac was not working properly and can literally see mosquitoes on onion plates.  
Food : 
We had rotis along with malai mushroom which was excellent. 
Methi malai was a disaster. We had to send it back for corrections.  It was tasteless. 
Paneer butter masala was avg.  
chicken pulao was pathetic.  
Overall. It’s not a very bad experience ",1,"2018-07-28 00:14:13",53,107,0
"51529263","Worst food quality and service. Guys who take orders will put aside our own choice of food and suggest the food which is left in the kitchen as chefs special and sell of the food. Egg served in biryani is in black colour and when asked they have said that they have baked the biryani in oven but biryani is cold and when asked they have no answer. Worst experience when went with family",1,"2018-07-12 21:42:52",3,12,0
"43637214","This place is located on the Tolichowki road and I went there twice to get sweets, ice creams and also tried their Egg Dosa [Rs.84 with taxes] which I felt was a bit dry and did not go well with their chutneys.
Other than their Egg dosa which was not so great I liked all the sweets I tried here;  Ras Malai [Rs.35 per piece], Malai Chum Chum [Rs.35 per piece] and Carrot cake [Rs.40 per pack]. My favorite item was their Badam Milk which came in a small bottle but was super delicious.
After their sweets I also tried many of their Ice creams out of which I would definitely recommend  Chikoo and Mango ice cream. Both the flavors were rich, creamy and felt like eating real fruits.epicureantales.com",3,"2018-06-27 23:19:01",443,2462,9
"54181570","This is a sweet shop, hotel, restaurant and banquet hall combined well into a place. A famous restaurant from Vijaywada, Ulvacharu biryani is their speciality. The food is good, but a bit expensive, especially the dessert options which are limited and very expensive. The ulvacharu biryanis (non veg as well as veg) are a must try.",4,"2018-06-20 00:34:56",57,42,1
"34468683","Visited this restaurant as it's on the main road and was very hungry to travel further. Interiors are good, I liked the black and white pics of old movies and expected the food to be good but very disappointed with the taste and service. Ordered Manchurian and asked the waiter to bring veg biryani after some time which he forgot. None were nearby when we wanted to enquire and then he came and asked for the next order. Had to wait with empty plates only to taste food that was as bad as service.",1,"2018-06-07 15:54:38",36,15,0
"29595357","Been here thrice, today with my mother-in-law in tow as we wanted her to have a good south Indian meal. Turned out to be quite the opposite. One word would best describe the experience - irresponsible, both in service and delivery. The quality of food served was of no class - not fresh - AT ALL. It seemed that the chef had other pressing issues to attend to than to hand out a fresh, well cooked meal. The quality of flavored rice served with Thali was such that it was left to dry without a lid for hours - it wasn't much different than uncooked rice. The dessert was dry as well. I can only comment about vegetarian options..not so much about their non veg variety. However, there was a company of 12-14 people who were at the restaurant at the same time and we heard them complain about multiple things for most of the time we were present. It seems we weren't the only ones to have had such a disappointing experience. The service is quite slow, as noticed on our earlier 2 visits too, there is never a person around when you need something, nevertheless there are a lot of people seen ambling about, but none who would help out when called, which leads to a lot of wait time. We expected much better quality as they quite proudly advertised about serving authentic telugu food. I am sorry to say that our average, daily home made food is 100% better than what has been served here.",1.5,"2018-05-20 16:28:14",9,47,0
"32053258","best place to try the ultimate ulavacharu biryani...!!!
seriously its heaven...!!!
the quantity is too good and the hygiene packing is in its best way..!!
do try their kebabs they are amazing...!!!
for a foodie like me, my taste buds got damn satisfied 😜",5,"2018-04-06 13:05:51",23,24,0
"33635070","Pls don't go to 2nd floor BBQ. Hyderabad have good biryani brand image really u r ppl r spoiled. Pls shut the bullshit restaraunt if u unable to provide a good food. Don't screw up customers with your nonsense food.",1,"2018-03-02 20:32:04",2,1,0
"47151582","The food is bad its not made with care there a is desperation from the staff that makes people uncomfortable to eat there also prices are through the roof for the low quality food they put out its like paying for a Benz and ending up with a 2005 alto 
Honestly one of the worst eating experiences I had in hyderabad ",1,"2018-01-15 00:16:46",3,81,0
"1904466","Update:
Went for team lunch yesterday. Ordered spl chicken Biryani. They have given biryani rice separately (frankly it is not even biryani rice, just tasted like jeera rice) and chicken curry separately. I totally failed to understand how biryani will have chicken curry..... Reduced my rating 
Been there to this restaurant couple of times. Tasted paneer 65 which i say is awesome. Paneer is so soft which i haven't tasted in any other restaurant till now. Tasted chicken biryani which is also good. biryani rice is not so spicy and lids can also enjoy it.",2,"2018-01-11 12:06:05",156,726,10
"2648830","Disappointed in my first visit.. Food is just AVERAGE biryaani is no where close to be called a biryaani. Service is OK.. They need to really work hard on their food.. ",2.5,"2017-11-02 15:39:34",72,1064,0
"37696007","First visit 
Quality - 3.5 
Ambience -3.5 
Service -3.5 
Everything okay types only. Would love to try more food here and check. Tried Paneer butter masala and mushroom masala along with butter naan and kulcha. ",3.5,"2017-10-09 08:53:42",111,105,0
"40482887","The food is just ok, tried noodles and chicken biryani which are so average in taste the ambience is normal and service is ok, they also had the sweets section in that place",3,"2017-10-07 16:58:55",96,144,7
"36248082","Visited SM for a buffet lunch. One of the wrost buffet I ever had. Limited starters, biryani was just ok en no desserts.
Thumbs up👍
Aimbence
Service
Book though little app en get buffet for just 299 Inc of taxes
Thumbs down👎
Food was just ok
Limited items
No desserts en no fruits
No welcome drink
Been der for a breakfast before my last visit, breakfast was comparitively good but lunch buffet was disappointing 😉",2.5,"2017-09-18 19:30:46",49,1310,0
"44695322","Pathetic place poor hygiene, for every little order they make you wait for ages like I waited 40-50mins for a cup of tea. Prices are high one Aaloo parantha for 80? Seriously?? Money wasn't even a factor if taste was good but alas, disappointment in that as well.
If u love ur money and time please avoid the place.",1.5,"2017-09-10 11:07:13",3,1,0
"7325191","Chicken fry biryani is so yummy... Andhra chicken biryani.... Not very spicy... They didn't add any artificial color in Biryani which is a plus point... 
Overall good experience ",4.5,"2017-08-15 13:23:35",10,14,0
"2669020","They are just looting people in the name of sweets. Management should think about competition and learn how to sell things. Apparently overcharging customers won't give you proper business.  Tried to take different variety of sweets in small amounts and in the same price range and they charged double per piece ",1,"2017-07-25 14:20:13",4,0,0
"27871576","Its a Vijayvada sweet shop chain that has opened its chain in Hyderabad too. I just had a chance to have the famous Mysore Pak from here and out of surprise it tasted delicious. It was neither too soft nor too much of ghee. It was appropriate in taste, somewhat different kind of mysore pak in cmparison to the authentic desi ghee one. It was so mushy and had a smooth texture that It just melted in mouth. Must try!",3.5,"2017-07-12 23:35:10",112,334,0
"27700933","Went for a party with friends, everyone liked the food over here...specially starters they are awesone. One must try Apollo fish with out a miss. Chicken mancho soup is good. And ordered Biryani's (spl chicken,fish,avakayi) in main course...all are tasty. Service is bit late, ambience is good.",4.5,"2017-06-16 07:25:36",86,84,0
"3158048","We did a carry out of vegetable biryani and it was very good. Others in our group who had chicken biryani and some starters found the food sumptuous. Haven't seen their setup yet to comment on the ambience and service details. But definitely a good option for trying out some tasty biryanis.
Tried their sweets today. Reasonable prices and tasty. Well worth than the so called premium priced famous sweet shops in the town.",4,"2017-05-13 20:43:54",126,1136,2
"39778925","Its a really awesome food what sweet magic serves on plate. I had least expectation from this resturant when i thought to visit as Just entered this place to experiment and what, that turned to be successful experiment. Nice ambience.....with old telugu melodies, coming to food: we order chicken clear soup, schezwan fish and egg noddles. The soup was good, noddles were well cooked in low oil and very tasty we didn't even ordered any wet dish and could able to eat without any wet dish. Coming to Fish, this is awesome, mind blowing......any word i will use to describe the taste of this dish will be not able to justfy its taste and like heaven, every peice i take in my mouth got melted like an ice cream, awesome taste all my taste buds felt like heaven after long time. The best thing about this resturant is its very pocket friendly, awesome quality and taste, with a really good quantity.....i reccomend this resturant more than 5 stars. Good job guys...... keep the good quality and taste always......",5,"2017-04-22 13:53:54",1,13,0
"2069218","Had been there to buy some sweets for the guests . I really regret buying here, most of the varieties were not fresh . Due to time constraint had to chose one and will never again visit this place.",2,"2017-04-17 18:27:43",5,1,0
"1066340","Today we opt out the sweet magic to try....firstly no ce interiors concept of old movies posters pics and nice lovely old rhythemic songs enjoyed it but cleanliness should improve there where we sat many mosquitoes are therewefelt really discomfort with them they should maintain the feel of comfort of customers please notice that.....                               coming to food we ordered egg biryani and curd rice there usually common items being tastes good and nice with the quantity ... overall had our lunch with irritating mosquitoes by that we cant enjoyed our food which is good though",2.5,"2017-03-19 23:34:44",20,76,0
"32246515","I wish I never go back to this place!! worst food!!Serving is not clean. waiters were rude. asked to change the food but everything is same . Never suggest anyone to go there again.
We ordered ulavacharu biryani,Hyderbadi  dum biryani,chicken majestic (bad starter),Soups(manchow & lemon coriander),malai chamcham,gulab jamoon.malai cham cham was too good ,lemon coriander was ok , nothing else was good ,Please dont ever try  ulavacharu biryani here!",1.5,"2017-03-17 19:56:41",6,45,0
"227667","Worst food... don't keep Vijayawada branch in mind and visit this ever.  There's no comparison.  This will be my first and last visit here. The AC is also not working.  So bad!!!",2,"2017-03-07 14:39:26",1,94,0
"37878154","Went to this place 2 times . The mutton biriyani was good but a little bit too expensive . Buffet was ok . Ambience was good . The desserts were good .",3,"2017-02-04 11:17:39",19,7,0
"16319284","Definitely a good sweet shop to satisfy your sweet tooth. 
They have a variety of sweets available from different types of kalakans to laddus and barfi! 
Ordered for Fruit Kalakan and it tasted yummy :-P:-P",4,"2017-01-25 11:35:24",127,1660,3
"2766988","Went on Friday for a lunch.Ulvacharu biryani and chicken fry biryani is really good here.The taste was really good .Starters were OK.need to improve service which I felt was lacking a bit",3.5,"2017-01-08 00:49:54",3,92,0
"36905639","Ambience is good ........and nice atmosphere. ........We go with friends we had a garelu kodi kura. .......and we ordered a chicken biriyani and prawns biriyani. 
The prawns were not cooked for perfection...and kodi kura we find the bug in the curry. ..it's a bad experience horrible service ",1,"2017-01-03 09:19:15",114,1979,0
"16741498","I have been here for 3 times. First visit was unexpected. we went to eat some snacks and read today's special as garelu and kodi kura. That curry was sooooo yummy and tasty that we ordered roti and the same curry. We went there to have snacks and had our dinner too. Second and Third visits I went along with my friends . They liked the place too. The ambiance and the food are splendid.
Dissappointed 4th time by the cleanliness",5,"2016-12-17 00:51:43",2,0,0
"36902573","Ambience is Good but food is below average. Tried chicken biryani and Prawns biryani which are over priced compared to similar kind of restaurants. Chicken biryani is average. Prawns biryani is very bad as the prawns are not cooked properly. Never try this. Soft drinks are over priced @50..",1,"2016-11-28 00:02:42",1,1,0
"36819354","This is a nice place for  hangout.the food was good delicious items ...good ambience service is horrible. ...i am asking some they are rude...",3,"2016-11-24 00:42:17",13,48,0
"1257486","Placed an online order for chicken family pack biryani, got delivered earlier than expected. The quantity and the number of chicken pieces he gave was loooooot. I felt the biryani as average because the clove flavour was more. Additional to that they gave two butter naans along with chicken 65 which really tasted very good than biryani. The next time I'll definitely plan to dine in there to try some other dishes. ",3.5,"2016-10-20 09:34:37",21,57,0
"36394818","Best food I ever had and good quality. Especially the interior and service was too good.  And sweet magic special biriyani was fantastic.  Very good experience ",5,"2016-10-17 16:13:50",1,12,0
"844219","Tried breakfast here with a friend , chutneys tasted really nice , superb quality and nice service . Will visit again for their famous biryani",4,"2016-10-15 12:18:01",43,82,0
"1556678","Had worst experience at this place
Ordered something they served something else. That also not good.
Very bad service.
I had biryani in Vijayawada branch of this hotel it was awesome but this one doesn't carry same feel.
Even they don't have a working card swiping machine. ",1,"2016-10-10 20:46:50",10,45,0
"2716742","This is a good sweet shop in the surroundings. As there is no other good enough sweet shop in Gachibowli, this may be the go to place. The sweets are OK. Sometimes they are really good. The parking is a headache here especially during festivals. Their packing is done very well during festivals. Check it out if you haven't yet. ",3.5,"2016-09-26 15:11:03",112,372,0
