"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"35864721","As part of a review event, received chocolate decadence, chocolate fantasy and pancakes. The best was Chocolate Decadence out of all, too yum it was, heavenly actually. Pancakes were good too. Superb packaging and on time delivery, glad I gave it a shot.",4,"2019-05-12 12:02:35",208,771,0
"16142730","Sweet truth is usually my go to resort whenever I have cravings for something chocolaty!
This time i experimented with more items, and not just chocolate!
Red velvet slice and cheese cake - It was so smooth and made to perfection. I don't like when people over do the cheese and i can taste less of red velvet, but it was the right proportion.
Chocolate fantasy - Choco lava cake at its best. I really want to visit the store and have it hot sometime. The chocolate amount inside it is crazy, and it's my favorite there.
Pancakes - The pancakes were served with chocolate dip and blueberry jam. I am a fan of blueberry, so a +1 for that. The pancakes were a little thick and got a little hard. However the dips were perfect.
So, preferably avoid to order pancakes.
Looking forward to try more! ❤️",5,"2019-04-16 12:42:55",166,977,0
"34096337","Ordered 2 choco lava , Red velvet and pancakes.
The choco lava was really good.
The red velvet cake was little watery but the flavour was superb.
The pan cakes were good, they gave Chocolate sauce and rasberry along with it.
Overall the place was really good.",4,"2019-03-04 13:25:53",84,266,5
"54710487","The best pan cake I have ever eaten well served pan cake I loved their pancake. So yummy. They serve very well. Good service provided. I recommend this place.",4,"2018-12-14 18:28:30",11,11,0
"45823774","The Silician Red Velvet cake is absolutely delicious, but is not available here anymore.The chocolate fantasy cake also tastes good. Sweetheart Truth is a must try for dessert lovers.",4,"2018-12-08 16:34:22",5,4,0
"55641812","Didn't delivered the food, payment not refunded and confirming delivered status guys don't go for this, he is not even responding, this is second time happened to me, don't order online in sweet truth ",1,"2018-12-07 13:32:55",2,1,0
"47548585","Ordered chocolate cake yesterday, claiming there is 60 percent off, but the price of that cake was 175Rs !
But anyways ordered, I have received order from FAASOS not from sweet truth. Wonder How? But after having the pastry thought this was worst cake one could sell at this price. Waste of money!! ",1,"2018-11-18 09:14:37",2,2,0
"138861","Pathetic cake... pathetic taste... i had reqiested for a birthday message... when.i asked the delivery guy.. he said that it is done... when i opened the box there was no message... the worst was the taste of the cake... red velvet... tasked like pillsbury cake with dalda... m sorry to say.
. Not even worth 100 bucks... worst service.. worst cake.. spoilt the birthday.. will never order from u guyz again...",1,"2018-11-12 21:30:23",10,4,0
"53962335","food not worth of money...",2,"2018-11-07 19:26:47",4,1,0
"44870962","Just received a couple of hazelnut brownies. I forgot instructing them to heat it. The Brownie is full of fudge but would have been better to taste when it is warm. ",5,"2018-11-04 22:37:43",17,5,1
"41568792","We received choco fantasy and pancakes from the sweet truth and we are just in love with the choco fantasy and we are very excited to taste the other products of this outlet... The pancakes are very yummy and the chocolate sauce with it is simply nice. The choco fantasy is seriously a heavenly dish for every choco lover",4,"2018-10-06 16:09:45",94,134,3
