"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"43480253","Great ambience.
Good service.
Good food.
We were there at late night and service was good and food was yummy. Thank you for that. I think, for a place like that, it's important for the team to maintain / take some sort of pest control measures. The lounge have mosquitoes and I believe it's possible and important to maintain mosquitoe free environment.",3,"2019-03-28 13:18:35",2,1,1
"35964022","Well one of the very few 1 AM spaces in Hyderabad, great to grab a drink have a wonderful conversation, Hyatt lives upto it’s expectations, a bit expensive but worth the ambience on top if u have Z Gold even this is sorted, extremely friendly staff. 
Ambience : 5/5
Menu : 5/5
Food : 4/5 
Service : 5/5. ",5,"2019-03-04 19:00:07",7,2,0
"1614755","Thought to have a great evening here with my kid and wife but was very disappointed to learn that they don't allow kids here. We are responsible parents and know where to take our kids and so we do our home work before going out for dinner, etc. Zomato clearly states that this place is 'kid friendly' and basis that I got my kid here. We felt insulted that you refused us entry to your restaurant. I am going to escalate this matter. So please take this seriously. Besides Zomato has stated in writing that this place is 'kid friendly'. I want a formal apology for this or else be ready to face the consequences. ",1,"2018-12-08 00:16:16",16,120,0
"29223328","Got some urge to grab a drink midnight? Hop into The Lounge bar, located in the lobby of Hyatt Hyderabad the place serves you with an array of drinks and a cosy ambience. And Happy Hours till 2 am is a big time delight.
The bartender was very good and prompt at service.
Kudos! ",4,"2018-08-19 23:36:19",53,272,0
"262102","Went with my husband for coffee though it was almost dinner time.
Didn't like the coffee, we had cuppaccinno and latte. It was not great at all. The service was too slow. Initially they gave just spoons and coffee mugs, No saucers were given. Then they gave it on asking, no tissue papers given.
I had to ask for everything which should have been provided on its own.
There were mosquitos in the lounge. Not at all comfortable.",3,"2018-02-17 18:47:44",70,172,0
"31647210","Ambience- 4.5/5
Service- 5/5
Food- 4/5
It’s beautiful! Perfect to sit, have a drink and small talk! 
Happy hours- cherry on the top!
Overall, a good pick to spend some time in peace. ",4.5,"2018-01-19 11:41:06",72,410,0
"46029272","I came to this  lounge bar to lift myself up from my daily life and work routine 🐣🐳
I had a very happy experience from here.
As per the restaurant Ambience is 😎 and  decorative. 
Drinks are pretty tasty and beers are served  chilled,🍻🍺🍸🍹🍷
Overall my  experience is great from taste and monetary  sides...
Hope to come back again 😋",5,"2017-09-13 23:10:09",3,2,0
"33381154","This Lounge Bar os very near to my office, so one day after long hard work I came here to get a nice break so that my weekend go happy.
I like the ambience of this place. Very creative and decorative.
Drinks r good and reasonable.
FOOD is also taste great.
Overall my experience is pretty nice.
Hope to see u guys again.......
B-)",5,"2017-09-13 16:21:37",47,757,0
"32633283","Lovely place for a drink and the waterfall just makes it even more soothing 
The piano music was awesome
Best place to chill out in the city 
Happy hour runs from 16:00 - 21:00",5,"2017-09-04 19:36:11",1,48,0
"39298229","It's an awesome experience which I have never had before.......it's really an extraoridnary experience ......every one must experience it once in their lifetime.....",5,"2017-03-25 21:46:25",1,1,0
"473309","Very casual place to sit relax, have a sip and enjoy few snacks.
Love the chandelier!
The person who was serving me was very courteous. I've ordered a chicken snack and masala peanuts along with my beer, both the snack were good.
There were mosquitoes in the evening(Open space after all!) but there was one guy with a mosquito racquet, who makes you feel safe. Thanks to him, I was comfortable.
Piano music was amazing!
Great place to relax with friends, not to be alone. Reading a lot about Happy hours, I didn't know about it. Will have to try next time.",5,"2017-02-17 22:54:48",7,51,0
"1010592","lounge bar in Hyatt has a great view of water fall. worthy happy hours from 4 to 9 on full menu.
I have enjoyed nice Sweet music of piano.
Nadeem bartender was professionally skilled in making cocktails .",5,"2016-09-14 00:09:48",8,16,1
"30396492","Happy Hours it is.
I was recommended by a friend to try the Lounge Bar for Happy Hours. Lovely ambiance with live music. A good range of liquor is also available with a 50% deal.",5,"2016-09-06 17:59:46",11,106,0
"35167239","The place to be at Happy Hours.
Get every range of alcohol during 4 PM to 9 PM at half the prices.
To add on is the live Piano music.
Must try!!",5,"2016-09-06 17:51:46",3,2,0
"807944","Such a wonderful place for a drink!
With the lovely waterfall to soothe the ambience, it's a perfect place to catch up with friends and colleagues 
They have some new imported liquor as well.
Happy hours run from 4 PM to 9 PM ",5,"2016-07-27 00:26:50",58,308,0
"15792627","Best way to chillout after a busy day in the city, live piano performance and special thanks to bartender Nadeem for getting my poison right, such a entertaining bartender.. Lounge music, was apt for the mood.. ",5,"2015-11-02 19:12:59",10,18,1
"16067509","Please cross check the happy hours. I think its from 4:00 PM to 8:00 PM. Correct it if its wrong.
Adding to that. I think its got an amazing soothing ambience with soft live piano music running in the background. One can spend some peaceful time here for a while after office hours.",4,"2015-10-10 01:57:25",1,0,0
"90004","Nice place to hang out after work and works well when your guests are staying at the Hyatt.  A nice and calm place that is flexible in its offerings and meets my service expectations. ",4,"2015-04-25 19:58:02",33,63,0
"841980","Very soothing and calm ambiance. Nice place to relax n have a coffee or a drink after work. I have lazily spent quite a few evenings here, with a sweet live piano performace.
Although the variety of beers available is not extensive, but the bartender, Mohit, whips up some very nice cocktails. 
Do try the regular long island iced tea there, IMO it somehows goes very well with the ambiance at that place",4.5,"2014-09-19 02:55:42",3,2,0
"266443","Been to this place thrice now. Liked it in the first instance itself, but was putting off writing the review due to laziness.
In the midst of the IT corridor, this place is an after-work relax and meet-up place.
The ambiance is awesome, perfect for a relaxing evening. The place is silent and the air conditioning is just perfect, so that you actually feel refreshed after 10 minutes. There is something different about the air quality (might be temperature or freshness), but you actually feel it.
No loud music makes it very comfortable to talk.
And you can spend some time there as no one makes you uncomfortable by asking ""anything else to order"" every 10  minutes.
Coming to drinks, beer, tea and coffee are decently priced. Tea and coffee preparation is good also. We had once tried cocktails also, but they are avoidable.
Snacks are also decent. Specially loved their paneer tikka, which was soft and very mildly flavoured. 
Bottomline:
Best place in that area to sit and lazily spend time after work in a very nice setting. Don't go if you prefer a jazzy or energetic place.",3.5,"2014-05-10 18:58:55",49,532,0
