"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"30991553","We went there early evening. It was calm and peaceful. Music was soft. Food was good but the main course quantity was less. Beer tasted well. Service was fast and professional . Recommend for quick dinners.",4,"2019-05-15 23:10:26",9,0,4
"39721400","Was here for a club party.
So, This place has an amazing ambience with dim Lighting, well equipped furniture & a large LCD screen & the light music just makes it perfect during a cricket match.
Well, Coming to food, I opted for a Veg buffet. The starters tasted really good specially the cheese garlic bread & ghee idly.
We had enough dishes in the main course & there were mocktails being served whenever asked, Raspberry tasted the best.
Deserts weren't that great. Vanilla scoops were just fine.
Overall, It seemed like a great place to hang out with a large crowd & also alone (Yes, for those cricket maniacs, you can just get yourself a beer & relax).
Either ways, it seemed at its best with proper space, lights, music & yaa, privacy.
I would rate:
Taste: 3.2/5 (veg buffet)
Ambience: 4/5
Value for money: 3/5",4,"2019-05-09 12:17:33",24,54,4
"454440","I always go this place with my friends, wen Eva I get time...There collection of beers is just amazing...Ambience is really good with a nice view...If u stay near Gachibowli, I highly recommend this place...",5,"2019-05-03 20:03:13",23,90,0
"15553670","Just make sure why you are going there. If food it would be a 3 rating(yes comparatively cheaper buffet in near by restaurants though) and if it drinks it would hang near 4. Their varieties in drinks get that for them. 
Place is good in ambiance but total inside so not a roof top or garden. You can enjoy the game days well than other days 
And yes a good value for your money",3,"2019-04-30 01:00:43",99,106,0
"42555879","I’m a musician and I perform at this place because the place has a positive vibe! Peaceful atmosphere. 
The most important thing, the staff is way more humble and down to earth. They greet you with a smile which is more than enough for people who are stepping in. 
Bohot hi khoobsurat jagah. Esi Jagah, jahan aap sukoon se beth sakte hain apne dosto aur family ke sath! 
FOOD : 1) Must try! Chicken white sauce pasta. Isse behtar pasta maine kahin nahi Khaaya! :) 
2) Must try all the brews! Very different and unique in taste. Beers which are imported from various countries . 
3) For a starter with your drinks, do order fried idli and crispy corn! 
Thank you . ",5,"2019-04-30 00:48:09",6,12,9
"38194701","Looking for a cool bar close to work, this is the place, went during the IPL season with big screen streaming it live, they have nice collection of beers to try out. 
Overall : 4/5
Food :3.5/5
Ambience :4/5",4,"2019-04-28 21:54:55",20,10,0
"27308332","The place was pretty crowded for a weekday. We ordered a couple of chicken items. I only remember the food to be extra spicy. The brews of this place are good though",3,"2019-04-28 16:56:33",64,867,0
"60546321","The food is really good in comparison to other pubs or bars. They have an assortment of foreign drinks some of which are really nice. The ambience is pleasing but the metal table and the chairs might cause a slight discomfort to some.",5,"2019-04-27 15:06:44",2,4,0
"85578707","Quite expensive to be fair. Good ambiance and great beer collection but go only if you've robbed a bank otherwise your wallet will have a major dent. ",4,"2019-04-16 19:53:18",21,6,0
"38287798","We went during lunch time. It's a good place.
Drinks are nice.
They have offers for lunch too.
The seating is nice. Booking a table is better when going for lunch because it's crowded usually",4,"2019-04-15 12:21:39",27,11,0
"43741341","Been here a couple times now. Great service. Nice food. Not terribly expensive. The ambience is okay-ish. Gold works here, so that's good. Would definitely go again. I only wish they were open for longer. :)",5,"2019-04-14 20:34:15",2,2,0
"48593408","Its a big mistake if ever u plan to have your food here. We have ordered for Veg Pasta & we have been served with Chicken Pasta. We have waited for an hour just for Broccoli and left without having our food. ",1,"2019-04-12 22:14:02",5,3,0
"1430387","Such a great ambience it has. Food is damn tasty. Service can be actually improved, choice of drinks and food are really less. Would recommend it for food it has.",4,"2019-04-11 17:43:46",33,233,0
"32596724","Nice place with good ambience and good staff. Tried 2 beer both were good mocktail and cocktail were good. Noodles and chicken hongkong was tasty the only flaw for which I give a 4 star is lack of Indian main course dishes in the menu.. ",4,"2019-04-09 23:37:24",19,27,2
"11880351","Ordered for a Red Sauce Pasta which came sweet. Then ordered for a veg assorted pizza expecting of a better experience but failed there too. It was too bland and nowhere near to a decent pizza too.
There was a band performing too but was so boring that we hardly listened to any of its songs. ",2,"2019-04-07 20:41:37",3,57,0
"15670778","Nice ambience. We went on a live music night by Band Qurbat. They were amazing.
Staff was courteous. Service was good as well.
Now coming to food.
We ordered pasta in cheese sauce, which was fairly cooked. The taste was satisfying.
Also, Tropical punch, and I am fan of all the fruits they prepare it with, hence I liked it.😍",5,"2019-04-07 12:15:53",32,263,3
"1044771","Today we went to this place for office party. The place seems to be strategically located near bio-diversity signal in order to cater crowd from near-by tech parks.
The place is little small and can accommodate maximum of 50-60 people during full house.
They have their own brewery with many variants in beer. The food quality is very good for both veg and non-veg options.",4,"2019-04-06 01:27:45",19,14,0
"46609594","Visited this place for dinner.Soothing music and awesome ambience. The pasta 🍝, non-veg platter were  so good and  also the Mocktails were good.",5,"2019-04-05 11:50:38",4,1,3
"37299866","Amazing atmosphere and beautifully designed bar! Enjoyed the IPL match while sipping on their different styled mocktail. Their mocktail called Salty Dog is worth trying if you're a fan of salted and spicy drinks! Even better if you can try peach mocktail, infused with tangy flavour and buzz of soda. Overall a great experience! ",5,"2019-04-04 00:26:12",3,17,0
