"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"30164313","Too much expensive for the quantity served. Not worth the money. Most items in the menu aren't available.
Taste is just average. Not recommended",1,"2019-05-15 13:37:47",3,0,0
"659713","One of the best place to serve Andhra delicacies in Hyderabad. I love the pulaos here. Their speciality dishes are definitely a treat. Little expensive I must say. Overall good place.",4,"2019-05-11 13:53:52",56,317,0
"31233898","One of the best food experience in Hyderabad 
Raju gari kodi pulav- Unique and Mouth watering😋
Quantity is very less compared to other similar level of restaurants ",5,"2019-05-11 08:54:24",13,11,0
"37307462","Went for lunch to this place on Friday. It was full crowded and we waited for almost 1hr. If you want to go this place first reserve the table.
Coming to the taste, it was awesome. We had Raju gari kodi palav, ulavacharu biryani and chicken vepudu. All were really good and serving also very fast.",5,"2019-05-10 17:10:49",25,6,0
"75451457","The food was good as usual, but the service is become worse. The waiters are ignorant and lame, not attending tables , even for the menu we had to Menu multiple times. Not attending the table even after calling them multiple times. It was not even a busy business time. 
Request the management to have them trained, it just th food which is bringing us here",1,"2019-05-08 15:53:24",2,0,0
"875796","Ordered Gadwal Kodi Pulav, it had no salt. No resolution on it even after complaining that it had no salt. The quantities served are very less, so everyone who think one Pulav will serve two, to need to order one for each. ",1,"2019-05-08 14:07:40",11,49,0
"9183481","Me and my friend went for authentic South Indian pulao, and boy, the dishes are really tasty! We had kodi pulao and it was super tasty.. Definitely going to go again.. ",5,"2019-05-05 01:31:01",2,79,0
"3020078","This place is worse, you will see flies and Don’t have courtesy to the customers. 
Zomato accept the booking and restaurant will not accept ",1,"2019-05-04 23:53:01",1,0,0
"34413327","Reservation confirmed for 11pm, (shows open till 11:30pm), denied dining on arrival without prior intimation saying kitchen closed by 10:30 Pm and that they are not on zomato.",1,"2019-05-04 23:14:46",2,22,0
"15962386","Undoubtedly pocket friendly place.
We had chicken sambar rice. And leaf- wrapped roasted chicken. We also had curd cutlet which was super yummy!!!",4,"2019-05-04 09:21:36",74,210,3
"454440","If u are a non vegetarian and if you r craving for some good authentic Telugu food...This is the place to be....Their Raju garu pulao is one of its kind...Guntur billal Mutton biryani...Kodi chips, and Gadwal pulao....These were the dishes we had and trust me they wer just exceptional...highly recommend this place..",4,"2019-05-03 20:09:18",23,90,0
"1869506","Nice and friendly place to be in the ambiance is great and nature colour has been use to make the place nice and appointed 
I could the service to be very good and friendly 
We ordered for bamboo chicken and chicken pulav both the dishes were nicely presented 
Spice content was high has always in Hydrabad cuisine bamboo chicken was well done with nice aroma and taste 
Pulav was served in nice quantities sufficient for more the one person chicken tender and rice perfect 
Seems will need to pay more visits to try other combinations 
As a compliment a very nice Mysore paak was offered great taste !! 
Will visit again ",3,"2019-04-08 13:12:31",55,159,2
"1202564","WOW Ulavacharu. I NEVER ever knew your biryanis are so freakin awesome.
So I happened to go here by chance as my friend suggested we should just try this place. And my god. Me being eggatarian, obvious i ordered for an Egg Biryani. What presentation and what taste. Usually you just get the egg booked on top of the rice, but here, they cut it and the spice is inside of the cut Egg. How cool and tasty. I did have some before like this but this, this taste. Yummmmm. Kudos!
However they have done complimentary sweet for everyone the day I went there. That wasn't all that good. Way to sweet. Uhh. And my friend is a Non-vegetarian, he had some chicken Biryani and sure he licked his fingers. Awesome Ulavacharu. I'm coming back soon. Thank-you.",5,"2019-03-31 16:57:53",54,68,3
"39072153","Worst service. Food quantity is very less. Even the AC temperature was high. I suggest not to visit this place. Ridiculous thing was thums up and water was served hot.",1,"2019-03-29 20:11:47",8,6,0
"52788539","I got to know about this place from a TV show so went to try some biriyani. Ordered kotha chicken and Bamboo chicken which is a must try 
Ambience:4
Food taste:4.2
Staff:4",5,"2019-03-29 15:15:37",4,14,0
"29560018","Rustic ambience was good. The prawn and crispy veg starters were very average. The Andra style curry was good. Complimentary laddoo tasted yummy. Overall decent place but nothing amazing as far as the food is concerned. ",3,"2019-03-25 11:04:47",12,327,0
"35626817","Too expensive and is served with very less quantity. Went with family and it was disappointing as many of menu items weren’t available and Poor service. Not so great and it can be skipped. ",2,"2019-03-21 18:59:52",7,4,0
"29529580","Been here with parents. Ordered hot and sour soup and pachi mirchi pulav. The soup was a bit spicy but tasty. The pulav was to the point neither spicy nor bland.",4,"2019-03-20 19:38:25",162,265,2
"1164000","Though this food chain has got some fame, I totally disagree with it for the experience we had on our Friday lunch. Poor response and tardy service. Management failed to take care of the waiters who were very few around the tables. Waiters has to be augmented along with swiftly handling the services.",2,"2019-03-17 10:56:03",228,419,2
"16022493","Heaven for people who love Spicy Food!
Head here if you have spicy non-veg craving. Order the fried chicken and biryani, and oh God, just wait for the spice gods to come and sit next to you to bless you.
Ulavacharu FTW. ",5,"2019-03-09 21:01:15",71,125,0
"37746045","The worst experience ever. Ordered achari ghoshti it came with more salt later asked him he repaired the remaining curry after half an hour. Also the service was too slow and pathetic.",1,"2019-03-08 22:48:13",2,8,0
"43097485","This is one of a place where you won’t be disappointed, everything is good right from starters to main course to deserts. Nice service by Sri and team. ",5,"2019-03-07 16:15:44",1,1,0
"30785857","A lot of people suggested this place for some real spicy food. Had been there twice and in fact the first time I went there I knew that whenever I have guests at home I need to bring them here. Nicely done interiors - the antique door and the idol at the entrance, very beautiful and welcoming.
Coming the food this tile we we're welcomed with some ghee Mysore pak (yummy). The staff is really helpful in giving suggestions so we ordered a chicken, fish and mutton biryani /pulao. Delicious , full of masalas and tasty. Nothing to complain about the food. Bamboo chicken was the star dish , it just melts in your mouth.
So it's a place for some really fine dining. On Fridays and weekends do make a reservation, the have some crazy waiting .
Definitely recommended.",5,"2019-03-06 03:18:46",21,17,0
"69666013","This place gives a strong Telugu vibe. Taste of the food is little spicey. I ordered Bengali Kodi and bamboo chicken in starter. It was good and in main course took ulavacharu special fried rice which is little spicey. In dessert ordered kulfi which is very less amount as compared to price.
Good thing about the resturant is it has a decent ambience.Service was generous.",3,"2019-03-04 00:14:06",13,2,0
"33424261","Great decor, however it doesn't match with the name. Wonderful atmosphere, ulavachru biryani was exceptional and starters as well. Excellent service and a nice place to enjoy food with family.",5,"2019-03-02 20:35:42",15,6,0
"45899131","Food and ambiance are great here, but cost of the food is high with respect to quantity. Service was too slow and can't able to manage things.
We ordered Raju gari kodi pulao, chicken majestic and ulvacharu kodi pulao, names are self explanatory and village names which makes the taste buds high to taste.  
Overall review: Raju gari kodi pulao is spicy and must taste food if you like some liquidity in pulao.",3,"2019-03-01 18:26:01",26,22,0
"2317890","The name of this food place and the ambiance is amazing. Food is expensive here, meaning high cost and less quantity. The taste is good. It is advice to them to train their servers to get knowledge of all the items on the menu.",3,"2019-02-24 23:52:56",161,1778,0
"734533","Awesome place.. very good ambiance... Good variety in food.. polite & helpful staff ... music also gives andra feel.. best veg pulav in Hyderabad!!",5,"2019-02-21 00:27:59",4,52,0
"3010162","One of the most recommended places to enjoy authentic andhra cuisine. Been here multiple times and tried many dishes, they never let us down. As soon as we enter, we were offered with complimentary sweet - jalebi. (Sometimes they forget, in so, you can ask for it)
Among starters, bamboo chicken and bangla kodi are my favorites.
Bamboo chicken is very tender and it gets cooked inside a hollow bamboo stick and its sizzling hot with yummy taste.
Bangla kodi is very unique with each chicken piece wrapped in a sliced potato, this is a must try.
They have got a wide range of main course to cater to everyone's need, I have tried prawns vepudu pulav, this is the dish to go for if you like prawns, spicy, yummy, tasty, fulfilling and satiating.
Pachi mirchi kodi pulav and Gadwal kodi pulav are great too. Raju gari kodi pulav is their signature dish, but it will be soggy so not everybody may like it.
Don't forget to cool off your taste buds with rose milk or junnu in the end
Ambiance is soothing and sets the right atmosphere for a great meal. Service is bit slow and could be improved.
No issues with parking, they've got valet.",4,"2019-02-19 07:11:32",108,2531,2
"34593326","Ordered Nellore Chapala Pulusu and Andhra Kodi Kura. Both are Worst Awful Tasteless Pathetic.
Dont waste your money and time  complete useless stuff.",1,"2019-02-18 15:10:59",2,10,0
"33270041","The ambience is good. But the food took too long time to arrive at the table. We ordered some 3 kinds of pulav items but had to cancel them due to delay ",3,"2019-02-18 12:04:25",1,6,0
"51671476","Ulavacharu is well known for its taste. But the service I received today was the worst and this is not the first time even after complaining to the manager about it he did not even apologize for it and moreover he delivered me mutton instead of chicken and when asked about it he was like this is chicken and he tried blaming me instead . The way they behaved was worst . Manager named veera babu was very rude too. He was not even responding whatever we ask he said I am the sole owner and no one is above me. Even after we paid the bill they behaved rude. I do not recommend going here..",1,"2019-02-15 18:23:06",5,26,0
"39176993","Went here for dinner with my big time foodie friend Surya Tej Kanuri, he only recommended the place and I liked it. As we entered, they served complementary badusha, and it was good. Both of us being non-vegetarian we ordered fish, bamboo chicken, mutton biryani, and some regional dessert which I am not aware of (also they have limited number of desserts, and some of them were not available). With bill they do serve paan.",4,"2019-02-15 15:15:46",43,23,10
"37543093","Ulavacharu is one of the best south indian cuisine here I have tried in Hyderabad city.. Being a north indian (oppps, West Bengal is not considered as a northern state, so being an East Indian) my first step for an authentic Andhra rochulu (am I pronouncing right?) Went pretty good.. The ambience, decoration & presentation were amazing.. Food taste was amazing.. They serve 2 laddoos as complimentary when you sit on the chairs.. overall a good experience!
I exactly forgot the names of those 3 dishes we ordered but Junnu in desert was something different I never tried before.. mildly sugary desert made from fresh cowmilk (custard pie type) was amazing.",5,"2019-02-13 12:12:44",35,170,2
"30355286","Very bad experience with this place. Ordered lemon corriender soup with godavari royyala vepudu. soup is good in consistency but high on sourness. Not really good. Royyala vepudu was good but not hot, looks like they prepared an hour ago. After that we ordered gadwal Kodi pulao which is my worst experience ever. It is an highly spiced rice which a normal person can't eat.
Ambience and service is very good but not the food",1,"2019-02-04 13:51:49",8,14,0
"1988100","The place is really nice and gives a very strong telugu vibe. Nice old songs to go with courteous service. We ordered for Chicken fry pulav and sweet corn soup. Sweet corn soup was ok. The pulav was really good but really spicy which was expected. Suggestion would be to order a boneless pulav instead. Also we finished with a veg ulavacharu biryani. The veg option was disappointing. Should stick to non veg pulav/biryani and boneless. ",3,"2019-02-04 12:53:55",194,509,0
"476107","I visited this place first with my friend s and late with office colleagues, Place was very good like ambience, service food quality. Try koramenu it will be very good.",5,"2019-01-30 22:06:15",2,60,0
"36344123","Very very bad sooo waste taste less dont take order online.Very very bad sooo waste taste less dont take order online. Very very bad sooo waste taste less dont take order online",1,"2019-01-28 22:02:38",2,1,0
"55177327","Food - 4
Ambience - 3
Service - 3
Bamboo Chicken and Raju Gari Kodi pulao is a must try here. Prawns and Chicken Roast is okay. Service is little slow and messy. Ambience can be improved a little. Good place to try the authentic Andhra dishes.",3,"2019-01-25 16:26:13",19,3,0
"27743512","The place doesn't serve your booking request. You have to still wait an hour to get the table even after doing a booking, it just completely spoils the mood .",1,"2019-01-25 14:00:41",7,76,0
"32608766","Wanted to have some good authentic Andhra food and Ulavacharu didn’t disappoint me , loved the food even though it was a bit spicy . The Masam Vedupu Pulao and the Masam Miriyala are a must try here , The Andhra Kodi Kura didn’t quite live up to my expectations though . Ended the meal with the Rajahmundry Rose Milk which also ticked the box .Service was fantastic throughout.Overall enjoyed my experience here and would recommend this place to people looking for spicy authentic Andhra  food . Cheers !
P.S- Extra points for the motichur ladoo they gave us as a welcome snack . ",4,"2019-01-19 21:05:33",7,172,0
"90095082","Authentic South Indian flavours. I loved the biryani. This is for the first time I tried some Biryani truely n completely different from other restaurants in Hyderabad. ",4,"2019-01-18 14:13:03",11,8,0
"41975653","Food isn't great for the price. Ulavacharu Veg Pulao or Ulavacharu by itself wasn't to the taste.
Not a great place for Vegetarians. Heard good about Non Veg options.",2,"2019-01-18 13:23:34",1,1,0
"38716666","I visited 3 month ago it was good but it was very spicy .. ans somewhat costly also interior is good as well behavior of stap members.........",4,"2019-01-16 01:04:22",17,9,0
"50506211","I got to visit this place through a giveaway by @hyderabadfooddiaries and it was worth a visit. We tried the bamboo chicken which is an iconic telugu appetizer that has soft tender chicken cooked with right amount of spices. Mamsam vepudu which was the star of the show with spicy, perfectly cooked mutton that justified it being telugu cuisine. The Rajugari Kodi Pulao was the best of all.
This pulao had a different taste and texture, unlike biryani, this dish is similar to a porridge with soft chicken and delicious curry. This place has huge variety of appetizers, curries and rice in chicken, mutton,seafood and veg options.
Best destination for spice lovers👍
Food: 4.5/5
Service: 5/5
Ambience :5/5
Price : 1200/- for two
Follow @lazeezgrammer for updates
Follow @lazeezgrammer for updates
Follow @lazeezgrammer for updates
Follow @lazeezgrammer for updates",5,"2019-01-13 18:43:06",8,15,4
"46188945","The taste n quality of the food is awesome but its pricy. ambience is ok and crowded.Service was good. You would definitely not regret for the price you paid.",5,"2019-01-13 11:33:15",61,25,0
