"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"36263035","This is a small place at Gachibowli right next to the Bajaj electronics showroom. I had gone with my friend and we ordered couple of things like waffle sandwich, classic waffle and the bubble waffle. To be conclusive with my belief I would say the toppings are same here. What these guys are offering are the different waffle bases. But yes to be fair their waffles are really good. The thing that I did not like was that the place is too small and felt claustrophobic. This also created uncomfortable and non ergonomic seating arrangements. And I also felt that the serving portion could be better considering the price. Hence 3/5. ",3,"2019-04-11 17:34:14",59,182,0
"43552879","As our beloved zomato is not allowing us to order sometimes. I have ordered from swiggy from this place and delighted the experience and food from this place. Great waffles which makes u say “whatta waffle “ 
Must try : dark and white chocolate waffle in Belgium style
Food :4.5
Service : great
Hygiene : 4
VFM : 3.4
Worth visiting once more: Yes",4,"2019-04-09 20:53:22",23,4,1
"15582118","The Waflles here are delicious and very courteous staff.
The Waffles are reasonably priced and the fast food outlet offers you a wide rande of waffles with diffirent toppings and flavours .
The quality of the waffle is really nice and soft and has the crisp touch to it perfecting the ideal waffle . 
Definetly worth the visit when in gachibowli! ",5,"2019-03-31 21:51:20",28,540,0
"27921088","I have ordered Belgian dark chocolate waffle with ice cream. Waffle was perfectly cooked , even after delivery it was perfectly crispy from outside  and soft from inside . The dark chocolate sauce was of extremely good quality. I have repeatedly ordered this waffle from here and the product has been consistent through out. kudos for maintaining the quality and is easier on pocket too.",5,"2019-03-30 22:08:47",95,299,0
"27924980","I visited this place with my mom! We ordered one waffwich, it tastes amazing 😍 
The place is quite small and located in a gully so I recommend to order the food instead.",5,"2019-03-17 11:06:47",29,15,0
"2538916","This is cute little place serving waffles and pancakes for perfect for my occasional ""something-sweet"" cravings. I've had the American pancakes, and they came with this smiley face drawn on them, which frankly cheered me up after a long day at work. A good place to get your sweet tooth satisfied.",4,"2019-03-02 19:56:48",7,65,1
"54266260","Very excellent experience
Popcorn shake was superb ,a look at the waffle cake gives happiness,i have never seen these many varieties of waffle dishes.enjoyed a lot",5,"2019-02-28 21:28:08",1,1,0
"35151224","This place is located right behind Keventers. The interior was quite small and the stool I had sat on wasn't quite stable which kind of annoyed me and the chairs didn't exactly seem comfortable either. I had ordered kitkat waffle (belgian) and they were quick in preparing it. The waffle was served on a paper plate and the cutlery was plastic, it wasn't impressive at first glance.
Coming to the waffle, it was covered in milk chocolate and crushed kitkat, topped with whipped cream. The milk chocolate was delicious and it really went along with kitkat, the best part being I could clearly taste kitkat through every bite (which I can't say for most kitkat flavoured shakes and waffles). I don't usually like whipped cream but here, it blended well with milk chocolate topping and kitkat pieces. The waffle was delicious and I look forward to exploring the other items on the menu but I feel the interior and the ambience can be improved. ",4,"2019-02-18 15:48:35",14,31,2
"52169296","A really good place to try, if you love waffles, small and tiny place, with wonderful decor and professional and polite people. Check it out.",4,"2019-02-17 16:25:57",108,241,2
"33167664","I've tried waffles from a lot of places and this place has some of the best waffles. I tried apple cinnamon and belgian white chocolate. The packing was also nice. The only issue I have is the pricing. For Rs. 150ish you get HALF waffle. I don't know how this has become sort of the standard price. You simply make the batter(that too in bulk most probably) and then put it into a waffle maker. This simply feels absurd to me.",5,"2019-02-03 22:23:23",15,51,0
"55731789","It was not a waffle ",1,"2019-02-03 20:00:56",2,1,0
"50023145","Follow my food journey on Instagram: phenomenal.everyday
Whatta Waffle has already managed to impress us with their amazing waffles, shakes & pancakes that they're successfully running their fourth outlet now in Hyderabad.
I was invited to review their menu at the Gachibowli outlet which is just behind Sholay the Bbq bike. The outlet may not be easily visible to your eyes but once you get there I bet there is no chance of avoiding it either.
This dessert joint is tiny-mini with barely 3 tables of seating but its menu ,esp their toppings are going to spoil you for a choice.
They have amazing range of crisp and hot belgian style waffles,fluffy pancakes ,refreshing thick shakes, wonderful waffwiches, puffles & savories.
I went with few other bloggers/food reviewers so managed to taste a great variety here.
THICK SHAKES:
Tried the Popcorn Shake. It was unique , tasted incredible and had full popcorn flavor and was so refreshing at the same time. You are a popcorn lover you cant miss out on this.
Also tried the very berry shake and mango shake which were fruit flavors and tasted superb. And their brownie fudge shake was out of this world. It was made using fresh brownies they baked so the shake had chunks of the brownies which was gooey and melt in the mouth.
WAFFLES:
Tried the Banana Salted Caramel Waffle and Bluberry cheesecake waffle . The waffles were hot and crisp and both of them had the right flavors as per their names. The banana salted caramel waffle had toppings of real banana and caramel and was a nice combination. The blueberry was tad bit sweet but yumm at the same time.
PANCAKES :
Instead of the regular size pancakes we opted for assorted mini pancakes which by the way were still big when compared to other outlets serving mini pancakes.
We tasted so many different flavors in this- blueberry, strawberry, milk, white chocolate, choco almond, nutella, maple, apple cinnamon, brownie, Belgian dark chocolate and butterscotch.
Of all the flavors I absolutely loved the choco almond, nutella, apple cinnamon & brownie maple. They literally energized my soul and tasted supremely good.
WAFFWICHES:
Waffwiches are when the stuffing or ice cream Is placed between two pieces or layers of regular waffles. In this range we tried two variety which were Almond crunch waffwich and cookies and cream waffwich, both were delicious.
PUFFLES:
Since people have trouble eating bubble wraps the team at Whatta waffle came up with the idea of Puffles, wherein they serve the bubble wrap in a plate instead of conical shape wraps. We tried the Triple chocolate puffle which came with dark,white and chocolate syrup dressing and looked breathtakingly beautiful and tasted even amazing and was also hassle free to munch on.
Everything here is mind bogglingly amazing, value for money and to the point. And even though it's a small place it's well maintained and the host were genuinely such nice people.
The best part is they have placed hand sanitizers on the tables which just makes me give them an extra bonus point. Kudos !
Their menu makes you go drooling and definitely makes you scream WHATTA- WAFFLE 💕
Regards,
Asma.",5,"2019-02-02 05:17:11",44,849,2
"41537941","Very Tasty Waffles",5,"2019-01-12 00:11:39",4,5,0
"65551389","A place that always has some kind of offers and gives you the best waffles that you can get in this area. Especially nutella waffle is one to be tried first",4,"2019-01-09 19:03:40",2,4,0
"54710487","This waffle brand is worst. I have never eaten this kind of waffle in my life. Waffle was not crispy and ice cream was also not good. I don't recommend this place and their menu. The worst.",3,"2018-12-14 18:21:05",11,11,0
"36054083","This new outlet of Whatta Waffle in Gachibowli has to be on a must visit list for anyone who loves desserts.
They serve amazing waffles!!! Have tried the classic Belgian style Waffle with assorted fruits. This one is pure perfection.
Thick Shakes- Finally a place that has got the consistency right. Neither too thick nor too dilute.
😊",5,"2018-12-14 12:25:40",1,1,0
