"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"73236604","I ordered paneer club sandwich(paneer was missing) and cheese wich, overall was good. i thought it will be brown bread but it was normal. suggestion you should utilise brown bread only as it is healthy",2,"2019-05-14 13:26:34",3,1,0
"48395188","Order food online on zomato... My favorite ""spinach corn cheese"" and ""corporate meal "" and creamy toast , which was very tasty, cheesey nd yummy
.must say very good packing and good taste. Loved more with zomato discounts",5,"2019-04-23 21:09:13",5,0,1
"52394919","Last time when I ordered the same Wich, it really tasty and I ordered again now, but this time it's not on superb quality, it is bit tango don't know why, and there are hardly three to four corn single pices in the entire Wich. I really don't like it much as last time, last time it was amazing. If I face this even next time i'vl never prefer it again.",3,"2019-04-08 18:56:41",7,5,0
"27924980","Spinach corn sandwich is a must try!
But Tandoori paneer wich is a bluff!! The wich had raw panner slices. Paneer was not cooked in tandoor so had no tandoori flavour.",2,"2019-03-17 10:35:52",29,15,0
"27725380","Ordered spicy combo from this place for 124 rupees (after discount) and the review is based on that
Taste- Taste was awesome just one sandwich had extra salt else it was perfect- 5/5
Quantity: two sandwiches for that price is actually costly- 3/5
Packaging: It was good 5/5
Quality : cold drink was hot , was not drinkable",4,"2019-02-23 21:35:48",59,40,1
"15560412","I ordered a Spicy Tadka Combo, Veg Cheese Grill Sandwich and wich please special sandwich. They missed out sending the combo, upon contacting the restaurant it looked like it did not bother them and happily unapologetic. Its ok if the item is missed atleast be sorry. Bad experience.
The other sandwiches were decently good. hence rated 2 andrest is just the bad experience",2,"2019-02-22 15:33:47",32,123,0
"66599143","It was with very much dissatisfaction from wich pls, expected very good taste from them but they truly disappointed with the wich. Chosen extra cheese but which not found any of wich neither in mayo veg nor grilled masala wich. And to the worst instead of ampan received orange which I hates more. A big thumbs down 👎👎👎👎👎👎👎👎👎👎👎👎👎",2,"2019-02-21 10:38:12",10,2,1
"50725916","It was around 11:30 pm I started feeling hungry 🙄. While thinking what to order I got attracted to the name ""WICH PlEASE"". Ordered tandoori panner double cheese sandwich . Delivery was quick and received the order with in 20 min . The food was yummy and filled my tummy 😋🤗. Cheese , Panner ..all are in good proportion. Prices are very reasonable 😊 .Go for it ",4,"2019-02-04 00:23:18",16,11,1
"48257693","A great place to have your evening sandwich. Spinach cheese sandwich is a must try . Besides they got a corporate special box which comes with sandwich,toast and juice.atoneplaceonline.com",4,"2019-02-01 19:00:16",85,190,2
"59579125","A must try !! Ordered spinach and corn sandwich along with veg cheese sandwich.... and ended being confused about which WICH do i love the most?! They taste amazing !!!
P.S sorry about the picture ... i totally forgot to click a before!LOL !",5,"2019-01-19 12:34:41",2,0,0
"57188332","Sandwiches are tasty, fresh and properly grilled. The sandwich was made of brown beard and the stuffing was just lip smacking.
The packing of restaurant was also good as i received hot and fresh sandwich.",4,"2018-12-29 23:54:40",24,8,0
"51485293","The sandwich was normal, nothing special . Tasted how it would tasted if made at home. It's filling and light on pocket though.",4,"2018-12-29 13:07:56",8,2,0
"51385400","Spinach corn cheese sandwich was good but not impressive. I felt the spreading could've been better in taste as well as spread at the corners of wich. Should include in the menu while ordering what chutney is accompanied or maybe given choices among the best.",3,"2018-12-26 18:55:33",60,16,0
"39385480","As the name suggests, decided to try thier sandwiches. Ordered Cheese Chilli, Chocolate Grilled Wich and Nutella Toast. Cheese Chilli and Chocolate Grilled Wich was good , but Nutella Toast was heavenly. It's a must try guys !",5,"2018-12-25 11:22:11",34,327,1
"36624777","These fellows are 3rd grade idiots. I have ordered for a pasta sandwich and they have sent a foul sandwich taken from their fridge. The sandwich is very very cold and with bad taste. Should put these guys behind bars for such behaviour. Throwed it in dustbin.",1,"2018-12-20 11:38:59",14,5,0
"1966682","I ordered the sandwiches through online order. Got good discount!
The taste is good! At the prices the restaurant offers, the taste is really good and fine I enjoyed the Combo ordered. If you are damn hungry, you can well eat the two of them!
Try the place!",4,"2018-12-16 00:26:05",85,301,1
"45952111","Ordered Chocolate sandwich, it was just grilled bread dipped in chocolate sauce, dat too, not properly, only half bread... Tasted horrible, not at all like how it looks in the picture.
Also ordered spinach corn sandwich , that was okay, I have had very good tasty spinach corn before, so was expecting something else... ",1,"2018-12-13 15:40:01",7,2,0
"48029034","I ordered sandwich today. The TASTE is just worst it is just branding the are focusing on. If you look at packaging box oh my my it's so awasome like top brand anyways I don't want to eat box but sandwich so called WICH is worst than local store. Tried Fry pan restaurant of same segment offering veg sandwich was awasome in taste. Wich please is just show off taste is ZERO.",1,"2018-12-12 17:31:31",3,4,0
"59472608","Too much salty.. Horrible experience ",1,"2018-12-08 20:24:44",3,0,0
"62917726","Sandwich tastes good. I will try one more time.",4,"2018-12-06 20:46:20",3,0,0
"2644474","Best sandwiches in town!
The go to place for an any-time snack...be it savoury or sweet!
Some favourites are Italian pasta, Cheese chilli, Coleslaw, Spinach corn... The Nutella toast is a must have.",5,"2018-11-25 23:32:16",9,6,0
"49462468","The sandwiches are OKish.
They are worth the price only if there's a discount on online delivery.
The variety in the menu is really nice though. ",4,"2018-11-25 06:16:07",111,1009,0
"2388974","Loved the sandwiches 
Worth the price!!
Spinach corn sandwich - 5/5
Pasta sandwich - 3.5/5 (too much sauce for my liking)
Try the yummilicious sandwiches! ",4,"2018-11-24 16:12:16",144,673,1
"873715","I had ordered home delivery so my review is just based on food.
I ordered a corporate meal and the combo contained the following:
1. Spinach and cheese sandwich - 3.5/5
It was not that filling nor the taste of spinach was there. The good thing was it was soft and who doesn't love cheese?
2. Creamy bread - 2/5
It is nothing but butter toasted brown bread in condensed milk. It is okay, nothing exceptional.
3. Drink - Paper Boat (jaljeera) - nothing Rating for that.
It is a good place for quick bite and definitely pocket friendly",3,"2018-11-17 09:17:50",40,32,0
"794671","I friend suggested this place. I must say the sandwiches were brilliant. The Chocolate Grilled Wich & Wichplease special were my favorite. Would love to come back when in Hyderabad. Please open a restaurant in Bangalore as well.",5,"2018-11-12 16:05:08",3,56,2
"39002678","Coleslaw wich was very good. But in rest like cheese sandwich,cheese was just for the sake of name.same with chocolate sandwich as well. Previously when place was quite news, quality was good. But in recent days, quality has degraded.",3,"2018-11-05 01:11:55",16,2,0
