"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"166651","One of the rare underrated places in Gachibowli. This seems to be a kitchen which only has an online takeaway option. Ordered some amazing dishes from this place Pepper Garlic Chicken was just amazing with right consistency of batter and nice blend of sauces. Have ordered online on Swiggy many times and have never been disappointed.
Another dish which I like personally is the Twin Pepper Paneer. Soft Paneer deep fried and prepared with bell peppers is a delight to eat. The Soft noodles I have had was the veg version which was really soft and less spicy. Kids just loved it.  When we have a party at home, Fish majestic and Dragon Chicken lit up the entire atmosphere.
Chicken Thukpa they serve is an interesting variant of the Thukpa that we get in the highlands. With loads of vegetables, chunks of chicken and Noodles it makes up for a complete meal even though it is a soup. Thank you for cooking up a storm everytime we order. Their menu is exhaustive and offers many options for veg and non-vegetarians alike. Would definitely recommend this place to someone who wants to try the Indo-Chinese delicacies at affordable prices and amazing taste.",5,"2019-05-03 20:36:03",78,2465,0
"38203970","This is ridiculous, I have ordered mushroom egg noodles, when the order reached to me i only got the noodles packed in a plastic box, delivery agent was telling me sir they only gave me the food when i asked for spoon they refused and asked me to leave the restaurant, because i am working so that i have ordered food online and the situation is like this you have food with you and you can't eat it, of course you can't eat noodles with your hand, so i went out of the building i went to store purchased a spoon then i had a privilege to eat those noodles..!! Totally the experience with this restaurant SUCKS!",1,"2019-03-18 18:44:20",2,1,0
"76783669","Packing of the food was really good n everything in place....so appealing
PEPPER CHICKEN......was fried till crispy n tempered with fried curry leaves,chopped green chillies n chopped garlic....chicken was well cooked n tasted super yummmm....quantity was more than enough....very good
SAUTEED CHICKEN IN SWEET CHILLI fried boneless pieces of chicken tossed in sweet chilli sauce n dry red chillies n green chillies....it was a wet chicken dish n was yummmmm
FISH MAJESTIC....long strips of fish fried till crispy n tempered with chopped garlic,curry leaves n chopped green chillies....was superb👍👍
SCHEZWAN NOODLES were very good not extra spicy tossed well in schezwan sauce n mixed with eggs,capsicum,mushrooms n spring onions....
STAR NOODLES with loads of veggies n some exotic veggies like broccoli n zucchini which we usually don't expect in noodles....it was loaded with mushrooms,chicken n egg.....golden soft noodles with well balanced spices....it was not very spicy like any other noodles that we get everywhere.....dis was my favorite 👍
Each n every item was very good n definitely will try it again....thank you so much @wokntongs for serving this yummilicious food ",4,"2019-03-05 00:55:11",59,97,2
"573349","Located in the bylanes of Gachibowli going towards Manikonda through Naga Hills, this small establishment of Woks and Tongs has recently setup space, to serve as a cravings buster to whole of the IT corridor in the area. Serving primarily Chinese with a decently priced menu and a variety of options for both vegetarians and non vegetarians, the place is sure gaining momentum.  Coming up with a neat and clean packing having a good portion size, the place does justify the amount charged. 
Coming to the food, I recently sampled some of their dishes which included their Pepper Chicken and Dragon Chicken along with Chicken and Egg Chili Garlic Noodles. While the Pepper Chicken had crispy fried chicken marinated with loads of black pepper, the Dragon Chicken in contrast had juicy succulent bite sized chicken pieces tossed in a sweet and spicy sauce with a generous amount of cashews. Dragon Chicken however did have a lot of oil dripping down which did cause a little discomfort to the eyes. The noodles on the other hand were a complete disaster having no flavours of chili or garlic whatsoever. A suggestion to the management would be to probably revise the recipe a little to infuse a little bit more flavour to the dish making it stand out individually without the help of any other gravy or appetizer. 
Calling in directly from the restaurant, the delivery of my order was actually quite a disaster due to the long delivery time. However, delivery options like Zomato and Swiggy are available for the joint so getting food fast shouldn't be much of a problem. In a nutshell, the place seems to me as an upgraded - more hygienic and clean version of a Chinese hawker stand since the recipes and taste do go into that similar dimension but delivered hot and fresh, the place does promise to elevate the experience.instagram.com",4,"2019-03-04 21:30:54",241,3414,1
"74914870","A good recommendation came my way for Indo-Chinese food and this is the goto place. This place only delivers food on online platforms so it was no way that I could visit this place but the food that they provided was really good. The Pepper Garlic Chicken and Twin Pepper Paneer are amazing variations to the regular Chinese food that you get elsewhere. Tried the Chicken Thukpa which was amazing. They have another pot meal in Chicken Chopper Noodles which is Noodles topped with Chicken in a pot which was quiet good and filling for one person. Seems like a hidden treasure in Hyderabad has just been discovered.
The noodles can be improved but I would give the benefit of doubt here because the Chinese food is supposed to be piping hot and not cold as it becomes in most of the delivery restaurants.",5,"2019-03-04 12:55:45",13,27,0
"50113671","This is the perfect place to satisfy your Chinese cravings, by not being so heavy on the pockets. Just relax and order from Woks & Tongs, which delivers you hygienic Chinese food with a neat packing.Tried the Pepper Chicken which was delicious and had the pepper aroma in every bite. Not so spicy, yet flavorful.
Dragon Chicken - Perfectly cooked and a good amount of cashews were added, which made the dish more tasty.
Chicken Noodles - Noodles were not on point, as it lacks flavor. It can be improved.
Overall, had a good experience.!",4,"2019-03-03 13:35:41",76,180,3
"132137","This place can be your weekday hunger saviour! Dont want to burn a hole in your pocket by going to a fine dining restaurant? At the same time dont want to punish your health by eating roadside? Sit back and order food from Woks and Tongs. This place doesn't promise you a Mainland China but then doesn't give you a roadside experience either. It's a comfort food provider that cost just a little more than roadside but what you get is hygienic Chinese food with proper packing.
Tried Chicken 65, Chili Mushroom, Chicken Noodles a d Chicken fried rice.
While everything was as expected, noodles were a let down. The quality of Noodles was ol but they were undercooked.
Chicken 65 was amazing. Big chunks of pure chicken, moderately spiced a d well cooked.
Chilli mushroom was again well cooked and sauced.
Fried rice was just perfect. I'd like it to be a little more flavoured.
Overall a a satisfactory option. Packing was decent. ",4,"2019-02-28 23:33:06",222,3013,1
"1904466","Ordered yesterday from Zomato. Chicken majestic is good. Chicken drumsticks are not cooked properly. Egg friend rice is OK. Chicken fried rice is not that much tasty.",3,"2019-02-09 15:39:02",156,726,1
"33596227","The worst food I had ever .please people beware from ordering from this restaurant..the worst food one could get ..no taste uncooked bitter ..ordered burnt garlic noodles and what I recieved was only boiled tasteless noodles..and a soup which was water and nothing else..bad food bad cooking I wish I had a zero star to give",1,"2019-01-01 21:05:17",20,16,0
"63215355","Ordered Chicken Chopper Noodles, Bangkok Prawns, Chicken Thupka Soup and Yang Chow Fried Rice yesterday . All the dishes were beautifully made and had the perfect taste. Keep it up guys.. ",5,"2018-12-27 17:34:32",2,2,0
