"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"757700","Whenever you get the urge to eat hygienic food with less calories this the place to order from. It offers a wide variety of dishes ranging from Indian, Continental, Oriental and even Caribbean. The food is prepared in a way that it is healthy, but doesn’t compromise on taste. Also, the dishes are reasonably priced. My only issue is that many dishes go out of stock very quickly.",4,"2019-05-18 15:42:01",12,82,0
"86025980","I had ordered the weight watch veg and it was awesome.. Healthy and tasty as well. Food quality was really very good. I had ordered for the second time and this weight watch forced me to write a review.. I couldn't help myself.. Fantastic.. Keep it upp.. U have raised a bar.. Do the good work always :) ",5,"2019-05-17 20:48:55",1,0,1
"4941161","I received food with a live green insect in it. What food standards are being followed! This is not expected from a restaurant with an ‘excellent hygiene’ title! ",1,"2019-05-17 13:21:27",7,4,2
"112232325","Zomato please help me to give them negative rating to this restaurant. I fell sick after eating their roti. How awful it is. If your food not good your packaging will not give u business",1,"2019-05-12 18:01:38",3,1,0
"42886138","Food was open ",1,"2019-05-12 17:46:55",3,6,0
"87084901","I ordered dal makhani with paratha . The parathas were good so soft and tasty .Dal makhani was ok.It was tasting some different but it was good .😊",3,"2019-05-11 12:07:12",1,0,0
"105881291","Very delicious millet and chicken dish.
I feel so good ordering and eating from eat.fit bc I can see the nutritional value and no where else I have found this yet! I love that they give a mini free desert too - perfect sweet treat after a meal.",5,"2019-05-10 13:49:48",3,1,0
"55473088","Till now ordered chef's special veg thali, oat meal, parantha in super breakfast
Pros
# Calories and macro nutrients info is clear and loud
# ingredients and making is published and the order is as promissed
# taste, quality are great
Now i felt few things can be improved
# Delivery, i felt it is slow and more than half an hour. Also if we order from cure fit app we dont get the valet number as well.
# Plastic package can be avoided and pls think about alternatives
# Price and quantity ratio : I felt the food items are highly priced when compared with the quantity they are providing.
Eg: Oat meal box is really tasty with a mixture of basil seeds, oats, honey, fruits it is charged 90 rs at centers and online it is 140. I strongly feel they can reduce the price of every product at least 20% so that they can get more orders and new customers to",4,"2019-05-06 12:38:39",17,2,0
"52332732","Great food. No oil, soft rotis, tasty gravy and juicy chicken. It's a little on the expensive side but absolutely the best when they have deals.",5,"2019-05-05 14:05:22",2,1,0
"36441068","We have multiple options to have food but thinking about healthier options - there are very few. I would like to appreciate all your effort to provide us an option to choose heathy and hygienic food. Great place to order healthy and tasty food.",4,"2019-05-05 13:45:40",8,8,0
"41855435","very less quantity and food taste also not gud",1,"2019-05-03 22:00:24",1,1,0
"27725380","Ordered chef's veg special thali from this place and it was just awesome, 3 rotis, paneer curry( which had so many paneer) , salad, dal makhani, sweet, everything was equally good and tasty. Ordered for the first time from this place and with all the discounts I paid just 61 for the food and got 50 as cashback.
I totally loved it and would definitely order again
Quality-6/5 I did feel I am eating homemade, healthy food
Quantity-5/5
Value for money-6/5
Packaging- 5/5
Delivery- 6/5
It was a good experience ordering food from this place
PS this experience is when i ordered from cult app, later on when I order using Zomato things were quite different like delivery was late, no sweet",5,"2019-05-03 16:19:04",59,40,3
